pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-09-27,89.1,-1.86,5.72,"Hernández, Heriberto",665742,691587,field_out,hit_into_play,,,,,4.0,Juan Soto lines out sharply to left fielder Heriberto Hernández.,R,L,R,MIA,NYM,X,7,line_drive,3,2,2025,0.16,0.32,-0.65,2.2,,,,1,3,Top,69.02,77.57,,,,,2.660942207774385,-129.70056909469773,-3.2854433894941413,1.2262890758339169,28.60369585977377,-28.08352969195409,3.05,1.49,332.0,100.6,20.0,89.3,2572.0,6.5,776161,689414,688363,669364,681393,672640,681715,805300,665052,53.96,0.449,0.578,0.0,1.0,0,0,5.0,17,7,Slider,0,1,1,0,1,0,1,0,Infield shade,Standard,152.0,0.016,-0.332,72.3,6.7,0.931,0.332,100.6,-1,1,0.404,0.596,22,26,22,27,2,1,6.0,1.0,,1.0,2.56,-0.16,0.16,29.2,5.155318357100365,16.088304199749246,26.81825164034224,44.33544607819606,18.43308635538816
FF,2025-09-27,98.8,-1.79,5.93,"Hernández, Heriberto",516782,691587,field_out,hit_into_play,,,,,5.0,Starling Marte flies out sharply to left fielder Heriberto Hernández.,R,R,R,MIA,NYM,X,7,fly_ball,2,0,2025,-0.53,1.48,-0.23,2.6,624413.0,607043.0,,1,1,Top,87.31,102.91,,,,,5.487048580197975,-143.53971178304064,-6.982018463411251,-8.746886159764312,38.78416474863384,-10.344225717634428,3.5,1.59,258.0,104.5,54.0,98.1,2762.0,6.4,776161,689414,688363,669364,681393,672640,681715,805300,665052,54.11,0.009,0.009,0.0,1.0,0,0,3.0,5,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,216.0,0.069,-0.24,84.3,8.0,0.018,0.24,104.5,-1,1,0.322,0.678,22,36,22,37,1,0,6.0,3.0,,,0.9,0.53,0.53,32.2,27.269109054232263,-17.718629266933785,34.88702006285653,33.811385518785336,32.08990389451081
FF,2025-09-27,98.7,-1.8,5.81,"Hernández, Heriberto",607043,691587,single,hit_into_play,,,,,7.0,Brandon Nimmo singles on a fly ball to left fielder Heriberto Hernández. Pete Alonso to 3rd.,R,L,R,MIA,NYM,X,7,fly_ball,1,0,2025,-1.09,1.46,-0.55,1.67,,624413.0,,1,1,Top,76.33,116.91,,,,,5.976749974152274,-143.2875253823794,-9.170437919299811,-16.500193269929195,39.180658155786105,-9.973714576576093,3.61,1.73,218.0,70.4,41.0,98.3,2705.0,6.6,776161,689414,688363,669364,681393,672640,681715,805300,665052,53.87,0.477,0.46,0.9,1.0,1,0,3.0,4,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,219.0,-0.04,0.512,75.8,7.5,0.563,-0.512,88.0,-1,1,0.382,0.618,22,32,22,32,1,0,6.0,1.0,,1.0,0.92,1.09,-1.09,29.0,7.973253847185187,-1.052245829350019,34.2902581464868,45.46061898467502,30.602874431823103
SI,2025-09-26,92.5,-1.63,5.99,"Hernández, Heriberto",665742,645261,single,hit_into_play,,,,,9.0,Juan Soto singles on a sharp line drive to left fielder Heriberto Hernández.,R,L,R,MIA,NYM,X,7,line_drive,0,0,2025,-1.47,1.07,0.31,1.87,,,,0,3,Top,102.56,110.2,,,,,8.141912828421379,-134.25161968857353,-7.032530725425069,-19.54181196707192,29.535544183455773,-17.82053772903586,3.05,1.48,232.0,104.7,9.0,92.5,2269.0,6.5,776173,682663,687859,669364,688363,672640,681715,805300,665052,54.01,0.734,0.705,0.9,1.0,1,0,4.0,18,1,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,226.0,-0.027,0.439,69.3,6.4,0.894,-0.439,104.7,-2,2,0.279,0.721,29,26,30,27,2,1,8.0,1.0,,1.0,1.61,1.47,-1.47,34.0,7.67429935581157,11.010472388683928,31.36113697218123,33.32250608762938,18.12846128543984
FF,2025-09-21,97.9,-1.57,5.84,"Hernández, Heriberto",642133,691587,field_out,hit_into_play,,,,,8.0,Rowdy Tellez flies out to left fielder Heriberto Hernández.,R,L,R,TEX,MIA,X,7,fly_ball,3,2,2025,-0.68,1.42,-0.2,2.25,,,,1,4,Bot,74.45,85.68,,,,,5.274523059280916,-142.2035921378002,-7.404870640077721,-10.427744365902752,36.22064257090001,-11.42504738056709,3.64,1.66,323.0,94.3,39.0,97.7,2726.0,6.5,776226,640459,689414,669364,688363,672640,681715,805300,687859,53.96,0.049,0.078,0.0,1.0,0,0,3.0,30,9,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Standard,220.0,-0.019,-0.332,78.2,7.9,0.142,0.332,94.3,-2,-2,0.271,0.271,22,30,22,30,2,1,5.0,1.0,6.0,3.0,0.99,0.68,-0.68,26.8,0.1531774174978731,5.42510984893167,35.27554030403204,37.40886566941243,27.198891254382158
FF,2025-09-21,97.4,-1.69,6.04,"Hernández, Heriberto",696030,691587,field_out,hit_into_play,,,,,5.0,Alejandro Osuna flies out to left fielder Heriberto Hernández.,R,L,R,TEX,MIA,X,7,fly_ball,1,2,2025,-0.94,1.32,0.26,2.36,,,,0,4,Bot,45.85,120.5,,,,,7.379767349988212,-141.5166296916481,-7.378447185176917,-14.259933532567592,32.59281960205776,-12.897988634101075,3.25,1.42,276.0,90.9,50.0,97.5,2740.0,6.4,776226,640459,689414,669364,688363,672640,681715,805300,687859,54.08,0.009,0.011,0.0,1.0,0,0,3.0,29,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Standard,218.0,-0.029,-0.19,70.7,6.3,0.016,0.19,90.9,-2,-2,0.3,0.3,22,22,22,23,2,1,5.0,1.0,6.0,2.0,1.09,0.94,-0.94,31.8,6.073174887134923,10.7351088882364,31.30664784049416,30.44596319139169,29.46573102263234
ST,2025-09-21,85.3,-2.05,5.32,"Hernández, Heriberto",683227,669199,single,hit_into_play,,,,,5.0,Cody Freeman singles on a line drive to left fielder Heriberto Hernández. Josh Jung scores.,R,R,R,TEX,MIA,X,7,line_drive,2,1,2025,1.22,-0.04,-0.25,2.16,,673962.0,,2,6,Bot,90.67,60.33,,,,,1.773845611166214,-124.18379853048653,-0.9932862865127864,12.122395951828096,27.54669603181731,-32.60516861441836,3.08,1.38,252.0,101.3,13.0,84.6,2733.0,6.0,776226,640459,689414,669364,688363,672640,681715,805300,667472,54.45,0.914,0.883,0.9,1.0,1,0,4.0,49,4,Sweeper,1,3,1,3,3,2,2,3,Standard,Standard,69.0,0.12,0.677,70.2,6.3,1.123,-0.677,101.3,-2,-2,0.222,0.222,30,24,30,24,1,2,2.0,1.0,3.0,2.0,3.2,-1.22,-1.22,30.3,4.876028247847275,-2.382756440441931,28.051078791547205,30.84026159288998,36.59209508297616
FF,2025-09-20,94.7,-2.18,6.01,"Hernández, Heriberto",642133,800049,single,hit_into_play,,,,,7.0,Rowdy Tellez singles on a sharp line drive to left fielder Heriberto Hernández. Joc Pederson scores. Alejandro Osuna to 3rd. Fielding error by left fielder Heriberto Hernández.,R,L,R,TEX,MIA,X,7,line_drive,1,1,2025,-0.19,1.47,-0.37,1.98,592626.0,,696030.0,2,3,Bot,84.82,94.09,,,,,5.157564397908303,-137.5859722087237,-8.054659774566703,-3.715504016468204,34.688453699150834,-11.9203632160074,3.64,1.66,281.0,109.1,11.0,94.2,2269.0,6.4,776242,682663,676572,669364,681393,672640,681715,805300,687859,54.08,0.951,0.951,0.9,1.0,1,0,5.0,28,3,4-Seam Fastball,1,1,1,1,1,2,2,1,Standard,Strategic,207.0,0.118,0.65,78.9,8.0,1.25,-0.65,109.1,0,0,0.555,0.555,24,30,24,30,2,1,6.0,1.0,,1.0,1.11,0.19,-0.19,51.7,-4.455463219844237,6.094017219980676,38.0246385476956,40.40070979269386,24.467302920013267
SL,2025-09-20,87.8,-2.06,6.18,"Hernández, Heriberto",642133,800049,field_out,hit_into_play,,,,,8.0,Rowdy Tellez lines out to left fielder Heriberto Hernández.,R,L,R,TEX,MIA,X,7,line_drive,3,2,2025,0.3,0.13,-0.21,2.22,592626.0,,,2,1,Bot,57.69,112.58,,,,,3.853192949657809,-127.82446490075844,-3.740887230466716,2.50465523445738,26.36358691288584,-30.1524013578166,3.64,1.66,273.0,87.6,25.0,87.4,2555.0,6.0,776242,682663,676572,669364,681393,672640,681715,805300,687859,54.5,0.12,0.138,0.0,1.0,0,0,3.0,8,6,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,74.0,-0.036,-0.26,75.7,7.3,0.203,0.26,88.0,0,0,0.536,0.536,24,30,24,30,1,0,6.0,1.0,,1.0,2.82,-0.3,0.3,54.4,-6.64568583403354,11.210311160972076,36.79863898490206,37.49404521768993,23.45580663345372
FF,2025-09-19,94.3,-0.65,5.61,"Hernández, Heriberto",696030,676083,single,hit_into_play,,,,,3.0,Alejandro Osuna singles on a line drive to left fielder Heriberto Hernández.,R,L,R,TEX,MIA,X,7,line_drive,1,1,2025,-0.53,1.42,0.29,2.88,,,,2,6,Bot,55.84,119.1,,,,,3.6110880150948574,-137.27950176451537,-4.561925060666299,-7.4441172161056866,30.099158894051477,-13.400966051927146,3.25,1.42,214.0,79.5,18.0,94.5,2344.0,6.3,776251,689414,676572,688363,681393,672640,681715,805300,667472,54.17,0.991,0.912,0.9,1.0,1,0,4.0,45,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,205.0,0.012,0.344,68.0,5.8,1.088,-0.344,88.0,1,1,0.71,0.71,29,22,29,23,3,2,6.0,2.0,6.0,1.0,1.14,0.53,-0.53,53.9,-2.630568675411314,29.77029601649493,33.2286885113969,30.72464889763668,23.29788198776292
