pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-08-13,90.2,-2.56,5.78,"Herrera, Iván",691720,681517,double,hit_into_play,,,,,5.0,Kyle Karros doubles (3) on a sharp line drive to left fielder Iván Herrera.,R,R,R,STL,COL,X,7,line_drive,0,0,2025,0.26,0.43,0.17,2.37,,,,0,7,Top,96.43,59.68,,,,,6.29389643137903,-131.30349921187528,-3.493872203007847,1.7203068791916891,26.420144703028782,-26.64926967685524,3.58,1.68,278.0,101.9,14.0,91.4,2322.0,6.9,776758,686780,676475,680977,695336,691026,671056,663457,691023,53.65,0.789,0.789,1.25,1.0,1,1,4.0,52,1,Slider,5,3,3,5,3,5,3,5,Standard,Standard,161.0,-0.086,0.716,71.9,7.4,1.062,-0.716,101.9,2,-2,0.824,0.176,28,22,28,23,1,2,2.0,1.0,3.0,1.0,2.36,-0.26,-0.26,41.2,8.203560639031135,-8.707728991230352,35.898103595210166,40.68918975480536,30.366421973612965
SL,2025-08-03,88.3,-1.57,6.19,"Herrera, Iván",592518,669467,field_out,hit_into_play,,,,,6.0,Manny Machado flies out to left fielder Iván Herrera.,R,R,R,SD,STL,X,7,fly_ball,1,0,2025,0.5,0.14,0.6,2.38,,,,1,5,Bot,91.05,82.12,,,,,4.265255509476474,-128.5365997807954,-3.473068060366369,4.579923610703269,27.44832496676733,-30.097175321347645,3.66,1.63,303.0,81.6,30.0,88.6,2380.0,6.5,776884,650968,676475,695336,669357,691026,671056,687363,691023,53.99,0.083,0.093,0.0,1.0,0,0,3.0,39,2,Slider,2,0,2,0,0,2,2,0,Standard,Standard,121.0,-0.011,-0.294,75.2,8.4,0.141,0.294,88.0,2,2,0.806,0.806,26,32,27,33,3,2,6.0,1.0,6.0,1.0,2.79,-0.5,-0.5,56.5,9.766251516787538,-6.337714385090878,26.49211849808581,45.66156797618612,37.2097682565582
SL,2025-08-03,85.7,-1.81,6.18,"Herrera, Iván",650333,669467,field_out,hit_into_play,,,,,8.0,Luis Arraez flies out to left fielder Iván Herrera.,R,L,R,SD,STL,X,7,fly_ball,0,1,2025,0.4,0.1,-0.27,2.01,,,,0,5,Bot,51.05,111.76,,,,,2.8251498294499653,-124.7088933091212,-3.734685625114694,3.5556207088875063,27.46677357045867,-30.57216845278344,3.35,1.57,285.0,85.2,32.0,85.8,2374.0,6.6,776884,650968,676475,695336,669357,691026,671056,687363,691023,53.92,0.02,0.024,0.0,1.0,0,0,3.0,38,2,Slider,2,0,2,0,0,2,2,0,Standard,Strategic,112.0,-0.014,-0.22,65.0,6.4,0.041,0.22,88.0,2,2,0.82,0.82,26,28,27,28,3,2,6.0,1.0,6.0,1.0,3.03,-0.4,0.4,54.0,7.068037850438281,9.218045834517143,44.61265550346788,38.48694739441571,31.68097748091797
SL,2025-08-03,87.5,-1.75,6.14,"Herrera, Iván",666023,669467,field_out,hit_into_play,,,,,4.0,Freddy Fermin flies out to left fielder Iván Herrera.,R,R,R,SD,STL,X,7,fly_ball,0,0,2025,0.26,0.31,-0.4,2.41,,,,1,4,Bot,77.71,84.22,,,,,2.726659524127003,-127.40956841109318,-3.5305790065314184,2.2478255904675244,25.63342152276952,-28.277726139996197,3.29,1.52,308.0,84.6,35.0,87.9,2415.0,6.5,776884,650968,676475,695336,669357,691026,671056,687363,691023,54.02,0.026,0.039,0.0,1.0,0,0,3.0,33,1,Slider,2,0,2,0,0,2,2,0,Standard,Standard,85.0,-0.011,-0.255,71.9,7.9,0.061,0.255,88.0,2,2,0.779,0.779,26,30,27,30,2,1,6.0,1.0,6.0,1.0,2.66,-0.26,-0.26,55.3,14.303693938233106,-12.547155878062656,35.38618987639959,32.95767673608209,35.46619444189509
SL,2025-08-03,87.0,-1.67,6.15,"Herrera, Iván",656811,669467,field_out,hit_into_play,,,,,8.0,Ryan O'Hearn lines out to left fielder Iván Herrera.,R,L,R,SD,STL,X,7,line_drive,1,1,2025,0.28,-0.22,0.03,1.97,,,,0,4,Bot,75.36,110.11,,,,,3.523027602617497,-126.59851093786406,-3.343376613368002,2.1625999768448865,28.27189415165123,-34.016060051363176,3.46,1.59,256.0,85.8,23.0,86.8,2551.0,6.3,776884,650968,676475,695336,669357,691026,671056,687363,691023,54.16,0.231,0.234,0.0,1.0,0,0,3.0,30,3,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,90.0,-0.027,-0.251,75.5,6.9,0.322,0.251,88.0,0,0,0.559,0.559,26,31,27,32,2,1,6.0,1.0,6.0,1.0,3.26,-0.28,0.28,55.2,1.6314242850175005,10.607223085522902,44.1742005964534,36.43495080394547,23.15004133726338
FF,2025-07-30,91.8,-2.15,6.56,"Herrera, Iván",682663,571945,field_out,hit_into_play,,,,,1.0,Agustín Ramírez flies out to left fielder Iván Herrera.,R,R,R,STL,MIA,X,7,fly_ball,0,0,2025,-1.0,1.26,-0.58,2.72,,,,0,6,Top,52.67,96.27,,,,,6.136240982496227,-133.50555219543648,-6.598637630804576,-13.248813322610026,27.538820401980267,-15.898377853126505,3.21,1.55,311.0,85.4,31.0,92.0,2192.0,6.3,776934,650968,676475,680977,571448,695336,671056,687363,691023,54.16,0.023,0.021,0.0,1.0,0,0,3.0,41,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,215.0,0.017,-0.259,78.2,7.5,0.035,0.259,88.0,-2,2,0.211,0.789,36,23,37,24,3,2,5.0,1.0,6.0,2.0,1.44,1.0,1.0,45.4,11.60130415742379,-14.362612604813531,22.936674419530437,29.90967643698925,36.06609522583676
FF,2025-07-30,93.9,-2.12,6.52,"Herrera, Iván",667472,571945,field_out,hit_into_play,,,,,1.0,Dane Myers flies out to left fielder Iván Herrera.,R,R,R,STL,MIA,X,7,fly_ball,0,0,2025,-0.87,1.29,-0.79,3.09,,,,0,3,Top,82.96,94.4,,,,,5.376076749799494,-136.55191074745198,-5.979316855264626,-12.15918469972239,32.92301383013744,-14.948115253422044,3.62,1.64,281.0,77.8,36.0,93.6,2266.0,6.4,776934,650968,676475,680977,571448,695336,671056,687363,691023,54.12,0.071,0.09,0.0,1.0,0,0,3.0,16,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,219.0,0.025,-0.259,65.0,6.5,0.124,0.259,88.0,0,0,0.5,0.5,36,29,37,29,1,0,5.0,1.0,6.0,2.0,1.32,0.87,0.87,45.3,15.15340700936749,-3.3392717895132877,21.988774927407395,25.797330284815605,31.790793437345183
FF,2025-07-30,96.0,-2.13,6.45,"Herrera, Iván",660821,571945,double,hit_into_play,,,,,4.0,Jesús Sánchez doubles (12) on a sharp line drive to left fielder Iván Herrera.,R,L,R,STL,MIA,X,7,line_drive,0,1,2025,-0.8,1.34,-0.56,2.21,,,,1,1,Top,61.91,53.03,,,,,5.963122782226508,-139.43845193851405,-8.618440016686106,-11.862665188203016,32.54984206502122,-12.916809404090712,3.42,1.58,346.0,110.6,14.0,95.8,2326.0,6.4,776934,650968,676475,680977,571448,695336,671056,687363,691023,54.13,0.731,0.836,1.25,1.0,1,1,6.0,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,215.0,-0.041,0.681,80.5,7.0,1.248,-0.681,110.6,0,0,0.522,0.478,36,27,37,28,1,0,5.0,1.0,6.0,2.0,1.15,0.8,-0.8,42.9,1.9512926578762964,8.995472704882712,29.26198493002314,42.37034177918117,27.94119935611817
SI,2025-07-30,98.5,-1.63,5.67,"Herrera, Iván",681715,676617,field_out,hit_into_play,,,,,1.0,Heriberto Hernández lines out sharply to left fielder Iván Herrera.,R,R,R,STL,MIA,X,7,line_drive,2,0,2025,-1.24,0.84,-0.39,3.01,,,,1,7,Top,68.9,93.04,,,,,6.281102972071031,-143.28844989150338,-3.729856160625869,-18.489031580875988,33.70082905003734,-19.951457838716703,3.27,1.48,298.0,101.0,19.0,99.0,2323.0,6.6,776934,650968,676475,680977,571448,695336,671056,687363,691023,53.85,0.363,0.431,0.0,1.0,0,0,5.0,48,3,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,227.0,0.011,-0.365,73.5,7.3,0.665,0.365,101.0,-2,2,0.19,0.81,30,25,30,26,1,2,4.0,2.0,5.0,2.0,1.51,1.24,1.24,30.4,16.770780473925228,2.3484918379187327,30.54670167923309,32.750840298110084,34.48236611938508
FF,2025-07-30,92.8,1.98,5.53,"Herrera, Iván",669364,668941,field_out,hit_into_play,,,,,4.0,Xavier Edwards flies out to left fielder Iván Herrera.,R,R,L,STL,MIA,X,7,fly_ball,1,0,2025,0.99,1.08,-0.52,2.69,,,,1,8,Top,40.06,89.07,,,,,-8.353586648419313,-134.96697389613885,-3.78226859289742,13.905606352798404,27.586812129236733,-18.265911656025068,3.31,1.49,341.0,92.1,33.0,91.0,2229.0,5.1,776934,650968,676475,680977,571448,695336,671056,687363,691023,55.42,0.06,0.093,0.0,1.0,0,0,3.0,55,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,108.0,0.009,-0.294,73.5,6.8,0.177,0.294,92.1,-2,2,0.141,0.859,28,25,29,26,1,3,5.0,1.0,3.0,2.0,1.55,0.99,-0.99,30.5,11.47235460925736,-17.976737352011728,24.220474222338908,30.235123047058803,41.76883838914768
FF,2025-07-28,94.7,-1.62,6.1,"Herrera, Iván",681715,669467,field_out,hit_into_play,,,,,5.0,Heriberto Hernández flies out sharply to left fielder Iván Herrera.,R,R,R,STL,MIA,X,7,fly_ball,2,2,2025,-0.28,1.39,-0.16,2.31,,,,0,2,Top,60.71,73.59,,,,,4.442318474279916,-137.79702593722175,-7.356786845273769,-4.506626728508237,29.924128604079044,-13.066717084904262,3.26,1.48,348.0,102.0,41.0,95.2,2177.0,6.5,776960,650968,575929,680977,695336,691026,671056,687363,691023,53.97,0.197,0.376,0.0,1.0,0,0,5.0,8,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,192.0,0.023,-0.233,73.8,8.1,0.725,0.233,102.0,0,0,0.5,0.5,26,25,27,26,1,0,5.0,1.0,6.0,2.0,1.15,0.28,0.28,56.7,22.44726951963515,-17.20723118272923,33.89750331037341,33.80332717344373,41.04000047354914
