pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-05-04,85.0,-1.59,6.25,"Jankowski, Travis",672724,671737,field_out,hit_into_play,,,,,8.0,Oswald Peraza flies out to left fielder Travis Jankowski.,R,R,R,NYY,TB,X,7,fly_ball,1,1,2025,0.5,0.19,0.26,1.53,,,,2,5,Bot,61.74,94.84,,,,,3.3184246756992506,-123.68651796369028,-5.08872073106123,4.419742724592382,25.94934535493607,-29.39180989774603,3.2,1.46,302.0,83.7,31.0,84.8,2055.0,6.3,778057,666163,666018,664040,678554,670764,608671,802415,670224,54.2,0.043,0.057,0.0,1.0,0,0,3.0,48,3,Cutter,0,5,0,5,5,0,0,5,Standard,Standard,151.0,-0.004,-0.245,76.9,8.5,0.088,0.245,88.0,-5,-5,0.046,0.046,24,25,24,25,2,1,5.0,4.0,6.0,1.0,2.98,-0.5,-0.5,52.7,14.13862361847304,-18.763881214825567,26.62474887273803,40.8191799518857,42.84343912289438
FF,2025-05-04,93.9,-1.36,6.32,"Jankowski, Travis",672724,671737,single,hit_into_play,,,,,4.0,Oswald Peraza singles on a sharp line drive to left fielder Travis Jankowski.,R,R,R,NYY,TB,X,7,line_drive,0,0,2025,-0.23,1.51,-0.47,2.36,,,,0,3,Bot,69.3,113.42,,,,,2.830206516078832,-136.5704325240363,-7.825842257953512,-3.585040110652021,32.527759387195694,-11.768703870998818,3.2,1.46,178.0,106.5,10.0,93.7,2186.0,6.4,778057,666163,666018,664040,678554,670764,608671,802415,670224,54.09,0.849,0.841,0.9,1.0,1,0,4.0,24,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,205.0,0.044,0.439,76.7,7.4,1.068,-0.439,106.5,-2,-2,0.317,0.317,24,25,24,25,1,0,5.0,4.0,6.0,1.0,1.1,0.23,0.23,54.2,7.172955956981166,-12.072135092360446,29.76253807482685,29.57259645504156,35.505487195462095
SL,2025-05-04,89.3,-0.69,5.58,"Jankowski, Travis",663757,655889,field_out,hit_into_play,,,,,13.0,Trent Grisham flies out to left fielder Travis Jankowski.,R,L,R,NYY,TB,X,7,fly_ball,1,2,2025,0.41,0.02,-0.03,1.53,,678391.0,672724.0,2,7,Bot,81.69,120.54,,,,,0.771552385867826,-130.1979690656539,-4.115951766460326,4.574319959993007,24.52433500201832,-31.382193969491205,3.62,1.68,227.0,89.5,53.0,90.8,2286.0,6.8,778057,666163,666018,664040,678554,670764,608671,802415,670224,53.66,0.014,0.017,0.0,1.0,0,0,3.0,70,4,Slider,2,7,2,7,7,2,2,7,Infield shade,Standard,123.0,-0.016,-0.191,71.6,8.2,0.023,0.191,89.5,-5,-5,0.031,0.031,28,28,29,29,1,3,2.0,1.0,3.0,1.0,2.81,-0.41,0.41,45.8,10.938704188386469,-3.6501094042619098,33.630720247340534,39.92779690586547,25.454599047330053
FF,2025-05-04,97.5,-1.66,6.26,"Jankowski, Travis",641355,671737,field_out,hit_into_play,,,,,6.0,Cody Bellinger flies out to left fielder Travis Jankowski.,R,L,R,NYY,TB,X,7,fly_ball,1,2,2025,-0.86,1.64,0.67,2.98,,,663757.0,1,1,Bot,101.26,114.82,,,,,8.237684115153083,-141.6515066415716,-7.040200714527349,-13.45694149936047,33.35287218364147,-8.705343381610742,3.9,1.81,222.0,75.0,50.0,97.3,2371.0,6.3,778057,666163,666018,664040,678554,670764,608671,802415,670224,54.19,0.086,0.087,0.0,1.0,0,0,3.0,8,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,203.0,-0.028,-0.179,63.2,6.8,0.117,0.179,88.0,0,0,0.55,0.55,24,29,24,30,1,0,5.0,1.0,6.0,1.0,0.78,0.86,-0.86,53.1,13.288939895970971,4.092891282568636,32.31566219994169,20.586618355797107,24.19711902929918
SI,2025-05-04,94.0,-1.46,5.98,"Jankowski, Travis",502671,669438,single,hit_into_play,,,,,4.0,Paul Goldschmidt singles on a line drive to left fielder Travis Jankowski. Aaron Judge scores. Cody Bellinger to 2nd.,R,R,R,NYY,TB,X,7,line_drive,2,2,2025,-1.34,0.42,-0.29,2.71,,592450.0,641355.0,0,8,Bot,82.95,83.22,,,,,5.96544744159197,-136.72634361862706,-3.6658704268544486,-18.11070211338389,30.488646258631675,-26.254668026824334,3.54,1.59,277.0,95.5,18.0,93.8,2188.0,6.2,778057,666163,666018,664040,678554,670764,608671,802415,670224,54.3,0.466,0.45,0.9,1.0,1,0,4.0,77,5,Sinker,2,7,2,7,7,3,3,7,Standard,Standard,220.0,0.056,0.522,74.1,7.4,0.615,-0.522,95.5,-5,-5,0.062,0.062,25,37,26,38,1,3,4.0,1.0,2.0,1.0,2.16,1.34,1.34,38.6,14.393171600323477,-1.3778406488088175,32.42217759298103,36.69559274338928,20.32911150902229
KC,2025-05-01,82.4,-1.16,5.73,"Jankowski, Travis",666023,669358,single,hit_into_play,,,,,8.0,Freddy Fermin singles on a sharp line drive to left fielder Travis Jankowski. Mark Canha to 2nd.,R,R,R,TB,KC,X,7,line_drive,1,1,2025,0.68,-0.99,0.25,2.02,,,592192.0,1,6,Top,104.34,108.67,,,,,1.888334530450636,-120.06976171336028,0.0221933453260865,6.211366359779901,24.026955427449824,-41.91956755287799,3.28,1.52,166.0,100.8,9.0,82.7,2649.0,6.5,778097,666163,666018,664040,691406,676609,608671,802415,670224,54.02,0.657,0.606,0.9,1.0,1,0,4.0,44,3,Knuckle Curve,1,4,4,1,4,1,4,1,Standard,Standard,42.0,-0.015,0.428,68.1,7.4,0.734,-0.428,100.8,-3,3,0.127,0.873,26,30,26,30,3,2,6.0,2.0,6.0,1.0,4.34,-0.68,-0.68,37.3,6.208655490977612,-0.0061684624916131,34.604374518693376,37.46884498568248,29.971304086938208
FF,2025-05-01,97.5,-1.4,5.57,"Jankowski, Travis",686469,669358,double,hit_into_play,,,,,1.0,Vinnie Pasquantino doubles (4) on a sharp fly ball to left fielder Travis Jankowski.,R,L,R,TB,KC,X,7,fly_ball,0,0,2025,-0.81,1.23,-0.45,3.11,,,,2,5,Top,99.38,49.39,,,,,4.433537155720424,-141.93092117038853,-3.981888481080393,-11.952031424630986,30.233721191987858,-14.777093555850218,3.5,1.63,376.0,102.2,23.0,98.2,2519.0,6.5,778097,666163,666018,664040,691406,676609,608671,802415,670224,54.01,0.62,0.933,1.25,1.0,1,1,6.0,36,1,4-Seam Fastball,1,3,3,1,3,1,3,1,Infield shade,Standard,219.0,-0.019,0.58,69.1,7.0,1.643,-0.58,102.2,-2,2,0.269,0.731,26,27,26,28,3,2,6.0,1.0,6.0,1.0,1.15,0.81,-0.81,34.3,3.010364297865125,8.451493030228882,22.03192921988118,47.13837280830812,23.49506789735865
FF,2025-05-01,97.9,1.33,5.91,"Jankowski, Travis",686681,682254,field_out,hit_into_play,,,,,5.0,Michael Massey flies out to left fielder Travis Jankowski.,R,L,L,TB,KC,X,7,fly_ball,1,0,2025,0.42,1.52,0.03,2.77,,686469.0,672580.0,2,8,Top,69.48,89.32,,,,,-4.495002072017795,-142.58107540037562,-6.585225246774906,6.753376754530416,28.761387169072723,-10.10473612746327,3.48,1.58,306.0,91.2,34.0,99.0,2171.0,6.6,778097,666163,666018,664040,691406,676609,608671,802415,670224,53.94,0.029,0.038,0.0,1.0,0,0,3.0,68,2,4-Seam Fastball,2,8,8,2,8,2,8,2,Infield shade,Standard,158.0,0.002,-0.308,69.5,6.6,0.066,0.308,91.2,-6,6,0.007,0.993,25,27,25,27,1,4,4.0,2.0,1.0,1.0,0.83,0.42,0.42,56.8,6.483375877728087,6.856869969022416,29.68872136357436,36.316980406441374,21.76634070508169
FF,2025-05-01,96.1,-1.43,5.73,"Jankowski, Travis",686469,669358,field_out,hit_into_play,,,,,11.0,Vinnie Pasquantino flies out to left fielder Travis Jankowski.,R,L,R,TB,KC,X,7,fly_ball,2,0,2025,-0.9,1.23,-0.19,3.79,,,677951.0,1,1,Top,88.98,94.93,,,,,5.321610145844974,-139.9935570185653,-2.416808696766236,-12.95900837747037,27.210880696102333,-15.529446389739048,3.5,1.63,324.0,95.3,41.0,96.9,2377.0,6.4,778097,666163,666018,664040,691406,676609,608671,802415,670224,54.14,0.023,0.035,0.0,1.0,0,0,3.0,3,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,217.0,0.028,-0.359,68.2,6.5,0.072,0.359,95.3,0,0,0.497,0.503,26,27,26,28,1,0,6.0,1.0,6.0,1.0,1.2,0.9,-0.9,32.1,3.47971137557681,7.134233249401265,15.24449713555952,43.43051831191907,24.96634160994916
SL,2025-05-01,87.2,-0.43,5.53,"Jankowski, Travis",666023,685801,field_out,hit_into_play,,,,,5.0,Freddy Fermin flies out to left fielder Travis Jankowski.,R,R,R,TB,KC,X,7,fly_ball,0,1,2025,0.61,0.1,0.03,2.24,,,664728.0,0,9,Top,62.38,69.71,,,,,-0.1450340965424138,-127.18776898305988,-2.1033341770922425,6.690729323450046,20.868437633838575,-30.865863388697747,3.28,1.52,355.0,97.4,38.0,88.8,2355.0,6.7,778097,666163,666018,678554,691406,676609,608671,802415,670224,53.78,0.111,0.194,0.0,1.0,0,0,3.0,75,2,Slider,2,8,8,2,8,2,8,2,Standard,Standard,118.0,0.0,-0.2,71.2,7.8,0.387,0.2,97.4,-6,6,0.002,0.998,27,30,27,30,1,4,1.0,2.0,,1.0,2.83,-0.61,-0.61,52.0,16.676858521975156,-15.832946369838174,34.55262451905508,35.116424875977884,42.73511187818247
