pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2025-09-22,77.9,-1.05,6.92,"Johnson, Bryce",668930,601713,field_out,hit_into_play,,,,,2.0,Brice Turang flies out to left fielder Bryce Johnson.,R,L,R,SD,MIL,X,7,fly_ball,1,1,2025,0.72,-1.11,0.02,2.99,,,,2,1,Top,51.52,111.38,,,,,0.9634478746135152,-113.52606041180736,0.4657886148926902,6.045268126283728,21.040325214934523,-42.02755444476275,3.49,1.66,285.0,87.4,30.0,78.3,2759.0,6.5,776222,553869,650333,630105,592518,578428,669369,701538,656811,54.0,0.046,0.057,0.0,1.0,0,0,3.0,3,3,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,25.0,0.01,-0.245,64.3,6.0,0.091,0.245,88.0,0,0,0.537,0.463,32,25,32,26,1,0,5.0,1.0,8.0,1.0,4.85,-0.72,0.72,60.6,2.4785659106258926,17.145089928140653,29.52648819720944,32.02071707922606,28.943632025801985
FF,2025-09-22,100.3,-1.87,6.29,"Johnson, Bryce",592885,663158,field_out,hit_into_play,,,,,1.0,Christian Yelich lines out sharply to left fielder Bryce Johnson.,R,L,R,SD,MIL,X,7,line_drive,1,2,2025,-0.69,1.43,-0.7,2.92,,,,0,9,Top,53.61,114.66,,,,,4.895266665319201,-145.83880816052343,-7.326330816316359,-11.049070792260386,36.91881722434494,-10.30298514788639,3.3,1.74,276.0,105.4,15.0,100.4,2395.0,6.6,776222,666023,650333,630105,592518,578428,669369,701538,656811,53.91,0.671,0.734,0.0,1.0,0,0,5.0,70,5,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,206.0,0.058,-0.19,70.0,7.1,1.065,0.19,105.4,0,0,0.5,0.5,34,33,34,34,1,4,1.0,1.0,5.0,1.0,0.86,0.69,-0.69,43.7,1.8751355701866297,25.641838989760416,29.27558186891066,47.15363839153805,13.97451358018787
SI,2025-08-11,100.8,-1.35,6.3,"Johnson, Bryce",642086,663158,field_out,hit_into_play,,,,,4.0,Dominic Smith flies out to left fielder Bryce Johnson.,R,L,R,SF,SD,X,7,fly_ball,2,2,2025,-1.06,1.31,-0.51,2.39,,,,2,9,Bot,73.29,128.29,,,,,4.873862806918351,-146.4809984726718,-8.695886618487442,-16.413461468065922,34.22542975700123,-11.426482802639988,3.25,1.52,221.0,70.7,46.0,101.5,2368.0,6.7,776780,666023,650333,630105,592518,593428,669369,701538,665487,53.8,0.223,0.209,0.0,1.0,0,0,3.0,70,10,Sinker,1,4,1,4,4,1,1,4,Infield shade,Standard,206.0,-0.005,-0.224,65.4,6.5,0.264,0.224,88.0,-3,-3,0.005,0.005,34,30,34,30,1,3,2.0,2.0,1.0,1.0,0.94,1.06,-1.06,44.6,7.881232446623844,-0.4503986888502197,31.09956418538977,40.68937758212407,29.27616512311341
FS,2025-08-11,83.6,-0.63,5.82,"Johnson, Bryce",642086,669093,field_out,hit_into_play,,,,,4.0,Dominic Smith flies out to left fielder Bryce Johnson.,R,L,R,SF,SD,X,7,fly_ball,0,2,2025,-0.94,0.89,-0.71,2.49,,,,0,7,Bot,81.06,121.65,,,,,1.6842798942852728,-121.79157889794148,-3.124753090502642,-9.725563574254664,21.102976828685183,-22.921727199571052,3.25,1.52,224.0,76.8,47.0,85.1,1467.0,7.0,776780,666023,650333,630105,592518,593428,669369,701538,665487,53.54,0.071,0.064,0.0,1.0,0,0,3.0,54,4,Split-Finger,1,4,1,4,4,1,1,4,Infield shade,Standard,230.0,-0.027,-0.165,57.0,7.0,0.078,0.165,88.0,-3,-3,0.118,0.118,26,30,27,30,1,2,2.0,2.0,4.0,1.0,2.34,0.94,-0.94,60.2,16.683054957479943,7.510846515029365,28.815767232356404,43.03008784076422,31.63101993609908
SI,2025-07-30,92.3,-2.99,4.99,"Johnson, Bryce",643446,506433,field_out,hit_into_play,,,,,7.0,Jeff McNeil flies out to left fielder Bryce Johnson.,R,L,R,SD,NYM,X,7,fly_ball,0,1,2025,-1.54,0.58,-0.56,1.97,,,,2,7,Top,79.4,118.0,,,,,9.590726960297197,-133.8680422475012,-2.989842386862402,-20.71199965957779,34.093934924310176,-24.78801337892628,3.6,1.74,234.0,86.1,48.0,92.2,2257.0,6.8,776931,455117,650333,630105,592518,578428,669369,701538,665487,53.67,0.003,0.003,0.0,1.0,0,0,3.0,55,2,Sinker,4,0,0,4,0,4,0,4,Strategic,Standard,236.0,0.004,-0.218,71.4,7.9,0.003,0.218,88.0,4,-4,0.97,0.03,38,33,39,33,3,2,6.0,1.0,6.0,2.0,2.16,1.54,-1.54,21.8,9.905445104083835,1.100158753231689,37.62022164573125,38.87670693824893,28.60774071411767
FF,2025-07-29,93.4,-1.61,5.92,"Johnson, Bryce",607043,686701,field_out,hit_into_play,,,,,11.0,Brandon Nimmo flies out to left fielder Bryce Johnson.,R,L,R,SD,NYM,X,7,fly_ball,0,2,2025,-0.75,1.67,-0.01,3.79,,,620443.0,1,3,Top,70.51,129.92,,,,,5.7640613912579015,-135.85769463664752,-3.33093822007128,-10.626528465411102,33.21290460743323,-11.072700233678786,3.66,1.78,222.0,87.0,56.0,92.8,2433.0,6.2,776947,553869,650333,630105,578428,593428,669369,701538,665487,54.26,0.009,0.008,0.0,1.0,0,0,3.0,19,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,209.0,0.033,-0.168,68.2,6.3,0.009,0.168,88.0,1,-1,0.614,0.386,25,32,25,32,2,1,18.0,1.0,7.0,1.0,0.97,0.75,-0.75,52.0,11.38599662911982,11.92129688429774,13.110330716709766,40.11209045513354,24.551663515051
SL,2025-07-28,89.8,-1.92,5.98,"Johnson, Bryce",683146,656302,sac_fly,hit_into_play,,,,,4.0,Brett Baty out on a sacrifice fly to left fielder Bryce Johnson. Jeff McNeil scores.,R,L,R,SD,NYM,X,7,line_drive,1,1,2025,0.32,-0.07,-0.64,3.0,643446.0,,668901.0,1,2,Top,60.6,88.69,,,,,2.4877561870467804,-130.67702678851538,-1.1940506937045527,3.105356024130532,29.65038784067463,-32.95916478628945,3.81,1.79,318.0,99.9,19.0,89.5,2974.0,6.3,776959,553869,650333,630105,592518,593428,669369,701538,665487,54.19,0.374,0.449,0.0,1.0,0,0,5.0,10,3,Slider,0,0,0,0,1,0,1,0,Infield shade,Standard,114.0,-0.017,-0.11,75.4,6.9,0.705,0.11,99.9,0,0,0.432,0.568,29,25,30,26,1,0,5.0,1.0,6.0,1.0,2.92,-0.32,0.32,45.6,5.844001776909539,17.76366685419823,29.70371756421289,45.87659544832022,21.25686756212918
ST,2025-07-28,79.6,-1.17,6.12,"Johnson, Bryce",668901,592094,field_out,hit_into_play,,,,,8.0,Mark Vientos flies out to left fielder Bryce Johnson.,R,R,R,SD,NYM,X,7,fly_ball,2,2,2025,1.15,0.19,0.14,2.07,,,,1,8,Top,87.76,97.03,,,,,0.7335629588561449,-116.01607025108416,-2.5101416367627376,10.203846971260562,22.349332105637348,-30.191247116966675,3.65,1.69,271.0,95.8,51.0,79.6,2725.0,6.3,776959,553869,650333,630105,592518,593428,669369,701538,665487,54.23,0.009,0.013,0.0,1.0,0,0,3.0,70,6,Sweeper,6,5,5,6,5,6,5,6,Standard,Standard,47.0,0.039,-0.228,69.8,8.2,0.018,0.228,95.8,1,-1,0.807,0.193,33,25,34,26,1,3,2.0,2.0,2.0,1.0,3.4,-1.15,-1.15,34.5,21.69732401283374,-5.533573121404552,32.57654080327416,39.05164703024624,34.0050065352652
FS,2025-07-26,84.2,-0.42,5.62,"Johnson, Bryce",691026,669093,single,hit_into_play,,,,,6.0,Masyn Winn singles on a line drive to left fielder Bryce Johnson.,R,R,R,STL,SD,X,7,line_drive,0,2,2025,-0.46,1.02,0.39,2.64,,,,1,7,Bot,66.63,105.23,,,,,2.8455927285580085,-122.6622707334626,-2.62830541387945,-5.245756135481264,23.41537579417848,-21.589049374189752,3.41,1.58,242.0,84.3,17.0,85.7,1403.0,7.1,776992,455117,630105,578428,592518,593428,669369,701538,665487,53.38,0.966,0.905,0.9,1.0,1,0,4.0,55,4,Split-Finger,1,2,1,2,2,1,1,2,Standard,Standard,237.0,0.055,0.507,72.7,7.8,1.115,-0.507,88.0,-1,-1,0.305,0.305,26,23,27,23,1,2,2.0,1.0,2.0,1.0,2.18,0.46,0.46,65.8,13.444705283170157,-17.165054379803404,23.84374202681768,37.522916771426665,42.18647747504051
SI,2025-07-26,98.6,2.5,5.9,"Johnson, Bryce",676475,670970,single,hit_into_play,,,,,2.0,Alec Burleson singles on a line drive to left fielder Bryce Johnson.,R,L,L,STL,SD,X,7,line_drive,1,1,2025,1.34,0.87,0.12,3.24,,,,2,6,Bot,68.01,128.26,,,,,-9.607711381294187,-143.2924837596659,-3.832913429417823,20.70924348552252,32.58018078937513,-19.43458007653472,3.49,1.57,179.0,75.9,15.0,98.9,2381.0,6.5,776992,455117,630105,578428,592518,593428,669369,701538,665487,54.01,0.657,0.592,0.9,1.0,1,0,4.0,48,3,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,147.0,0.023,0.344,64.2,6.4,0.696,-0.344,88.0,-1,-1,0.319,0.319,26,26,26,27,1,2,5.0,1.0,2.0,1.0,1.47,1.34,1.34,42.8,-3.2090185071667428,22.467820227896507,27.37152471547599,33.11022878780451,18.61196455344268
