pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-09-21,89.0,-1.83,5.43,"Langford, Wyatt",681715,518876,single,hit_into_play,,,,,9.0,Heriberto Hernández singles on a line drive to left fielder Wyatt Langford. Otto Lopez scores.,R,R,R,TEX,MIA,X,7,line_drive,0,1,2025,-1.3,0.24,0.65,2.02,,672640.0,,2,4,Top,87.04,96.36,,,,,8.778922286806665,-129.23836782945236,-2.7599829020638347,-16.44397772048036,29.035925382520325,-29.10193552849096,3.22,1.49,273.0,93.3,17.0,88.3,2214.0,6.2,776226,641680,642133,683227,673962,677649,694671,680737,696030,54.33,0.689,0.664,0.9,1.0,1,0,4.0,27,2,Sinker,0,1,1,0,2,0,2,0,Standard,Standard,242.0,-0.105,0.712,72.4,8.5,0.865,-0.712,93.3,-1,1,0.386,0.614,36,25,37,26,2,1,5.0,1.0,,2.0,2.67,1.3,1.3,24.2,19.167244604503143,-7.165959404118786,27.7107346550549,43.93309236335561,39.47727720963013
FF,2025-09-21,91.9,-1.9,5.38,"Langford, Wyatt",672640,518876,double,hit_into_play,,,,,1.0,Otto Lopez doubles (20) on a sharp fly ball to left fielder Wyatt Langford. Xavier Edwards scores.,R,R,R,TEX,MIA,X,7,fly_ball,2,2,2025,-0.95,1.12,-0.63,2.92,669364.0,,,1,4,Top,29.58,90.11,,,,,5.243404881535632,-133.739701294099,-2.78541537439418,-12.554320561406422,30.47719175477508,-18.33846575939974,3.35,1.59,356.0,101.2,25.0,91.2,2434.0,6.0,776226,641680,642133,683227,673962,677649,694671,680737,696030,54.54,0.611,1.024,1.25,1.0,1,1,6.0,25,6,4-Seam Fastball,0,0,0,0,1,0,1,0,Strategic,Standard,233.0,-0.086,0.659,70.1,7.0,1.873,-0.659,101.2,0,0,0.437,0.563,36,26,37,27,2,1,5.0,1.0,,2.0,1.59,0.95,0.95,21.7,16.242962112576386,-17.836260376082013,28.36088465473266,30.112631919907333,33.79000139791662
FC,2025-09-21,90.5,-1.81,5.44,"Langford, Wyatt",689414,518876,field_out,hit_into_play,,,,,2.0,Liam Hicks flies out to left fielder Wyatt Langford.,R,L,R,TEX,MIA,X,7,fly_ball,2,1,2025,-0.21,0.94,-0.16,2.87,,669364.0,,0,4,Top,70.9,116.6,,,,,4.543826555924721,-131.73192001162957,-2.459018967816669,-3.3991677331026784,28.83176629139392,-20.871513974097947,3.31,1.55,247.0,75.1,37.0,90.0,2352.0,6.1,776226,641680,642133,683227,673962,677649,694671,680737,696030,54.44,0.151,0.142,0.0,1.0,0,0,3.0,24,4,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,223.0,0.051,-0.316,62.7,5.4,0.183,0.316,88.0,0,0,0.425,0.575,36,26,37,26,2,1,5.0,1.0,,2.0,1.84,0.21,-0.21,22.8,-4.981822378758319,14.48899026217622,28.63923053785401,35.95183428218445,25.01975392185088
CU,2025-09-16,81.7,-1.61,5.75,"Langford, Wyatt",673237,518876,double,hit_into_play,,,,,7.0,Yainer Diaz doubles (23) on a line drive to left fielder Wyatt Langford. Jake Meyers scores. Victor Caratini to 3rd.,R,R,R,HOU,TEX,X,7,line_drive,1,1,2025,0.73,-1.02,-0.55,1.42,,676694.0,605170.0,0,4,Bot,34.64,111.95,,,,,0.9848727254498116,-118.97741560928702,-1.1140536829850136,6.592199911145481,26.301974173189805,-41.79663168041923,3.14,1.47,309.0,97.8,22.0,80.7,2638.0,5.9,776301,543309,669394,683227,673962,669701,694671,680737,696030,54.62,0.351,0.447,1.25,1.0,1,1,5.0,33,3,Curveball,2,0,2,0,0,3,3,0,Infield shade,Standard,63.0,0.08,0.754,77.2,8.0,0.724,-0.754,97.8,2,2,0.848,0.848,36,26,37,27,2,1,6.0,1.0,5.0,1.0,4.48,-0.73,-0.73,29.3,18.24076849974992,-20.591739845824797,37.716497834330696,30.22363528827638,41.93439311884484
SL,2025-09-16,84.4,-1.78,5.7,"Langford, Wyatt",676694,518876,single,hit_into_play,,,,,9.0,Jake Meyers singles on a fly ball to left fielder Wyatt Langford.,R,R,R,HOU,TEX,X,7,fly_ball,0,0,2025,-0.05,0.46,0.32,2.08,,,,0,4,Bot,69.41,118.88,,,,,4.938273340275245,-122.73616819032311,-2.873350009354953,-1.5488359113391814,27.175282390100676,-27.145393566052626,3.47,1.61,221.0,69.8,28.0,83.2,2355.0,5.8,776301,543309,669394,683227,673962,669701,694671,680737,696030,54.67,0.977,0.899,0.9,1.0,1,0,4.0,31,1,Slider,2,0,2,0,0,2,2,0,Standard,Standard,158.0,0.023,0.439,65.4,8.0,1.045,-0.439,88.0,2,2,0.793,0.793,36,29,37,29,2,1,6.0,1.0,5.0,1.0,2.77,0.05,0.05,26.3,34.23588582802507,-12.676192650850318,28.87801045152284,42.28164435708652,42.28334695702766
CH,2025-09-16,89.6,-1.77,5.59,"Langford, Wyatt",673237,518876,field_out,hit_into_play,,,,,7.0,Yainer Diaz flies out to left fielder Wyatt Langford.,R,R,R,HOU,TEX,X,7,fly_ball,3,2,2025,-1.47,0.15,-0.44,1.65,,,605170.0,1,2,Bot,102.57,71.52,,,,,6.362282404111142,-130.12902510653296,-3.881112977327033,-18.09651588212548,31.98026130020604,-29.80367899216084,3.14,1.47,321.0,92.5,40.0,88.4,2298.0,6.0,776301,543309,669394,683227,673962,669701,694671,680737,696030,54.48,0.02,0.025,0.0,1.0,0,0,3.0,16,6,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,246.0,-0.024,-0.319,71.8,8.0,0.042,0.319,92.5,1,1,0.662,0.662,36,26,37,27,1,0,6.0,1.0,5.0,1.0,2.74,1.47,1.47,25.0,13.448151010929,-10.14403945520228,37.07760857552372,31.669477831890934,36.72243759908416
CU,2025-09-16,79.9,-2.16,6.62,"Langford, Wyatt",621043,605218,field_out,hit_into_play,,,,,14.0,Carlos Correa flies out to left fielder Wyatt Langford.,R,R,R,HOU,TEX,X,7,fly_ball,0,2,2025,0.71,-1.01,0.31,1.43,,701358.0,665161.0,0,6,Bot,106.48,104.39,,,,,4.128260899248812,-116.27736604264892,-2.72079849963787,5.511178491466807,25.205006058268594,-40.85173330831906,3.59,1.69,241.0,72.4,40.0,79.9,2238.0,6.7,776301,543309,669394,683227,673962,669701,694671,680737,696030,53.83,0.32,0.288,0.0,1.0,0,0,3.0,53,5,Curveball,6,1,6,1,1,6,6,1,Standard,Standard,22.0,-0.004,-0.157,68.6,8.3,0.363,0.157,88.0,5,5,0.984,0.984,33,30,34,31,1,3,1.0,1.0,,1.0,4.62,-0.71,-0.71,57.4,17.63067851898981,-18.33702968456571,41.28535632405428,41.97678161611462,40.32777209892806
FC,2025-09-16,90.3,-1.9,5.65,"Langford, Wyatt",514888,668390,single,hit_into_play,,,,,11.0,Jose Altuve singles on a sharp line drive to left fielder Wyatt Langford. Jesús Sánchez scores. Jeremy Peña to 2nd.,R,R,R,HOU,TEX,X,7,line_drive,2,1,2025,0.36,0.48,-0.22,3.02,660821.0,,665161.0,1,4,Bot,77.05,117.27,,,,,3.4450722283347432,-131.54956040448238,-1.633675858967427,3.4151108369764094,28.092754992055426,-26.42659447123153,2.83,1.28,156.0,105.9,9.0,91.1,2458.0,6.7,776301,543309,669394,683227,673962,669701,694671,680737,696030,53.77,0.734,0.708,0.9,1.0,1,0,4.0,37,4,Cutter,5,0,5,0,0,6,6,0,Standard,Standard,187.0,0.012,0.465,74.3,7.2,0.895,-0.465,105.9,5,5,0.964,0.964,25,35,26,35,1,2,2.0,1.0,3.0,1.0,2.31,-0.36,-0.36,43.5,17.476337342503207,-4.013554585246856,22.726752519953436,38.670712369275,31.798431853480903
SI,2025-09-16,93.8,-1.89,5.45,"Langford, Wyatt",514888,518876,sac_fly,hit_into_play,,,,,1.0,Jose Altuve out on a sacrifice fly to left fielder Wyatt Langford. Jeremy Peña scores.,R,R,R,HOU,TEX,X,7,fly_ball,1,0,2025,-1.34,0.58,-0.53,2.75,665161.0,621043.0,,0,1,Bot,71.92,80.41,,,,,6.40594210028066,-136.3600066087652,-2.4671132358716674,-18.15237155272206,33.28872234783304,-24.61331776004157,2.83,1.28,321.0,100.9,45.0,92.6,2340.0,5.9,776301,543309,669394,683227,673962,669701,694671,680737,696030,54.61,0.034,0.057,0.0,1.0,0,0,3.0,6,2,Sinker,0,0,0,0,0,1,1,0,Infield shade,Standard,235.0,-0.02,-0.227,75.8,7.4,0.115,0.227,100.9,0,0,0.686,0.686,36,35,37,35,1,0,6.0,1.0,5.0,1.0,2.04,1.34,1.34,20.0,16.633035860789825,-6.288180585418144,27.80865340941161,33.79302518248113,33.93781936149459
FF,2025-09-15,96.1,-1.33,5.58,"Langford, Wyatt",660821,683004,double,hit_into_play,,,,,8.0,Jesús Sánchez doubles (21) on a fly ball to left fielder Wyatt Langford.,R,L,R,HOU,TEX,X,7,fly_ball,3,0,2025,-0.83,1.23,0.21,1.94,,,,2,7,Bot,62.92,79.06,,,,,6.002233643230809,-139.56981131680675,-6.80742799952992,-12.266024109870608,36.085447182989775,-14.667506788496173,3.55,1.66,335.0,94.6,35.0,96.3,2430.0,6.8,776319,641680,669394,683227,673962,677649,694671,680737,666969,53.65,0.106,0.205,1.25,1.0,1,1,3.0,56,4,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,219.0,0.022,0.356,79.4,7.1,0.39,-0.356,94.6,1,1,0.762,0.762,25,27,25,28,3,2,6.0,1.0,5.0,1.0,1.27,0.83,-0.83,43.2,6.913087678668901,0.6430530986872596,38.02577172273285,32.54742747184228,29.84274245165722
