pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-14,94.6,-1.93,5.66,"McKinstry, Zach",686894,676684,field_out,hit_into_play,,,,,5.0,Joey Wiemer flies out sharply to left fielder Zach McKinstry.,R,R,R,MIA,DET,X,7,fly_ball,0,1,2025,-0.92,1.34,-0.21,2.37,,687859.0,681715.0,1,9,Bot,66.1,98.5,,,,,6.552573781665325,-137.4448257426669,-5.860146196985777,-13.158758317259272,31.721181341713283,-14.104336976375356,3.55,1.62,289.0,100.5,51.0,94.7,1983.0,6.5,776332,693307,679529,650402,628451,700242,656716,678009,672761,53.98,0.011,0.017,0.0,1.0,0,0,3.0,70,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,213.0,-0.103,-0.21,74.7,7.7,0.031,0.21,100.5,-2,-2,0.193,0.193,30,26,30,26,1,0,1.0,2.0,2.0,2.0,1.23,0.92,0.92,52.1,15.48375499009721,-8.143154620016334,28.73058099360106,33.71809759282404,39.08769612293474
FF,2025-09-14,92.8,-2.12,5.79,"McKinstry, Zach",805300,592454,single,hit_into_play,,,,,5.0,Jakob Marsee singles on a line drive to left fielder Zach McKinstry.,R,L,R,MIA,DET,X,7,line_drive,0,1,2025,-0.39,1.23,0.14,2.57,,,,1,8,Bot,65.35,129.25,,,,,6.688042016621956,-134.856465032753,-5.174418552628534,-6.2805631900730505,30.549205596091426,-16.177205645352565,3.39,1.55,124.0,81.1,7.0,93.6,2051.0,6.9,776332,693307,679529,650402,690993,700242,656716,678009,672761,53.56,0.334,0.328,0.9,1.0,1,0,2.0,59,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,206.0,0.052,0.454,67.6,5.9,0.402,-0.454,88.0,-2,-2,0.115,0.115,35,24,36,24,1,3,1.0,1.0,3.0,2.0,1.43,0.39,-0.39,46.2,-8.444329345203391,16.084216050911607,37.96680781184898,34.4126666786284,14.46344524821574
CH,2025-07-19,85.2,-2.28,5.78,"McKinstry, Zach",543309,672456,single,hit_into_play,,,,,5.0,Kyle Higashioka singles on a sharp line drive to left fielder Zach McKinstry.,R,R,R,TEX,DET,X,7,line_drive,2,1,2025,-1.45,0.61,-0.16,2.71,,,,0,5,Bot,66.0,120.0,,,,,7.886995005076879,-123.76857857567872,-2.06060589915689,-16.465654797032272,26.190997653886857,-25.738876305189564,3.5,1.68,155.0,103.8,9.0,84.9,2076.0,6.3,777088,668670,679529,650402,690993,700242,656716,678009,672761,54.16,0.76,0.736,0.9,1.0,1,0,4.0,35,4,Changeup,3,0,3,0,0,3,3,0,Infield shade,Standard,226.0,0.013,0.393,75.3,7.6,0.928,-0.393,103.8,3,3,0.892,0.892,24,35,25,35,2,1,7.0,1.0,6.0,1.0,2.56,1.45,1.45,36.9,21.571868745089173,-17.193289885216643,29.33326767634661,32.155107865571644,35.727693901370394
CH,2025-07-19,87.7,-2.13,5.82,"McKinstry, Zach",543309,672456,field_out,hit_into_play,,,,,4.0,Kyle Higashioka flies out to left fielder Zach McKinstry.,R,R,R,TEX,DET,X,7,fly_ball,0,2,2025,-1.41,0.57,-0.71,2.76,,,,1,2,Bot,76.02,77.74,,,,,6.333336934308839,-127.4843448508135,-2.40977729023012,-16.685367430032066,27.17457465358595,-25.71630933482995,3.5,1.68,325.0,88.3,37.0,87.5,2081.0,6.3,777088,668670,679529,650402,690993,700242,656716,678009,672761,54.18,0.026,0.039,0.0,1.0,0,0,3.0,15,3,Changeup,3,0,3,0,0,3,3,0,Infield shade,Standard,223.0,-0.008,-0.163,77.4,7.0,0.065,0.163,88.3,3,3,0.818,0.818,24,35,25,35,1,0,7.0,1.0,6.0,1.0,2.41,1.41,1.41,39.0,9.88020845569256,-17.11340956313682,32.80251484559537,25.70421324604608,28.184315609336284
CH,2025-07-19,85.3,-2.42,5.67,"McKinstry, Zach",669701,672456,field_out,hit_into_play,,,,,6.0,Josh Smith flies out to left fielder Zach McKinstry.,R,L,R,TEX,DET,X,7,fly_ball,0,1,2025,-1.31,0.49,0.31,2.41,,,,0,1,Bot,72.35,80.43,,,,,8.96374881167938,-123.88004761960065,-2.3607525938089897,-15.289365151545445,23.643023246823727,-26.815077070499964,3.17,1.48,323.0,89.3,32.0,84.7,1966.0,5.9,777088,668670,679529,650402,690993,700242,656716,678009,672761,54.62,0.029,0.031,0.0,1.0,0,0,3.0,5,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,233.0,-0.021,-0.22,68.2,6.1,0.052,0.22,89.3,0,0,0.547,0.547,24,27,25,28,1,0,7.0,1.0,6.0,2.0,2.64,1.31,-1.31,34.5,3.4558612283375,-5.0324683416348925,38.84124448483574,32.15769977949269,28.329814316863036
SI,2025-07-19,92.5,-2.77,5.61,"McKinstry, Zach",543760,669724,field_out,hit_into_play,,,,,7.0,Marcus Semien flies out to left fielder Zach McKinstry.,R,R,R,TEX,DET,X,7,fly_ball,0,0,2025,-1.43,0.63,-0.71,1.85,,669701.0,608369.0,1,5,Bot,88.62,107.33,,,,,8.280021614552613,-134.37252047592125,-5.034689994258982,-19.22454925048027,31.808447123751947,-23.562355803837715,3.37,1.65,247.0,88.6,51.0,91.1,2119.0,5.8,777088,668670,679529,650402,690993,700242,656716,678009,672761,54.73,0.014,0.018,0.0,1.0,0,0,3.0,39,1,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,240.0,-0.009,-0.244,70.0,8.4,0.025,0.244,88.6,4,4,0.945,0.945,27,34,27,35,1,2,6.0,1.0,3.0,1.0,2.06,1.43,1.43,32.3,23.328913133518057,-12.420043095861734,46.05011710014564,25.56336892482216,37.28347483154983
FF,2025-06-22,95.1,-2.55,5.66,"McKinstry, Zach",642136,669724,field_out,hit_into_play,,,,,11.0,Matt Thaiss flies out to left fielder Zach McKinstry.,R,L,R,TB,DET,X,7,fly_ball,2,1,2025,-0.86,0.81,-0.85,2.57,663968.0,678554.0,676609.0,0,9,Bot,58.76,133.06,,,,,6.355521953870451,-138.35951115974223,-4.257565773013239,-12.469991482278344,30.843616987863527,-20.96283509196625,3.28,1.51,233.0,78.5,46.0,94.6,2029.0,6.0,777409,693307,679529,650402,595879,700242,656716,678009,672761,54.48,0.04,0.037,0.0,1.0,0,0,3.0,76,4,4-Seam Fastball,1,9,1,9,9,1,1,9,Standard,Standard,240.0,-0.004,-0.236,69.5,7.2,0.045,0.236,88.0,-8,-8,0.006,0.006,27,30,27,30,1,3,2.0,2.0,4.0,4.0,1.71,0.86,-0.86,30.4,3.2997959262955265,12.080317984384855,23.420907863397847,46.30668334929396,25.13572061214159
CH,2025-06-19,86.6,-2.08,5.59,"McKinstry, Zach",457705,672456,field_out,hit_into_play,,,,,4.0,Andrew McCutchen flies out to left fielder Zach McKinstry.,R,R,R,DET,PIT,X,7,fly_ball,0,1,2025,-1.09,0.64,-0.29,2.77,,,,0,5,Top,75.13,96.92,,,,,6.512931503508825,-125.88170188684728,-1.791398782455433,-12.931514329663704,27.38502330365681,-25.219148301901583,3.37,1.57,283.0,97.7,48.0,86.3,2201.0,6.3,777464,668670,679529,650402,690993,700242,656716,672761,681481,54.16,0.017,0.032,0.0,1.0,0,0,3.0,35,2,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,228.0,0.007,-0.22,78.9,7.8,0.052,0.22,97.7,-4,4,0.095,0.905,24,38,25,39,2,2,6.0,0.0,18.0,1.0,2.42,1.09,1.09,35.7,20.387423674089725,-9.32289076924135,32.90680255687998,35.63814729549313,31.139210493551065
FF,2025-06-05,94.5,-2.01,6.09,"McKinstry, Zach",700337,663554,field_out,hit_into_play,,,,,9.0,Edgar Quero lines out to left fielder Zach McKinstry.,R,L,R,CWS,DET,X,7,line_drive,0,0,2025,-0.87,1.33,0.44,2.04,,,805367.0,2,4,Bot,85.83,99.78,,,,,8.403636187013758,-137.2362858179019,-7.887610091374481,-12.841287409791,30.77033365419556,-13.8132390850147,3.32,1.53,268.0,88.4,21.0,95.4,2124.0,7.0,777634,668670,679529,650402,595879,700242,656716,678009,672761,53.52,0.394,0.394,0.0,1.0,0,0,3.0,35,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,213.0,-0.015,-0.272,66.0,6.4,0.54,0.272,88.4,2,2,0.776,0.776,28,22,28,22,3,2,6.0,2.0,6.0,2.0,1.24,0.87,-0.87,47.8,-1.9355345293905395,11.5702669517773,34.1099360841107,32.67953597673749,24.93895073494148
SI,2025-06-05,93.7,-2.06,6.04,"McKinstry, Zach",643565,663554,sac_fly,hit_into_play,,,,,2.0,Mike Tauchman out on a sacrifice fly to left fielder Zach McKinstry. Josh Rojas scores.,R,L,R,CWS,DET,X,7,fly_ball,0,1,2025,-1.03,1.3,0.18,3.06,668942.0,572191.0,,1,4,Bot,64.71,105.12,,,,,8.125217475894733,-136.0486187618271,-4.798780939432956,-14.70113894698476,32.143057372670256,-15.135316410670896,3.57,1.66,279.0,86.0,37.0,94.0,2238.0,6.8,777634,668670,679529,650402,595879,700242,656716,678009,672761,53.74,0.014,0.017,0.0,1.0,0,0,3.0,33,2,Sinker,0,0,0,0,0,1,1,0,Strategic,Standard,217.0,0.012,-0.144,65.0,6.3,0.026,0.144,88.0,0,0,0.665,0.665,28,34,28,35,3,2,6.0,1.0,6.0,1.0,1.32,1.03,-1.03,43.5,5.4756437115943175,12.058798714139582,30.997770983510456,36.03463252838473,26.920050631123324
