pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-24,93.2,-2.99,5.84,"Springer, George",608324,453286,field_out,hit_into_play,,,,,5.0,Alex Bregman flies out sharply to left fielder George Springer.,R,R,R,TOR,BOS,X,7,fly_ball,0,0,2025,-0.62,1.59,-0.15,2.47,,,596115.0,2,2,Top,65.95,89.32,,,,,8.630501021945594,-135.30214598763206,-6.3046780039875605,-9.514057245465176,31.15623904640993,-11.468668956861624,3.4,1.59,331.0,100.0,45.0,92.6,2333.0,6.2,776206,672386,665489,676914,643396,676391,543807,662139,664702,54.29,0.034,0.058,0.0,1.0,0,0,3.0,16,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,215.0,0.014,-0.272,74.5,7.4,0.11,0.272,100.0,-3,3,0.227,0.773,40,31,41,31,2,1,5.0,1.0,,1.0,1.06,0.62,0.62,36.7,15.460422350320028,-14.26404492197269,29.793508905905423,32.139187227785584,36.941868187860976
CH,2025-09-24,84.5,-3.21,5.58,"Springer, George",678882,453286,single,hit_into_play,,,,,7.0,Ceddanne Rafaela singles on a line drive to left fielder George Springer. Romy Gonzalez to 2nd.,R,R,R,TOR,BOS,X,7,line_drive,0,2,2025,-1.2,0.53,-0.71,1.66,,,663853.0,1,1,Top,64.74,116.55,,,,,8.205926902338836,-122.7114450522926,-3.7912622662341016,-13.760980219241912,25.36075332309965,-26.266034425679816,3.46,1.61,202.0,91.5,15.0,84.5,1296.0,6.5,776206,672386,665489,676914,643396,676391,543807,662139,664702,54.03,0.974,0.898,0.9,1.0,1,0,4.0,6,3,Changeup,0,3,3,0,3,0,3,0,Standard,Standard,240.0,-0.02,0.495,66.9,7.6,1.085,-0.495,91.5,-3,3,0.225,0.775,40,24,41,25,1,0,5.0,1.0,,1.0,2.69,1.2,1.2,30.3,13.327277202446494,-9.014134225305698,44.1722129251414,26.18519426627468,37.66826927871923
CU,2025-09-24,76.6,-2.9,5.9,"Springer, George",663853,453286,single,hit_into_play,,,,,14.0,Romy Gonzalez singles on a line drive to left fielder George Springer. Alex Bregman scores. Masataka Yoshida scores.,R,R,R,TOR,BOS,X,7,line_drive,1,1,2025,1.16,-0.26,0.27,1.59,608324.0,807799.0,,1,1,Top,79.74,102.21,,,,,4.57948442457138,-111.45090231879888,-1.5590652462463523,8.752907035121293,21.69440982249398,-34.2217494288524,3.62,1.75,204.0,77.1,17.0,76.4,2663.0,6.4,776206,672386,665489,676914,643396,676391,543807,662139,664702,54.14,0.946,0.853,0.9,1.0,1,0,4.0,5,3,Curveball,0,1,1,0,3,0,3,0,Strategic,Standard,58.0,-0.097,0.521,67.6,7.6,1.0,-0.521,88.0,-1,1,0.322,0.678,40,28,41,29,1,0,5.0,1.0,,1.0,4.17,-1.16,-1.16,39.7,6.861869961723044,-15.26961755885795,31.45090204080145,42.247588221195855,36.11589747740861
SL,2025-09-24,85.3,-3.22,5.73,"Springer, George",596115,453286,single,hit_into_play,,,,,13.0,Trevor Story singles on a line drive to left fielder George Springer.,R,R,R,TOR,BOS,X,7,line_drive,0,2,2025,0.21,0.23,-0.83,2.19,,,,1,1,Top,67.58,118.26,,,,,5.176402728612024,-124.18567416307866,-2.488919424098847,1.1600579008646783,24.47458551386205,-29.49624489756292,3.48,1.6,213.0,70.8,23.0,85.0,2109.0,6.1,776206,672386,665489,676914,643396,676391,543807,662139,664702,54.44,0.983,0.887,0.9,1.0,1,0,4.0,2,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,130.0,-0.025,0.507,78.0,7.7,1.036,-0.507,88.0,0,0,0.522,0.478,40,32,41,33,1,0,5.0,1.0,,1.0,2.89,-0.21,-0.21,32.1,0.1865444561819178,-17.00251843422728,39.92843728873571,29.166799085088098,36.21983901220096
FF,2025-09-17,97.0,-1.44,6.02,"Springer, George",700246,684320,double,hit_into_play,,,,,7.0,Carson Williams doubles (3) on a line drive to left fielder George Springer.,R,R,R,TB,TOR,X,7,line_drive,0,1,2025,-0.61,1.43,-0.79,2.14,,,,2,7,Bot,85.3,75.34,,,,,3.150166926230831,-141.07954059973963,-8.15015180531221,-8.911266782534781,30.118981587060343,-11.388316590047449,3.71,1.71,322.0,94.7,19.0,97.2,2564.0,6.3,776290,672386,664034,676914,643396,676391,543807,664702,680718,54.19,0.394,0.41,1.25,1.0,1,1,4.0,53,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,213.0,0.044,0.624,76.8,7.7,0.591,-0.624,94.7,0,0,0.52,0.52,28,22,28,22,1,2,1.0,2.0,2.0,1.0,0.98,0.61,0.61,45.1,11.525056892135764,-4.595293931473183,42.652769794050336,28.56029816722153,24.768384650534266
FF,2025-09-17,95.9,-2.05,5.72,"Springer, George",802415,592332,double,hit_into_play,,,,,11.0,Chandler Simpson doubles (12) on a line drive to left fielder George Springer.,R,L,R,TB,TOR,X,7,line_drive,0,2,2025,-0.9,1.31,-0.88,2.62,,,,0,1,Bot,52.68,127.1,,,,,5.166205201270766,-139.47394044266707,-5.578887209640071,-12.907205402984838,31.75437263965113,-14.05729134794962,3.45,1.61,183.0,86.9,11.0,96.5,2329.0,6.7,776290,672386,664034,676914,643396,676391,543807,664702,680718,53.79,0.617,0.572,1.25,1.0,1,1,4.0,5,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,219.0,0.06,0.81,61.0,6.3,0.679,-0.81,88.0,0,0,0.547,0.547,34,24,34,25,1,0,6.0,1.0,6.0,1.0,1.18,0.9,-0.9,39.1,-4.141123231125287,22.5285893858027,27.736484449756272,50.66434376457865,11.25300645865233
KC,2025-09-03,88.9,-2.94,5.66,"Springer, George",680574,686973,double,hit_into_play,,,,,13.0,Matt McLain doubles (15) on a line drive to left fielder George Springer. Will Benson scores.,R,R,R,CIN,TOR,X,7,line_drive,0,2,2025,0.21,-0.44,-0.86,1.96,,666181.0,,2,8,Bot,63.23,118.25,,,,,4.726357996051844,-129.4143128802827,-2.1572242125628467,1.4099230977592172,26.299828552291515,-36.8792130552868,3.11,1.37,168.0,89.8,11.0,90.1,2335.0,7.0,776475,672386,664034,665926,676391,666182,543807,662139,664702,53.55,0.643,0.595,1.25,1.0,1,1,4.0,80,3,Knuckle Curve,8,12,8,12,12,9,9,12,Standard,Standard,46.0,0.032,1.001,73.0,6.9,0.697,-1.001,89.8,-4,-4,0.025,0.025,27,25,28,26,1,3,1.0,1.0,3.0,2.0,3.31,-0.21,-0.21,47.6,11.439092063302098,-3.4567609295809505,36.80327822390516,26.48722333940376,36.15201168600798
FS,2025-08-30,84.4,-2.48,5.67,"Springer, George",683734,592332,field_out,hit_into_play,,,,,7.0,Andrew Vaughn lines out sharply to left fielder George Springer.,R,R,R,TOR,MIL,X,7,line_drive,2,2,2025,-1.29,0.54,-0.46,1.67,,,686217.0,1,2,Top,83.46,109.89,,,,,7.312437879399033,-122.69679446908262,-4.052476071943052,-14.458024197084889,23.423984935578588,-26.09765701338218,3.19,1.49,323.0,109.5,15.0,85.2,1659.0,6.8,776527,672386,664034,665926,680718,666182,543807,664702,664770,53.7,0.674,0.776,0.0,1.0,0,0,6.0,9,5,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,234.0,0.029,-0.222,76.2,7.2,1.188,0.222,109.5,0,0,0.497,0.503,34,27,34,27,1,0,6.0,1.0,6.0,1.0,2.66,1.29,1.29,37.5,9.085338320450536,-7.743621642435354,41.6640287476254,29.307326867196377,30.554038744187608
CU,2025-08-26,70.6,-1.34,5.69,"Springer, George",668885,605135,field_out,hit_into_play,,,,,7.0,Austin Martin flies out to left fielder George Springer.,R,R,R,TOR,MIN,X,7,fly_ball,0,2,2025,1.52,-1.13,-0.65,2.02,,,,0,3,Top,46.89,117.36,,,,,-1.1813222816029605,-102.65778241903487,2.477548079035276,10.87917422823029,19.167155175139023,-40.82457014634163,3.38,1.63,280.0,77.3,31.0,70.3,2356.0,6.4,776582,672386,664034,665926,676391,666182,543807,664770,680718,54.15,0.154,0.139,0.0,1.0,0,0,3.0,21,3,Curveball,3,0,0,3,0,3,0,3,Standard,Standard,52.0,0.02,-0.165,67.2,7.5,0.172,0.165,88.0,3,-3,0.805,0.195,36,26,36,26,1,0,6.0,2.0,6.0,1.0,5.76,-1.52,-1.52,39.3,13.292421369848627,-28.476522306409887,47.17148253473913,25.603253701087404,39.80543216841083
ST,2025-08-25,77.0,3.17,5.02,"Springer, George",621439,677865,field_out,hit_into_play,,,,,9.0,Byron Buxton flies out to left fielder George Springer.,R,R,L,TOR,MIN,X,7,fly_ball,1,2,2025,-1.97,-0.29,0.63,2.04,,,681546.0,0,8,Top,48.48,106.33,,,,,-1.8137876077271675,-111.9094405628138,1.4413629896411244,-15.76696007587038,26.236583812681367,-35.16228822002854,3.44,1.58,298.0,85.0,36.0,77.0,2568.0,7.0,776596,672386,664034,665926,676391,666182,543807,662139,664770,53.47,0.011,0.012,0.0,1.0,0,0,3.0,63,4,Sweeper,10,4,4,10,4,10,4,10,Standard,Standard,302.0,0.006,-0.164,,,0.022,0.164,88.0,6,-6,0.987,0.013,28,31,28,32,1,3,28.0,1.0,2.0,2.0,4.24,-1.97,1.97,29.9,,,,,
