pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-08-17,98.0,-0.89,5.82,"Taylor, Michael A.",571912,691799,field_out,hit_into_play,,,,,4.0,Luke Maile flies out to left fielder Michael A. Taylor.,R,R,R,KC,CWS,X,7,fly_ball,2,0,2025,-0.38,1.38,-0.36,2.59,,,670231.0,2,7,Bot,100.21,55.56,,,,,2.340029429420566,-142.6979429764497,-6.585579706471723,-5.72947822193416,29.894688176132323,-11.987750100282511,3.26,1.56,360.0,98.3,40.0,100.1,2437.0,7.2,776702,700337,672820,805367,678246,695657,572191,681460,643565,53.27,0.091,0.171,0.0,1.0,0,0,3.0,59,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,196.0,-0.041,-0.355,71.9,6.6,0.334,0.355,98.3,0,0,0.541,0.541,23,34,23,34,1,2,6.0,7.0,1.0,1.0,0.97,0.38,0.38,56.9,13.34786261047209,-8.150879713841269,32.29453519873391,30.371874189394557,32.92135080115269
CU,2025-08-15,72.8,-0.22,6.37,"Taylor, Michael A.",521692,650644,double,hit_into_play,,,,,8.0,Salvador Perez doubles (29) on a sharp fly ball to left fielder Michael A. Taylor.,R,R,R,KC,CWS,X,7,fly_ball,1,2,2025,1.09,-1.44,0.17,2.01,,,,2,6,Bot,42.0,84.0,,,,,-1.0734112497204094,-105.92458896614188,1.1841219111329764,8.293680504696546,20.9649129945212,-43.39538248333249,3.67,1.71,368.0,110.1,21.0,71.3,3166.0,5.5,776728,700337,678246,805367,678554,695657,572191,673357,643565,55.01,0.957,1.735,1.25,1.0,1,1,6.0,47,4,Curveball,2,1,2,1,1,2,2,1,Standard,Standard,35.0,0.023,0.658,83.1,7.8,3.287,-0.658,110.1,1,1,0.71,0.71,30,35,30,35,3,2,7.0,2.0,7.0,1.0,5.8,-1.09,-1.09,50.8,13.162535552599248,5.745676873620748,35.93159748088766,38.99430044348743,37.283974780748224
FF,2025-08-15,92.6,-0.38,6.27,"Taylor, Michael A.",677951,650644,single,hit_into_play,,,,,12.0,Bobby Witt Jr. singles on a line drive to left fielder Michael A. Taylor.,R,R,R,KC,CWS,X,7,line_drive,1,0,2025,-0.45,1.63,0.56,3.66,,,,1,1,Bot,86.88,105.55,,,,,3.3586048469190977,-134.7218203843895,-4.311100271577882,-6.306371827164497,32.77543302606146,-11.6924738147258,3.53,1.66,253.0,98.8,14.0,90.8,2567.0,5.5,776728,700337,678246,805367,678554,695657,572191,673357,643565,55.05,0.854,0.805,0.9,1.0,1,0,4.0,6,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,204.0,0.024,0.376,78.7,7.1,1.01,-0.376,98.8,0,0,0.526,0.526,30,25,30,25,1,0,7.0,2.0,7.0,1.0,1.06,0.45,0.45,42.6,-5.685180124413056,-17.480556074000972,25.01969188717003,40.982891583307065,32.139882669040155
FS,2025-08-12,82.6,2.5,4.92,"Taylor, Michael A.",628451,656457,single,hit_into_play,,,,,12.0,Andy Ibáñez singles on a line drive to left fielder Michael A. Taylor.,R,R,L,CWS,DET,X,7,line_drive,2,2,2025,1.34,0.09,1.21,2.37,,,,0,7,Top,103.94,95.54,,,,,-5.485517611472294,-120.23005070223267,0.4796072554138968,14.031323126551603,22.55963014098563,-31.599949040242524,3.17,1.49,198.0,76.6,17.0,82.0,1535.0,5.8,776773,691019,678246,672820,678554,695657,572191,673357,643565,54.69,0.946,0.853,0.9,1.0,1,0,4.0,58,5,Split-Finger,6,1,1,6,1,6,1,6,Standard,Standard,110.0,-0.015,0.465,66.8,7.4,1.0,-0.465,88.0,5,-5,0.972,0.028,31,32,32,32,1,0,3.0,1.0,7.0,1.0,3.24,1.34,-1.34,10.8,7.516357168286555,-0.0267654680463426,23.99517103174209,48.63465028266783,30.278173960587427
FF,2025-08-11,88.8,4.07,4.91,"Taylor, Michael A.",663330,685126,double,hit_into_play,,,,,3.0,Jahmai Jones doubles (6) on a line drive to left fielder Michael A. Taylor.,R,R,L,CWS,DET,X,7,line_drive,3,2,2025,1.04,1.21,0.39,3.16,,,,2,9,Top,45.26,89.22,,,,,-11.319816634352213,-128.89680591819717,-0.7608290041943992,13.96956628285215,26.2261275846676,-18.664605050712822,3.46,1.64,219.0,110.8,11.0,89.7,1962.0,7.0,776781,691019,678554,672820,681460,695657,572191,673357,643565,53.54,0.943,0.98,1.25,1.0,1,1,5.0,61,7,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,135.0,-0.019,0.513,75.8,7.1,1.321,-0.513,110.8,-1,1,0.186,0.814,27,27,27,28,1,0,1.0,2.0,4.0,1.0,1.69,1.04,-1.04,26.6,14.336743187601863,-4.603308266927411,15.832623422344378,41.62264524373291,38.60873530798523
FF,2025-08-10,90.5,4.01,5.1,"Taylor, Michael A.",680757,685126,field_out,hit_into_play,,,,,11.0,Steven Kwan flies out to left fielder Michael A. Taylor.,R,L,L,CWS,CLE,X,7,fly_ball,1,2,2025,0.86,1.23,-0.01,3.77,677587.0,666310.0,,1,6,Top,84.37,112.91,,,,,-12.060295552416132,-131.2458033448072,0.014488973821184,12.41744399065591,26.837993195797477,-18.091279756712797,3.21,1.42,240.0,81.8,44.0,91.9,2089.0,7.3,776798,691019,678554,672820,668942,695657,572191,673357,643565,53.24,0.014,0.017,0.0,1.0,0,0,3.0,54,4,4-Seam Fastball,5,3,3,5,3,5,3,5,Standard,Standard,134.0,0.106,-0.065,60.7,5.4,0.028,0.065,88.0,2,-2,0.665,0.335,27,27,27,28,1,3,3.0,1.0,1.0,2.0,1.56,0.86,0.86,30.5,0.9905750911941164,9.359099296921912,18.151556560975827,32.06450614021896,28.333763248982297
CH,2025-08-10,84.2,4.02,4.93,"Taylor, Michael A.",681807,685126,double,hit_into_play,,,,,9.0,David Fry doubles (3) on a line drive to left fielder Michael A. Taylor. Gabriel Arias scores. Angel Martínez scores. Brayan Rocchio to 3rd.,R,R,L,CWS,CLE,X,7,line_drive,0,1,2025,1.09,0.13,0.73,1.73,672356.0,682657.0,677587.0,1,6,Top,65.51,128.29,,,,,-9.97530481619245,-122.2850874415686,-1.353946691393944,12.733556613860705,21.205297935847103,-30.84087296368236,3.47,1.62,232.0,80.3,23.0,86.1,1589.0,7.3,776798,691019,678554,672820,668942,695657,572191,673357,643565,53.17,0.646,0.598,1.25,1.0,1,1,4.0,53,2,Changeup,5,1,1,5,3,5,3,5,Standard,Standard,121.0,-0.174,0.727,69.1,8.5,0.736,-0.727,88.0,4,-4,0.839,0.161,27,29,27,30,1,0,3.0,4.0,1.0,4.0,3.07,1.09,-1.09,31.8,18.012307729051095,-13.319186740037225,32.533527946612935,49.925701874404886,36.13148189159565
FF,2025-08-09,93.6,-1.77,5.23,"Taylor, Michael A.",680757,682790,field_out,hit_into_play,,,,,1.0,Steven Kwan flies out to left fielder Michael A. Taylor.,R,L,R,CWS,CLE,X,7,fly_ball,0,2,2025,-0.83,1.37,-0.4,2.77,,,,2,9,Top,71.79,101.87,,,,,5.432287145302361,-136.0989179227332,-3.570534167789427,-11.628139708395569,34.470294219344794,-14.61303079916012,3.22,1.42,276.0,81.3,34.0,93.5,2517.0,6.6,776814,700337,678554,672820,681460,695657,572191,673357,643565,53.88,0.04,0.045,0.0,1.0,0,0,3.0,71,3,4-Seam Fastball,1,3,3,1,3,1,3,1,Strategic,Standard,225.0,0.003,-0.161,60.8,5.9,0.069,0.161,88.0,-2,2,0.084,0.916,23,27,23,28,1,4,1.0,1.0,13.0,1.0,1.26,0.83,-0.83,23.6,2.313854778023111,5.570820340091651,31.684267067985,34.62797382028618,27.63484681967149
FF,2025-08-08,91.6,-1.24,6.32,"Taylor, Michael A.",608070,650644,double,hit_into_play,,,,,11.0,José Ramírez doubles (22) on a fly ball to left fielder Michael A. Taylor. Daniel Schneemann to 3rd.,R,L,R,CWS,CLE,X,7,fly_ball,0,2,2025,-0.58,1.43,-0.92,3.4,,,682177.0,1,1,Top,57.06,118.24,,,,,2.024418371984265,-133.27977820944992,-4.492282485434126,-7.29963661790242,31.68403198133013,-14.412125127781437,3.42,1.57,233.0,71.9,35.0,90.3,2479.0,5.8,776833,691019,678554,672820,681460,695657,572191,673357,643565,54.73,0.454,0.423,1.25,1.0,1,1,3.0,3,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,210.0,-0.083,0.878,60.4,6.1,0.508,-0.878,88.0,0,0,0.497,0.503,30,32,30,33,1,0,6.0,2.0,7.0,1.0,1.31,0.58,-0.58,45.8,2.6891468062371917,19.73298861820017,17.851884310307693,38.92423079788054,18.0886705185269
SI,2025-08-08,93.7,-1.57,5.91,"Taylor, Michael A.",700932,678024,single,hit_into_play,,,,,7.0,Kyle Manzardo singles on a line drive to left fielder Michael A. Taylor. Daniel Schneemann to 3rd. José Ramírez to 2nd.,R,L,R,CWS,CLE,X,7,line_drive,0,1,2025,-0.84,0.48,-0.78,1.86,,682177.0,608070.0,1,4,Top,88.52,107.86,,,,,3.878486111751818,-136.3044641550827,-5.766678437204583,-11.32418829256369,30.83791309546768,-25.14780740040466,3.2,1.37,167.0,92.1,10.0,93.4,2181.0,6.2,776833,691019,678554,672820,681460,695657,572191,673357,643565,54.28,0.654,0.618,0.9,1.0,1,0,4.0,33,2,Sinker,1,8,8,1,8,1,8,1,Standard,Standard,222.0,-0.005,0.512,66.9,7.0,0.731,-0.512,92.1,-7,7,0.022,0.978,25,24,25,25,1,2,3.0,3.0,4.0,1.0,2.13,0.84,-0.84,25.9,6.19417446444467,16.549957368613732,38.69808288839766,47.80174250569073,23.75286125099285
