pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-04-15,86.3,-1.52,5.49,"Veen, Zac",621035,663372,single,hit_into_play,,,,,6.0,Chris Taylor singles on a sharp line drive to left fielder Zac Veen. Tommy Edman scores. Max Muncy to 2nd.,R,R,R,LAD,COL,X,7,line_drive,1,1,2025,0.53,0.02,0.54,2.81,,669242.0,571970.0,2,3,Bot,78.61,81.28,,,,,3.826159429023505,-125.64782065408087,-0.2233135249736793,4.839274921288148,25.00942097939815,-32.08275360895638,3.58,1.69,268.0,104.3,16.0,86.2,2431.0,6.1,778302,607732,571657,691182,641857,678662,691728,666160,605361,54.37,0.574,0.647,0.9,1.0,1,0,5.0,29,3,Slider,4,0,4,0,0,5,5,0,Standard,Standard,129.0,0.038,0.573,73.7,6.5,0.955,-0.573,104.3,4,4,0.9,0.9,28,34,29,35,2,1,5.0,3.0,7.0,12.0,3.03,-0.53,-0.53,41.8,9.445044262701613,1.3986040688067736,29.87414956387152,45.138772310783146,37.04558849900784
ST,2025-04-15,81.4,-1.34,5.47,"Veen, Zac",681624,663372,field_out,hit_into_play,,,,,9.0,Andy Pages flies out to left fielder Zac Veen.,R,R,R,LAD,COL,X,7,fly_ball,3,2,2025,1.4,-0.19,0.39,1.52,669242.0,,,2,2,Bot,68.82,62.13,,,,,1.1959584858209031,-118.5630339355353,-1.8625149917134876,12.845048590556663,24.38145550118256,-33.76479426272424,3.49,1.61,365.0,93.2,27.0,81.2,2621.0,6.3,778302,607732,571657,691182,641857,678662,691728,666160,605361,54.24,0.126,0.155,0.0,1.0,0,0,3.0,17,8,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,53.0,-0.034,-0.26,70.9,8.2,0.26,0.26,93.2,1,1,0.651,0.651,28,24,29,25,1,0,5.0,1.0,7.0,1.0,3.64,-1.4,-1.4,39.8,12.15976666164508,-11.888572166880785,43.123103879070975,40.87284584369492,41.60846460345937
FS,2025-04-15,90.8,-2.64,5.56,"Veen, Zac",669242,678020,field_out,hit_into_play,,,,,4.0,Tommy Edman flies out to left fielder Zac Veen.,R,L,R,LAD,COL,X,7,fly_ball,2,2,2025,-1.36,0.3,-0.78,2.37,518692.0,669257.0,571771.0,2,8,Bot,79.89,103.58,,,,,7.655027008964589,-132.039728282725,-2.778075340879425,-17.511845752391643,25.715301434277134,-28.26876861897911,3.35,1.49,264.0,85.2,46.0,92.1,1580.0,6.9,778302,607732,571657,691182,641857,678662,691728,666160,605361,53.59,0.014,0.021,0.0,1.0,0,0,3.0,76,5,Split-Finger,6,2,6,2,2,6,6,2,Standard,Standard,237.0,-0.003,-0.237,61.0,6.8,0.032,0.237,88.0,4,4,0.99,0.99,25,30,25,30,1,4,5.0,1.0,5.0,1.0,2.45,1.36,-1.36,35.9,6.017982636188091,5.356105240318152,20.99380509574996,43.64033047063461,25.87916367346324
SI,2025-04-15,91.4,1.75,5.55,"Veen, Zac",605141,518397,field_out,hit_into_play,,,,,4.0,Mookie Betts flies out to left fielder Zac Veen.,R,R,L,LAD,COL,X,7,fly_ball,1,0,2025,1.04,0.54,-0.47,2.23,,,681624.0,1,6,Bot,80.16,63.01,,,,,-7.814846421815593,-133.0099968341434,-3.725000231890497,13.905839064115264,24.769150160228683,-25.134052740358864,3.2,1.5,354.0,97.2,35.0,91.8,2278.0,6.2,778302,607732,571657,691182,641857,678662,691728,666160,605361,54.26,0.18,0.327,0.0,1.0,0,0,3.0,55,2,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,127.0,-0.009,-0.29,69.4,7.0,0.632,0.29,97.2,3,3,0.918,0.918,35,32,36,33,1,3,5.0,1.0,1.0,1.0,2.16,1.04,-1.04,33.5,11.5306867447653,-15.582019703405,37.137317309489056,30.873257512926628,37.88754340744546
CU,2025-04-15,76.0,-2.76,5.07,"Veen, Zac",571970,623474,field_out,hit_into_play,,,,,1.0,Max Muncy flies out sharply to left fielder Zac Veen.,R,L,R,LAD,COL,X,7,fly_ball,1,1,2025,1.33,0.13,-0.37,2.7,,624424.0,669242.0,1,7,Bot,86.85,86.61,,,,,2.591989296080026,-110.56262651873388,1.862697043693489,10.380661639463677,20.965444793906396,-31.65655454296012,3.2,1.53,295.0,100.6,47.0,74.8,3042.0,5.5,778302,607732,571657,691182,641857,678662,691728,666160,605361,54.96,0.02,0.032,0.0,1.0,0,0,3.0,65,3,Curveball,5,2,5,2,2,5,5,2,Standard,Standard,72.0,-0.009,-0.228,71.2,6.9,0.057,0.228,100.6,3,3,0.954,0.954,31,34,32,35,1,3,3.0,1.0,4.0,1.0,3.83,-1.33,1.33,5.5,21.362374754661843,5.652957186480301,32.969480842994926,41.65594099193164,34.634253414704354
ST,2025-04-15,82.4,-1.4,5.46,"Veen, Zac",605141,663372,field_out,hit_into_play,,,,,8.0,Mookie Betts flies out to left fielder Zac Veen.,R,R,R,LAD,COL,X,7,fly_ball,0,2,2025,1.25,0.49,0.12,1.95,,,,1,1,Bot,85.85,78.43,,,,,1.0449784408089955,-120.13179427201008,-2.4558026040471628,11.959294639415209,21.672302663918664,-27.19050585049144,3.2,1.5,314.0,94.2,40.0,82.4,2663.0,6.1,778302,607732,571657,691182,641857,678662,691728,666160,605361,54.44,0.031,0.043,0.0,1.0,0,0,3.0,6,3,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,56.0,-0.016,-0.163,69.4,7.4,0.082,0.163,94.2,0,0,0.526,0.526,28,32,29,33,1,0,5.0,1.0,7.0,1.0,2.84,-1.25,-1.25,42.5,16.175051006403358,-15.91406505190626,35.93878196374339,35.75204354171906,40.09235090741812
SI,2025-04-15,92.1,-2.28,5.36,"Veen, Zac",669242,623474,single,hit_into_play,,,,,4.0,Tommy Edman singles on a line drive to left fielder Zac Veen. Michael Conforto to 2nd.,R,L,R,LAD,COL,X,7,line_drive,0,0,2025,-1.54,0.13,-0.69,2.65,,,624424.0,1,7,Bot,81.8,78.59,,,,,7.211590278248826,-133.9432371104243,-1.293533640267185,-20.074251614573065,29.27794140702158,-30.536013047622333,3.35,1.49,249.0,98.5,13.0,90.2,2201.0,5.2,778302,607732,571657,691182,641857,678662,691728,666160,605361,55.32,0.94,0.906,0.9,1.0,1,0,4.0,64,1,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,245.0,0.008,0.407,66.4,6.3,1.155,-0.407,98.5,3,3,0.946,0.946,31,30,32,30,1,3,3.0,1.0,4.0,1.0,2.56,1.54,-1.54,12.1,0.9894785859393592,10.146570475725095,25.82658618144208,42.32974273490734,20.74901268980057
SL,2025-04-14,86.1,-2.63,6.13,"Veen, Zac",571771,622608,single,hit_into_play,,,,,4.0,Enrique Hernández singles on a line drive to left fielder Zac Veen. Max Muncy to 2nd.,R,R,R,LAD,COL,X,7,line_drive,2,2,2025,0.41,0.17,-0.46,2.88,,,571970.0,1,4,Bot,87.25,88.94,,,,,4.2978986019578285,-125.4427368660333,-1.876073246333284,3.506601067459759,23.33218622441897,-30.21156132309921,3.45,1.67,250.0,89.0,17.0,85.8,2259.0,5.8,778326,696100,669911,691182,641857,678662,691728,666160,605361,54.67,0.869,0.806,0.9,1.0,1,0,4.0,31,5,Slider,3,0,3,0,0,3,3,0,Standard,Standard,130.0,0.015,0.44,67.2,6.7,0.998,-0.44,89.0,3,3,0.869,0.869,30,33,30,34,2,1,5.0,1.0,6.0,1.0,2.88,-0.41,-0.41,41.1,13.239085593064834,-3.006172646807288,24.500013812512687,31.406557976562997,33.27805448960623
FF,2025-04-14,92.5,-2.69,6.0,"Veen, Zac",669242,622608,field_out,hit_into_play,,,,,1.0,Tommy Edman lines out sharply to left fielder Zac Veen.,R,L,R,LAD,COL,X,7,line_drive,2,0,2025,-0.57,1.03,-0.64,2.88,,,,0,4,Bot,57.65,81.53,,,,,6.422611653035897,-134.5565592516668,-4.398417133377619,-8.270234260027813,27.615735303546085,-18.86179794374025,3.33,1.49,336.0,100.3,19.0,92.3,2185.0,6.0,778326,696100,669911,691182,641857,678662,691728,666160,605361,54.45,0.374,0.449,0.0,1.0,0,0,5.0,29,3,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,213.0,-0.01,-0.378,68.0,6.2,0.705,0.378,100.3,3,3,0.868,0.868,30,30,30,30,2,1,5.0,1.0,6.0,1.0,1.62,0.57,-0.57,44.3,-3.099583472959896,13.734167181036334,22.476107916768385,39.501607618466615,19.9191675032902
SL,2025-04-14,88.7,-0.93,6.38,"Veen, Zac",681624,641755,field_out,hit_into_play,,,,,14.0,Andy Pages lines out to left fielder Zac Veen.,R,R,R,LAD,COL,X,7,line_drive,3,2,2025,-0.05,0.31,0.05,1.32,,,,2,7,Bot,58.65,115.24,,,,,2.492460205656694,-129.16349631595398,-6.944481097105399,-1.0496651302638529,26.0608301999754,-27.441784482637104,3.51,1.63,266.0,77.6,28.0,88.1,2391.0,5.8,778326,696100,669911,691182,641857,678662,691728,666160,605361,54.72,0.223,0.201,0.0,1.0,0,0,3.0,63,6,Slider,5,3,5,3,3,5,5,3,Standard,Standard,191.0,-0.006,-0.329,58.8,8.6,0.264,0.329,88.0,2,2,0.876,0.876,34,24,34,25,1,3,2.0,2.0,2.0,1.0,2.57,0.05,0.05,45.6,17.389260297759517,-14.988153715899998,46.83661816281362,38.2344616491492,42.390881255630745
