pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-08-27,94.2,-1.35,5.89,"Yelich, Christian",677950,607200,single,hit_into_play,,,,,4.0,"Alek Thomas singles on a sharp line drive to left fielder Christian Yelich. Pavin Smith out at home on the throw, left fielder Christian Yelich to catcher William Contreras. Adrian Del Castillo to 2nd.",R,L,R,MIL,AZ,X,7,line_drive,0,0,2025,-0.99,0.69,-0.79,2.39,,656976.0,680728.0,2,5,Top,60.63,115.55,,,,,3.686795782022378,-137.02767630730014,-4.895390309050723,-13.223597929654938,33.14278128194763,-22.578089159647742,3.27,1.43,186.0,101.0,8.0,94.8,1989.0,6.9,776572,661388,683734,668930,702332,655316,592885,663368,663604,53.64,0.651,0.62,0.9,1.0,1,0,4.0,32,1,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,198.0,0.062,0.543,66.1,6.5,0.77,-0.543,101.0,1,-1,0.651,0.349,32,25,32,25,2,1,5.0,1.0,10.0,1.0,1.9,0.99,-0.99,45.0,-0.7215577852050689,21.67327336504388,27.742212127009743,45.30988599844108,19.637932190853128
ST,2025-08-27,82.2,-1.86,5.39,"Yelich, Christian",543510,607200,field_out,hit_into_play,,,,,3.0,James McCann flies out to left fielder Christian Yelich.,R,R,R,MIL,AZ,X,7,fly_ball,1,1,2025,1.1,0.79,0.43,3.09,,,656976.0,1,5,Top,102.64,102.19,,,,,3.090879158218787,-119.64289857384668,-0.1871298674783601,9.943546130487531,23.548702131266385,-24.76900005564833,3.51,1.54,248.0,81.1,46.0,83.0,2465.0,6.8,776572,661388,683734,668930,702332,655316,592885,663368,663604,53.67,0.026,0.028,0.0,1.0,0,0,3.0,30,3,Sweeper,1,0,0,1,0,1,0,1,Standard,Standard,77.0,0.04,-0.235,71.1,6.9,0.038,0.235,88.0,1,-1,0.64,0.36,32,35,32,35,1,1,5.0,1.0,10.0,10.0,2.59,-1.1,-1.1,27.6,11.544760572127194,-14.148409225937678,26.394201296677945,39.75244108796699,44.380270254538615
SI,2025-08-27,93.3,-1.62,5.56,"Yelich, Christian",656976,607200,single,hit_into_play,,,,,3.0,Pavin Smith singles on a line drive to left fielder Christian Yelich.,R,L,R,MIL,AZ,X,7,line_drive,1,1,2025,-0.92,0.45,0.57,3.14,,,,1,5,Top,73.22,126.03,,,,,7.7199585473188765,-135.78790903196114,-1.4579724573188844,-13.04347984303334,28.5379846030852,-26.520736407068423,3.5,1.59,188.0,72.7,21.0,94.2,1934.0,6.7,776572,661388,683734,668930,702332,655316,592885,663368,663604,53.76,0.98,0.888,0.9,1.0,1,0,4.0,29,3,Sinker,1,0,0,1,0,1,0,1,Strategic,Standard,214.0,-0.036,0.426,65.1,5.8,1.044,-0.426,88.0,1,-1,0.676,0.324,32,29,32,29,1,1,5.0,1.0,10.0,,2.16,0.92,-0.92,32.3,-0.1211517741360958,22.98274523240857,26.59703727312358,32.68810904903005,16.84408513706123
CH,2025-08-27,89.8,0.52,6.36,"Yelich, Christian",672695,676879,field_out,hit_into_play,,,,,9.0,Geraldo Perdomo flies out to left fielder Christian Yelich.,R,R,L,MIL,AZ,X,7,fly_ball,1,2,2025,1.21,0.21,0.53,2.08,,,,0,1,Top,62.44,92.58,,,,,-2.4952898585956187,-130.87153762486702,-5.063061295944352,14.467094124521546,25.45834722093472,-28.916520516798528,3.54,1.63,306.0,88.2,40.0,88.5,1993.0,5.2,776572,661388,683734,668930,702332,655316,592885,663368,663604,55.25,0.006,0.007,0.0,1.0,0,0,3.0,1,6,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,136.0,0.022,-0.19,71.1,8.1,0.012,0.19,88.2,0,0,0.5,0.5,27,25,27,26,1,0,2.0,1.0,2.0,1.0,2.59,1.21,-1.21,49.9,13.354645115651593,-29.18837503427238,37.40571739007307,37.08566163125881,42.76131976340636
FF,2025-08-24,94.0,-1.24,5.38,"Yelich, Christian",808982,694477,field_out,hit_into_play,,,,,6.0,Jung Hoo Lee flies out to left fielder Christian Yelich.,R,L,R,MIL,SF,X,7,fly_ball,1,1,2025,-0.72,1.34,0.32,2.52,,,668800.0,2,2,Top,85.94,82.26,,,,,5.610247327343222,-136.7086521980298,-4.627648866281183,-10.224431196536187,29.96062510914249,-14.598422519119522,3.43,1.47,302.0,87.4,29.0,93.9,2344.0,6.3,776608,643376,683734,668930,702332,655316,592885,663604,686217,54.24,0.043,0.042,0.0,1.0,0,0,3.0,14,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,219.0,0.018,-0.257,65.2,7.1,0.07,0.257,88.0,-2,2,0.313,0.687,26,26,27,27,2,1,5.0,1.0,16.0,3.0,1.25,0.72,-0.72,30.5,-3.0200977596264544,-4.1557022063102735,45.02670825538969,26.17522537147562,25.45156149498548
FF,2025-08-24,94.3,-1.13,5.34,"Yelich, Christian",668800,571946,field_out,hit_into_play,,,,,5.0,Andrew Knizner flies out to left fielder Christian Yelich.,R,R,R,MIL,SF,X,7,fly_ball,0,0,2025,-0.72,1.54,0.15,2.5,,,,2,7,Top,64.66,94.42,,,,,5.005473965622612,-137.24543736228267,-5.163076942168793,-10.17087006883011,31.444551508714174,-11.825888533968406,3.27,1.49,316.0,83.1,37.0,95.8,2465.0,7.2,776608,643376,683734,668930,702332,655316,592885,663604,686217,53.28,0.014,0.02,0.0,1.0,0,0,3.0,56,1,4-Seam Fastball,3,2,2,3,2,3,2,3,Strategic,Standard,210.0,0.02,-0.261,73.0,7.7,0.032,0.261,88.0,1,-1,0.774,0.226,34,30,35,30,1,2,2.0,3.0,2.0,3.0,1.03,0.72,0.72,46.1,16.321121835533738,-13.391598390120471,21.17063537011108,35.443987835762314,46.45177289519243
FF,2025-08-19,91.8,-1.41,6.03,"Yelich, Christian",621020,605540,double,hit_into_play,,,,,5.0,Dansby Swanson doubles (17) on a sharp line drive to left fielder Christian Yelich.,R,R,R,CHC,MIL,X,7,line_drive,0,0,2025,-0.21,1.25,0.06,2.95,,,,2,4,Bot,79.55,61.26,,,,,4.176031184533629,-133.63231842926615,-4.699696156243004,-3.453547612262582,28.25181071819821,-16.31930541332321,3.62,1.68,359.0,107.9,20.0,92.2,2491.0,6.5,776676,643376,683734,668930,702332,687401,592885,686217,686555,54.01,0.86,1.331,1.25,1.0,1,1,6.0,34,1,4-Seam Fastball,2,1,2,1,1,2,2,1,Strategic,Standard,199.0,0.022,0.58,71.7,7.3,2.354,-0.58,107.9,1,1,0.655,0.655,32,31,32,31,2,1,6.0,0.0,6.0,1.0,1.44,0.21,0.21,41.8,14.475868680171429,-1.7912622608593962,34.226043052827904,38.14088719685064,33.19516207780323
CH,2025-08-19,92.4,0.5,6.44,"Yelich, Christian",621020,676879,single,hit_into_play,,,,,14.0,Dansby Swanson singles on a line drive to left fielder Christian Yelich.,R,R,L,CHC,MIL,X,7,line_drive,3,2,2025,0.95,0.28,0.24,1.32,,,,1,8,Bot,92.11,84.48,,,,,-2.6459969997893644,-134.4327297527389,-7.7309219582922495,12.04021472246242,28.932688536902997,-27.357551435428004,3.62,1.68,217.0,98.6,10.0,90.9,1789.0,5.4,776676,643376,683734,668930,678011,655316,592885,686217,686555,55.1,0.786,0.744,0.9,1.0,1,0,4.0,66,7,Changeup,4,1,4,1,1,4,4,1,Strategic,Standard,133.0,0.003,0.338,68.5,8.1,0.905,-0.338,98.6,3,3,0.972,0.972,27,31,27,31,2,3,3.0,0.0,3.0,1.0,2.39,0.95,-0.95,47.0,9.311676515587632,-2.5702610814963,40.49088666797701,39.12480035568737,30.79014961579396
FF,2025-08-19,93.7,-1.08,6.16,"Yelich, Christian",683357,605540,single,hit_into_play,,,,,3.0,Owen Caissie singles on a fly ball to left fielder Christian Yelich. Nico Hoerner scores.,R,L,R,CHC,MIL,X,7,fly_ball,3,2,2025,-0.41,1.51,0.5,3.06,,663538.0,,0,2,Bot,59.79,130.99,,,,,5.021987862729007,-136.43972833188147,-5.668602215898855,-6.196559122553829,27.52021318952125,-12.198223268008768,3.49,1.6,207.0,65.7,31.0,94.4,2336.0,6.5,776676,643376,683734,668930,702332,687401,592885,686217,686555,54.03,0.929,0.836,0.9,1.0,1,0,4.0,18,8,4-Seam Fastball,0,1,0,1,1,1,1,1,Standard,Standard,201.0,0.083,0.478,70.2,5.9,0.957,-0.478,88.0,-1,-1,0.505,0.505,32,22,32,23,1,0,6.0,0.0,6.0,1.0,1.06,0.41,-0.41,46.0,-5.311349666138774,13.985010202377442,33.506810447988286,32.91287063796313,24.4600651487926
CH,2025-08-19,91.1,0.77,6.44,"Yelich, Christian",807713,676879,triple,hit_into_play,,,,,6.0,Matt Shaw triples (2) on a fly ball to left fielder Christian Yelich.,R,R,L,CHC,MIL,X,7,fly_ball,0,0,2025,1.0,-0.02,0.31,2.53,,,,1,6,Bot,58.0,129.0,,,,,-3.234734114716236,-132.6423997486368,-3.858796479418898,12.538111884074944,27.310239793667662,-31.82404905283997,3.3,1.5,356.0,99.2,24.0,89.8,2177.0,5.4,776676,643376,683734,668930,702332,687401,592885,686217,686555,55.11,0.451,0.644,1.6,1.0,1,2,5.0,51,1,Changeup,3,1,3,1,1,3,3,1,Standard,Standard,140.0,0.045,1.073,68.4,7.7,1.093,-1.073,99.2,2,2,0.84,0.84,27,23,27,24,1,2,3.0,0.0,3.0,1.0,2.76,1.0,-1.0,52.7,16.070024108322954,-20.78196732066195,25.20504552466928,37.76772940541419,45.44969546163312
