pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-28,88.5,-2.28,4.53,"Abreu, Wilyer",672761,592254,field_out,hit_into_play,,,,,3.0,Wenceel Pérez flies out to right fielder Wilyer Abreu.,R,L,R,BOS,DET,X,9,fly_ball,1,1,2025,-0.66,1.16,0.46,3.21,,,,1,6,Top,180.69,92.34,,,,,8.141120364785987,-128.77653798397986,0.418625156253894,-8.927443044063809,25.22722637048645,-19.49612970727628,3.2,1.49,297.0,82.7,42.0,89.8,2290.0,6.9,776151,657136,663993,666152,686765,596115,680776,678882,677800,53.55,0.003,0.003,0.0,1.0,0,0,3.0,50,3,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shade,Strategic,210.0,0.026,-0.244,66.3,6.4,0.003,0.244,88.0,1,-1,0.703,0.297,32,25,33,26,3,2,,1.0,,2.0,1.74,0.66,-0.66,21.0,15.68747171033836,-9.593666898973094,31.537348676733966,26.42420366403853,31.089607886074177,1,137.3863515049184,263.3134831719922,5.08183129556468,139.62517063094506,251.89047565614598,11.640335552987356
FF,2025-09-28,89.5,-2.28,4.69,"Abreu, Wilyer",681481,592254,single,hit_into_play,,,,,3.0,Kerry Carpenter singles on a fly ball to right fielder Wilyer Abreu. Justyn-Henry Malloy to 2nd.,R,L,R,BOS,DET,X,9,fly_ball,0,0,2025,-0.4,1.1,0.7,3.16,,,669234.0,0,4,Top,158.19,102.09,,,,,8.265959690247186,-130.2585018305778,-0.1584710096339461,-6.180138199004004,24.34876046463364,-19.65912442577845,3.42,1.64,241.0,72.5,29.0,90.8,2077.0,6.8,776151,657136,663993,666152,686765,596115,680776,678882,677800,53.68,0.777,0.709,0.9,1.0,1,0,4.0,27,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Strategic,208.0,-0.07,0.47,66.2,6.2,0.831,-0.47,88.0,1,-1,0.582,0.418,32,27,33,28,2,1,,2.0,,2.0,1.71,0.4,-0.4,25.4,13.698521559503307,9.941120636693393,34.89591571147347,27.53973708708489,20.209030188275506,0,77.72481544025635,228.12245190857055,3.2617134901646496,139.62517063094506,251.89047565614598,66.30665822976403
CH,2025-09-28,83.2,-2.03,4.73,"Abreu, Wilyer",678009,592254,single,hit_into_play,,,,,8.0,Parker Meadows singles on a fly ball to right fielder Wilyer Abreu.,R,L,R,BOS,DET,X,9,fly_ball,3,2,2025,-1.4,0.33,-0.27,1.8,,,,2,3,Top,164.16,106.64,,,,,6.829721610301756,-121.06983606320344,-0.9391035888384744,-15.083403048465598,22.77871659970357,-28.944794984053097,3.45,1.69,249.0,71.3,35.0,83.9,1852.0,6.7,776151,657136,663993,666152,686765,596115,680776,678882,677800,53.84,0.611,0.559,0.9,1.0,1,0,3.0,20,7,Changeup,1,0,0,1,0,1,0,1,Infield shade,Standard,256.0,-0.014,0.26,67.2,7.7,0.653,-0.26,88.0,1,-1,0.661,0.339,32,25,33,26,2,1,,1.0,,2.0,2.95,1.4,-1.4,25.8,16.232433033856555,-10.710185489352948,37.338068803971474,37.90783744828588,47.14719315633076,0,96.96401501753076,229.34467465297743,3.7778886193845644,139.62517063094506,251.89047565614598,48.25232990381321
CH,2025-09-28,84.4,-2.23,4.77,"Abreu, Wilyer",672761,592254,single,hit_into_play,,,,,13.0,Wenceel Pérez singles on a line drive to right fielder Wilyer Abreu.,R,L,R,BOS,DET,X,9,line_drive,0,1,2025,-1.35,0.22,-1.29,1.83,,,,1,2,Top,183.9,119.56,,,,,4.861539515086193,-122.8592799628838,-0.9594530355920822,-14.61407363612094,22.48025087662615,-29.97027949789274,3.2,1.49,186.0,76.6,16.0,84.8,1817.0,6.4,776151,657136,663993,666152,686765,596115,680776,678882,677800,54.13,0.817,0.759,0.9,1.0,1,0,4.0,10,2,Changeup,1,0,0,1,0,1,0,1,Infield shade,Standard,256.0,-0.027,0.454,67.4,7.6,0.905,-0.454,88.0,1,-1,0.632,0.368,32,25,33,26,1,0,,1.0,,2.0,2.96,1.35,-1.35,23.4,12.80796859741818,-6.651611583512603,24.68840792982973,46.58892999053138,34.46578443829952,0,110.92813795708163,149.3015345178162,2.0174051646885967,139.62517063094506,251.89047565614598,106.52704130017165
SL,2025-09-28,83.4,-2.11,4.86,"Abreu, Wilyer",669234,592254,field_out,hit_into_play,,,,,8.0,Justyn-Henry Malloy flies out to right fielder Wilyer Abreu.,R,R,R,BOS,DET,X,9,fly_ball,1,1,2025,0.63,0.29,0.05,1.66,,,,2,1,Top,153.57,93.45,,,,,3.728439524430299,-121.52175704248064,-1.551281358378346,5.672219223007298,21.38611907635162,-29.215094373175347,3.48,1.65,272.0,90.9,48.0,83.9,2475.0,6.3,776151,657136,663993,666152,686765,596115,680776,678882,677800,54.17,0.001,0.0,0.0,1.0,0,0,3.0,3,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,120.0,0.01,-0.245,73.0,7.8,0.001,0.245,90.9,0,0,0.537,0.463,32,25,33,25,1,0,,2.0,,3.0,2.95,-0.63,-0.63,28.4,17.734114053009904,-7.985287774503211,42.32766191595248,36.4128138732264,35.10799343570126,1,70.5474011200993,262.69195685288844,6.188898307579289,139.62517063094506,251.89047565614598,69.9171669666121
FC,2025-09-28,90.1,-3.28,5.6,"Abreu, Wilyer",681481,677161,field_out,hit_into_play,,,,,2.0,Kerry Carpenter flies out sharply to right fielder Wilyer Abreu.,R,L,R,BOS,DET,X,9,fly_ball,1,1,2025,0.22,0.46,-0.11,3.45,,,,1,8,Top,189.03,112.82,,,,,7.461022871183951,-131.06852443430788,-0.3497717652369595,0.9580584550403864,27.7137936879676,-26.97282816934124,3.42,1.64,265.0,101.9,56.0,90.8,2492.0,6.8,776151,657136,663993,666152,681987,686765,680776,678882,677800,53.75,0.009,0.008,0.0,1.0,0,0,3.0,65,3,Cutter,4,3,3,4,3,4,3,4,Infield shade,Strategic,161.0,0.039,-0.244,74.7,7.7,0.015,0.244,101.9,1,-1,0.807,0.193,30,27,30,28,1,3,2.0,2.0,3.0,2.0,2.35,-0.22,0.22,33.5,23.385420568555386,-10.701216965068358,28.891704983840143,38.16883823085963,31.951380413975222,1,158.238755037693,212.56880392974173,7.726159006509807,139.62517063094506,251.89047565614598,43.50470539868336
FF,2025-09-27,93.2,2.66,5.56,"Abreu, Wilyer",595879,813349,single,hit_into_play,,,,,4.0,Javier Báez singles on a fly ball to right fielder Wilyer Abreu. Dillon Dingler to 3rd.,R,R,L,BOS,DET,X,9,fly_ball,2,1,2025,0.85,1.43,-0.77,2.3,,,693307.0,2,5,Top,172.43,126.37,,,,,-10.829145428722924,-135.22396692630068,-5.783194549634644,12.80219055590009,29.48338406450417,-13.539020465580874,3.52,1.65,217.0,70.1,36.0,94.3,2266.0,7.1,776157,665966,663993,686765,681987,666152,807799,678882,677800,53.4,0.706,0.663,0.9,1.0,1,0,3.0,34,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,143.0,-0.036,0.308,75.9,7.8,0.772,-0.308,88.0,1,-1,0.68,0.32,23,32,23,33,2,1,6.0,1.0,5.0,1.0,1.21,0.85,-0.85,34.9,2.455557366640883,1.3015459388463182,41.86934615288138,26.04401962179245,21.05683839420065,0,118.7503893609207,181.62418623803862,3.8055868563259847,139.62517063094506,251.89047565614598,73.30148649011551
CH,2025-09-27,83.7,3.0,5.52,"Abreu, Wilyer",663330,813349,field_out,hit_into_play,,,,,12.0,Jahmai Jones flies out to right fielder Wilyer Abreu.,R,R,L,BOS,DET,X,9,fly_ball,1,0,2025,1.1,-0.01,1.06,3.02,,,,2,3,Top,208.84,97.66,,,,,-6.677102694702716,-121.82548456426136,0.6205243349055529,12.186367893010477,21.943475270705743,-32.54661035818417,3.48,1.64,322.0,97.9,33.0,84.6,1323.0,6.7,776157,665966,663993,686765,681987,666152,807799,678882,677800,53.81,0.237,0.422,0.0,1.0,0,0,5.0,20,2,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,101.0,0.012,-0.299,71.8,6.8,0.831,0.299,97.9,1,-1,0.661,0.339,23,27,23,28,2,1,6.0,1.0,5.0,4.0,3.24,1.1,-1.1,30.5,7.304486303111963,15.824828295846212,19.89289772059641,46.42025382638053,22.20016609441161,1,205.52563443767602,247.87741645618055,4.899312142261905,139.62517063094506,251.89047565614598,66.02253989422616
FF,2025-09-27,98.8,2.95,5.56,"Abreu, Wilyer",672761,801139,single,hit_into_play,,,,,9.0,Wenceel Pérez singles on a line drive to right fielder Wilyer Abreu.,R,R,L,BOS,DET,X,9,line_drive,2,2,2025,0.62,1.39,0.62,1.58,,,,0,6,Top,174.62,111.14,,,,,-7.981392900850621,-143.46272365533673,-8.803373252816007,10.414775883345737,33.80276248375072,-11.11246191748825,3.2,1.49,160.0,92.3,7.0,100.8,2549.0,7.5,776157,665966,663993,686765,681987,666152,807799,678882,677800,52.96,0.529,0.509,0.9,1.0,1,0,4.0,41,5,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,154.0,-0.037,0.465,67.9,7.1,0.605,-0.465,92.3,-1,1,0.333,0.667,22,25,23,26,1,2,3.0,1.0,4.0,1.0,0.96,0.62,-0.62,34.5,-9.581908892838474,10.04994779257246,31.66977840776745,37.71415523269326,18.152282482185463,0,78.67172256934411,139.32250381030394,1.1831570929985107,139.62517063094506,251.89047565614598,128.011214805909
SV,2025-09-26,80.2,2.21,4.8,"Abreu, Wilyer",682985,690986,field_out,hit_into_play,,,,,8.0,Riley Greene flies out to right fielder Wilyer Abreu.,R,L,L,BOS,DET,X,9,fly_ball,0,0,2025,-0.74,-0.06,0.1,2.22,,,679529.0,2,3,Top,180.96,61.91,,,,,-3.271548265069547,-116.68790102325764,1.2061035341507371,-6.079105878694203,24.05687911918321,-33.22024864419456,3.6,1.7,364.0,96.0,37.0,80.5,2064.0,6.7,776181,665966,663993,663853,608324,596115,680776,678882,677800,53.8,0.091,0.167,0.0,1.0,0,0,3.0,22,1,Slurve,0,0,0,0,0,0,0,0,Infield shade,Standard,309.0,0.026,-0.272,75.0,7.6,0.314,0.272,96.0,0,0,0.528,0.472,23,24,24,25,2,1,6.0,1.0,,1.0,3.63,-0.74,-0.74,26.5,18.89387672769409,-9.552846507982986,46.5777701420621,31.40546341766485,41.58335994271789,1,137.3062254841658,337.109775063393,5.302500532585842,139.62517063094506,251.89047565614598,85.25084455919355
