pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-05-04,93.7,-1.67,6.17,"Bader, Harrison",692225,663978,field_out,hit_into_play,,,,,8.0,Kristian Campbell flies out sharply to right fielder Harrison Bader.,R,R,R,BOS,MIN,X,9,fly_ball,3,2,2025,-0.42,1.59,-0.13,1.96,,,,2,5,Bot,190.23,76.03,,,,,4.970494014667135,-136.10857302383064,-8.788850437234986,-6.275050068697808,30.420957255200527,-10.637181860871332,3.67,1.75,343.0,101.8,26.0,95.2,2210.0,7.3,778063,543877,664034,686797,681146,621043,663616,621439,664056,53.19,0.694,1.255,0.0,1.0,0,0,6.0,44,7,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,204.0,-0.006,-0.329,76.5,7.3,2.365,0.329,101.8,2,2,0.795,0.795,29,23,29,23,3,2,5.0,4.0,5.0,2.0,1.02,0.42,0.42,51.2,7.4316567828406095,2.047391812973134,37.62838826621965,37.46951515877311,28.835366627743177,1,160.66884327702994,303.04211390501683,4.113940605836367,143.9884572131621,259.7620530204005,46.38317528388685
FF,2025-05-04,90.7,-1.76,6.23,"Bader, Harrison",678882,663978,field_out,hit_into_play,,,,,6.0,Ceddanne Rafaela flies out sharply to right fielder Harrison Bader.,R,R,R,BOS,MIN,X,9,fly_ball,0,0,2025,-0.62,1.61,0.59,2.47,,,,1,4,Bot,204.94,77.27,,,,,7.286370591214397,-131.70668446736877,-6.978239973189286,-8.790927482856672,28.221511098312373,-12.095762919796345,3.57,1.68,357.0,101.5,30.0,91.6,2203.0,7.0,778063,543877,664034,686797,681146,621043,663616,621439,664056,53.52,0.583,1.1,0.0,1.0,0,0,6.0,35,1,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,208.0,-0.011,-0.255,72.8,7.5,2.121,0.255,101.5,2,2,0.779,0.779,29,24,29,25,2,1,5.0,1.0,5.0,2.0,1.17,0.62,0.62,51.8,9.798390657793217,12.533533694570911,32.445180561187435,43.12299900402572,26.161132616380947,1,196.06634543207872,298.3403898048482,4.66688385408094,143.9884572131621,259.7620530204005,64.81045062639393
CH,2025-05-04,82.8,-2.4,5.81,"Bader, Harrison",666152,663978,field_out,hit_into_play,,,,,8.0,David Hamilton flies out to right fielder Harrison Bader.,R,L,R,BOS,MIN,X,9,fly_ball,2,1,2025,-1.04,0.24,0.01,1.9,,,677800.0,2,3,Bot,177.79,115.29,,,,,7.678381393178939,-120.27143769233513,-2.900766517120464,-11.590124708518124,23.95628601095337,-29.456743702143225,3.33,1.49,237.0,77.2,48.0,84.1,1498.0,7.3,778063,543877,664034,686797,681146,621043,663616,621439,664056,53.21,0.083,0.091,0.0,1.0,0,0,3.0,29,4,Changeup,3,1,3,1,1,3,3,1,Standard,Standard,255.0,-0.016,-0.311,70.2,7.9,0.124,0.311,88.0,2,2,0.754,0.754,29,27,29,28,2,1,5.0,1.0,5.0,7.0,3.1,1.04,-1.04,45.0,17.0187338195636,-14.90746356285638,30.499266170525143,39.084914195995225,44.464646047511096,1,126.48999458754142,200.4227563657474,5.265960593681393,143.9884572131621,259.7620530204005,61.8655665271819
FF,2025-05-04,92.1,-2.04,6.14,"Bader, Harrison",663853,663978,single,hit_into_play,,,,,2.0,Romy Gonzalez singles on a sharp line drive to right fielder Harrison Bader. Wilyer Abreu to 2nd.,R,R,R,BOS,MIN,X,9,line_drive,1,0,2025,-0.66,1.68,0.1,3.51,,,677800.0,0,2,Bot,172.21,105.34,,,,,6.915085406643197,-133.73980214288957,-4.428424486163456,-9.492657936558654,33.0019922707949,-11.358690390682971,3.52,1.72,208.0,100.3,10.0,92.5,2146.0,7.0,778063,543877,664034,686797,681146,621043,663616,621439,664056,53.53,0.783,0.753,0.9,1.0,1,0,4.0,15,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,205.0,0.06,0.43,78.1,6.3,0.938,-0.43,100.3,-1,-1,0.478,0.478,29,28,29,29,1,0,5.0,1.0,5.0,3.0,1.05,0.66,0.66,48.8,0.1733267995582882,18.52866865653004,18.13358224507133,36.95796766948719,19.11482753962133,0,93.539841664485,185.7802412028337,1.697758463299,143.9884572131621,259.7620530204005,89.54535884448782
SL,2025-05-04,88.6,-2.26,5.99,"Bader, Harrison",692225,663978,field_out,hit_into_play,,,,,2.0,Kristian Campbell lines out sharply to right fielder Harrison Bader.,R,R,R,BOS,MIN,X,9,line_drive,3,2,2025,0.16,0.64,0.2,3.19,,,646240.0,2,1,Bot,201.24,86.62,,,,,5.761093767563771,-129.02601579131894,-2.1782297529389014,0.6755862193420582,24.971016473317253,-24.80376422939061,3.67,1.75,333.0,105.4,19.0,90.2,1968.0,7.1,778063,543877,664034,686797,681146,621043,663616,621439,664056,53.44,0.56,0.724,0.0,1.0,0,0,6.0,9,7,Slider,0,1,0,1,1,0,0,1,Standard,Standard,190.0,-0.024,-0.296,73.2,6.2,1.17,0.296,105.4,-1,-1,0.416,0.416,29,23,29,23,1,0,5.0,4.0,5.0,2.0,2.25,-0.16,-0.16,45.6,13.805689532637892,20.01218280784649,24.794442931197832,42.084432649399815,26.03398737931192,1,187.07710452956766,275.4834967122953,3.1870336276793783,143.9884572131621,259.7620530204005,45.86714858496223
FF,2025-05-04,96.3,-1.84,5.36,"Bader, Harrison",677800,592779,field_out,hit_into_play,,,,,2.0,Wilyer Abreu flies out sharply to right fielder Harrison Bader.,R,L,R,BOS,MIN,X,9,fly_ball,2,2,2025,-0.54,1.22,0.15,2.85,,,,0,6,Bot,206.84,80.32,,,,,6.614483148593915,-140.22505217526378,-3.96128265118929,-8.558272197056874,29.48948771055252,-15.272212263026177,3.24,1.55,353.0,105.2,41.0,98.1,2547.0,7.1,778063,543877,664034,686797,681146,621043,663616,621439,664056,53.41,0.349,0.686,0.0,1.0,0,0,5.0,48,6,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shade,Standard,217.0,-0.012,-0.233,78.9,7.5,1.334,0.233,105.2,2,2,0.852,0.852,33,26,34,26,1,2,1.0,1.0,3.0,2.0,1.22,0.54,-0.54,28.8,15.955212525693236,-16.39342838265335,26.43445035047419,33.16859810475359,37.65747589050039,1,200.53518538155964,290.5075548483783,6.3218795836941215,143.9884572131621,259.7620530204005,64.36472907738235
CH,2025-05-03,82.9,-1.34,5.9,"Bader, Harrison",646240,641927,field_out,hit_into_play,,,,,7.0,Rafael Devers lines out to right fielder Harrison Bader.,R,L,R,BOS,MIN,X,9,line_drive,2,1,2025,-1.37,0.4,-0.64,1.84,,,657136.0,2,5,Bot,176.54,89.15,,,,,4.394330930583769,-120.67310287473995,-3.6466196008101046,-14.279011331041367,23.71110174708571,-27.805037896565448,3.53,1.62,299.0,82.2,28.0,85.0,1957.0,7.7,778073,543877,664034,665019,686797,621043,663616,621439,664056,52.83,0.106,0.101,0.0,1.0,0,0,3.0,41,4,Changeup,1,1,1,1,1,1,1,1,Infield shade,Standard,250.0,-0.031,-0.311,69.1,8.3,0.158,0.311,88.0,0,0,0.531,0.531,29,28,30,29,3,2,5.0,1.0,5.0,1.0,2.92,1.37,-1.37,30.3,11.53818194156421,-13.44355975556409,25.634885175386472,41.56058687064049,39.22733044049895,1,126.84469620833444,270.76082257929295,3.5705659567808814,143.9884572131621,259.7620530204005,20.368639453833634
CH,2025-05-03,83.7,-1.49,5.83,"Bader, Harrison",666152,641927,field_out,hit_into_play,,,,,5.0,David Hamilton flies out to right fielder Harrison Bader.,R,L,R,BOS,MIN,X,9,fly_ball,2,1,2025,-1.37,0.63,-0.03,2.6,,,,2,4,Bot,199.63,96.85,,,,,6.251507432909799,-121.76390157504622,-2.334863707951546,-14.803876855757563,23.17852370056325,-25.626804794000503,3.32,1.48,310.0,90.4,39.0,86.0,1995.0,7.7,778073,543877,664034,665019,686797,621043,663616,621439,664056,52.78,0.011,0.018,0.0,1.0,0,0,3.0,31,4,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,249.0,-0.013,-0.298,70.8,7.7,0.03,0.298,90.4,0,0,0.513,0.513,29,27,30,28,2,1,5.0,1.0,5.0,1.0,2.62,1.37,-1.37,29.9,15.536580639681093,-17.129457642686575,25.39607569504524,39.73563744474973,41.85573403395305,1,183.05849011199143,250.17911423201963,5.222473633777955,143.9884572131621,259.7620530204005,40.228101950470666
ST,2025-05-03,79.9,-1.43,5.77,"Bader, Harrison",680776,641927,double,hit_into_play,,,,,9.0,Jarren Duran doubles (9) on a line drive to right fielder Harrison Bader.,R,L,R,BOS,MIN,X,9,line_drive,1,1,2025,0.76,0.2,0.52,1.98,,,,2,3,Bot,226.7,85.3,,,,,2.8990216363540395,-116.34255977942505,-2.0248076118860387,6.372654804613737,21.374544685565688,-30.227493566250125,3.39,1.61,251.0,110.8,15.0,81.4,2069.0,7.2,778073,543877,664034,665019,686797,621043,663616,621439,664056,53.27,0.671,0.763,1.25,1.0,1,1,6.0,20,3,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,62.0,0.026,0.597,77.2,8.2,1.172,-0.597,110.8,0,0,0.512,0.512,29,28,30,29,2,1,5.0,1.0,5.0,1.0,3.36,-0.76,0.76,37.5,16.953475337046093,-18.63450392837685,29.284233046429662,33.34087887558343,41.34440658003904,0,167.55063639865972,186.8897649482286,2.6840028487817813,143.9884572131621,259.7620530204005,76.58685694584358
FC,2025-05-03,90.4,-2.67,5.69,"Bader, Harrison",666152,663485,single,hit_into_play,,,,,3.0,David Hamilton singles on a line drive to right fielder Harrison Bader. Romy Gonzalez to 2nd.,R,L,R,BOS,MIN,X,9,line_drive,0,1,2025,-0.05,0.9,0.77,3.15,,,663853.0,1,8,Bot,180.23,121.56,,,,,8.651711008604211,-131.4754215375302,-2.323282392559296,-2.3617410089062143,26.68384577316709,-21.403031796126704,3.32,1.48,235.0,84.1,21.0,90.3,2475.0,6.2,778073,543877,664034,665019,686797,621043,663616,621439,664056,54.31,0.663,0.6,0.9,1.0,1,0,4.0,70,2,Cutter,3,4,3,4,4,3,3,4,Infield shade,Standard,209.0,0.091,0.448,72.0,6.5,0.763,-0.448,88.0,-1,-1,0.305,0.305,27,27,28,28,1,3,2.0,1.0,3.0,1.0,1.88,0.05,-0.05,29.0,8.198031406538368,-2.8695842134781526,28.145396631331234,29.89798639105936,29.12855868343728,0,136.6192683786914,191.2071533904291,2.814046890908684,143.9884572131621,259.7620530204005,68.9498310901016
