pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-05-07,93.5,-1.16,6.63,"Biggio, Cavan",672820,608379,field_out,hit_into_play,,,,,1.0,Lenyn Sosa lines out to right fielder Cavan Biggio.,R,R,R,KC,CWS,X,9,line_drive,0,1,2025,-0.56,1.55,-0.5,2.94,681460.0,,668942.0,2,2,Top,173.99,100.13,,,,,2.9645705666710525,-135.96814441788422,-7.177932430402313,-7.596068831606138,31.37752217891572,-11.563132828211614,3.34,1.6,274.0,94.6,17.0,93.8,2076.0,6.6,778012,571912,521692,686681,672580,677951,671221,664728,624415,53.89,0.56,0.537,0.0,1.0,0,0,4.0,12,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,199.0,0.05,-0.237,67.1,6.3,0.721,0.237,94.6,0,0,0.5,0.5,33,25,34,25,1,0,5.0,1.0,5.0,1.0,1.07,0.56,0.56,55.9,1.2140766311909628,10.795189755044342,33.32834436899432,32.698330092453574,23.04821742114664,1,121.53460059666295,245.5714577425675,2.593542518441915,131.65724492446856,258.3918920146267,16.334976679243994
SI,2025-05-06,91.1,-1.22,5.33,"Biggio, Cavan",683734,607625,single,hit_into_play,,,,,1.0,Andrew Vaughn singles on a line drive to right fielder Cavan Biggio. Matt Thaiss to 2nd.,R,R,R,KC,CWS,X,9,line_drive,3,2,2025,-1.17,0.63,-0.76,3.26,,,642136.0,1,4,Top,175.65,101.6,,,,,3.655598394525272,-132.735505172449,-0.7017759459953219,-14.612602951056996,27.461253041793007,-24.71701803952961,3.3,1.57,239.0,83.0,18.0,91.0,2335.0,6.1,778033,666023,686469,672580,663697,677951,671221,664728,624415,54.44,0.963,0.896,0.9,1.0,1,0,4.0,25,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,208.0,-0.043,0.344,61.1,5.8,1.093,-0.344,88.0,0,0,0.497,0.503,35,27,36,27,2,1,5.0,1.0,5.0,1.0,2.1,1.17,1.17,25.7,-2.4828675936027937,19.152636297838978,23.42399034593287,29.646827546997503,21.67130917604021,0,110.19698587915585,212.07928777499495,2.415590305129891,131.65724492446856,258.3918920146267,51.0431193183634
SI,2025-05-06,91.7,-1.2,5.44,"Biggio, Cavan",683734,607625,field_out,hit_into_play,,,,,1.0,Andrew Vaughn flies out to right fielder Cavan Biggio.,R,R,R,KC,CWS,X,9,fly_ball,0,0,2025,-1.28,0.97,-0.69,3.11,,,,1,2,Top,192.81,128.14,,,,,4.017685320117773,-133.59735446491626,-2.112788027935922,-16.16825029054945,28.330489622929274,-20.35077297101999,3.3,1.57,243.0,86.7,48.0,91.3,2414.0,6.0,778033,666023,686469,672580,663697,677951,671221,664728,624415,54.55,0.003,0.003,0.0,1.0,0,0,3.0,8,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,220.0,0.017,-0.255,65.7,6.6,0.003,0.255,88.0,0,0,0.523,0.477,35,27,36,27,1,0,5.0,1.0,5.0,1.0,1.73,1.28,1.28,26.5,6.424074855327672,7.741729468993934,25.73874176730097,31.28585035449904,21.14930421513521,1,168.36998684525483,175.2157171309946,5.905779386689899,131.65724492446856,258.3918920146267,90.91810318971031
CH,2025-04-17,81.4,-1.57,5.76,"Biggio, Cavan",682985,547179,single,hit_into_play,,,,,8.0,Riley Greene singles on a line drive to right fielder Cavan Biggio. Kerry Carpenter scores. Spencer Torkelson to 3rd.,R,L,R,DET,KC,X,9,line_drive,2,2,2025,-1.46,0.65,0.08,1.75,681481.0,,679529.0,1,5,Bot,196.18,126.85,,,,,6.434091166701605,-118.45579994764216,-3.689279276797973,-14.975644614498824,20.29805578060554,-25.54551896975317,3.58,1.69,159.0,100.8,10.0,81.0,1896.0,5.8,778286,521692,686469,686681,672580,677951,671221,664728,624415,54.74,0.777,0.737,0.9,1.0,1,0,4.0,45,6,Changeup,3,0,3,0,0,4,4,0,Standard,Standard,241.0,0.035,0.534,69.4,7.3,0.911,-0.534,100.8,3,3,0.918,0.918,33,24,33,25,3,2,5.0,1.0,7.0,1.0,2.76,1.46,-1.46,39.9,18.97703353308816,-1.5341608751270388,47.688625157239045,32.721305535838404,41.90923453192512,0,111.90687221295279,112.95066158068245,1.7051952453453278,131.65724492446856,258.3918920146267,146.77611771805203
CH,2025-04-17,83.0,-1.5,5.81,"Biggio, Cavan",681481,547179,double,hit_into_play,,,,,5.0,Kerry Carpenter doubles (3) on a fly ball to right fielder Cavan Biggio.,R,L,R,DET,KC,X,9,fly_ball,0,1,2025,-1.19,0.91,-0.23,2.39,,,,0,5,Bot,209.91,106.06,,,,,5.180390748984432,-120.68747492954148,-3.077019519859734,-12.665726183527555,24.652835211470524,-22.90575652296452,3.43,1.63,282.0,93.4,26.0,81.8,2044.0,5.7,778286,521692,686469,686681,672580,677951,671221,664728,624415,54.84,0.169,0.221,1.25,1.0,1,1,3.0,42,2,Changeup,3,0,3,0,0,3,3,0,Infield shade,Standard,238.0,0.025,0.755,74.4,8.1,0.351,-0.755,93.4,3,3,0.892,0.892,33,27,33,28,3,2,5.0,1.0,7.0,1.0,2.42,1.19,-1.19,41.7,24.45497939612198,-11.572788427976883,35.75146179588593,41.016384435941376,33.53409466356405,0,190.51043565745198,207.91770945642858,3.782196312877944,131.65724492446856,258.3918920146267,77.53283926421912
FF,2025-04-17,93.6,-1.42,5.74,"Biggio, Cavan",650402,547179,field_out,hit_into_play,,,,,5.0,Gleyber Torres flies out sharply to right fielder Cavan Biggio.,R,R,R,DET,KC,X,9,fly_ball,2,0,2025,-1.14,1.31,0.01,2.38,,,,2,4,Bot,206.34,90.14,,,,,6.167612685837367,-136.1702318024107,-5.831519966652785,-15.523616466947493,28.37821817752566,-14.706334456176029,3.2,1.48,334.0,101.8,34.0,93.3,2315.0,6.0,778286,521692,686469,686681,672580,677951,671221,664728,624415,54.5,0.526,1.067,0.0,1.0,0,0,6.0,37,3,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,225.0,-0.005,-0.363,73.3,7.0,2.058,0.363,101.8,3,3,0.851,0.851,33,28,33,29,3,2,5.0,1.0,7.0,1.0,1.28,1.14,1.14,49.7,8.019179943482024,10.22949844129889,35.35228537874247,35.945147067949634,29.53041957825159,1,200.11895110932724,267.4105559002911,5.225667790741297,131.65724492446856,258.3918920146267,69.05317886979937
SL,2025-04-17,83.7,-1.7,5.68,"Biggio, Cavan",650402,547179,field_out,hit_into_play,,,,,9.0,Gleyber Torres flies out to right fielder Cavan Biggio.,R,R,R,DET,KC,X,9,fly_ball,2,1,2025,0.4,0.18,0.44,1.82,,,,0,3,Bot,194.93,134.44,,,,,4.103971615192116,-121.68558601423716,-2.6561284741056346,2.933844844585209,29.540691433521992,-30.00181452941454,3.2,1.48,234.0,85.0,49.0,82.2,2636.0,5.9,778286,521692,686469,686681,672580,677951,671221,664728,624415,54.63,0.009,0.009,0.0,1.0,0,0,3.0,22,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,48.0,-0.025,-0.306,68.4,7.4,0.012,0.306,88.0,0,0,0.554,0.554,33,28,33,29,2,1,5.0,1.0,7.0,1.0,3.14,-0.4,-0.4,44.3,14.554115072216655,11.33095862452844,34.11818983152378,40.49662420367108,33.559527181917176,1,172.35505260183513,158.27108340634638,5.880356858891644,131.65724492446856,258.3918920146267,108.07630575718166
ST,2025-04-17,83.5,-1.67,5.64,"Biggio, Cavan",668952,547179,field_out,hit_into_play,,,,,9.0,Ryan Kreidler flies out to right fielder Cavan Biggio.,R,R,R,DET,KC,X,9,fly_ball,2,2,2025,0.83,-0.13,0.58,1.86,693307.0,,,2,2,Bot,170.22,75.9,,,,,3.508756959914926,-121.60280969847014,-2.0156515360183453,7.588214896133412,23.867719575091485,-33.24986429560404,3.56,1.63,324.0,90.4,27.0,83.1,2517.0,6.0,778286,521692,686469,686681,672580,677951,671221,664728,624415,54.52,0.094,0.12,0.0,1.0,0,0,3.0,18,6,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,50.0,-0.039,-0.198,67.9,7.9,0.205,0.198,90.4,0,0,0.539,0.539,33,27,33,28,1,0,5.0,1.0,7.0,2.0,3.39,-0.83,-0.83,43.5,14.102296560958044,4.281089426700397,40.56789357782716,44.83704047094801,27.984601958134668,1,111.38726761372241,304.25133789935745,3.790915191957984,131.65724492446856,258.3918920146267,50.139413209896176
FF,2025-04-14,95.4,-1.28,5.79,"Biggio, Cavan",669224,607625,field_out,hit_into_play,,,,,2.0,Austin Wells flies out to right fielder Cavan Biggio.,R,L,R,NYY,KC,X,9,fly_ball,0,2,2025,-0.59,1.26,0.21,3.38,,,592450.0,2,3,Bot,183.61,76.66,,,,,5.236914510415776,-138.80920641643593,-3.4905133134317965,-8.843560074410439,33.5079989676772,-15.304199951650087,3.5,1.65,334.0,95.8,40.0,95.0,2427.0,6.2,778327,521692,686469,686681,672580,677951,671221,664728,624415,54.28,0.071,0.134,0.0,1.0,0,0,3.0,24,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,225.0,-0.028,-0.174,72.6,6.9,0.253,0.174,95.8,-1,-1,0.399,0.399,35,25,36,26,2,1,5.0,1.0,5.0,1.0,1.26,0.59,-0.59,31.3,12.066260188496557,-2.7802557486462804,25.35960424792384,30.62055090674104,27.058802337007293,1,144.16399190107413,301.2851530347074,5.6472416988999825,131.65724492446856,258.3918920146267,44.67941988067442
SL,2025-04-14,84.4,-1.43,5.65,"Biggio, Cavan",683011,607625,field_out,hit_into_play,,,,,9.0,Anthony Volpe lines out to right fielder Cavan Biggio.,R,R,R,NYY,KC,X,9,line_drive,1,0,2025,0.31,0.42,0.67,2.02,,,502671.0,1,2,Bot,196.15,93.87,,,,,4.239506376592484,-122.90841669220572,-2.907907157079511,2.265399415185873,24.45155563836268,-27.581456051300258,3.36,1.61,313.0,93.2,22.0,84.0,2634.0,6.0,778327,521692,686469,686681,672580,677951,671221,664728,624415,54.51,0.189,0.213,0.0,1.0,0,0,3.0,14,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,160.0,-0.029,-0.29,66.2,7.1,0.33,0.29,93.2,0,0,0.553,0.553,35,24,36,24,1,0,5.0,1.0,5.0,1.0,2.78,-0.31,-0.31,28.4,8.972447806852248,22.1214069426904,31.67424828753503,44.40420350490768,19.38703567024121,1,175.55809211726563,259.1299988271248,3.2406272547911197,131.65724492446856,258.3918920146267,43.90705166498856
