pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-05-19,91.5,2.13,5.24,"Brennan, Will",650489,671106,double,hit_into_play,,,,,8.0,Willi Castro doubles (8) on a line drive to right fielder Will Brennan. Harrison Bader scores.,R,R,L,MIN,CLE,X,9,line_drive,3,1,2025,0.54,1.42,0.16,2.09,,,664056.0,2,2,Bot,154.9,49.98,,,,,-6.141925510610558,-133.18258280095512,-5.18034546300362,7.691988573335433,27.29031191980747,-14.316964990857674,3.6,1.69,342.0,102.7,16.0,92.0,2179.0,6.5,777861,666310,467793,682657,608070,672356,680757,666134,686823,54.0,0.557,0.607,1.25,1.0,1,1,5.0,17,5,4-Seam Fastball,1,1,1,1,1,2,2,1,Standard,Standard,152.0,0.123,0.801,77.5,7.2,0.889,-0.801,102.7,0,0,0.524,0.524,26,28,27,28,1,0,6.0,3.0,6.0,2.0,1.29,0.54,-0.54,39.5,-3.914611565577636,2.116561046187228,36.145094028909774,36.42647763460891,24.59580775723912,0,66.68451911499967,335.4357984926493,2.651202711806079,133.47320692342674,261.9559181113802,99.29764166392451
SL,2025-05-19,83.6,-2.37,5.63,"Brennan, Will",664056,596001,sac_fly,hit_into_play,,,,,6.0,Harrison Bader out on a sacrifice fly to right fielder Will Brennan. Kody Clemens scores.,R,R,R,MIN,CLE,X,9,fly_ball,0,1,2025,0.6,0.76,0.73,2.28,665019.0,,,1,4,Bot,163.87,103.97,,,,,5.927988365955322,-121.54105616498116,-2.6712231886206106,4.454077566390789,28.52263178218818,-24.32991964751685,3.26,1.55,255.0,79.1,38.0,82.4,2487.0,6.0,777861,666310,467793,682657,608070,672356,680757,666134,686823,54.51,0.034,0.036,0.0,1.0,0,0,3.0,33,2,Slider,3,2,3,2,2,4,4,2,Strategic,Standard,68.0,0.026,-0.079,65.3,6.8,0.058,0.079,88.0,1,1,0.742,0.742,32,31,33,31,1,1,2.0,1.0,6.0,2.0,2.56,-0.6,-0.6,24.8,4.535447669375053,3.255123924916292,25.50425461466965,46.26068344134092,32.36985950091231,1,96.2783099781264,236.12599820383144,4.481528835287618,133.47320692342674,261.9559181113802,45.28404930217588
SI,2025-05-19,90.3,-2.06,5.65,"Brennan, Will",663616,596001,single,hit_into_play,,,,,1.0,Trevor Larnach singles on a line drive to right fielder Will Brennan.,R,L,R,MIN,CLE,X,9,line_drive,2,1,2025,-1.53,0.68,-0.53,3.25,,,,0,4,Bot,190.91,109.72,,,,,6.997894433748701,-131.32289517380391,-1.4551570230173478,-19.172089331101915,27.99857332843693,-24.170301720712526,3.87,1.77,208.0,89.5,13.0,89.8,2050.0,6.0,777861,666310,467793,682657,608070,672356,680757,666134,686823,54.5,0.917,0.891,0.9,1.0,1,0,4.0,30,4,Sinker,2,2,2,2,2,2,2,2,Infield shade,Standard,216.0,0.043,0.393,77.7,6.9,1.091,-0.393,89.5,0,0,0.559,0.559,32,28,33,28,1,1,2.0,1.0,6.0,2.0,2.12,1.53,-1.53,22.2,8.628579993289048,-20.529070239638795,21.851841332030613,40.12566199323169,38.66888382144684,0,123.68218880279153,167.2325212778622,1.9320761424436133,133.47320692342674,261.9559181113802,95.22807329521444
SI,2025-05-19,91.8,1.87,5.36,"Brennan, Will",663616,663465,single,hit_into_play,,,,,5.0,Trevor Larnach singles on a line drive to right fielder Will Brennan.,R,L,L,MIN,CLE,X,9,line_drive,1,0,2025,1.17,1.24,-0.05,2.51,,,,0,8,Bot,168.34,89.92,,,,,-7.461210501920952,-133.43299688570704,-4.028873645786155,15.624895179953452,30.41643093058485,-16.677019890470024,3.87,1.77,170.0,96.7,8.0,92.2,1881.0,6.7,777861,666310,467793,682657,608070,672356,680757,666134,686823,53.8,0.611,0.572,0.9,1.0,1,0,4.0,61,2,Sinker,4,2,4,2,2,4,4,2,Infield shade,Standard,146.0,0.009,0.397,74.8,7.0,0.679,-0.397,96.7,2,2,0.942,0.942,27,28,28,28,1,3,1.0,1.0,9.0,2.0,1.48,1.17,1.17,41.4,1.46738503115287,-0.1861411499285236,29.07119374705394,36.45024622483499,28.93804876715292,0,62.60790728062456,158.05141551387862,1.3637289510227448,133.47320692342674,261.9559181113802,125.76977519856807
CH,2025-05-16,81.1,-2.28,6.17,"Brennan, Will",666158,676440,field_out,hit_into_play,,,,,4.0,Gavin Lux flies out to right fielder Will Brennan.,R,L,R,CIN,CLE,X,9,fly_ball,0,2,2025,-1.05,0.96,-0.45,2.28,,,,2,5,Bot,197.96,108.36,,,,,6.124856891276236,-118.03063637512808,-3.960635967580551,-10.920817126942277,21.46216358456789,-22.61688609823519,3.28,1.56,286.0,80.5,34.0,81.7,2002.0,6.6,777902,666310,467793,682177,608070,672356,680757,666134,686823,53.95,0.051,0.067,0.0,1.0,0,0,3.0,43,4,Changeup,5,3,5,3,3,5,5,3,Infield shade,Standard,222.0,-0.006,-0.161,68.8,8.2,0.094,0.161,88.0,2,2,0.795,0.795,26,27,26,28,3,2,6.0,1.0,6.0,2.0,2.49,1.05,-1.05,51.5,19.304629845391283,-14.32139622708842,30.85537469759237,41.5877591720209,48.56123392590519,1,179.58510250315618,222.58749057152983,4.149008913012063,133.47320692342674,261.9559181113802,60.63150996731253
FC,2025-05-16,84.6,-2.4,6.3,"Brennan, Will",663886,676440,double_play,hit_into_play,,,,,11.0,"Tyler Stephenson flies into a double play, right fielder Will Brennan to catcher Bo Naylor. Gavin Lux out at home.",R,R,R,CIN,CLE,X,9,fly_ball,0,0,2025,0.54,0.22,-0.1,3.51,666158.0,,,1,3,Bot,190.1,113.5,,,,,4.295402437065812,-123.31610013467332,-0.7454691780805802,4.925704963423991,19.749402810554205,-29.96519428972876,3.21,1.51,266.0,89.5,40.0,85.7,2766.0,6.5,777902,666310,467793,682177,608070,672356,680757,666134,686823,54.03,0.006,0.008,0.0,1.0,0,0,3.0,25,1,Cutter,5,0,5,0,0,5,5,0,Strategic,Standard,80.0,-0.022,-0.124,64.1,6.5,0.012,0.124,89.5,5,5,0.951,0.951,26,28,26,29,2,1,6.0,1.0,6.0,2.0,2.91,-0.54,-0.54,49.4,7.147947357456845,14.501244130574165,31.05920418517589,37.418914682184095,24.56744797574333,1,161.3547737039862,211.47254432416378,5.280333982756897,133.47320692342674,261.9559181113802,57.671074162691006
SI,2025-05-16,92.7,-2.36,6.22,"Brennan, Will",666158,676440,double,hit_into_play,,,,,6.0,Gavin Lux doubles (11) on a line drive to right fielder Will Brennan.,R,L,R,CIN,CLE,X,9,line_drive,3,2,2025,-1.12,0.49,0.57,2.45,,,,0,3,Bot,200.3,114.42,,,,,10.02068458620044,-134.7178878884735,-4.938750768070329,-15.758773781687472,27.58138217328547,-25.312072813373057,3.28,1.56,278.0,99.8,18.0,93.5,2382.0,6.7,777902,666310,467793,682177,608070,672356,680757,666134,686823,53.78,0.409,0.465,1.25,1.0,1,1,4.0,23,6,Sinker,5,0,5,0,0,5,5,0,Strategic,Standard,216.0,0.013,0.631,73.0,7.9,0.709,-0.631,99.8,5,5,0.939,0.939,26,27,26,28,2,1,6.0,1.0,6.0,2.0,2.16,1.12,-1.12,48.0,24.609665259395488,-8.434437859427506,34.33709796486452,28.06666375481981,37.295035421898405,0,185.17154857331576,207.3535569961609,2.8765319853818094,133.47320692342674,261.9559181113802,75.19399157316667
CH,2025-05-16,81.1,-2.21,6.3,"Brennan, Will",682829,676440,field_out,hit_into_play,,,,,2.0,Elly De La Cruz flies out to right fielder Will Brennan.,R,L,R,CIN,CLE,X,9,fly_ball,1,0,2025,-0.89,0.96,-0.01,3.16,,,669289.0,2,2,Bot,164.67,102.63,,,,,6.650795485578525,-118.04851163982782,-2.317319038837041,-9.500004324957132,19.790016661328504,-22.89464245513641,3.57,1.7,258.0,85.0,46.0,81.9,2034.0,6.5,777902,666310,467793,682177,608070,672356,680757,666134,686823,53.96,0.014,0.021,0.0,1.0,0,0,3.0,18,2,Changeup,4,0,4,0,0,4,4,0,Infield shade,Standard,215.0,-0.009,-0.307,73.2,7.0,0.032,0.307,88.0,4,4,0.877,0.877,26,23,26,23,2,1,6.0,1.0,6.0,1.0,2.47,0.89,-0.89,52.2,14.354176380440284,-13.0338485240556,27.655976966423584,39.56956628458482,48.52283503931787,1,97.95347288360887,238.68204195129576,5.607799113915939,133.47320692342674,261.9559181113802,42.465572147026855
SI,2025-05-16,92.8,-2.29,6.41,"Brennan, Will",668715,676440,double,hit_into_play,,,,,5.0,Spencer Steer doubles (8) on a line drive to right fielder Will Brennan. Gavin Lux to 3rd.,R,R,R,CIN,CLE,X,9,line_drive,0,0,2025,-1.08,0.68,-0.24,2.62,,,666158.0,0,2,Bot,185.86,141.03,,,,,7.591134710180488,-134.98349447913907,-5.412242897087062,-14.839055242698494,28.41942704924242,-22.9115648172766,3.26,1.55,180.0,65.1,25.0,93.0,2152.0,6.4,777902,666310,467793,682177,608070,672356,680757,666134,686823,54.14,0.837,0.769,1.25,1.0,1,1,4.0,12,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,217.0,0.109,0.73,69.5,6.6,0.899,-0.73,88.0,0,0,0.588,0.588,26,27,26,28,1,0,6.0,1.0,6.0,1.0,1.97,1.08,1.08,53.8,1.5489016009856875,22.99752536296712,28.21160597350333,31.379087008351902,22.377829430103283,0,130.69193675665701,123.77244308324032,2.58059998645653,133.47320692342674,261.9559181113802,138.21146202320963
FF,2025-05-16,91.8,-1.95,5.16,"Brennan, Will",668715,670036,field_out,hit_into_play,,,,,6.0,Spencer Steer lines out sharply to right fielder Will Brennan.,R,R,R,CIN,CLE,X,9,line_drive,0,1,2025,-0.02,0.87,0.66,2.37,682829.0,669720.0,,2,7,Bot,192.07,84.95,,,,,6.667485251621847,-133.65987806207144,-3.1463327875697544,-1.6038125226386757,26.988418574726783,-21.190461738112923,3.26,1.55,326.0,100.0,19.0,92.2,2550.0,6.4,777902,666310,467793,682177,608070,672356,680757,666134,686823,54.12,0.374,0.449,0.0,1.0,0,0,5.0,60,2,4-Seam Fastball,5,3,5,3,3,5,5,3,Standard,Standard,186.0,-0.026,-0.27,69.3,7.2,0.705,0.27,100.0,2,2,0.896,0.896,32,27,32,28,1,3,3.0,1.0,6.0,1.0,1.81,0.02,0.02,39.0,1.893972018184531,12.571002763920417,29.328549921228745,42.42329439534076,22.78601000010846,1,165.27230585067545,281.00011551385666,3.0297858506599074,133.47320692342674,261.9559181113802,37.06567343634055
