pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SI,2025-09-23,96.9,-2.99,5.28,"Canario, Alexander",624431,670912,field_out,hit_into_play,,,,,2.0,Jose Trevino flies out to right fielder Alexander Canario.,R,R,R,CIN,PIT,X,9,fly_ball,2,2,2025,-1.32,0.63,-0.21,2.93,,,,0,5,Bot,212.72,107.86,,,,,10.635406370638377,-140.78776102428233,-2.162464707627521,-19.99164629805198,31.95991518159441,-23.558000345979565,3.22,1.45,310.0,89.4,34.0,98.4,2411.0,7.2,776224,804668,687462,694377,669707,693304,669261,665833,672744,53.29,0.011,0.01,0.0,1.0,0,0,3.0,38,7,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,226.0,-0.031,-0.233,67.4,6.5,0.021,0.233,89.4,-2,-2,0.277,0.277,27,32,27,33,2,1,6.0,2.0,5.0,2.0,1.81,1.32,1.32,21.4,1.611813198215143,23.82789449721749,19.02922388708538,42.36730468697026,16.98480791512309,1,215.33398328608084,223.00510227828835,4.598357701313558,132.1112354242081,259.28289853881506,90.78603561782576
CU,2025-09-23,76.4,-2.61,5.64,"Canario, Alexander",670770,670912,field_out,hit_into_play,,,,,2.0,TJ Friedl flies out to right fielder Alexander Canario.,R,L,R,CIN,PIT,X,9,fly_ball,1,2,2025,1.24,-0.31,0.03,2.92,,,,1,3,Bot,170.84,75.27,,,,,3.376459529022918,-111.28690984045592,1.879567759556405,9.698365631390294,19.75920281069529,-35.335467041246325,3.24,1.52,325.0,86.1,35.0,77.5,2290.0,7.0,776224,804668,687462,694377,669707,693304,669261,665833,672744,53.51,0.014,0.013,0.0,1.0,0,0,3.0,24,4,Curveball,2,4,2,4,4,2,2,4,Strategic,Standard,62.0,-0.018,-0.18,69.6,6.3,0.021,0.18,88.0,-2,-2,0.291,0.291,27,29,27,30,2,1,6.0,2.0,5.0,1.0,4.21,-1.24,1.24,32.1,10.258875348869932,-7.317833128368594,20.45474416020334,31.977768025643027,43.11828902654812,1,112.58164437533895,304.8776366835467,4.5435142805266615,132.1112354242081,259.28289853881506,49.60126080073688
SI,2025-09-23,93.8,3.23,5.48,"Canario, Alexander",682829,682995,single,hit_into_play,,,,,12.0,Elly De La Cruz singles on a sharp line drive to right fielder Alexander Canario. Spencer Steer to 3rd.,R,R,L,CIN,PIT,X,9,line_drive,2,2,2025,1.13,0.98,1.04,3.27,,,668715.0,2,6,Bot,190.83,125.33,,,,,-8.129486016177475,-136.39192391150846,-2.1278593945002813,15.927952357853274,31.00080411589646,-19.64889591040388,3.71,1.77,184.0,102.7,8.0,93.2,2339.0,6.1,776224,804668,687462,694377,669707,693304,669261,665833,672744,54.42,0.717,0.665,0.9,1.0,1,0,4.0,49,5,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,122.0,0.038,0.401,71.6,6.1,0.803,-0.401,102.7,-2,-2,0.21,0.21,24,23,25,23,1,2,,2.0,5.0,1.0,1.62,1.13,-1.13,25.4,1.2610178621725854,30.79490149396946,22.49589290916096,49.92071066305321,20.425147428050224,0,122.84443813490375,136.98629135544843,1.4332290560925707,132.1112354242081,259.28289853881506,122.64719181686853
CH,2025-09-23,88.4,-2.92,5.6,"Canario, Alexander",666158,670912,field_out,hit_into_play,,,,,5.0,Gavin Lux flies out to right fielder Alexander Canario.,R,L,R,CIN,PIT,X,9,fly_ball,1,1,2025,-1.55,0.57,0.22,2.56,,,,2,1,Bot,199.32,82.32,,,,,11.105355409080932,-128.32450340878344,-2.512968781706871,-19.45780023442932,26.527498345209487,-25.531335080752044,3.22,1.56,339.0,99.8,43.0,90.0,1936.0,7.4,776224,804668,687462,694377,669707,693304,669261,665833,672744,53.09,0.06,0.118,0.0,1.0,0,0,3.0,7,3,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,238.0,-0.01,-0.245,77.0,8.0,0.229,0.245,99.8,0,0,0.51,0.51,27,27,27,28,1,0,6.0,2.0,5.0,1.0,2.36,1.55,-1.55,26.7,29.48637065764665,-18.18658802324292,32.452924109016934,31.284319298035896,44.184341420118365,1,182.20016273938248,285.87427428459273,6.235314464965904,132.1112354242081,259.28289853881506,56.709804299062384
SI,2025-09-23,93.0,3.58,5.2,"Canario, Alexander",682622,682995,field_out,hit_into_play,,,,,6.0,Noelvi Marte lines out sharply to right fielder Alexander Canario.,R,R,L,CIN,PIT,X,9,line_drive,1,2,2025,1.32,0.89,0.52,2.44,,,,0,6,Bot,176.02,85.72,,,,,-10.661102030177627,-135.00534145287298,-3.179469395088097,18.49279651597757,29.909267509130416,-20.834646382266925,3.44,1.65,307.0,106.3,16.0,92.3,2254.0,6.1,776224,804668,687462,694377,669707,693304,669261,665833,672744,54.44,0.586,0.658,0.0,1.0,0,0,5.0,46,4,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,118.0,-0.035,-0.19,72.2,6.8,0.998,0.19,106.3,-2,-2,0.248,0.248,24,23,25,24,1,2,,2.0,5.0,1.0,1.77,1.32,-1.32,18.7,0.921208687097932,15.321973471606,34.20959041909126,43.43798597840888,23.966504491892533,1,125.88367671435573,280.0041070000145,2.7394063005508054,132.1112354242081,259.28289853881506,21.636796610800374
FF,2025-09-16,98.6,-2.34,5.6,"Canario, Alexander",608348,694973,single,hit_into_play,,,,,1.0,Carson Kelly singles on a line drive to right fielder Alexander Canario.,R,R,R,PIT,CHC,X,9,line_drive,2,2,2025,-1.21,0.91,-0.31,3.25,,,,0,3,Top,170.94,118.67,,,,,8.402891383138776,-143.246794666118,-3.037763990446103,-18.692033633079287,35.31191761639886,-19.148906835629305,3.35,1.62,177.0,78.3,14.0,98.9,2375.0,6.7,776308,680779,687462,694377,669707,693304,669261,665833,672744,53.78,0.663,0.624,0.9,1.0,1,0,4.0,22,5,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,238.0,-0.027,0.465,63.6,5.4,0.761,-0.465,88.0,-2,2,0.279,0.721,23,30,23,31,2,1,6.0,1.0,8.0,2.0,1.45,1.21,1.21,22.7,-2.118940572170703,21.42131371312628,26.93880283059169,33.31768330509992,20.192871404857204,0,87.8664778505473,153.65051926413813,1.82896632440019,132.1112354242081,259.28289853881506,114.52422505296079
FF,2025-09-16,97.3,-2.29,5.6,"Canario, Alexander",663538,694973,single,hit_into_play,,,,,5.0,Nico Hoerner singles on a sharp line drive to right fielder Alexander Canario. Michael Busch to 3rd.,R,R,R,PIT,CHC,X,9,line_drive,1,1,2025,-1.48,0.85,0.23,2.17,,683737.0,,1,2,Top,179.07,95.3,,,,,10.1950775688992,-141.19012142550878,-5.599814499157149,-22.13028045713017,34.62103322400993,-19.65361234107009,3.31,1.55,247.0,105.2,12.0,97.5,2261.0,6.8,776308,680779,687462,694377,669707,693304,669261,665833,672744,53.75,0.903,0.897,0.9,1.0,1,0,4.0,16,3,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,242.0,-0.042,0.553,70.5,6.9,1.186,-0.553,105.2,-1,1,0.374,0.626,23,28,23,28,2,1,6.0,1.0,8.0,1.0,1.59,1.48,1.48,23.8,-2.971377866359207,14.449543310075828,38.65996586631329,39.93158988940309,18.96376122662314,0,114.13091928951081,219.05052673328856,2.0836196876406317,132.1112354242081,259.28289853881506,44.067397352257814
ST,2025-09-16,84.8,-3.04,5.46,"Canario, Alexander",683737,694973,double,hit_into_play,,,,,8.0,Michael Busch doubles (21) on a sharp fly ball to right fielder Alexander Canario.,R,L,R,PIT,CHC,X,9,fly_ball,0,2,2025,0.47,0.5,-0.23,1.76,,,,1,2,Top,155.0,50.0,,,,,5.678565106040642,-123.29334129458395,-3.268257697206501,3.4995370850508136,27.15528926505272,-26.61640489643369,3.25,1.52,390.0,101.4,31.0,85.3,2235.0,6.9,776308,680779,687462,694377,669707,693304,669261,665833,672744,53.6,0.549,1.051,1.25,1.0,1,1,6.0,15,3,Sweeper,1,2,2,1,2,1,2,1,Strategic,Standard,79.0,-0.038,0.734,68.1,7.8,2.034,-0.734,101.4,-1,1,0.412,0.588,23,27,23,28,2,1,6.0,1.0,8.0,1.0,2.7,-0.47,0.47,28.2,23.55733483677981,-7.337557549888442,41.08049726266619,37.88041291847003,36.838568182572565,0,76.30174223076588,382.46312780783165,4.800238173169106,132.1112354242081,259.28289853881506,135.23338498047133
ST,2025-09-16,80.9,3.86,4.7,"Canario, Alexander",691718,681895,sac_fly,hit_into_play,,,,,5.0,Pete Crow-Armstrong out on a sacrifice fly to right fielder Alexander Canario. Moisés Ballesteros scores. Carson Kelly to 3rd.,R,L,L,PIT,CHC,X,9,line_drive,1,1,2025,-0.89,0.29,-0.08,1.95,694208.0,608348.0,,0,5,Top,178.27,88.61,,,,,-7.132115133598388,-117.60480420450668,0.0117606035464636,-6.823769194107959,23.31837183835094,-29.718174370777472,3.02,1.4,302.0,88.2,23.0,81.4,2226.0,6.8,776308,680779,687462,694377,669707,693304,669261,665833,672744,53.71,0.194,0.197,0.0,1.0,0,0,3.0,40,3,Sweeper,1,3,3,1,4,1,4,1,Strategic,Standard,278.0,-0.012,-0.168,71.4,7.2,0.282,0.168,88.2,-2,2,0.136,0.864,28,23,28,23,1,2,2.0,1.0,1.0,1.0,3.21,-0.89,-0.89,11.5,10.523065960416083,-5.002994075150358,34.61587827171285,32.74053487715293,40.25987247213447,1,131.11449888258198,272.0532818820045,3.20024901074354,132.1112354242081,259.28289853881506,12.809222242799263
FF,2025-09-16,95.0,-2.86,4.42,"Canario, Alexander",683737,664875,double,hit_into_play,,,,,4.0,Michael Busch doubles (22) on a sharp fly ball to right fielder Alexander Canario. Matt Shaw to 3rd.,R,L,R,PIT,CHC,X,9,fly_ball,0,0,2025,-1.29,0.69,-0.32,2.16,,,807713.0,0,6,Top,144.75,40.05,,,,,9.55893009283706,-138.0942707367932,-1.7926194421041928,-18.601910653350235,31.09929743755782,-23.185636007684888,3.25,1.52,395.0,101.7,28.0,95.2,2532.0,6.5,776308,680779,687462,694377,669707,693304,669261,665833,672744,54.01,0.709,1.323,1.25,1.0,1,1,6.0,47,1,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,250.0,-0.046,0.73,66.5,7.1,2.533,-0.73,101.7,-3,3,0.112,0.888,30,27,31,28,1,3,2.0,1.0,3.0,1.0,1.85,1.29,-1.29,0.2,13.03893789002272,2.4656645630136578,39.16992149417053,37.98978014312178,29.111665758951894,0,47.901641778955884,392.0847264493742,4.39540678749786,132.1112354242081,259.28289853881506,157.25005932680685
