pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SI,2025-09-28,92.5,-2.47,5.41,"Crews, Dylan",666150,695418,double,hit_into_play,,,,,8.0,Dominic Fletcher doubles (5) on a sharp line drive to right fielder Dylan Crews.,R,L,R,WSH,CWS,X,9,line_drive,2,1,2025,-1.5,0.43,0.03,1.4,,,,2,2,Top,155.5,57.0,,,,,9.546428353049253,-134.29246650426873,-5.295405524015091,-20.20595665645535,28.072734997187244,-26.02970875482261,3.16,1.48,267.0,102.0,12.0,91.9,2195.0,6.0,776143,656180,605137,671277,691781,682928,695734,696285,686611,54.55,0.943,0.901,1.25,1.0,1,1,4.0,11,4,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,249.0,-0.018,0.544,70.4,6.6,1.134,-0.544,102.0,-2,2,0.323,0.677,25,27,25,28,1,0,5.0,1.0,,,2.24,1.5,-1.5,18.0,-2.7306233014512618,0.8171062333333055,37.75472588819187,33.918918761504564,27.497026098484938,0,55.60462572566311,261.14579375879083,2.025528910360611,129.31948830277784,265.14424365825425,73.82322511487445
CH,2025-09-28,87.1,-0.68,5.9,"Crews, Dylan",700337,666659,field_out,hit_into_play,,,,,2.0,Edgar Quero flies out to right fielder Dylan Crews.,R,L,R,WSH,CWS,X,9,fly_ball,1,1,2025,-1.28,0.79,0.22,2.8,,,,1,7,Top,175.62,94.19,,,,,4.815406346452752,-126.8348104467801,-2.920104848718496,-14.78400152614114,25.406207384542817,-23.22202088662479,3.27,1.53,288.0,97.4,47.0,87.4,2081.0,6.4,776143,656180,605137,671277,691781,682928,695734,696285,686611,54.1,0.017,0.029,0.0,1.0,0,0,3.0,51,3,Changeup,0,7,7,0,7,0,7,0,Standard,Strategic,230.0,0.0,-0.244,71.0,7.3,0.044,0.244,97.4,-7,7,0.008,0.992,25,22,26,22,1,3,2.0,1.0,,,2.2,1.28,-1.28,36.5,21.1779502340094,-14.657926999926897,32.88030732126644,32.99321487985776,37.222488405535614,1,125.11572021998977,259.40327012941304,6.52304482178257,129.31948830277784,265.14424365825425,7.1155072308812395
CU,2025-09-28,79.7,1.26,6.27,"Crews, Dylan",672820,680730,double,hit_into_play,,,,,14.0,Lenyn Sosa doubles (20) on a sharp line drive to right fielder Dylan Crews.,R,R,L,WSH,CWS,X,9,line_drive,0,2,2025,-0.2,-1.01,0.98,1.97,,,,0,8,Top,170.01,61.52,,,,,-0.2418083835824003,-116.1102329987614,-0.8146854776518857,-1.752176054598821,22.3406943480608,-41.39195238278591,3.32,1.59,357.0,106.5,18.0,80.5,2334.0,6.8,776143,656180,665953,671277,691781,682928,695734,696285,686611,53.68,0.591,0.748,1.25,1.0,1,1,6.0,56,3,Curveball,0,7,7,0,7,0,7,0,Standard,Standard,334.0,-0.001,0.81,74.0,7.5,1.201,-0.81,106.5,-7,7,0.003,0.997,25,25,26,25,1,3,4.0,1.0,,,4.6,-0.2,0.2,57.8,10.230011257540626,10.149450241486992,31.60518174880381,43.52427187708047,29.36360295084826,0,110.67198937755363,339.4123020269222,3.0613790663184557,129.31948830277784,265.14424365825425,76.57332244338171
CH,2025-09-26,87.6,2.84,5.81,"Crews, Dylan",681460,678606,field_out,hit_into_play,,,,,14.0,Brooks Baldwin lines out to right fielder Dylan Crews.,R,R,L,WSH,CWS,X,9,line_drive,1,2,2025,1.52,0.14,1.36,1.6,,,686676.0,2,9,Top,168.11,97.09,,,,,-6.654251286368494,-127.34858036898964,-4.274081597244291,17.867855217469113,26.95951680173916,-29.951630225300303,3.14,1.52,274.0,80.7,27.0,87.0,2218.0,6.0,776165,656180,665953,671277,657557,682928,695578,690987,686611,54.5,0.146,0.139,0.0,1.0,0,0,3.0,77,4,Changeup,9,10,10,9,10,9,10,9,Standard,Standard,93.0,0.017,-0.184,62.5,7.6,0.204,0.184,88.0,-1,1,0.177,0.823,25,24,25,25,1,4,2.0,1.0,1.0,1.0,2.84,1.52,-1.52,31.6,5.610557330839225,4.25573313334246,29.308171561159675,50.95501552262542,26.94724294863711,1,106.51386690453413,252.44959131882783,3.3951592302998455,129.31948830277784,265.14424365825425,26.10077710297026
FF,2025-09-26,97.3,-2.82,6.06,"Crews, Dylan",681460,676917,double,hit_into_play,,,,,9.0,Brooks Baldwin doubles (14) on a sharp line drive to right fielder Dylan Crews. Kyle Teel scores. Miguel Vargas scores.,R,L,R,WSH,CWS,X,9,line_drive,1,0,2025,-0.54,1.31,0.62,1.68,691019.0,678246.0,,2,1,Top,200.0,101.0,,,,,10.501284450168365,-141.108140614458,-9.247068991577487,-9.481069289842548,31.120116634568003,-12.688621998567712,3.14,1.52,179.0,100.0,12.0,97.8,2335.0,6.7,776165,656180,605137,671277,657557,682928,695578,690987,686611,53.83,0.94,0.909,1.25,1.0,1,1,4.0,6,2,4-Seam Fastball,0,1,1,0,3,0,3,0,Standard,Standard,215.0,-0.156,0.862,73.9,7.5,1.154,-0.862,100.0,-1,1,0.391,0.609,26,24,27,25,1,0,6.0,1.0,,1.0,1.11,0.54,-0.54,36.6,13.76272193944766,-3.198101932295371,39.23828604854034,30.118151930890487,31.52382642736416,0,108.91507138801954,142.05107259201745,1.9892948779528485,129.31948830277784,265.14424365825425,124.77286961825119
KC,2025-09-26,87.7,-2.76,6.15,"Crews, Dylan",678246,676917,single,hit_into_play,,,,,4.0,Miguel Vargas singles on a line drive to right fielder Dylan Crews. Chase Meidroth scores. Kyle Teel to 2nd.,R,R,R,WSH,CWS,X,9,line_drive,0,2,2025,0.34,-0.95,-0.44,2.44,805367.0,,691019.0,1,1,Top,161.95,128.37,,,,,4.913337767260054,-127.68985722003924,-0.913361490159917,2.7291735228174168,25.42879072355532,-42.64598752451063,3.41,1.6,157.0,71.7,16.0,88.0,2373.0,6.4,776165,656180,605137,671277,657557,682928,695578,690987,686611,54.14,0.606,0.56,0.9,1.0,1,0,4.0,4,4,Knuckle Curve,0,0,0,0,1,0,1,0,Standard,Standard,38.0,-0.07,0.591,66.2,6.5,0.659,-0.591,88.0,0,0,0.436,0.564,26,25,27,26,1,0,6.0,1.0,,1.0,3.9,-0.34,-0.34,44.1,-2.075581103021444,15.43445403705755,37.79466545925916,29.77252755610486,25.699259533896992,0,72.71740821468117,139.14445207243952,1.899980595072936,129.31948830277784,265.14424365825425,138.1294427338649
FF,2025-09-26,91.1,1.69,5.54,"Crews, Dylan",666150,829272,field_out,hit_into_play,,,,,5.0,Dominic Fletcher lines out to right fielder Dylan Crews.,R,L,L,WSH,CWS,X,9,line_drive,3,1,2025,0.69,1.16,-0.22,2.58,,,,0,6,Top,209.29,97.23,,,,,-6.269041504063725,-132.547861084875,-4.010047293886548,9.501012529487516,29.20413278218637,-17.900668956264685,3.15,1.48,324.0,96.4,22.0,91.0,2182.0,6.3,776165,656180,605137,671277,657557,682928,695578,690987,686611,54.19,0.217,0.249,0.0,1.0,0,0,3.0,46,5,4-Seam Fastball,2,8,8,2,8,2,8,2,Standard,Standard,143.0,0.002,-0.439,71.5,7.2,0.409,0.439,96.4,-6,6,0.023,0.977,27,27,28,28,1,2,4.0,3.0,2.0,1.0,1.6,0.69,0.69,40.0,11.681590204943577,-16.744681521354813,22.30217854111368,36.819716519005205,39.4483961196091,1,206.93882735144217,249.3036737282666,3.348070860852669,129.31948830277784,265.14424365825425,79.219223993033
FF,2025-09-26,91.4,2.4,4.67,"Crews, Dylan",572191,676571,field_out,hit_into_play,,,,,12.0,Michael A. Taylor flies out to right fielder Dylan Crews.,R,R,L,WSH,CWS,X,9,fly_ball,0,0,2025,1.25,0.89,0.94,2.9,,,656537.0,2,8,Top,175.0,110.0,,,,,-6.417871546140731,-133.03216935757916,-0.5251005007082089,16.227134611397936,28.141883708829607,-21.665484493765668,3.56,1.66,252.0,79.2,45.0,91.8,2228.0,6.5,776165,656180,605137,671277,657557,682928,695578,690987,686611,53.99,0.04,0.036,0.0,1.0,0,0,3.0,64,1,4-Seam Fastball,5,8,8,5,8,5,8,5,Standard,Standard,108.0,0.006,-0.272,72.5,6.8,0.048,0.272,88.0,-3,3,0.073,0.927,28,34,29,34,1,0,4.0,1.0,2.0,1.0,1.83,1.25,-1.25,18.7,10.606927923034656,11.553623962735683,24.691437815144194,49.73561918261434,25.250118024850146,1,123.40990499349988,219.71343916450658,5.142098779670674,129.31948830277784,265.14424365825425,45.813547907124814
SL,2025-09-26,82.9,1.82,5.52,"Crews, Dylan",683770,829272,sac_fly_double_play,hit_into_play,,,,,11.0,"Will Robertson flies into a sacrifice double play, right fielder Dylan Crews to first baseman Josh Bell to third baseman Paul DeJong. Edgar Quero scores. Lenyn Sosa out at 3rd.",R,L,L,WSH,CWS,X,9,line_drive,1,0,2025,-0.09,0.54,-1.18,2.78,700337.0,672820.0,,1,5,Top,174.02,93.49,,,,,-6.688961047654633,-120.63538354566442,-0.8862682873621957,0.253729430243272,20.92635536595724,-26.91142642009984,3.56,1.59,288.0,85.8,21.0,83.3,2245.0,6.3,776165,656180,605137,671277,657557,682928,695578,690987,686611,54.22,0.454,0.409,0.0,1.0,0,0,3.0,39,2,Slider,1,7,7,1,8,1,8,1,Standard,Standard,162.0,0.0,-0.223,59.7,8.5,0.516,0.223,88.0,-6,6,0.022,0.978,27,27,28,28,1,2,4.0,1.0,2.0,,2.75,-0.09,-0.09,39.8,15.629933777502911,-14.27909570823373,20.01074203257942,48.956886748096174,33.31720340197395,0,121.18187937807227,261.2641424122306,2.8683362499379865,129.31948830277784,265.14424365825425,9.015312789406806
FF,2025-09-24,97.9,-1.75,6.49,"Crews, Dylan",805373,642759,field_out,hit_into_play,,,,,6.0,Nacho Alvarez Jr. lines out to right fielder Dylan Crews.,R,R,R,ATL,WSH,X,9,line_drive,0,0,2025,-0.19,1.14,0.39,2.72,,542303.0,,2,6,Bot,176.84,72.65,,,,,6.251712785424266,-142.3865612634095,-7.406095224666113,-3.8558976405532657,28.877630359606027,-15.219157769853776,3.35,1.54,338.0,98.4,21.0,98.8,2382.0,6.5,776200,595751,605137,671277,657557,682928,695734,690987,686611,53.96,0.346,0.437,0.0,1.0,0,0,5.0,49,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,193.0,-0.046,-0.29,66.3,7.5,0.695,0.29,98.4,-2,-2,0.222,0.222,29,22,30,22,1,2,1.0,1.0,3.0,2.0,1.22,0.19,0.19,47.0,1.5077689972443449,9.114106202394993,30.74016701027036,42.42874208003016,23.33752491831201,1,128.0418930175766,312.808685353325,3.2719919897932286,129.31948830277784,265.14424365825425,47.681560920502264
