pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-28,94.8,2.88,5.22,"Fernández, Yanquiel",672275,678821,single,hit_into_play,,,,,4.0,Patrick Bailey singles on a line drive to right fielder Yanquiel Fernández. Bryce Eldridge to 2nd.,R,R,L,SF,COL,X,9,line_drive,0,0,2025,1.09,1.39,-0.57,2.12,,,805811.0,2,4,Bot,169.92,105.8,,,,,-11.352384809630673,-137.53144703386005,-5.478410678345703,16.27333410757977,29.99185342725656,-13.43860396732176,3.3,1.58,171.0,84.8,9.0,94.2,2266.0,6.1,776137,696100,688760,690022,691720,678662,687597,686668,692585,54.42,0.466,0.429,0.9,1.0,1,0,4.0,29,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,134.0,0.013,0.346,68.5,6.7,0.512,-0.346,88.0,2,2,0.776,0.776,24,26,24,26,1,1,3.0,2.0,,,1.16,1.09,-1.09,22.0,-5.767719012443188,7.863048488045504,40.09945846387301,29.724350186837228,18.04739924742456,0,74.15190750500841,154.0859974604074,1.347803765730997,135.28916892238493,265.5199442081336,127.1034587310342
FF,2025-09-28,94.4,2.82,5.2,"Fernández, Yanquiel",808982,678821,double_play,hit_into_play,,,,,12.0,"Jung Hoo Lee flies into a double play, right fielder Yanquiel Fernández to third baseman Kyle Karros. Matt Chapman out at 3rd.",R,L,L,SF,COL,X,9,fly_ball,1,2,2025,1.21,1.23,0.83,2.58,,656305.0,805811.0,0,4,Bot,157.02,83.58,,,,,-7.810522839593248,-137.28061028430454,-3.823213952008525,17.03280433107947,31.66622657276361,-15.95478222124433,3.39,1.55,297.0,82.2,36.0,93.7,2239.0,6.0,776137,696100,688760,690022,691720,678662,687597,686668,692585,54.52,0.014,0.015,0.0,1.0,0,0,3.0,28,4,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,124.0,-0.072,-0.172,69.3,7.8,0.026,0.172,88.0,2,2,0.848,0.848,24,26,24,27,1,1,3.0,1.0,,,1.34,1.21,1.21,23.5,16.598344136163742,-10.897451881450488,39.92558565283913,20.68993447166493,31.631007949302152,0,78.89130826473736,286.33051091401035,4.446945384554397,135.28916892238493,265.5199442081336,60.114876473125825
FF,2025-09-27,91.1,2.57,6.04,"Fernández, Yanquiel",668800,607536,field_out,hit_into_play,,,,,5.0,Andrew Knizner flies out to right fielder Yanquiel Fernández.,R,R,L,SF,COL,X,9,fly_ball,1,0,2025,0.83,1.32,0.24,2.51,,,,2,5,Bot,186.06,81.46,,,,,-7.667987156791123,-132.4237822199419,-5.855794439355818,11.33185470590433,26.215590936710885,-15.53001910279256,3.25,1.47,326.0,97.2,46.0,91.9,2350.0,6.6,776146,696100,688760,690022,691720,678662,687597,686668,692585,53.86,0.009,0.008,0.0,1.0,0,0,3.0,39,2,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,144.0,-0.01,-0.299,73.8,6.8,0.014,0.299,97.2,1,1,0.677,0.677,32,30,32,30,2,1,6.0,3.0,,,1.41,0.83,-0.83,31.0,8.27341297920752,10.347669985476095,25.953860170119267,37.65381181469842,29.07272224628768,1,150.20364160392342,289.3352139801171,6.403776682368694,135.28916892238493,265.5199442081336,28.099974549467262
FC,2025-09-27,87.5,2.88,5.61,"Fernández, Yanquiel",527038,607536,field_out,hit_into_play,,,,,3.0,Wilmer Flores flies out to right fielder Yanquiel Fernández.,R,R,L,SF,COL,X,9,fly_ball,2,2,2025,-0.03,0.49,0.5,3.19,,,,1,4,Bot,175.68,97.41,,,,,-5.668276100155081,-127.402117798633,-0.7891534071593838,0.6933421686993121,23.957497548305504,-26.83750419962597,3.23,1.56,282.0,83.5,37.0,87.8,3015.0,6.3,776146,696100,688760,690022,691720,678662,687597,686668,692585,54.21,0.014,0.02,0.0,1.0,0,0,3.0,30,5,Cutter,3,2,3,2,2,3,3,2,Standard,Standard,216.0,-0.015,-0.228,65.3,6.3,0.032,0.228,88.0,1,1,0.67,0.67,32,33,32,34,2,1,6.0,4.0,,1.0,2.46,-0.03,0.03,22.4,-0.1475351371693628,7.46209133097304,25.1685955569586,36.37562869390513,22.966394063183905,1,125.77378417519941,252.39840572842445,4.621829640602565,135.28916892238493,265.5199442081336,16.208556967276852
FF,2025-09-27,92.8,2.53,5.95,"Fernández, Yanquiel",656305,607536,field_out,hit_into_play,,,,,6.0,Matt Chapman flies out to right fielder Yanquiel Fernández.,R,R,L,SF,COL,X,9,fly_ball,3,2,2025,0.9,1.27,0.29,2.34,,,,0,4,Bot,152.39,86.65,,,,,-7.718882226642412,-134.89489162072783,-6.315665647937855,12.588880155273374,25.994164147111167,-15.456035230108215,3.52,1.67,288.0,91.6,46.0,93.4,2325.0,6.5,776146,696100,688760,690022,691720,678662,687597,686668,692585,54.04,0.003,0.003,0.0,1.0,0,0,3.0,29,6,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,138.0,-0.02,-0.345,79.2,7.6,0.007,0.345,91.6,1,1,0.69,0.69,32,32,32,32,2,1,6.0,1.0,,1.0,1.36,0.9,-0.9,30.4,8.673772584124839,0.6211025906423914,25.052143484674872,40.081468552296286,25.464326395494524,1,67.64103186175511,279.94408514679685,6.038275314666859,135.28916892238493,265.5199442081336,69.16882454973613
ST,2025-09-27,82.9,2.68,5.89,"Fernández, Yanquiel",666464,607536,field_out,hit_into_play,,,,,9.0,Jerar Encarnacion flies out to right fielder Yanquiel Fernández.,R,R,L,SF,COL,X,9,fly_ball,0,2,2025,-0.48,-0.43,0.45,1.92,,,,1,2,Bot,187.65,84.93,,,,,-4.146967343111641,-120.73330045865468,-1.783816013009908,-3.999919425168784,21.83995787334661,-36.31874825183242,3.79,1.78,320.0,94.3,32.0,83.3,2425.0,6.3,776146,696100,688760,690022,691720,678662,687597,686668,692585,54.16,0.189,0.341,0.0,1.0,0,0,3.0,16,3,Sweeper,3,2,3,2,2,3,3,2,Standard,Standard,311.0,-0.014,-0.163,77.7,8.0,0.624,0.163,94.3,1,1,0.64,0.64,32,27,32,28,1,0,6.0,5.0,,,3.73,-0.48,0.48,31.2,10.724251823543083,9.760535971661511,38.92954737901592,40.99094956287574,34.779272323542216,1,154.01065020206315,280.5008371187825,4.596508752877432,135.28916892238493,265.5199442081336,23.97751058191138
KC,2025-09-27,82.8,2.7,5.82,"Fernández, Yanquiel",527038,607536,single,hit_into_play,,,,,9.0,Wilmer Flores singles on a line drive to right fielder Yanquiel Fernández. Matt Chapman to 2nd.,R,R,L,SF,COL,X,9,line_drive,0,1,2025,-0.16,-0.77,0.8,2.01,,,656305.0,0,2,Bot,183.56,99.61,,,,,-4.031357118006617,-120.5900163446406,-0.753994586228119,-0.7829979173361652,22.27873295502884,-39.77611205437634,3.23,1.56,247.0,96.1,14.0,83.2,2199.0,6.4,776146,696100,688760,690022,691720,678662,687597,686668,692585,54.12,0.903,0.865,0.9,1.0,1,0,4.0,13,2,Knuckle Curve,0,2,0,2,2,0,0,2,Standard,Standard,330.0,0.062,0.512,,,1.108,-0.512,96.1,-2,-2,0.372,0.372,32,33,32,34,1,0,6.0,4.0,,1.0,4.07,-0.16,0.16,29.4,,,,,,0,125.40171529958373,212.7989891891457,2.2042094224801785,135.28916892238493,265.5199442081336,53.6401047468887
FF,2025-09-26,93.6,-1.87,6.44,"Fernández, Yanquiel",646240,608566,double,hit_into_play,,,,,2.0,Rafael Devers doubles (32) on a fly ball to right fielder Yanquiel Fernández.,R,L,R,SF,COL,X,9,fly_ball,1,2,2025,-0.81,1.32,0.24,3.25,,,,2,2,Bot,210.16,85.68,,,,,7.080492045160359,-136.00325563711405,-5.25211597675582,-11.68683684442469,32.922071469732415,-14.858424225281288,3.49,1.65,346.0,98.5,27.0,91.6,2096.0,5.4,776166,690924,688760,690022,691720,678662,687597,686668,692585,55.1,0.483,0.805,1.25,1.0,1,1,6.0,19,4,4-Seam Fastball,5,0,5,0,0,5,5,0,Strategic,Standard,218.0,0.006,0.658,73.0,7.3,1.494,-0.658,98.5,5,5,0.917,0.917,30,28,30,29,2,1,6.0,2.0,,1.0,1.31,0.81,-0.81,46.0,31.429811127332805,-7.714075888512952,27.43876637681196,31.203811368784702,37.571578763745535,0,208.06720444552835,276.4489798031867,4.122226410210655,135.28916892238493,265.5199442081336,73.59406411964122
SI,2025-09-26,92.6,-2.06,6.3,"Fernández, Yanquiel",808982,608566,triple,hit_into_play,,,,,5.0,Jung Hoo Lee triples (12) on a sharp line drive to right fielder Yanquiel Fernández.,R,L,R,SF,COL,X,9,line_drive,3,2,2025,-1.41,0.8,-0.22,2.2,,,,1,2,Bot,190.45,56.25,,,,,7.607680767765833,-134.55021040367637,-6.314001885861404,-18.73264879696336,27.5127179371362,-21.31820775167766,3.39,1.55,385.0,102.0,22.0,91.2,2079.0,5.4,776166,690924,688760,690022,691720,678662,687597,686668,692585,55.1,0.543,0.769,1.6,1.0,1,2,6.0,15,8,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,223.0,0.053,0.995,73.0,8.0,1.31,-0.995,102.0,2,2,0.739,0.739,30,26,30,27,1,0,6.0,2.0,,1.0,1.86,1.41,-1.41,40.2,6.991423774966291,-20.26230277149845,32.50952596990089,32.04123553055122,36.7205822531368,0,160.284747135432,350.0482821493781,3.5363632447982165,135.28916892238493,265.5199442081336,88.14657591372332
SL,2025-09-26,88.4,-1.28,5.8,"Fernández, Yanquiel",671218,677955,field_out,hit_into_play,,,,,12.0,Heliot Ramos flies out to right fielder Yanquiel Fernández. Patrick Bailey to 3rd.,R,R,R,SF,COL,X,9,fly_ball,0,2,2025,0.32,-0.01,0.86,2.54,,672275.0,687529.0,1,6,Bot,190.7,76.99,,,,,4.549751439569017,-128.70955459874722,-1.8373201967014257,2.5877512537690346,27.110317764538927,-32.16319255349742,3.06,1.43,340.0,96.0,37.0,88.0,2444.0,6.0,776166,690924,688760,690022,691720,678662,687597,686668,692585,54.45,0.091,0.167,0.0,1.0,0,0,3.0,51,3,Slider,6,3,6,3,3,6,6,3,Standard,Standard,113.0,-0.011,-0.155,73.6,6.8,0.314,0.155,96.0,3,3,0.929,0.929,25,25,26,26,1,3,3.0,2.0,2.0,1.0,2.93,-0.32,-0.32,26.4,9.15850048562844,3.3695219453218064,27.49413628522869,44.149758548768965,26.8115434468988,1,161.14683159387016,299.3855351670432,5.302500532585842,135.28916892238493,265.5199442081336,42.608649002620346
