pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FS,2025-07-29,83.6,-1.53,5.52,"Joe, Connor",660271,641941,field_out,hit_into_play,,,,,5.0,Shohei Ohtani lines out to right fielder Connor Joe.,R,L,R,CIN,LAD,X,9,line_drive,2,2,2025,-0.51,0.2,-0.17,2.32,,,681546.0,1,9,Top,190.73,95.34,,,,,4.204258046329308,-121.78120640704049,-1.4281130901059007,-5.8224336456841845,21.626392487921024,-30.111182792475763,3.53,1.62,303.0,87.2,25.0,85.4,939.0,7.2,776963,624431,668715,680574,669289,682829,666158,666181,656582,53.33,0.08,0.072,0.0,1.0,0,0,3.0,73,5,Split-Finger,4,4,4,4,4,4,4,4,Infield shade,Standard,245.0,0.072,-0.222,71.4,8.6,0.124,0.222,88.0,0,0,0.498,0.502,34,30,34,31,1,4,2.0,1.0,2.0,1.0,3.03,0.51,-0.51,42.4,18.20731958721869,-8.05237580668402,34.076584566714374,43.2330560229814,29.059799715399805,1,162.3353812095164,255.84414006883367,3.4144756899014306,137.555167896266,258.7036447076656,24.944653507910157
FC,2025-07-29,96.6,-0.12,6.59,"Joe, Connor",605141,668933,single,hit_into_play,,,,,11.0,Mookie Betts singles on a fly ball to right fielder Connor Joe. Michael Conforto to 2nd.,R,R,R,CIN,LAD,X,9,fly_ball,0,2,2025,0.05,0.62,-0.47,3.43,,,624424.0,1,7,Top,159.19,108.2,,,,,-1.0348632203921342,-140.89184617695776,-4.295342238312006,0.8957925378543239,27.26383300600529,-23.2310314208801,3.2,1.48,228.0,67.6,32.0,95.7,2559.0,5.3,776963,624431,668715,680574,669289,682829,666158,666181,656582,55.19,0.929,0.851,0.9,1.0,1,0,4.0,56,3,Cutter,4,2,2,4,2,4,2,4,Standard,Standard,190.0,-0.06,0.495,58.4,5.4,0.981,-0.495,88.0,2,-2,0.818,0.182,27,32,27,33,1,3,3.0,1.0,2.0,1.0,1.79,-0.05,-0.05,54.9,3.835677773251462,15.09602613496462,28.51608451558904,32.29813150745658,20.74338870570567,0,80.04315689288777,213.48792245609715,3.3221091209552522,137.555167896266,258.7036447076656,73.15799989326992
FF,2025-07-29,96.6,-1.48,5.63,"Joe, Connor",605141,641941,field_out,hit_into_play,,,,,6.0,Mookie Betts flies out to right fielder Connor Joe.,R,R,R,CIN,LAD,X,9,fly_ball,0,1,2025,-0.6,1.52,0.3,2.32,,,681546.0,0,9,Top,174.61,129.0,,,,,6.15363014605334,-140.43538143014885,-6.729146786245947,-9.370174763337213,33.34229765762148,-10.765693062227044,3.2,1.48,213.0,89.2,58.0,97.2,2665.0,6.8,776963,624431,668715,680574,669289,682829,666158,666181,656582,53.73,0.02,0.024,0.0,1.0,0,0,3.0,72,2,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,208.0,0.08,-0.2,65.1,7.2,0.035,0.2,89.2,0,0,0.418,0.582,34,32,34,33,1,4,2.0,1.0,2.0,1.0,0.94,0.6,0.6,41.7,11.470740948565718,-12.283185008283963,38.01062914530748,40.922526497833886,31.58544967919889,1,123.32420317261953,173.66675246528467,6.923640433908109,137.555167896266,258.7036447076656,86.2194490773861
ST,2025-07-18,81.1,1.81,4.92,"Joe, Connor",677595,594580,field_error,hit_into_play,,,,,5.0,Ronny Mauricio reaches on a fielding error by right fielder Connor Joe. Brandon Nimmo scores.,R,R,L,NYM,CIN,X,9,line_drive,1,0,2025,-1.31,0.3,-0.2,2.79,,607043.0,,2,9,Bot,164.27,91.8,,,,,-1.9378928910102973,-118.16074421899287,1.16950368351612,-11.919502310221912,22.730418512667413,-29.77622376821137,3.87,1.8,284.0,97.4,17.0,78.3,3010.0,4.3,777111,624431,668715,680574,682622,682829,669720,670770,656582,56.22,0.526,0.541,0.9,1.0,0,0,4.0,78,2,Sweeper,2,8,2,8,8,3,3,8,Standard,Standard,302.0,0.0,0.436,64.6,6.5,0.76,-0.436,97.4,-6,-6,0.001,0.001,33,24,33,24,1,3,8.0,5.0,3.0,1.0,3.16,-1.31,1.31,13.1,-0.4309373787367785,13.711532726011107,25.92745957371559,32.82275074018282,26.22033487100704,0,97.35072910273688,266.7936197572302,2.6662187838167037,137.555167896266,258.7036447076656,41.01029864564762
SI,2025-07-13,92.0,-1.58,6.15,"Joe, Connor",671289,607259,field_out,hit_into_play,,,,,5.0,Tyler Freeman flies out to right fielder Connor Joe in foul territory.,R,R,R,CIN,COL,X,9,fly_ball,1,1,2025,-1.05,1.13,0.05,2.32,,,690022.0,2,5,Top,205.97,135.47,,,,,6.343295151435883,-133.7565346804328,-6.2985018033990245,-13.907681030260685,26.539712852080747,-17.463182441833418,3.25,1.51,270.0,90.5,50.0,91.6,2330.0,5.9,777128,663886,668715,680574,669289,682829,669720,670770,656582,54.59,0.009,0.011,0.0,1.0,0,0,3.0,37,3,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,209.0,0.031,-0.257,77.0,7.2,0.016,0.257,90.5,0,0,0.534,0.466,34,26,35,26,3,2,5.0,1.0,6.0,5.0,1.55,1.05,1.05,54.0,1.5431536458082231,-1.827358451800816,36.86023288418384,36.8334955437721,30.04208178020444,1,212.93279439244978,166.01091853315765,6.349976695327239,137.555167896266,258.7036447076656,119.47270843946117
SI,2025-07-13,93.6,-1.74,6.01,"Joe, Connor",571657,607259,field_out,hit_into_play,,,,,8.0,Kyle Farmer flies out to right fielder Connor Joe.,R,R,R,CIN,COL,X,9,fly_ball,3,1,2025,-0.99,1.17,-0.04,1.94,,,,0,5,Top,180.95,72.92,,,,,6.548743436445461,-136.0450200566215,-7.323958577802475,-13.741380689079032,28.8898992625018,-16.258547730202896,3.36,1.58,340.0,95.3,28.0,93.3,2349.0,6.1,777128,663886,668715,680574,669289,682829,669720,670770,656582,54.39,0.171,0.282,0.0,1.0,0,0,5.0,34,5,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,211.0,0.03,-0.439,70.8,6.8,0.51,0.439,95.3,0,0,0.5,0.5,34,34,35,35,2,1,5.0,2.0,6.0,7.0,1.43,0.99,0.99,48.3,2.250569596063401,3.843127401005314,39.00632108738935,35.63278649563304,29.163138325295986,1,137.71191656705037,310.8623940514995,4.124262326472453,137.555167896266,258.7036447076656,52.15898487565384
FC,2025-07-13,89.0,-1.58,6.11,"Joe, Connor",641857,607259,field_out,hit_into_play,,,,,6.0,Ryan McMahon lines out to right fielder Connor Joe.,R,L,R,CIN,COL,X,9,line_drive,2,2,2025,0.01,0.9,0.64,2.65,,,,0,4,Top,158.2,94.74,,,,,5.362569018210856,-129.5899030236956,-4.395495526208622,-0.8586697418169272,22.6852617989635,-21.291688329512,3.52,1.58,272.0,79.1,27.0,88.8,2332.0,5.8,777128,663886,668715,680574,669289,682829,669720,670770,656582,54.75,0.289,0.268,0.0,1.0,0,0,3.0,27,6,Cutter,2,2,2,2,2,2,2,2,Infield shade,Standard,205.0,0.027,-0.233,77.7,7.4,0.335,0.233,88.0,0,0,0.5,0.5,34,30,35,31,2,1,5.0,1.0,6.0,5.0,1.94,-0.01,0.01,53.5,14.419748072581834,-0.6911640649768561,39.249185919860174,34.81232625559698,27.09065286580233,1,82.10429967049458,259.31232900812415,3.3300086858138584,137.555167896266,258.7036447076656,55.45420888958286
SL,2025-06-15,86.5,-0.34,6.26,"Joe, Connor",693307,668933,field_out,hit_into_play,,,,,8.0,Dillon Dingler lines out to right fielder Connor Joe.,R,R,R,DET,CIN,X,9,line_drive,0,0,2025,0.81,-0.02,-0.2,2.04,,682985.0,,2,7,Bot,172.84,76.1,,,,,-1.3055039529880044,-126.07279708608658,-3.8231622568555066,8.925252250725878,25.12765397870138,-31.815005149507773,3.45,1.51,326.0,94.7,24.0,85.4,2930.0,5.4,777505,663886,687952,666158,669289,680574,668715,670770,656582,55.06,0.2,0.26,0.0,1.0,0,0,5.0,58,1,Slider,4,2,4,2,2,4,4,2,Standard,Standard,42.0,-0.017,-0.29,71.3,7.2,0.416,0.29,94.7,2,2,0.887,0.887,27,26,27,27,1,3,1.0,1.0,20.0,2.0,3.05,-0.81,-0.81,52.9,1.0213977897619293,6.245636311807629,45.49785732375883,36.07772363974586,21.405729709994063,1,117.96178356355927,303.9095549970484,3.564042331745313,137.555167896266,258.7036447076656,49.26941277000249
FC,2025-06-15,96.5,-0.03,6.43,"Joe, Connor",595879,668933,double,hit_into_play,,,,,7.0,Javier Báez doubles (12) on a line drive to right fielder Connor Joe.,R,R,R,DET,CIN,X,9,line_drive,0,2,2025,0.18,0.85,-0.66,1.91,,,,0,7,Bot,180.78,146.45,,,,,-2.045783755979074,-140.5100773168077,-8.311961173298654,2.8201413884067428,28.111465570891323,-19.36466566205413,3.5,1.66,191.0,72.4,20.0,95.4,2720.0,5.3,777505,663886,687952,666158,669289,680574,668715,670770,656582,55.15,0.957,0.871,1.25,1.0,1,1,4.0,53,4,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,182.0,0.11,0.81,74.5,7.3,1.022,-0.81,88.0,0,0,0.586,0.586,27,32,27,33,1,2,1.0,1.0,20.0,2.0,1.57,-0.18,-0.18,56.6,-7.537495250635376,12.032115831847769,42.05985139730661,31.18526794204673,16.74095002200546,0,139.44210822156865,130.52547052098427,2.337382118501871,137.555167896266,258.7036447076656,128.19206247510988
SI,2025-06-13,91.4,-1.26,6.2,"Joe, Connor",679529,607259,single,hit_into_play,,,,,8.0,Spencer Torkelson singles on a line drive to right fielder Connor Joe.,R,R,R,DET,CIN,X,9,line_drive,0,0,2025,-1.24,1.56,-0.2,2.25,,,,2,3,Bot,170.6,112.67,,,,,5.31452894721542,-132.7918133323494,-7.30525728430572,-15.845976319783114,32.70120532597054,-12.29828540121517,3.59,1.65,244.0,78.4,24.0,90.2,2348.0,6.0,777538,663886,687952,680574,669289,682829,668715,670770,656582,54.52,0.674,0.607,0.9,1.0,1,0,4.0,26,1,Sinker,2,1,2,1,1,2,2,1,Infield shade,Standard,198.0,0.012,0.328,72.7,7.3,0.736,-0.328,88.0,1,1,0.638,0.638,34,25,35,26,2,1,6.0,1.0,6.0,2.0,1.21,1.24,1.24,63.6,-2.089697008629826,2.923205144104506,48.6119254706769,34.340423012900345,19.480817339313155,0,113.89348464686323,215.7875671928175,2.970060985200279,137.555167896266,258.7036447076656,49.00678487164321
