pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-01,94.7,1.77,5.81,"Johnson, Daniel",578428,669211,field_out,hit_into_play,,,,,2.0,Jose Iglesias flies out to right fielder Daniel Johnson.,R,R,L,SD,BAL,X,9,fly_ball,1,2,2025,0.98,1.38,-0.11,3.05,,,,0,9,Bot,179.57,102.08,,,,,-7.061821807151156,-137.61628565563154,-4.532571920886258,14.021523525642769,32.23175891575404,-13.903292244811244,3.27,1.42,275.0,87.6,43.0,94.1,2389.0,6.2,776494,656577,691723,702616,676679,683002,687637,666185,669288,54.34,0.001,0.0,0.0,1.0,0,0,3.0,73,6,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,136.0,-0.086,-0.19,72.7,6.1,0.001,0.19,88.0,-1,-1,0.194,0.194,30,35,30,35,1,3,5.0,1.0,2.0,2.0,1.18,0.98,-0.98,36.5,2.439268355083082,2.210951972737964,25.195006278273134,35.56690374021643,26.34552532426021,1,134.9034469128002,239.63735103494466,5.480854677094552,135.28916892238493,265.5199442081336,25.885467174410536
FF,2025-09-01,94.7,1.77,5.81,"Johnson, Daniel",578428,669211,field_out,hit_into_play,,,,,2.0,Jose Iglesias flies out to right fielder Daniel Johnson.,R,R,L,SD,BAL,X,9,fly_ball,1,2,2025,0.98,1.38,-0.11,3.05,,,,0,9,Bot,179.57,102.08,,,,,-7.061821807151156,-137.61628565563154,-4.532571920886258,14.021523525642769,32.23175891575404,-13.903292244811244,3.27,1.42,275.0,87.6,43.0,94.1,2389.0,6.2,776494,656577,691723,702616,676679,683002,687637,666185,669288,54.34,0.001,0.0,0.0,1.0,0,0,3.0,73,6,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,136.0,-0.086,-0.19,72.7,6.1,0.001,0.19,88.0,-1,-1,0.194,0.194,30,35,30,35,1,3,5.0,1.0,2.0,2.0,1.18,0.98,-0.98,36.5,2.439268355083082,2.210951972737964,25.195006278273134,35.56690374021643,26.34552532426021,1,134.9034469128002,239.63735103494466,5.480854677094552,134.38118792290584,263.7379311597569,24.106238130513443
SL,2025-08-15,83.1,-1.09,6.15,"Johnson, Daniel",673237,687064,field_out,hit_into_play,,,,,3.0,Yainer Diaz flies out sharply to right fielder Daniel Johnson.,R,R,R,HOU,BAL,X,9,fly_ball,1,0,2025,0.38,0.05,0.55,2.79,,,,1,8,Bot,182.16,61.56,,,,,3.027854713554739,-121.02149088274584,-1.3340120623302494,3.118931790275746,24.065631486532936,-31.6094682295743,3.17,1.49,366.0,100.6,36.0,83.4,2004.0,6.5,776733,668939,691723,702616,676059,683002,666185,656185,669288,54.03,0.406,0.798,0.0,1.0,0,0,5.0,60,2,Slider,0,7,0,7,7,0,0,7,Standard,Standard,110.0,-0.001,-0.294,77.6,7.0,1.551,0.294,100.6,-7,-7,0.002,0.002,26,26,27,27,3,2,6.0,2.0,6.0,1.0,3.25,-0.38,-0.38,50.5,12.248033017936182,16.202025229537124,22.442692368391253,41.67914446905256,33.3973655063873,1,140.30030875160827,338.041156317102,5.425418501198496,135.28916892238493,265.5199442081336,72.69413819656994
SL,2025-08-15,83.1,-1.09,6.15,"Johnson, Daniel",673237,687064,field_out,hit_into_play,,,,,3.0,Yainer Diaz flies out sharply to right fielder Daniel Johnson.,R,R,R,HOU,BAL,X,9,fly_ball,1,0,2025,0.38,0.05,0.55,2.79,,,,1,8,Bot,182.16,61.56,,,,,3.027854713554739,-121.02149088274584,-1.3340120623302494,3.118931790275746,24.065631486532936,-31.6094682295743,3.17,1.49,366.0,100.6,36.0,83.4,2004.0,6.5,776733,668939,691723,702616,676059,683002,666185,656185,669288,54.03,0.406,0.798,0.0,1.0,0,0,5.0,60,2,Slider,0,7,0,7,7,0,0,7,Standard,Standard,110.0,-0.001,-0.294,77.6,7.0,1.551,0.294,100.6,-7,-7,0.002,0.002,26,26,27,27,3,2,6.0,2.0,6.0,1.0,3.25,-0.38,-0.38,50.5,12.248033017936182,16.202025229537124,22.442692368391253,41.67914446905256,33.3973655063873,1,140.30030875160827,338.041156317102,5.425418501198496,134.38118792290584,263.7379311597569,74.53861589919616
FF,2025-08-14,93.9,1.66,6.42,"Johnson, Daniel",641487,608650,field_out,hit_into_play,,,,,3.0,J.P. Crawford flies out to right fielder Daniel Johnson.,R,L,L,BAL,SEA,X,9,fly_ball,2,0,2025,0.47,1.47,0.64,3.11,,686527.0,641598.0,0,9,Top,176.11,125.05,,,,,-3.702870196311199,-136.7156747821372,-6.104535743905707,6.761170679956245,29.37933282404152,-12.571310622781048,3.3,1.55,223.0,86.5,58.0,94.1,2055.0,6.3,776750,656577,691723,702616,676059,683002,666185,656185,669288,54.2,0.011,0.01,0.0,1.0,0,0,3.0,69,3,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,154.0,0.063,-0.385,71.5,7.4,0.011,0.385,88.0,3,-3,0.858,0.142,34,30,34,30,1,3,1.0,1.0,2.0,1.0,1.11,0.47,0.47,47.1,16.396160040887764,-17.54074670316126,29.22319929342588,30.17558008005051,45.215941221091946,1,126.93252314709524,183.34976020576667,6.715717559661144,135.28916892238493,265.5199442081336,82.5940231953651
FF,2025-08-14,93.9,1.66,6.42,"Johnson, Daniel",641487,608650,field_out,hit_into_play,,,,,3.0,J.P. Crawford flies out to right fielder Daniel Johnson.,R,L,L,BAL,SEA,X,9,fly_ball,2,0,2025,0.47,1.47,0.64,3.11,,686527.0,641598.0,0,9,Top,176.11,125.05,,,,,-3.702870196311199,-136.7156747821372,-6.104535743905707,6.761170679956245,29.37933282404152,-12.571310622781048,3.3,1.55,223.0,86.5,58.0,94.1,2055.0,6.3,776750,656577,691723,702616,676059,683002,666185,656185,669288,54.2,0.011,0.01,0.0,1.0,0,0,3.0,69,3,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,154.0,0.063,-0.385,71.5,7.4,0.011,0.385,88.0,3,-3,0.858,0.142,34,30,34,30,1,3,1.0,1.0,2.0,1.0,1.11,0.47,0.47,47.1,16.396160040887764,-17.54074670316126,29.22319929342588,30.17558008005051,45.215941221091946,1,126.93252314709524,183.34976020576667,6.715717559661144,134.38118792290584,263.7379311597569,80.7325252687562
FC,2025-08-14,85.6,1.78,6.45,"Johnson, Daniel",686527,608650,single,hit_into_play,,,,,12.0,Dominic Canzone singles on a line drive to right fielder Daniel Johnson.,R,L,L,BAL,SEA,X,9,line_drive,2,2,2025,-0.06,0.27,1.21,2.84,,,,0,9,Top,189.42,126.6,,,,,-1.2199807002697975,-124.64341398699014,-2.792483793688806,-0.3962142948486675,24.95443249274538,-29.063586308023524,3.27,1.47,172.0,72.9,18.0,85.6,2184.0,6.3,776750,656577,691723,702616,676059,683002,666185,656185,669288,54.23,0.894,0.817,0.9,1.0,1,0,4.0,67,5,Cutter,5,2,2,5,2,5,2,5,Standard,Standard,238.0,-0.036,0.465,68.3,6.8,0.96,-0.465,88.0,3,-3,0.969,0.031,34,27,34,28,1,3,1.0,1.0,2.0,1.0,2.84,-0.06,-0.06,49.0,15.095657905084156,-3.929604333403421,36.36735463601693,23.049830227990515,34.367506636750775,0,114.56360515758467,128.29333721318903,2.140942921736285,135.28916892238493,265.5199442081336,138.78289037454786
FC,2025-08-14,85.6,1.78,6.45,"Johnson, Daniel",686527,608650,single,hit_into_play,,,,,12.0,Dominic Canzone singles on a line drive to right fielder Daniel Johnson.,R,L,L,BAL,SEA,X,9,line_drive,2,2,2025,-0.06,0.27,1.21,2.84,,,,0,9,Top,189.42,126.6,,,,,-1.2199807002697975,-124.64341398699014,-2.792483793688806,-0.3962142948486675,24.95443249274538,-29.063586308023524,3.27,1.47,172.0,72.9,18.0,85.6,2184.0,6.3,776750,656577,691723,702616,676059,683002,666185,656185,669288,54.23,0.894,0.817,0.9,1.0,1,0,4.0,67,5,Cutter,5,2,2,5,2,5,2,5,Standard,Standard,238.0,-0.036,0.465,68.3,6.8,0.96,-0.465,88.0,3,-3,0.969,0.031,34,27,34,28,1,3,1.0,1.0,2.0,1.0,2.84,-0.06,-0.06,49.0,15.095657905084156,-3.929604333403421,36.36735463601693,23.049830227990515,34.367506636750775,0,114.56360515758467,128.29333721318903,2.140942921736285,134.38118792290584,263.7379311597569,136.88672183966932
ST,2025-08-14,85.7,-1.38,5.88,"Johnson, Daniel",677594,669704,field_out,hit_into_play,,,,,5.0,Julio Rodríguez lines out sharply to right fielder Daniel Johnson.,R,R,R,BAL,SEA,X,9,line_drive,0,2,2025,1.16,0.19,0.1,2.51,,,,0,8,Top,171.4,85.39,,,,,1.1502853438155125,-124.7559975419139,-2.066530115276903,11.837656633382108,26.2251330118047,-29.97518826648441,3.42,1.59,304.0,110.0,13.0,85.5,2764.0,6.2,776750,656577,691723,702616,676059,683002,666185,656185,669288,54.27,0.817,0.829,0.0,1.0,0,0,5.0,61,3,Sweeper,5,2,2,5,2,5,2,5,Standard,Standard,64.0,0.021,-0.165,78.2,7.1,1.135,0.165,110.0,3,-3,0.935,0.065,27,24,28,25,1,3,5.0,1.0,2.0,1.0,2.92,-1.16,-1.16,46.1,-2.635123017511354,10.311860374887765,32.48035896649672,40.30288986295317,24.126865301776363,1,114.68082384579631,281.5391778102107,2.3358267702310282,135.28916892238493,265.5199442081336,26.102102060823942
ST,2025-08-14,85.7,-1.38,5.88,"Johnson, Daniel",677594,669704,field_out,hit_into_play,,,,,5.0,Julio Rodríguez lines out sharply to right fielder Daniel Johnson.,R,R,R,BAL,SEA,X,9,line_drive,0,2,2025,1.16,0.19,0.1,2.51,,,,0,8,Top,171.4,85.39,,,,,1.1502853438155125,-124.7559975419139,-2.066530115276903,11.837656633382108,26.2251330118047,-29.97518826648441,3.42,1.59,304.0,110.0,13.0,85.5,2764.0,6.2,776750,656577,691723,702616,676059,683002,666185,656185,669288,54.27,0.817,0.829,0.0,1.0,0,0,5.0,61,3,Sweeper,5,2,2,5,2,5,2,5,Standard,Standard,64.0,0.021,-0.165,78.2,7.1,1.135,0.165,110.0,3,-3,0.935,0.065,27,24,28,25,1,3,5.0,1.0,2.0,1.0,2.92,-1.16,-1.16,46.1,-2.635123017511354,10.311860374887765,32.48035896649672,40.30288986295317,24.126865301776363,1,114.68082384579631,281.5391778102107,2.3358267702310282,134.38118792290584,263.7379311597569,26.55162381250833
