pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-09-20,89.0,-2.25,6.09,"Johnston, Troy",669701,800049,field_out,hit_into_play,,,,,2.0,Josh Smith flies out to right fielder Troy Johnston.,R,L,R,TEX,MIA,X,9,fly_ball,0,1,2025,-0.58,1.08,-0.02,3.19,,,,0,4,Bot,174.6,124.97,,,,,6.651518097106955,-129.4532164989681,-3.2802128410502656,-7.9478151000573405,29.052835397065863,-19.52648217749108,3.27,1.54,222.0,92.4,58.0,88.1,1731.0,5.9,776242,682663,676572,669364,681393,672640,681715,805300,687859,54.57,0.011,0.014,0.0,1.0,0,0,3.0,34,2,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,218.0,-0.027,-0.22,68.8,6.6,0.021,0.22,92.4,0,0,0.559,0.559,24,27,24,28,2,1,6.0,1.0,,1.0,1.81,0.58,-0.58,49.2,16.85784609387509,-16.958648632348655,28.14046371358852,34.204889102237104,38.65627057064295,1,123.68847138446291,184.3506497047811,7.1701299467013415,150.99999999999997,261.5396719429005,81.8783533627429
ST,2025-09-17,86.1,3.21,5.52,"Johnston, Troy",671289,677960,field_out,hit_into_play,,,,,7.0,Tyler Freeman flies out to right fielder Troy Johnston.,R,R,L,COL,MIA,X,9,fly_ball,1,1,2025,-0.39,0.47,-0.33,1.83,,,,1,4,Bot,153.37,107.18,,,,,-7.5699267516707875,-125.28411414162083,-3.476366675206999,-2.656223542520183,24.17899611809507,-26.772834108132923,3.32,1.55,240.0,89.1,54.0,85.8,2616.0,6.0,776277,689414,688363,691594,681393,672640,681715,805300,687859,54.52,0.011,0.01,0.0,1.0,0,0,3.0,39,3,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,258.0,-0.022,-0.244,72.5,7.5,0.015,0.244,89.1,-1,-1,0.391,0.391,25,26,26,26,3,2,6.0,1.0,7.0,1.0,2.6,-0.39,0.39,37.1,10.082896353846948,-11.346262631745386,40.98364718029031,33.75827151793861,37.25357847364192,1,70.4018121290055,229.44189863438677,6.600166272820208,150.99999999999997,261.5396719429005,86.75445198635546
FF,2025-09-17,97.2,2.94,5.76,"Johnston, Troy",571657,677960,single,hit_into_play,,,,,6.0,Kyle Farmer singles on a sharp line drive to right fielder Troy Johnston. Blaine Crim to 2nd.,R,R,L,COL,MIA,X,9,line_drive,0,1,2025,0.71,0.9,0.52,2.55,,,688760.0,2,3,Bot,182.91,122.12,,,,,-8.040587665710605,-141.41387480030636,-5.200567582390377,11.16834898911715,25.78615734403004,-19.103673929359267,3.47,1.6,180.0,100.4,9.0,97.2,2436.0,5.9,776277,689414,688363,691594,681393,672640,681715,805300,687859,54.62,0.711,0.682,0.9,1.0,1,0,4.0,29,2,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,136.0,0.018,0.388,67.1,6.2,0.829,-0.388,100.4,1,1,0.65,0.65,25,34,26,35,2,1,6.0,3.0,7.0,2.0,1.48,0.71,-0.71,43.2,-5.911448925454816,19.89093188138456,30.61760005871627,42.53554474599105,16.999534530998016,0,108.45523890857677,143.6574437795812,1.552084357350435,150.99999999999997,261.5396719429005,125.3246839735698
CH,2025-09-17,88.1,3.13,5.56,"Johnston, Troy",606115,677960,field_out,hit_into_play,,,,,9.0,Orlando Arcia lines out sharply to right fielder Troy Johnston.,R,R,L,COL,MIA,X,9,line_drive,1,1,2025,0.88,0.21,0.36,2.11,,,571657.0,1,2,Bot,190.21,83.97,,,,,-8.497893139144349,-128.16671257579364,-2.765658881087278,11.28074555972745,22.988114294491453,-29.551756707987504,3.48,1.63,326.0,101.0,17.0,88.0,1706.0,6.0,776277,689414,688363,691594,681393,672640,681715,805300,687859,54.55,0.491,0.562,0.0,1.0,0,0,4.0,16,3,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,122.0,-0.019,-0.235,74.3,7.5,0.841,0.235,101.0,2,2,0.756,0.756,25,30,26,31,1,0,6.0,4.0,7.0,3.0,2.7,0.88,-0.88,38.2,3.085004858636045,14.074654003467394,27.69119703157308,40.00997079504554,24.77823580903048,1,160.7596600112179,283.605944424791,2.7598077596778,150.99999999999997,261.5396719429005,24.1282271371024
FF,2025-09-17,97.0,3.05,5.67,"Johnston, Troy",690924,677960,sac_fly,hit_into_play,,,,,3.0,Braxton Fulford out on a sacrifice fly to right fielder Troy Johnston. Blaine Crim scores.,R,R,L,COL,MIA,X,9,fly_ball,0,0,2025,0.69,1.04,0.29,2.92,688760.0,,571657.0,0,2,Bot,198.96,80.97,,,,,-8.891444795568935,-141.081341041585,-4.270546981681199,11.054533126402712,26.25804055653744,-17.371954703278853,3.25,1.41,342.0,94.0,45.0,97.0,2260.0,5.9,776277,689414,688363,691594,681393,672640,681715,805300,687859,54.56,0.009,0.009,0.0,1.0,0,0,3.0,15,1,4-Seam Fastball,1,0,1,0,0,2,2,0,Standard,Standard,131.0,-0.011,-0.261,68.4,6.0,0.012,0.261,94.0,1,1,0.767,0.767,25,26,26,27,1,0,6.0,3.0,7.0,4.0,1.34,0.69,-0.69,39.7,9.940273135413886,6.184632461841253,21.587126221027347,38.48985381961492,26.321354563329365,1,181.663586417586,289.7625603315588,6.090571239935574,150.99999999999997,261.5396719429005,41.67477607603225
FF,2025-09-17,97.0,3.12,5.56,"Johnston, Troy",696100,677960,single,hit_into_play,,,,,5.0,Hunter Goodman singles on a sharp line drive to right fielder Troy Johnston.,R,R,L,COL,MIA,X,9,line_drive,3,2,2025,0.82,1.05,-0.1,2.72,,,,1,1,Bot,175.14,107.89,,,,,-10.389074124583573,-141.02972916689927,-4.498503285380721,13.015401182082522,26.42433387087363,-17.31083862774353,3.35,1.59,259.0,101.7,13.0,97.0,2377.0,5.9,776277,689414,688363,691594,681393,672640,681715,805300,687859,54.58,0.897,0.88,0.9,1.0,1,0,4.0,6,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,132.0,0.024,0.338,70.5,5.7,1.145,-0.338,101.7,0,0,0.526,0.526,25,25,26,26,1,0,6.0,1.0,7.0,1.0,1.35,0.82,-0.82,40.7,-4.756053313058296,24.47496317235732,25.03222321860473,38.1719346305455,21.738783198800306,0,124.83816030026617,226.92825679682346,2.1716382673697043,150.99999999999997,261.5396719429005,43.386540711246596
SI,2025-09-14,94.5,1.43,5.11,"Johnston, Troy",678009,681006,double,hit_into_play,,,,,9.0,Parker Meadows doubles (5) on a sharp line drive to right fielder Troy Johnston.,R,L,L,MIA,DET,X,9,line_drive,0,1,2025,1.53,0.45,0.49,2.11,,,,1,8,Top,157.73,92.52,,,,,-5.820101885783028,-137.4321439150321,-3.054423617838013,20.67487048422543,33.538448930296305,-25.93860417509464,3.53,1.71,185.0,101.0,9.0,93.5,2076.0,5.9,776332,682663,676572,676466,691594,672640,681715,805300,687859,54.56,0.657,0.606,1.25,1.0,1,1,4.0,55,2,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,129.0,-0.023,0.681,66.8,7.1,0.734,-0.681,101.0,-2,2,0.141,0.859,27,25,28,26,1,3,1.0,1.0,9.0,2.0,2.12,1.53,1.53,22.4,4.866950072355377,-3.567723613290385,36.78181988830046,32.125673019501775,31.571656278260853,0,54.0566035841851,176.9262095025558,1.5600297740544686,150.99999999999997,261.5396719429005,128.67579467319194
SI,2025-08-19,97.6,-1.13,6.04,"Johnston, Troy",686780,665795,single,hit_into_play,,,,,4.0,Pedro Pagés singles on a line drive to right fielder Troy Johnston. Nolan Gorman scores. Thomas Saggese to 3rd.,R,R,R,MIA,STL,X,9,line_drive,0,0,2025,-1.4,1.04,-0.42,2.17,669357.0,,695336.0,2,3,Top,187.45,119.96,,,,,5.154755775303551,-141.87448190330733,-7.311760223551129,-20.02714110605497,33.64489511719485,-16.660552928740284,3.22,1.5,193.0,83.4,14.0,98.1,2297.0,6.7,776686,682663,676572,669364,691185,672640,681715,805300,687859,53.8,0.883,0.862,0.9,1.0,1,0,4.0,23,1,Sinker,0,3,3,0,4,0,4,0,Standard,Standard,219.0,-0.064,0.622,70.1,6.4,1.064,-0.622,88.0,-3,3,0.195,0.805,27,26,27,27,2,1,5.0,1.0,6.0,2.0,1.37,1.4,1.4,37.5,-8.558390710149348,17.073786489437083,35.64258586853229,33.78604418518346,21.20850623163397,0,119.8367351009146,151.2883238070712,1.9358247842235832,150.99999999999997,261.5396719429005,114.57097732383362
SI,2025-08-19,98.2,-1.1,6.02,"Johnston, Troy",671056,665795,single,hit_into_play,,,,,2.0,Iván Herrera singles on a line drive to right fielder Troy Johnston. Thomas Saggese scores. Nathan Church scores.,R,R,R,MIA,STL,X,9,line_drive,0,1,2025,-1.28,1.23,0.23,2.96,695336.0,701675.0,,2,2,Top,210.64,112.79,,,,,6.595470400059578,-142.75618610284192,-5.65334612317137,-19.089813945646675,34.177160828379,-14.201552909276156,3.48,1.58,232.0,88.7,16.0,98.3,2376.0,6.5,776686,682663,676572,669364,691185,672640,681715,805300,687859,54.01,0.98,0.918,0.9,1.0,1,0,4.0,14,2,Sinker,0,1,1,0,3,0,3,0,Standard,Standard,220.0,-0.156,0.774,62.1,6.7,1.115,-0.774,88.7,-1,1,0.383,0.617,27,25,27,25,2,1,5.0,1.0,6.0,1.0,1.14,1.28,1.28,36.5,-0.1960325036236425,31.37159645723136,27.6403366797376,39.63082678524264,17.90261572834368,0,163.79871398213825,164.29845190322905,2.309778591326764,150.99999999999997,261.5396719429005,98.07987537920499
SI,2025-08-19,95.8,-1.04,6.15,"Johnston, Troy",695336,665795,single,hit_into_play,,,,,5.0,Thomas Saggese singles on a fly ball to right fielder Troy Johnston.,R,R,R,MIA,STL,X,9,fly_ball,2,1,2025,-1.39,1.06,-0.22,2.78,,,,0,2,Top,172.67,126.05,,,,,5.30107670035249,-139.33178113205366,-5.695908081649863,-19.283126343204845,31.8364542491063,-17.2425140566744,3.53,1.63,203.0,65.4,36.0,95.9,2304.0,6.4,776686,682663,676572,669364,691185,672640,681715,805300,687859,54.11,0.726,0.685,0.9,1.0,1,0,4.0,10,4,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,217.0,-0.033,0.393,70.6,6.5,0.815,-0.393,88.0,-1,1,0.392,0.608,27,23,27,23,1,0,5.0,1.0,6.0,1.0,1.43,1.39,1.39,38.2,4.925086772586465,17.50413032511652,35.88935256239551,32.255768948237815,23.91931510623428,0,111.13978075435246,169.87333261543574,3.557141494267395,150.99999999999997,261.5396719429005,99.95776530119608
