pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FC,2025-09-18,87.5,-2.52,6.1,"Jones, Nolan",690993,676440,double,hit_into_play,,,,,3.0,Colt Keith doubles (22) on a fly ball to right fielder Nolan Jones. Spencer Torkelson scores. Wenceel Pérez to 3rd.,R,L,R,DET,CLE,X,9,fly_ball,0,0,2025,0.74,0.11,0.64,3.29,679529.0,,672761.0,0,2,Bot,216.98,100.98,,,,,6.119043753009684,-127.37346515010856,-0.91516249891782,6.920523704488369,24.77117930797497,-30.95939451504637,3.34,1.57,328.0,93.6,27.0,88.0,2614.0,6.5,776275,595978,678877,677587,608070,672356,680757,682657,666134,54.05,0.149,0.194,1.25,1.0,1,1,3.0,17,1,Cutter,0,0,0,0,0,1,1,0,Strategic,Standard,106.0,0.102,0.637,75.1,6.9,0.328,-0.637,93.6,0,0,0.679,0.679,26,23,26,24,1,0,6.0,1.0,6.0,16.0,2.85,-0.74,0.74,49.4,17.910713596459683,-13.405362921528845,27.12473153081387,29.23762575944368,33.23866296236679,0,224.79043131482342,238.8582466428481,3.9217247068861423,138.4941110218378,260.46953989338346,88.96124376418193
FF,2025-09-17,94.0,1.72,5.88,"Jones, Nolan",681481,681870,field_out,hit_into_play,,,,,3.0,Kerry Carpenter lines out to right fielder Nolan Jones.,R,L,L,DET,CLE,X,9,line_drive,0,0,2025,0.88,1.74,0.78,3.23,,,,0,8,Bot,200.75,110.34,,,,,-4.434545330805899,-136.73309281298953,-5.000038962709182,12.08605359270438,32.67575024550604,-9.524745721353236,3.4,1.61,287.0,96.0,22.0,94.2,2698.0,6.6,776296,666310,700932,677587,608070,672356,680757,682657,666134,53.86,0.217,0.249,0.0,1.0,0,0,3.0,65,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Strategic,145.0,-0.041,-0.259,72.6,7.1,0.409,0.259,96.0,-2,-2,0.156,0.156,27,27,28,28,1,3,1.0,1.0,4.0,1.0,0.86,0.88,0.88,46.6,23.341334504165868,-2.8397537608675725,34.80351762820427,28.26361202642473,27.55941489954744,1,186.72200313170146,217.953879402237,3.334634009362237,138.4941110218378,260.46953989338346,64.29238651939343
CH,2025-09-17,87.1,-1.78,5.53,"Jones, Nolan",682985,596001,field_out,hit_into_play,,,,,9.0,Riley Greene flies out sharply to right fielder Nolan Jones in foul territory.,R,L,R,DET,CLE,X,9,fly_ball,3,1,2025,-0.75,0.02,0.54,2.3,,,,2,8,Bot,204.22,127.29,,,,,7.0685007856175766,-126.7636544382694,-1.7025372518686464,-9.467662092519406,23.85810716425002,-31.78002904099531,3.64,1.73,261.0,101.1,52.0,87.0,1376.0,6.0,776296,666310,700932,677587,608070,672356,680757,682657,666134,54.46,0.011,0.014,0.0,1.0,0,0,3.0,67,5,Changeup,0,2,0,2,2,0,0,2,Infield shade,Strategic,221.0,-0.016,-0.414,81.0,8.1,0.023,0.414,101.1,-2,-2,0.087,0.087,32,24,33,25,1,3,1.0,1.0,2.0,1.0,2.96,0.75,-0.75,30.9,24.0009944659304,-17.948862429423905,44.117328080626606,24.40961059450916,43.8710352405251,1,193.92633309502597,174.68135943001198,7.288979597890643,138.4941110218378,260.46953989338346,102.13884251932386
CU,2025-09-17,80.0,2.3,5.87,"Jones, Nolan",682985,682120,field_out,hit_into_play,,,,,14.0,Riley Greene lines out to right fielder Nolan Jones.,R,L,L,DET,CLE,X,9,line_drive,1,2,2025,-0.86,-0.27,0.05,1.11,,681481.0,,1,6,Bot,169.21,97.84,,,,,-3.354575483992126,-116.51426825534772,-3.289815022594121,-7.229374708060937,21.52024505673653,-34.27010892088608,3.64,1.73,274.0,95.6,18.0,80.2,2431.0,6.3,776296,666310,700932,677587,608070,672356,680757,682657,666134,54.15,0.457,0.481,0.0,1.0,0,0,4.0,50,4,Curveball,0,2,0,2,2,0,0,2,Standard,Standard,320.0,-0.052,-0.189,70.2,7.7,0.69,0.189,95.6,-2,-2,0.274,0.274,28,24,29,25,1,2,1.0,1.0,1.0,1.0,3.82,-0.86,-0.86,38.8,12.400456852959197,-11.663232882402855,51.77675992391868,29.085246323905046,37.09687563012875,1,109.51334772710902,251.16294844104954,2.7609186118541413,138.4941110218378,260.46953989338346,30.438417922187636
ST,2025-09-17,84.8,-2.39,5.73,"Jones, Nolan",693307,671922,field_out,hit_into_play,,,,,6.0,Dillon Dingler flies out to right fielder Nolan Jones.,R,R,R,DET,CLE,X,9,fly_ball,0,1,2025,1.07,0.31,0.33,2.53,,,,0,9,Bot,177.56,118.97,,,,,4.2830979249924805,-123.47532007097098,-1.7946605243388118,10.188573101784533,23.80074642126256,-28.85217138375313,3.38,1.52,237.0,91.8,53.0,86.0,2035.0,7.0,776296,666310,678877,677587,608070,672356,680757,682657,666134,53.52,0.003,0.004,0.0,1.0,0,0,3.0,75,2,Sweeper,0,4,0,4,4,0,0,4,Strategic,Standard,82.0,-0.01,-0.22,72.5,7.6,0.006,0.22,91.8,-4,-4,0.016,0.016,26,26,26,27,1,3,1.0,1.0,2.0,1.0,2.85,-1.07,-1.07,35.9,12.44608019070068,-0.8810941151766226,37.983280105649285,40.79847977572142,28.564789653908367,1,130.20498549608513,198.02944667893274,6.711956773865526,138.4941110218378,260.46953989338346,62.98789441322022
FF,2025-09-16,91.5,0.45,5.68,"Jones, Nolan",628451,676282,field_out,hit_into_play,,,,,4.0,Andy Ibáñez flies out to right fielder Nolan Jones.,R,R,L,DET,CLE,X,9,fly_ball,2,2,2025,0.85,1.23,-0.35,2.55,,679529.0,682985.0,2,3,Bot,202.11,90.14,,,,,-3.944942513433312,-133.25778959502372,-4.850736593257215,10.95566147143888,25.338000602779235,-16.589884535623394,3.15,1.49,328.0,87.4,39.0,94.0,1651.0,7.4,776303,666310,692216,677587,608070,672356,680757,682177,666134,53.06,0.011,0.017,0.0,1.0,0,0,3.0,27,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,145.0,-0.048,-0.203,67.9,6.3,0.027,0.203,88.0,0,0,0.548,0.548,25,32,26,32,2,1,7.0,3.0,5.0,1.0,1.46,0.85,-0.85,51.7,2.448040601461447,6.028312301155236,31.44565573429784,30.5274119744578,23.91744665003868,1,189.7509807942237,267.54170756655896,5.05155465749657,138.4941110218378,260.46953989338346,51.74246084658939
FF,2025-09-16,92.4,0.5,5.76,"Jones, Nolan",650402,676282,field_out,hit_into_play,,,,,8.0,"Guardians challenged (tag play), call on the field was upheld: Gleyber Torres flies out to right fielder Nolan Jones. Jahmai Jones to 2nd.",R,R,L,DET,CLE,X,9,fly_ball,0,1,2025,0.67,1.45,-0.16,1.93,,,663330.0,0,1,Bot,214.82,104.85,,,,,-3.2127293324713992,-134.4006989384387,-7.239629654668478,8.846630969922877,27.53825130471682,-13.232786223375577,3.24,1.52,319.0,93.3,36.0,94.4,1898.0,7.4,776303,666310,692216,677587,608070,672356,680757,682177,666134,53.14,0.057,0.086,0.0,1.0,0,0,3.0,6,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,149.0,-0.017,-0.2,73.0,7.4,0.158,0.2,93.3,0,0,0.583,0.583,25,28,26,29,1,0,7.0,2.0,5.0,1.0,1.21,0.67,-0.67,55.5,8.030269281624372,2.5282801110349844,40.958183298406766,32.09680779078532,30.067164168972045,1,220.55379135749004,230.4713108346389,5.036870877631411,138.4941110218378,260.46953989338346,87.37096132840898
FC,2025-09-12,86.4,-2.01,6.34,"Jones, Nolan",672820,676440,field_out,hit_into_play,,,,,14.0,Lenyn Sosa lines out to right fielder Nolan Jones.,R,R,R,CLE,CWS,X,9,line_drive,0,1,2025,0.56,0.07,0.28,0.9,,683770.0,,2,9,Top,168.66,118.86,,,,,4.321781316837135,-125.68061632451648,-6.904351250627182,5.070551521438319,26.20797365216835,-30.212380951300325,3.3,1.58,246.0,76.1,26.0,87.0,2731.0,6.7,776361,595978,700932,677587,608070,672356,680757,682657,666134,53.77,0.606,0.558,0.0,1.0,0,0,4.0,61,2,Cutter,4,0,0,4,0,4,0,4,Strategic,Standard,82.0,0.004,-0.25,73.4,7.7,0.676,0.25,88.0,4,-4,0.996,0.004,26,25,26,25,4,3,6.0,2.0,6.0,1.0,2.99,-0.56,-0.56,58.0,0.9790058207745098,3.24896342903175,42.861847932191,38.109207121016425,35.38298844528468,1,117.64128538162134,216.04751323206642,3.1015919777828462,138.4941110218378,260.46953989338346,49.07297412914801
FF,2025-09-11,97.3,-2.32,5.81,"Jones, Nolan",573262,671922,field_out,hit_into_play,,,,,6.0,Mike Yastrzemski flies out to right fielder Nolan Jones.,R,L,R,CLE,KC,X,9,fly_ball,1,2,2025,-0.6,1.4,0.46,2.81,,,686475.0,2,9,Top,172.95,109.84,,,,,9.000981940077173,-141.24482650668182,-5.77867244062216,-10.196565518270027,34.854356439010594,-12.294552080892846,3.43,1.6,251.0,97.1,51.0,98.7,2365.0,7.4,776370,666310,700932,682177,608070,677587,680757,682657,666134,53.1,0.009,0.01,0.0,1.0,0,0,3.0,67,4,4-Seam Fastball,3,2,2,3,2,3,2,3,Strategic,Standard,227.0,0.078,-0.184,74.3,7.6,0.013,0.184,97.1,1,-1,0.922,0.078,26,34,26,35,1,4,2.0,3.0,2.0,1.0,1.04,0.6,-0.6,36.8,15.3645711571922,-17.654887076344895,29.846147714403653,27.67880456034728,35.94615318922482,1,118.83203924464111,221.0880965790788,6.906837759351354,138.4941110218378,260.46953989338346,44.01698699467541
FF,2025-09-09,92.6,0.57,5.78,"Jones, Nolan",679845,676282,field_out,hit_into_play,,,,,1.0,Nick Loftin flies out to right fielder Nolan Jones.,R,R,L,CLE,KC,X,9,fly_ball,3,2,2025,0.63,1.45,-0.53,3.15,,,,2,5,Top,200.36,121.8,,,,,-4.262534510457885,-134.752928943567,-4.156595018673957,8.557600605087327,29.063152706917844,-13.805005808526095,3.43,1.6,266.0,80.3,36.0,94.8,1998.0,7.5,776403,595978,678877,682177,608070,677587,680757,682657,666134,52.97,0.034,0.046,0.0,1.0,0,0,3.0,31,7,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,157.0,0.012,-0.329,63.5,5.7,0.065,0.329,88.0,2,-2,0.808,0.192,25,26,26,27,2,1,6.0,1.0,7.0,1.0,1.21,0.63,-0.63,52.8,-5.800736465747415,13.37048663255201,30.5047107776388,31.45381132657802,23.11008908416684,1,186.18024253357615,189.98136037553462,4.346099494456338,138.4941110218378,260.46953989338346,85.10317614692937
