pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-28,94.6,-2.46,5.41,"Judge, Aaron",676059,642207,field_out,hit_into_play,,,,,5.0,Jordan Westburg flies out to right fielder Aaron Judge in foul territory.,R,R,R,NYY,BAL,X,9,fly_ball,3,2,2025,-1.19,1.21,-0.08,2.64,,,702616.0,0,8,Top,202.58,129.36,,,,,9.124997002219322,-137.45320112340218,-4.340984575594913,-17.172862855871582,30.80534453665796,-16.062129477966447,3.51,1.61,256.0,91.4,49.0,97.0,2372.0,7.8,776140,669224,700250,665862,641857,683011,641355,663757,592450,52.73,0.003,0.004,0.0,1.0,0,0,3.0,57,6,4-Seam Fastball,2,2,2,2,2,2,2,2,Strategic,Standard,222.0,0.065,-0.314,70.0,6.1,0.006,0.314,91.4,0,0,0.432,0.568,30,26,31,26,1,3,3.0,1.0,2.0,,1.35,1.19,1.19,26.7,3.740641227976392,8.662134410340176,28.74400625645724,36.466392487307054,28.410781438088804,1,190.9389646740731,170.52363991304273,6.31852608954967,126.25089027525429,258.8526853341601,109.48318242740727
FF,2025-09-28,95.6,-2.87,5.83,"Judge, Aaron",676059,661563,field_out,hit_into_play,,,,,6.0,Jordan Westburg flies out to right fielder Aaron Judge.,R,R,R,NYY,BAL,X,9,fly_ball,2,0,2025,0.04,1.39,0.67,2.76,,,,1,1,Top,150.52,107.99,,,,,9.335845542881575,-138.94548797859562,-5.690299921371836,-1.462892434916476,28.913624112563383,-12.993527278610266,3.51,1.61,236.0,81.3,49.0,96.8,2478.0,6.9,776140,669224,700250,676609,641857,683011,641355,663757,592450,53.6,0.046,0.053,0.0,1.0,0,0,3.0,2,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,199.0,0.015,-0.365,77.9,7.1,0.071,0.365,88.0,0,0,0.522,0.478,27,26,27,26,1,0,5.0,1.0,6.0,,1.09,-0.04,-0.04,41.9,18.676282818832945,-4.260217146432284,25.09360966793478,46.42475634436218,34.828519740417775,1,63.21590907911184,227.3757877156261,5.627195598131207,126.25089027525429,258.8526853341601,70.45710708002214
FF,2025-09-28,96.0,-2.87,5.94,"Judge, Aaron",702616,661563,field_out,hit_into_play,,,,,5.0,Jackson Holliday flies out to right fielder Aaron Judge.,R,L,R,NYY,BAL,X,9,fly_ball,1,2,2025,-0.27,1.49,0.12,2.68,,,,0,1,Top,179.83,105.45,,,,,8.585331438789646,-139.57448919391277,-6.459477117863353,-5.424117713472678,30.13224252691769,-11.406238096967527,3.37,1.59,268.0,99.7,54.0,96.9,2612.0,6.7,776140,669224,700250,676609,641857,683011,641355,663757,592450,53.75,0.014,0.023,0.0,1.0,0,0,3.0,1,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,201.0,0.022,-0.19,73.3,7.5,0.037,0.19,99.7,0,0,0.5,0.5,27,21,27,22,1,0,5.0,1.0,6.0,,0.98,0.27,-0.27,38.8,17.259503055022606,-12.809412183656754,27.198265423163235,32.9898626327889,37.68859009450992,1,135.52962962801183,231.20492964661014,7.379027538007684,126.25089027525429,258.8526853341601,29.16321996170629
FF,2025-09-27,98.6,-1.67,6.54,"Judge, Aaron",691723,693645,field_out,hit_into_play,,,,,2.0,Coby Mayo flies out to right fielder Aaron Judge.,R,R,R,NYY,BAL,X,9,fly_ball,0,0,2025,-0.37,1.51,0.22,3.04,,,,1,3,Top,197.68,84.81,,,,,6.002928003966419,-143.38909446103,-7.591029470609436,-6.545148606411039,32.67701797389986,-9.789316879235091,3.67,1.66,333.0,98.2,27.0,98.8,2347.0,6.4,776162,700250,502671,665862,641857,683011,641355,663757,592450,54.12,0.46,0.739,0.0,1.0,0,0,6.0,18,1,4-Seam Fastball,3,0,0,3,0,3,0,3,Strategic,Standard,206.0,0.014,-0.255,73.3,6.5,1.331,0.255,98.2,3,-3,0.825,0.175,24,23,24,24,1,0,6.0,1.0,5.0,1.0,0.84,0.37,0.37,43.4,0.104206097713092,2.213392542551329,31.10792932202464,41.0143709842372,23.8320035977302,1,178.88204320407596,280.8740191244735,4.109944381332368,126.25089027525429,258.8526853341601,57.052409243794514
FF,2025-09-26,93.3,-2.24,5.62,"Judge, Aaron",676059,701542,single,hit_into_play,,,,,6.0,Jordan Westburg singles on a line drive to right fielder Aaron Judge.,R,R,R,NYY,BAL,X,9,line_drive,0,1,2025,-0.76,1.32,0.82,2.9,,,,2,5,Top,197.96,118.38,,,,,9.573225565860026,-135.4435241010588,-4.122151079810871,-11.530929275839606,31.171196928995915,-15.172615837426475,3.5,1.6,229.0,76.5,24.0,93.4,2716.0,6.6,776174,669224,502671,676609,642708,683011,596103,641355,592450,53.92,0.763,0.703,0.9,1.0,1,0,4.0,38,2,4-Seam Fastball,6,3,3,6,3,6,3,6,Strategic,Standard,223.0,-0.012,0.371,67.6,6.3,0.846,-0.371,88.0,3,-3,0.883,0.117,26,26,26,26,3,2,7.0,1.0,9.0,1.0,1.32,0.76,0.76,31.2,13.206121969155271,20.228255699928965,21.609141815007032,48.61755634272564,21.818096451338366,0,153.9406400413787,169.53843028543903,2.9010967264488787,126.25089027525429,258.8526853341601,93.50806594630535
FF,2025-09-26,94.6,-2.47,5.5,"Judge, Aaron",683002,701542,single,hit_into_play,,,,,14.0,Gunnar Henderson singles on a line drive to right fielder Aaron Judge.,R,L,R,NYY,BAL,X,9,line_drive,3,1,2025,-0.92,1.09,0.15,1.43,,,,2,3,Top,183.11,105.34,,,,,8.908402861854581,-137.2626146191379,-7.344980339942789,-13.692734347811124,31.804915408245552,-16.868029046346678,3.65,1.74,174.0,95.4,9.0,94.4,2657.0,6.5,776174,669224,502671,676609,642708,683011,596103,641355,592450,54.04,0.631,0.579,0.9,1.0,1,0,4.0,20,5,4-Seam Fastball,2,3,3,2,3,2,3,2,Strategic,Standard,230.0,-0.013,0.174,78.0,7.9,0.691,-0.174,95.4,-1,1,0.42,0.58,26,24,26,24,2,1,7.0,1.0,9.0,1.0,1.48,0.92,-0.92,26.9,15.950056944758147,-6.904071780429341,38.27856293916219,32.20748110014925,36.730592434329566,0,91.77182935828186,147.83075233602239,1.4861072415049201,126.25089027525429,258.8526853341601,116.25263544694064
FF,2025-09-26,93.7,-2.59,5.51,"Judge, Aaron",702616,701542,field_out,hit_into_play,,,,,2.0,Jackson Holliday lines out sharply to right fielder Aaron Judge.,R,L,R,NYY,BAL,X,9,line_drive,3,1,2025,-0.51,1.33,0.14,2.86,,,,0,1,Top,187.8,100.46,,,,,8.237012609935842,-136.2584504059432,-4.059377492581737,-8.20058407561104,29.754991854394103,-14.88937118913171,3.36,1.58,288.0,101.2,20.0,94.3,2598.0,6.7,776174,669224,502671,676609,642708,683011,596103,641355,592450,53.83,0.449,0.578,0.0,1.0,0,0,5.0,1,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,225.0,0.022,-0.439,76.5,7.0,0.931,0.439,101.2,0,0,0.5,0.5,26,21,26,22,1,0,7.0,3.0,9.0,1.0,1.27,0.51,-0.51,26.7,8.296947683230146,-4.199746014985857,29.20835438600725,32.261674768971744,29.00938598591807,1,154.86262625495308,242.82003004163127,3.213676879605633,126.25089027525429,258.8526853341601,32.797522337838934
CH,2025-09-25,83.6,-2.52,5.18,"Judge, Aaron",700337,642207,single,hit_into_play,,,,,8.0,Edgar Quero singles on a line drive to right fielder Aaron Judge. Colson Montgomery to 2nd.,R,L,R,NYY,CWS,X,9,line_drive,1,0,2025,-1.59,-0.28,-0.03,1.45,,,695657.0,2,8,Top,171.6,103.83,,,,,9.009162585217014,-121.43934795132157,-1.5668032096215811,-17.507724743264596,24.671198280917373,-34.82457651905491,3.25,1.52,193.0,89.9,12.0,84.7,2701.0,7.2,776184,669224,700250,665862,641857,683011,641355,663757,592450,53.31,0.826,0.807,0.9,1.0,1,0,4.0,68,2,Changeup,5,3,3,5,3,5,3,5,Infield shade,Standard,277.0,-0.035,0.312,67.9,7.3,0.972,-0.312,89.9,2,-2,0.908,0.092,30,22,31,22,1,3,1.0,1.0,3.0,1.0,3.56,1.59,-1.59,15.5,5.023762929591104,-6.712661610376208,39.0034793835036,38.7258819588927,33.518195569094885,0,84.78138474684691,173.38141999766617,1.807285244931648,126.25089027525429,258.8526853341601,95.00030045737732
CH,2025-09-25,89.3,-1.22,5.57,"Judge, Aaron",681460,596133,field_out,hit_into_play,,,,,5.0,Brooks Baldwin flies out to right fielder Aaron Judge.,R,L,R,NYY,CWS,X,9,fly_ball,1,1,2025,-1.23,0.54,-0.16,2.5,,,,0,7,Top,197.63,104.82,,,,,5.189106920232208,-129.93675242171375,-2.650774574758052,-15.002507100222736,28.855792733517767,-25.72350671742661,3.15,1.52,292.0,89.5,41.0,89.0,2086.0,6.3,776184,669224,700250,665862,641857,683011,641355,663757,592450,54.24,0.014,0.023,0.0,1.0,0,0,3.0,56,3,Changeup,4,3,3,4,3,4,3,4,Standard,Standard,215.0,0.043,-0.251,75.4,7.9,0.037,0.251,89.5,1,-1,0.7,0.3,31,24,32,25,1,0,2.0,1.0,3.0,1.0,2.33,1.23,-1.23,47.0,20.1365610732869,-19.62105068184428,27.29163809886372,41.2457184341899,42.137935257531794,1,178.5405592300931,231.05685168331541,5.3879208631342985,126.25089027525429,258.8526853341601,59.21839112768992
FF,2025-09-25,92.8,2.29,6.48,"Judge, Aaron",805367,607074,field_out,hit_into_play,,,,,5.0,Chase Meidroth flies out to right fielder Aaron Judge.,R,R,L,NYY,CWS,X,9,fly_ball,0,0,2025,0.98,1.44,0.01,2.11,,,,0,1,Top,183.83,98.95,,,,,-7.90844214863997,-134.70225350871425,-8.428622644505575,13.743901149661864,30.72156799452881,-12.935983208248013,3.03,1.42,287.0,90.4,48.0,91.9,2368.0,6.0,776184,669224,700250,665862,641857,683011,641355,663757,592450,54.53,0.006,0.009,0.0,1.0,0,0,3.0,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,152.0,0.022,-0.259,70.2,6.9,0.013,0.259,90.4,0,0,0.5,0.5,32,23,33,24,1,0,5.0,1.0,6.0,1.0,1.23,0.98,-0.98,47.4,9.39883689253386,-1.7475972772386246,35.62352606005072,35.40915612351089,32.096596098391,1,145.4897391534389,247.38984579215114,6.1551867400036775,126.25089027525429,258.8526853341601,22.39486540534393
