pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SI,2025-04-23,91.2,-0.83,6.53,"Kelenic, Jarred",571448,693821,field_out,hit_into_play,,,,,6.0,Nolan Arenado flies out to right fielder Jarred Kelenic.,R,R,R,ATL,STL,X,9,fly_ball,2,2,2025,-0.75,0.73,0.66,2.33,,,,0,6,Top,204.87,121.68,,,,,5.320609394528392,-132.59660153631785,-6.214269731161331,-9.940634750851,27.95143955498821,-22.410099579920928,3.48,1.71,272.0,88.9,47.0,90.7,2208.0,6.0,778214,686948,621566,645277,663586,669397,642201,671739,672284,54.48,0.003,0.003,0.0,1.0,0,0,3.0,45,5,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,201.0,0.024,-0.233,71.4,8.2,0.005,0.233,88.9,-1,1,0.333,0.667,26,34,26,34,3,2,5.0,1.0,5.0,2.0,2.01,0.75,0.75,51.3,4.612280606028252,5.309378777095016,29.793684990509053,48.09747226385891,29.56942979288114,1,195.82535649346792,188.77613661214227,5.958986302132039,133.0192164236872,261.0649115871918,95.76156962925295
SI,2025-04-23,92.2,-1.0,6.47,"Kelenic, Jarred",669357,693821,field_out,hit_into_play,,,,,5.0,Nolan Gorman flies out to right fielder Jarred Kelenic.,R,L,R,ATL,STL,X,9,fly_ball,2,2,2025,-1.19,0.59,0.14,2.2,,575929.0,,2,5,Top,190.4,105.87,,,,,5.466061794816471,-134.16612172458176,-6.313087692145207,-15.574346956741216,28.75859541198638,-23.92122577259778,3.47,1.62,280.0,85.1,42.0,92.3,2093.0,6.3,778214,686948,621566,645277,663586,669397,642201,671739,672284,54.18,0.006,0.008,0.0,1.0,0,0,3.0,39,6,Sinker,0,1,1,0,1,0,1,0,Infield shade,Standard,205.0,0.037,-0.221,74.9,7.6,0.013,0.221,88.0,-1,1,0.37,0.63,26,25,26,25,3,2,5.0,1.0,5.0,2.0,2.09,1.19,-1.19,48.2,24.92311474399968,-15.040929646556924,41.09870053725491,33.45044009337644,43.8477197522374,1,161.06815038441894,229.03504302124207,5.227223217270876,133.0192164236872,261.0649115871918,42.57528833355686
CH,2025-04-22,86.5,-1.87,5.88,"Kelenic, Jarred",669357,660853,double,hit_into_play,,,,,2.0,"Braves challenged (tag play), call on the field was upheld: Nolan Gorman doubles (4) on a sharp line drive to right fielder Jarred Kelenic. Victor Scott II scores. Lars Nootbaar scores. Willson Contreras scores. Nolan Gorman to 3rd.",R,L,R,ATL,STL,X,9,line_drive,1,1,2025,-1.23,0.71,0.13,2.98,687363.0,663457.0,575929.0,2,8,Top,208.72,123.19,,,,,7.299220883518787,-125.78267083993042,-2.092826334418006,-14.631138262319451,27.52574569207711,-24.48412939014592,3.47,1.6,200.0,107.2,13.0,86.2,1971.0,6.3,778229,669221,621566,645277,663586,606115,657077,671739,672284,54.16,0.869,0.883,1.25,1.0,1,1,5.0,72,3,Changeup,4,4,4,4,7,4,7,4,Strategic,Standard,229.0,-0.397,0.759,77.5,7.3,1.2,-0.759,107.2,0,0,0.464,0.536,29,25,30,25,1,4,2.0,1.0,3.0,1.0,2.36,1.23,-1.23,30.9,21.80114356153445,-14.549070594121112,34.542811609076644,31.41376309915137,40.5024202590129,0,148.5612420136771,133.90129712349193,2.2803440895018228,133.0192164236872,261.0649115871918,128.10987238660567
FF,2025-04-22,93.8,-2.53,6.4,"Kelenic, Jarred",663457,686249,single,hit_into_play,,,,,2.0,Lars Nootbaar singles on a sharp line drive to right fielder Jarred Kelenic. Victor Scott II scores.,R,L,R,ATL,STL,X,9,line_drive,3,2,2025,-0.37,1.57,-0.15,3.4,687363.0,,,2,9,Top,183.33,95.65,,,,,7.006738424963177,-136.24757197120277,-5.480810927407158,-6.208096791464976,32.579069285552286,-11.5775691938379,3.4,1.63,182.0,110.9,10.0,94.0,2429.0,6.7,778229,669221,621566,645277,663586,669397,657077,671739,672284,53.78,0.909,0.908,0.9,1.0,1,0,5.0,82,6,4-Seam Fastball,4,9,9,4,10,4,10,4,Infield shade,Standard,215.0,-0.004,0.747,78.6,6.6,1.186,-0.747,110.9,-5,5,0.006,0.994,26,27,27,28,1,5,,1.0,,1.0,1.04,0.37,-0.37,43.3,13.814140334959228,-7.104526130597979,18.082306247641306,35.00678061191515,33.44291601602931,0,89.44599224934446,158.50367336604603,1.8561982707411098,133.0192164236872,261.0649115871918,111.43353826565021
FF,2025-04-22,94.0,-2.51,6.49,"Kelenic, Jarred",691026,686249,sac_fly,hit_into_play,,,,,2.0,Masyn Winn out on a sacrifice fly to right fielder Jarred Kelenic. Pedro Pagés scores. Victor Scott II to 3rd.,R,R,R,ATL,STL,X,9,fly_ball,0,0,2025,-0.67,1.38,-0.08,3.12,686780.0,687363.0,,1,9,Top,168.97,77.66,,,,,7.870244891001521,-136.5743632006145,-6.116034402332878,-10.1890098119686,30.75082321471458,-13.75901760172526,3.52,1.65,320.0,87.8,31.0,94.7,2455.0,6.8,778229,669221,621566,645277,663586,669397,657077,671739,672284,53.66,0.034,0.032,0.0,1.0,0,0,3.0,81,1,4-Seam Fastball,4,8,8,4,9,4,9,4,Strategic,Standard,215.0,-0.002,-0.194,68.7,6.7,0.062,0.194,88.0,-4,4,0.008,0.992,26,23,27,23,1,4,,13.0,,1.0,1.22,0.67,0.67,46.7,3.8806887873025504,9.796165801717008,24.393463428747648,28.5870609339537,27.44816252762845,1,108.67825645437291,300.9801265433277,4.16752787439025,133.0192164236872,261.0649115871918,46.75154240474101
CU,2025-04-21,81.5,-2.14,5.38,"Kelenic, Jarred",669357,680885,single,hit_into_play,,,,,8.0,Nolan Gorman singles on a sharp line drive to right fielder Jarred Kelenic. Nolan Arenado scores. Jordan Walker to 3rd.,R,L,R,ATL,STL,X,9,line_drive,1,1,2025,0.85,-0.72,-0.27,1.59,,571448.0,691023.0,1,6,Top,165.65,77.73,,,,,2.608790918177818,-118.7588270430228,-0.5962082833539352,7.586433379579663,20.94535173425896,-39.14034334911643,3.48,1.6,219.0,102.8,14.0,82.9,2316.0,7.0,778233,669221,621566,645277,663586,669397,657077,671739,672284,53.53,0.74,0.766,0.9,1.0,1,0,4.0,45,3,Curveball,2,2,2,2,3,2,3,2,Infield shade,Standard,47.0,-0.184,0.494,73.7,7.8,1.058,-0.494,102.8,0,0,0.446,0.554,25,25,25,25,3,2,6.0,1.0,6.0,1.0,4.12,-0.85,0.85,38.5,14.916619479704469,0.9809290993020952,41.63398479434701,36.79653266381921,30.9709821330192,0,69.33142786574176,207.73577715477285,2.346844220655084,133.0192164236872,261.0649115871918,83.06702709687265
SL,2025-04-21,85.3,-2.17,5.63,"Kelenic, Jarred",676475,680885,field_out,hit_into_play,,,,,6.0,Alec Burleson flies out to right fielder Jarred Kelenic.,R,L,R,ATL,STL,X,9,fly_ball,0,0,2025,0.31,-0.27,0.41,2.39,,571448.0,,0,6,Top,202.36,120.5,,,,,5.534186281172277,-124.32520150418183,-0.8818672746489481,2.318304020023336,21.349833352056965,-35.039594275322315,3.47,1.62,270.0,90.1,45.0,87.2,2240.0,7.1,778233,669221,621566,645277,663586,669397,657077,671739,672284,53.41,0.006,0.005,0.0,1.0,0,0,3.0,43,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,51.0,0.063,-0.288,75.2,8.2,0.009,0.288,90.1,0,0,0.406,0.594,25,26,25,27,3,2,6.0,1.0,6.0,1.0,3.36,-0.31,0.31,38.3,13.646441744932472,-16.882526305584165,31.1543146716792,26.36028857251849,40.78452115736642,1,189.89184232036146,191.94032463288943,5.840458903494636,133.0192164236872,261.0649115871918,89.51370899468958
FF,2025-04-21,98.1,-2.13,5.58,"Kelenic, Jarred",686780,680885,single,hit_into_play,,,,,5.0,Pedro Pagés singles on a sharp line drive to right fielder Jarred Kelenic. Nolan Gorman scores. Pedro Pagés to 3rd. Throwing error by first baseman Matt Olson.,R,R,R,ATL,STL,X,9,line_drive,2,2,2025,-0.42,1.14,0.28,2.57,,669357.0,,2,2,Top,187.48,102.32,,,,,7.557660009003307,-142.8492046976977,-5.4605507027354125,-7.294987337622423,27.685570839815227,-15.49597062018199,3.33,1.58,231.0,102.3,10.0,99.9,2308.0,6.9,778233,669221,621566,645277,663586,669397,657077,671739,672284,53.62,0.834,0.816,0.9,1.0,1,0,4.0,13,5,4-Seam Fastball,0,0,0,0,1,0,1,0,Standard,Standard,213.0,-0.114,0.741,70.8,6.4,1.04,-0.741,102.3,0,0,0.516,0.484,25,26,25,27,1,0,6.0,1.0,6.0,1.0,1.2,0.42,0.42,37.9,-4.565391184307037,15.132834718232438,29.22559333392995,40.92983734373336,25.77995072923615,0,125.45500101718132,193.9640242925967,1.7275288833218307,133.0192164236872,261.0649115871918,67.52589451786605
CH,2025-04-21,89.2,-1.75,5.4,"Kelenic, Jarred",687363,628452,double,hit_into_play,,,,,8.0,Victor Scott II doubles (3) on a sharp line drive to right fielder Jarred Kelenic. Pedro Pagés scores.,R,L,R,ATL,STL,X,9,line_drive,2,1,2025,-1.27,0.52,0.03,1.82,,686780.0,,1,9,Top,208.36,103.89,,,,,7.034919280663451,-129.72523962942253,-3.8569039780452257,-15.84837550958172,27.79235342371568,-25.672474940949268,3.15,1.39,256.0,106.1,14.0,89.0,1915.0,6.2,778233,669221,621566,645277,663586,669397,657077,671739,672284,54.25,0.737,0.756,1.25,1.0,1,1,5.0,71,4,Changeup,7,3,3,7,4,7,4,7,Standard,Standard,248.0,-0.022,0.798,72.0,6.7,1.074,-0.798,106.1,4,-4,0.985,0.015,35,24,35,24,1,3,2.0,1.0,5.0,1.0,2.35,1.27,-1.27,30.4,12.454205882118575,-8.835626441323004,36.71229271033501,30.947000694548628,36.69487759549062,0,168.9893395785418,192.29821400316823,2.41731334606381,133.0192164236872,261.0649115871918,77.60611094745025
FF,2025-04-20,92.9,-2.56,5.89,"Kelenic, Jarred",663616,656550,single,hit_into_play,,,,,6.0,Trevor Larnach singles on a line drive to right fielder Jarred Kelenic.,R,L,R,ATL,MIN,X,9,line_drive,1,0,2025,-0.54,1.39,0.55,2.5,,,,1,4,Top,199.98,100.23,,,,,9.095875381499416,-134.9911288295533,-5.905031588809422,-8.602414550019253,29.46453711314176,-14.087916156799686,3.82,1.83,243.0,93.0,18.0,92.4,2343.0,6.1,778249,686948,621566,645277,663586,669397,657077,671739,672284,54.45,0.531,0.489,0.9,1.0,1,0,4.0,30,2,4-Seam Fastball,5,0,0,5,0,5,0,5,Infield shade,Standard,215.0,-0.013,0.376,77.4,7.3,0.654,-0.376,93.0,5,-5,0.94,0.06,29,28,29,28,2,1,6.0,1.0,6.0,2.0,1.26,0.54,-0.54,37.8,-3.431653015341542,-6.655726692103269,39.27330598371854,30.42032228054157,28.949079371047183,0,147.09725383481148,193.42026241905742,2.689462458638175,133.0192164236872,261.0649115871918,69.09406413310042
