pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-24,97.8,-1.4,6.25,"Laureano, Ramón",641343,656302,double,hit_into_play,,,,,6.0,Jake Bauers doubles (9) on a fly ball to right fielder Ramón Laureano.,R,L,R,SD,MIL,X,9,fly_ball,0,1,2025,-0.4,1.45,0.68,2.99,,,,2,2,Top,211.15,85.01,,,,,6.548333315961174,-142.1486874907186,-6.610772072998588,-7.040994185107765,34.399314176483045,-11.175703892753525,3.61,1.71,350.0,93.3,27.0,97.7,2543.0,6.4,776198,666023,650333,630105,592518,593428,657757,701538,657656,54.06,0.126,0.155,1.25,1.0,1,1,3.0,12,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,193.0,-0.024,0.624,77.1,7.4,0.26,-0.624,93.3,0,0,0.54,0.46,29,29,30,30,1,0,5.0,1.0,7.0,2.0,0.95,0.4,-0.4,56.7,18.455978439783244,-14.66717694491613,36.55122075378717,25.14579637343673,31.22577544488126,0,211.23584443256263,279.06884101752064,3.909456706579134,141.31094039855313,265.767225450537,71.17882536862531
FF,2025-09-24,97.8,-1.4,6.25,"Laureano, Ramón",641343,656302,double,hit_into_play,,,,,6.0,Jake Bauers doubles (9) on a fly ball to right fielder Ramón Laureano.,R,L,R,SD,MIL,X,9,fly_ball,0,1,2025,-0.4,1.45,0.68,2.99,,,,2,2,Top,211.15,85.01,,,,,6.548333315961174,-142.1486874907186,-6.610772072998588,-7.040994185107765,34.399314176483045,-11.175703892753525,3.61,1.71,350.0,93.3,27.0,97.7,2543.0,6.4,776198,666023,650333,630105,592518,593428,657757,701538,657656,54.06,0.126,0.155,1.25,1.0,1,1,3.0,12,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,193.0,-0.024,0.624,77.1,7.4,0.26,-0.624,93.3,0,0,0.54,0.46,29,29,30,30,1,0,5.0,1.0,7.0,2.0,0.95,0.4,-0.4,56.7,18.455978439783244,-14.66717694491613,36.55122075378717,25.14579637343673,31.22577544488126,0,211.23584443256263,279.06884101752064,3.909456706579134,136.65114042160357,268.19296378069873,75.37348856244344
FF,2025-09-24,98.0,-1.73,6.28,"Laureano, Ramón",668930,656302,field_out,hit_into_play,,,,,14.0,Brice Turang flies out to right fielder Ramón Laureano.,R,L,R,SD,MIL,X,9,fly_ball,2,1,2025,-0.21,1.61,0.97,2.45,,592885.0,,1,1,Top,152.07,88.64,,,,,7.788614917476091,-142.24205817158628,-8.544661047376154,-4.702636723765655,33.881391556747765,-8.53158341496285,3.52,1.69,287.0,81.7,27.0,97.9,2518.0,6.5,776198,666023,650333,630105,592518,593428,657757,701538,657656,54.03,0.14,0.157,0.0,1.0,0,0,3.0,3,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,195.0,0.034,-0.279,73.7,7.0,0.23,0.279,88.0,0,0,0.481,0.519,29,25,30,26,1,0,5.0,1.0,7.0,2.0,0.79,0.21,-0.21,56.9,11.591520228372666,1.454349124866011,38.97126324393859,21.37146826065048,36.019373261220935,1,67.79265760851419,278.87838850361777,3.4358986940997647,141.31094039855313,265.767225450537,74.67824650459198
FF,2025-09-24,98.0,-1.73,6.28,"Laureano, Ramón",668930,656302,field_out,hit_into_play,,,,,14.0,Brice Turang flies out to right fielder Ramón Laureano.,R,L,R,SD,MIL,X,9,fly_ball,2,1,2025,-0.21,1.61,0.97,2.45,,592885.0,,1,1,Top,152.07,88.64,,,,,7.788614917476091,-142.24205817158628,-8.544661047376154,-4.702636723765655,33.881391556747765,-8.53158341496285,3.52,1.69,287.0,81.7,27.0,97.9,2518.0,6.5,776198,666023,650333,630105,592518,593428,657757,701538,657656,54.03,0.14,0.157,0.0,1.0,0,0,3.0,3,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,195.0,0.034,-0.279,73.7,7.0,0.23,0.279,88.0,0,0,0.481,0.519,29,25,30,26,1,0,5.0,1.0,7.0,2.0,0.79,0.21,-0.21,56.9,11.591520228372666,1.454349124866011,38.97126324393859,21.37146826065048,36.019373261220935,1,67.79265760851419,278.87838850361777,3.4358986940997647,136.65114042160357,268.19296378069873,69.6826302375972
FF,2025-09-23,94.2,-1.92,5.88,"Laureano, Ramón",661388,681190,field_out,hit_into_play,,,,,5.0,William Contreras flies out sharply to right fielder Ramón Laureano.,R,R,R,SD,MIL,X,9,fly_ball,1,0,2025,-0.93,1.37,-0.03,2.54,,,,0,7,Top,187.34,92.24,,,,,6.90853301546096,-136.93954294191403,-5.935018160253587,-13.240935044559553,32.554684691672,-13.833584031532553,3.46,1.64,305.0,100.6,44.0,93.4,2508.0,6.0,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.45,0.063,0.121,0.0,1.0,0,0,3.0,50,2,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,220.0,0.005,-0.301,79.2,7.2,0.228,0.301,100.6,6,-6,0.986,0.014,26,27,27,28,3,2,5.0,1.0,5.0,3.0,1.22,0.93,0.93,31.3,10.582760877027376,1.5960104353515323,30.70892494616309,37.005990673368586,30.49051097472985,1,153.80883406538572,263.37775639458744,6.400400800768705,141.31094039855313,265.767225450537,12.724264555438749
FF,2025-09-23,94.2,-1.92,5.88,"Laureano, Ramón",661388,681190,field_out,hit_into_play,,,,,5.0,William Contreras flies out sharply to right fielder Ramón Laureano.,R,R,R,SD,MIL,X,9,fly_ball,1,0,2025,-0.93,1.37,-0.03,2.54,,,,0,7,Top,187.34,92.24,,,,,6.90853301546096,-136.93954294191403,-5.935018160253587,-13.240935044559553,32.554684691672,-13.833584031532553,3.46,1.64,305.0,100.6,44.0,93.4,2508.0,6.0,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.45,0.063,0.121,0.0,1.0,0,0,3.0,50,2,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,220.0,0.005,-0.301,79.2,7.2,0.228,0.301,100.6,6,-6,0.986,0.014,26,27,27,28,3,2,5.0,1.0,5.0,3.0,1.22,0.93,0.93,31.3,10.582760877027376,1.5960104353515323,30.70892494616309,37.005990673368586,30.49051097472985,1,153.80883406538572,263.37775639458744,6.400400800768705,136.65114042160357,268.19296378069873,17.820568827765946
ST,2025-09-23,82.6,-1.9,5.61,"Laureano, Ramón",694192,681190,field_out,hit_into_play,,,,,9.0,Jackson Chourio lines out to right fielder Ramón Laureano.,R,R,R,SD,MIL,X,9,line_drive,1,2,2025,1.01,0.19,0.78,1.94,,,592885.0,1,3,Top,171.48,69.62,,,,,4.116771960188869,-120.30593898443372,-2.22474076009146,9.028028380273753,23.82634106276468,-30.06197500575374,3.41,1.63,339.0,95.7,21.0,82.4,2961.0,6.2,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.33,0.289,0.355,0.0,1.0,0,0,3.0,23,4,Sweeper,6,0,0,6,0,6,0,6,Standard,Standard,78.0,0.011,-0.179,71.7,7.2,0.568,0.179,95.7,6,-6,0.945,0.055,26,21,27,21,2,1,5.0,1.0,5.0,1.0,3.15,-1.01,-1.01,31.6,3.1143947752073418,11.219518987979226,28.225733486337784,46.04733476596513,28.053383000195005,1,114.26788460184426,319.16116704357944,3.1853262969774314,141.31094039855313,265.767225450537,59.8518158927959
ST,2025-09-23,82.6,-1.9,5.61,"Laureano, Ramón",694192,681190,field_out,hit_into_play,,,,,9.0,Jackson Chourio lines out to right fielder Ramón Laureano.,R,R,R,SD,MIL,X,9,line_drive,1,2,2025,1.01,0.19,0.78,1.94,,,592885.0,1,3,Top,171.48,69.62,,,,,4.116771960188869,-120.30593898443372,-2.22474076009146,9.028028380273753,23.82634106276468,-30.06197500575374,3.41,1.63,339.0,95.7,21.0,82.4,2961.0,6.2,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.33,0.289,0.355,0.0,1.0,0,0,3.0,23,4,Sweeper,6,0,0,6,0,6,0,6,Standard,Standard,78.0,0.011,-0.179,71.7,7.2,0.568,0.179,95.7,6,-6,0.945,0.055,26,21,27,21,2,1,5.0,1.0,5.0,1.0,3.15,-1.01,-1.01,31.6,3.1143947752073418,11.219518987979226,28.225733486337784,46.04733476596513,28.053383000195005,1,114.26788460184426,319.16116704357944,3.1853262969774314,136.65114042160357,268.19296378069873,55.66657780876343
SI,2025-09-23,95.5,-0.01,6.27,"Laureano, Ramón",663368,593974,single,hit_into_play,,,,,11.0,Blake Perkins singles on a line drive to right fielder Ramón Laureano.,R,R,L,SD,MIL,X,9,line_drive,0,2,2025,1.33,0.76,-0.88,2.86,,,,1,8,Top,153.84,104.36,,,,,-5.227680471168457,-139.02337075815106,-5.030467117235624,18.366079391313388,30.77916370062094,-21.44129357201463,3.5,1.67,248.0,85.1,17.0,94.8,2084.0,5.8,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.65,0.957,0.879,0.9,1.0,1,0,4.0,57,3,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,134.0,-0.003,0.507,63.2,5.8,1.059,-0.507,88.0,6,-6,0.996,0.004,33,28,34,29,1,2,2.0,1.0,3.0,4.0,1.74,1.33,-1.33,47.4,-3.764683098292204,12.789118286888984,30.05370072861529,27.342589062622288,21.391053772698307,0,71.8348401017197,237.36839669079868,2.347837304194404,141.31094039855313,265.767225450537,75.05612558199763
SI,2025-09-23,95.5,-0.01,6.27,"Laureano, Ramón",663368,593974,single,hit_into_play,,,,,11.0,Blake Perkins singles on a line drive to right fielder Ramón Laureano.,R,R,L,SD,MIL,X,9,line_drive,0,2,2025,1.33,0.76,-0.88,2.86,,,,1,8,Top,153.84,104.36,,,,,-5.227680471168457,-139.02337075815106,-5.030467117235624,18.366079391313388,30.77916370062094,-21.44129357201463,3.5,1.67,248.0,85.1,17.0,94.8,2084.0,5.8,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.65,0.957,0.879,0.9,1.0,1,0,4.0,57,3,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,134.0,-0.003,0.507,63.2,5.8,1.059,-0.507,88.0,6,-6,0.996,0.004,33,28,34,29,1,2,2.0,1.0,3.0,4.0,1.74,1.33,-1.33,47.4,-3.764683098292204,12.789118286888984,30.05370072861529,27.342589062622288,21.391053772698307,0,71.8348401017197,237.36839669079868,2.347837304194404,136.65114042160357,268.19296378069873,71.77260426818249
