pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FC,2025-09-28,86.4,1.39,5.77,"Lowe, Josh",543807,693855,single,hit_into_play,,,,,6.0,George Springer singles on a line drive to right fielder Josh Lowe. Ernie Clement to 3rd.,R,R,L,TOR,TB,X,9,line_drive,0,0,2025,0.05,0.76,0.46,2.83,,676391.0,,1,4,Bot,174.73,122.38,,,,,-2.314829874408624,-125.88413712700438,-2.35803058175718,0.9579018649226704,24.55499043909636,-23.81021910664905,3.55,1.64,228.0,96.7,12.0,86.4,1869.0,6.2,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.34,0.966,0.917,0.9,1.0,1,0,4.0,40,1,Cutter,5,4,5,4,4,5,5,4,Infield shade,Standard,144.0,0.043,0.54,72.2,6.6,1.137,-0.54,96.7,1,1,0.709,0.709,26,35,27,36,3,2,5.0,1.0,,6.0,2.28,0.05,-0.05,44.4,-6.325253771252757,23.145334317342783,35.146353700886,40.225907963974805,10.537066514377823,0,124.22457848305153,191.1864380668989,1.9296398537961292,141.31094039855313,265.767225450537,76.51298981395864
SI,2025-09-28,91.0,-1.56,3.81,"Lowe, Josh",664702,687330,triple,hit_into_play,,,,,5.0,Myles Straw triples (1) on a line drive to right fielder Josh Lowe. Ernie Clement scores.,R,R,R,TOR,TB,X,9,line_drive,2,1,2025,-1.38,-0.05,0.21,2.31,,,676391.0,2,7,Bot,170.83,70.62,,,,,7.530560271626207,-132.34495324159832,2.3087525430212508,-17.85487434505695,28.460287139121245,-33.46569750432251,3.44,1.6,337.0,97.9,21.0,92.3,2104.0,7.1,776145,676439,676044,656484,691406,700246,680700,663968,666139,53.37,0.346,0.437,1.6,1.0,1,2,5.0,69,4,Sinker,10,4,10,4,4,11,11,4,Standard,Standard,251.0,0.003,1.301,,,0.695,-1.301,97.9,6,6,0.994,0.994,27,30,28,31,1,3,3.0,1.0,,6.0,2.8,1.38,1.38,5.6,,,,,,0,112.94978061367514,317.5080267636122,3.255936666882702,141.31094039855313,265.767225450537,59.00394821418734
FF,2025-09-28,91.0,1.04,6.1,"Lowe, Josh",662139,693855,single,hit_into_play,,,,,7.0,Daulton Varsho singles on a line drive to right fielder Josh Lowe. Davis Schneider to 3rd. Vladimir Guerrero Jr. to 2nd.,R,L,L,TOR,TB,X,9,line_drive,1,0,2025,0.3,1.34,-0.43,1.57,,676914.0,665489.0,1,1,Bot,174.54,112.58,,,,,-4.3258290802121255,-132.31624861100403,-8.348760134130274,4.4805339717688994,27.82015104707067,-14.817818177435331,3.38,1.54,247.0,83.1,21.0,90.9,2093.0,6.2,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.26,0.717,0.666,0.9,1.0,1,0,4.0,9,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,155.0,0.058,0.447,77.4,8.5,0.83,-0.447,88.0,0,0,0.585,0.585,26,28,27,29,1,0,5.0,1.0,,6.0,1.41,0.3,0.3,55.6,17.797262259796653,-7.774738518152898,34.89835757299668,39.75969126433914,32.314956560109515,0,122.83706205395498,214.2896548738478,2.782134302668764,141.31094039855313,265.767225450537,54.69208766877555
FC,2025-09-28,88.6,1.66,5.78,"Lowe, Josh",665489,693855,single,hit_into_play,,,,,1.0,Vladimir Guerrero Jr. singles on a line drive to right fielder Josh Lowe. George Springer scores. Davis Schneider to 2nd.,R,R,L,TOR,TB,X,9,line_drive,2,2,2025,0.08,0.68,-0.78,3.14,,543807.0,676914.0,0,1,Bot,160.31,104.83,,,,,-6.124125859233175,-129.00183128652986,-1.815399372287506,2.137355036517394,26.03339565679381,-24.4111618521368,3.68,1.67,169.0,79.7,12.0,88.7,2131.0,6.3,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.23,0.489,0.467,0.9,1.0,1,0,4.0,7,5,Cutter,0,1,0,1,1,1,1,1,Infield shade,Standard,148.0,0.097,0.522,67.7,5.7,0.547,-0.522,88.0,-1,-1,0.537,0.537,26,26,27,26,1,0,5.0,1.0,,6.0,2.21,0.08,-0.08,45.2,-9.987095657859708,19.523199890681934,31.483519919468712,28.31305043999859,22.59396178188017,0,59.116979989297725,158.3230326798504,1.6254801452149197,141.31094039855313,265.767225450537,135.27786843346811
CH,2025-09-28,87.1,-1.83,4.48,"Lowe, Josh",665926,670955,sac_fly,hit_into_play,,,,,7.0,Andrés Giménez out on a sacrifice fly to right fielder Josh Lowe. Ernie Clement scores.,R,L,R,TOR,TB,X,9,fly_ball,0,1,2025,-1.34,-0.1,-0.32,1.74,676391.0,,543807.0,1,4,Bot,162.77,71.87,,,,,6.34421820903264,-126.63424099626936,-0.167524460616013,-15.722069966945869,27.47732888255872,-33.476523315256046,3.33,1.51,327.0,95.6,41.0,86.5,2075.0,6.1,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.42,0.031,0.049,0.0,1.0,0,0,3.0,41,2,Changeup,5,4,5,4,4,6,6,4,Infield shade,Standard,243.0,0.024,-0.099,67.4,8.0,0.096,0.099,95.6,1,1,0.752,0.752,27,26,27,27,1,0,4.0,1.0,,6.0,3.13,1.34,-1.34,10.5,17.880178518820085,-15.797272477941336,36.54882726485075,39.74091500201959,40.33081560836318,1,92.66455985006003,313.5957259718229,5.750600359386324,141.31094039855313,265.767225450537,68.22049400717832
SI,2025-09-26,93.9,-1.16,5.65,"Lowe, Josh",662139,605288,field_out,hit_into_play,,,,,5.0,Daulton Varsho flies out sharply to right fielder Josh Lowe.,R,L,R,TOR,TB,X,9,fly_ball,0,2,2025,-1.34,0.9,0.05,2.58,,,,0,6,Bot,175.84,105.01,,,,,6.145221225839645,-136.58619234206049,-4.211201838828346,-18.123687063375748,31.1146295629599,-20.21113508579291,3.39,1.55,265.0,101.7,52.0,94.3,2163.0,6.6,776177,676439,666018,664040,691406,700246,663968,802415,666139,53.87,0.014,0.024,0.0,1.0,0,0,3.0,49,4,Sinker,4,2,4,2,2,4,4,2,Infield shade,Standard,225.0,-0.012,-0.165,82.4,7.7,0.042,0.165,101.7,2,2,0.852,0.852,32,28,32,29,3,2,6.0,1.0,,1.0,1.7,1.34,-1.34,36.0,12.867585272005892,-12.495351155121115,25.13540668954757,33.817697143745704,31.602033010395864,1,126.02978929584135,233.11261701170494,7.331935904168463,141.31094039855313,265.767225450537,36.05325271480164
CH,2025-09-26,88.0,-1.29,5.57,"Lowe, Josh",676391,605288,single,hit_into_play,,,,,13.0,Ernie Clement singles on a line drive to right fielder Josh Lowe. Daulton Varsho scores.,R,R,R,TOR,TB,X,9,line_drive,1,2,2025,-1.4,0.52,-0.26,1.08,,662139.0,,2,2,Bot,165.92,121.5,,,,,5.4407155443473805,-127.9512818888711,-5.890708288896234,-16.539755153654923,26.9884241101111,-25.42235824479185,3.37,1.55,158.0,63.2,23.0,88.4,1593.0,6.6,776177,676439,666018,664040,691406,700246,663968,802415,666139,53.86,0.577,0.525,0.9,1.0,1,0,4.0,17,5,Changeup,1,2,1,2,2,2,2,2,Infield shade,Standard,238.0,0.105,0.755,69.3,8.0,0.638,-0.755,88.0,-1,-1,0.419,0.419,32,29,32,29,1,0,6.0,1.0,,1.0,2.43,1.4,1.4,32.2,23.036195545856007,-19.824168662137737,44.21807471873195,33.94016796755448,48.03671364935522,0,73.72294529877743,139.74593853301596,2.3313831367152686,141.31094039855313,265.767225450537,143.00175466740075
FC,2025-09-24,89.6,-1.64,5.81,"Lowe, Josh",668939,669358,field_out,hit_into_play,,,,,6.0,Adley Rutschman flies out to right fielder Josh Lowe.,R,L,R,BAL,TB,X,9,fly_ball,0,0,2025,0.49,0.46,0.53,2.3,,,641933.0,2,4,Bot,164.32,69.6,,,,,4.318080568919061,-130.4784293294266,-3.6605544148831086,4.720849127931836,27.23941560536553,-26.35214840489545,3.45,1.63,334.0,87.2,30.0,89.5,2360.0,6.2,776203,676439,676044,680700,691406,656484,663968,802415,666139,54.3,0.046,0.057,0.0,1.0,0,0,3.0,34,1,Cutter,0,3,0,3,3,0,0,3,Infield shade,Standard,173.0,-0.023,-0.272,77.1,7.1,0.091,0.272,88.0,-3,-3,0.177,0.177,26,27,26,27,2,1,6.0,1.0,,1.0,2.37,-0.49,0.49,32.3,10.957674467170731,-8.649556442918499,40.835044126527535,27.18799148409925,26.910520596128045,1,96.65556397664848,319.70877678342833,4.021425424522394,141.31094039855313,265.767225450537,70.02709192577504
CH,2025-09-24,87.7,-1.52,5.95,"Lowe, Josh",687637,669358,field_out,hit_into_play,,,,,8.0,Dylan Beavers flies out to right fielder Josh Lowe. Colton Cowser to 3rd.,R,L,R,BAL,TB,X,9,fly_ball,0,0,2025,-1.21,0.64,0.0,1.75,,681297.0,669236.0,0,3,Bot,160.43,62.5,,,,,6.164318956853019,-127.5754789290342,-5.351302757542055,-14.451886166255468,26.17891150356349,-24.274150244456283,3.44,1.69,358.0,92.9,30.0,87.9,1812.0,6.4,776203,676439,676044,680700,691406,656484,663968,802415,666139,54.1,0.12,0.187,0.0,1.0,0,0,3.0,26,1,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,239.0,-0.036,-0.264,74.4,8.1,0.328,0.264,92.9,-3,-3,0.324,0.324,26,23,26,24,2,1,6.0,1.0,,1.0,2.32,1.21,-1.21,35.0,13.312426410815236,-12.476116784845402,42.53897028447447,34.51462955579985,38.18172438788491,1,89.39069096453902,346.6602145745633,4.278476462108543,141.31094039855313,265.767225450537,96.12173526684838
FF,2025-09-24,97.7,-0.54,6.66,"Lowe, Josh",669236,641329,field_out,hit_into_play,,,,,2.0,Jeremiah Jackson flies out sharply to right fielder Josh Lowe.,R,R,R,BAL,TB,X,9,fly_ball,1,1,2025,-0.34,1.45,-0.01,2.89,,,681297.0,0,8,Bot,195.49,76.71,,,,,2.202597896300733,-142.02770402241782,-7.98548002748633,-5.055363284265048,33.86486157329266,-10.86030193387297,3.33,1.53,347.0,102.3,44.0,97.7,2206.0,6.4,776203,676439,676044,680700,691406,656484,663968,802415,666139,54.05,0.066,0.099,0.0,1.0,0,0,3.0,62,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,194.0,-0.007,-0.234,72.9,7.1,0.2,0.234,102.3,-6,-6,0.016,0.016,30,25,31,25,1,2,3.0,3.0,4.0,1.0,0.95,0.34,0.34,57.3,13.872030324169756,11.761474531463596,23.30868203292904,39.85310869832213,25.30664108837839,1,173.2909206466322,300.6314301955845,6.507586393777982,141.31094039855313,265.767225450537,47.30995570883703
