pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-09-11,81.7,3.31,4.89,"Lugo, Matthew",695670,671111,sac_fly,hit_into_play,,,,,4.0,Harry Ford out on a sacrifice fly to right fielder Matthew Lugo. Jorge Polanco scores.,R,R,L,SEA,LAA,X,9,fly_ball,0,0,2025,1.59,0.16,-0.36,2.16,593871.0,553993.0,645302.0,0,12,Bot,182.74,108.89,,,,,-11.43518620227339,-118.4516436743071,0.1974192476796792,17.20480664233708,23.16611049872182,-30.94020931561032,3.3,1.5,265.0,85.4,44.0,82.2,1876.0,6.9,776362,665861,669722,650859,660162,687263,621493,621035,683090,53.62,0.014,0.021,0.0,1.0,0,0,3.0,101,1,Changeup,6,6,6,6,6,7,7,6,Strategic,Strategic,99.0,0.069,-0.215,69.8,6.2,0.03,0.215,88.0,0,0,0.931,0.931,27,22,27,22,2,0,3.0,4.0,2.0,16.0,3.28,1.59,-1.59,20.5,9.472459403644145,2.3984967344005845,41.358314226917166,29.557395670836364,33.655742622220494,1,143.05596643604986,223.06947452990465,5.442870404010591,134.38118792290584,263.7379311597569,41.583351799804184
SI,2025-09-11,89.7,3.14,4.92,"Lugo, Matthew",668227,671111,field_out,hit_into_play,,,,,6.0,Randy Arozarena flies out to right fielder Matthew Lugo. J.P. Crawford to 3rd.,R,R,L,SEA,LAA,X,9,fly_ball,1,1,2025,1.29,0.04,0.56,2.87,,641487.0,,1,11,Bot,203.22,95.82,,,,,-9.242366121138485,-130.35906927824286,0.912517511870112,16.64742404010008,28.31579471322776,-32.17053756879662,3.45,1.68,329.0,95.4,39.0,90.9,2189.0,7.2,776362,665861,669722,650859,660162,687263,621493,621035,683090,53.34,0.071,0.137,0.0,1.0,0,0,3.0,89,3,Sinker,5,5,5,5,5,5,5,5,Infield shade,Standard,128.0,-0.071,-0.249,75.4,7.2,0.257,0.249,95.4,0,0,0.699,0.699,27,30,27,30,1,5,3.0,1.0,2.0,1.0,2.81,1.29,-1.29,21.4,0.374639704458409,16.573363751266484,19.79704535022019,37.70087295844861,24.0600928734912,1,198.9718709172235,262.01372976181943,5.507504224317145,134.38118792290584,263.7379311597569,64.61369204845894
SL,2025-09-11,80.9,3.56,4.52,"Lugo, Matthew",641487,671111,single,hit_into_play,,,,,2.0,J.P. Crawford singles on a line drive to right fielder Matthew Lugo. Luke Raley scores.,R,L,L,SEA,LAA,X,9,line_drive,1,0,2025,-0.18,0.66,-0.06,2.81,,670042.0,,1,11,Bot,185.37,111.57,,,,,-7.769496322238395,-117.513768656446,1.6125260917976592,-0.1342344531334839,22.528905017613784,-26.64913687001158,3.33,1.56,228.0,84.1,20.0,81.0,2490.0,6.5,776362,665861,669722,650859,660162,687263,621493,621035,683090,54.0,0.74,0.679,0.9,1.0,1,0,4.0,88,2,Slider,4,5,4,5,5,5,5,5,Standard,Standard,262.0,0.354,0.512,73.6,7.8,0.837,-0.512,88.0,-1,-1,0.278,0.278,27,30,27,30,1,4,3.0,1.0,2.0,1.0,2.84,-0.18,-0.18,8.4,18.83519355884289,-8.075931906309311,27.78201084468052,37.28509366635927,44.293691020259146,0,129.673000941754,187.53376449791614,2.6917123624952675,134.38118792290584,263.7379311597569,76.3494730910115
FF,2025-09-08,94.2,-1.81,6.02,"Lugo, Matthew",663616,702674,single,hit_into_play,,,,,6.0,Trevor Larnach singles on a sharp line drive to right fielder Matthew Lugo.,R,L,R,LAA,MIN,X,9,line_drive,0,0,2025,-0.94,1.17,0.33,2.58,,,,2,5,Top,188.19,97.61,,,,,7.647593517904185,-136.93260615899516,-5.84820893328743,-13.492816682377692,30.479321392514738,-16.337241265106584,3.74,1.76,210.0,106.9,10.0,94.4,2011.0,6.5,776411,665861,672724,650859,660162,687263,621493,669326,683090,54.0,0.846,0.863,0.9,1.0,1,0,4.0,39,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,221.0,-0.017,0.328,,,1.119,-0.328,106.9,0,0,0.551,0.449,21,28,22,28,3,2,5.0,2.0,8.0,1.0,1.41,0.94,-0.94,40.9,,,,,,0,111.11831920318679,178.1929267324006,1.7962259847767141,134.38118792290584,263.7379311597569,88.65161500811642
FF,2025-09-08,89.2,3.37,4.78,"Lugo, Matthew",807712,671111,single,hit_into_play,,,,,4.0,Luke Keaschall singles on a fly ball to right fielder Matthew Lugo. Matt Wallner scores.,R,R,L,LAA,MIN,X,9,fly_ball,2,2,2025,0.79,0.71,-0.38,2.62,,670242.0,,2,9,Top,187.44,127.15,,,,,-10.981565415633217,-129.49699198693082,-0.8060075647916712,11.11981813151319,25.06894793906089,-24.167089398136305,3.24,1.5,221.0,73.4,40.0,90.1,2146.0,6.8,776411,665861,672724,650859,660162,687263,621493,669326,683090,53.7,0.257,0.232,0.9,1.0,1,0,3.0,81,6,4-Seam Fastball,3,11,11,3,12,3,12,3,Infield shade,Standard,120.0,0.0,0.741,70.9,5.9,0.302,-0.741,88.0,-8,8,0.001,0.999,27,22,27,23,2,5,,1.0,3.0,1.0,2.15,0.79,-0.79,15.1,-0.6616747629209179,7.215883741845684,38.86028440116243,30.254718634823565,27.58887303710684,0,145.25076146577493,166.5629499426945,4.344425246815147,134.38118792290584,263.7379311597569,97.78100328560896
SL,2025-09-08,81.4,3.58,4.78,"Lugo, Matthew",670242,671111,double,hit_into_play,,,,,5.0,Matt Wallner doubles (15) on a sharp fly ball to right fielder Matthew Lugo. Mickey Gasper scores. James Outman scores.,R,L,L,LAA,MIN,X,9,fly_ball,1,0,2025,-0.46,0.3,0.13,2.7,,681508.0,681546.0,2,9,Top,213.42,114.69,,,,,-6.910464554828677,-118.4301506647052,1.3540584260308353,-3.108979836259016,21.6010187078972,-29.839905242994234,3.73,1.8,298.0,102.7,50.0,82.1,2389.0,6.6,776411,665861,672724,650859,660162,687263,621493,669326,683090,53.86,0.02,0.026,1.25,1.0,1,1,3.0,80,2,Slider,3,9,9,3,11,3,11,3,Infield shade,Standard,268.0,-0.001,0.969,80.1,7.9,0.048,-0.969,102.7,-6,6,0.002,0.998,27,27,27,28,2,5,,1.0,3.0,1.0,3.13,-0.46,-0.46,13.6,14.792254587296108,-23.719043436451297,32.621769731920864,39.33247353598405,46.90682488942319,0,216.0743513074382,205.22152593495102,7.198574635267081,134.38118792290584,263.7379311597569,100.48851986274646
SL,2025-09-08,80.6,3.45,4.77,"Lugo, Matthew",681546,671111,single,hit_into_play,,,,,7.0,James Outman singles on a line drive to right fielder Matthew Lugo. Mickey Gasper to 2nd.,R,L,L,LAA,MIN,X,9,line_drive,1,0,2025,-0.23,0.79,-0.52,1.78,,,681508.0,1,9,Top,159.8,87.97,,,,,-8.435259584109836,-117.13763712823696,-1.495012043354734,-0.5345696362852579,21.61356893126699,-24.77835282501871,3.45,1.56,258.0,84.1,20.0,81.1,2544.0,6.6,776411,665861,672724,650859,660162,687263,621493,669326,683090,53.86,0.74,0.679,0.9,1.0,1,0,4.0,78,2,Slider,3,9,9,3,9,3,9,3,Infield shade,Standard,263.0,0.0,0.372,70.8,7.8,0.837,-0.372,88.0,-6,6,0.002,0.998,27,28,27,28,2,4,,1.0,3.0,1.0,2.72,-0.23,-0.23,12.9,13.385356398668804,-3.2896748751935343,39.62239857238115,42.56505566539727,35.9970923445661,0,76.7743713448584,246.31219195281784,2.6917123624952675,134.38118792290584,263.7379311597569,60.18472981716421
CU,2025-08-27,35.4,-2.19,7.0,"Lugo, Matthew",642133,672724,single,hit_into_play,,,,,5.0,Rowdy Tellez singles on a line drive to right fielder Matthew Lugo. Josh Jung to 2nd.,R,L,R,TEX,LAA,X,9,line_drive,1,0,2025,-0.03,1.32,0.21,2.51,,,673962.0,1,7,Bot,179.73,114.27,,,,,2.1863913194494704,-49.96954680941008,9.970969169437554,-0.2689647958919627,4.879296677673462,-31.24968615235944,3.63,1.64,100.0,109.5,5.0,32.5,868.0,3.6,776563,681351,694359,695681,650859,687263,621493,669326,683090,56.95,0.697,0.661,0.9,1.0,1,0,4.0,72,2,Curveball,17,3,17,3,3,17,17,3,Infield shade,Standard,207.0,0.0,0.372,,,0.808,-0.372,109.5,14,14,0.999,0.999,25,30,25,30,1,4,4.0,1.0,,2.0,18.35,0.03,-0.03,40.3,,,,,,0,54.29486442996484,83.97659016971181,1.048033568504786,134.38118792290584,263.7379311597569,196.79420450093355
FF,2025-06-04,91.8,1.81,6.07,"Lugo, Matthew",663853,691951,single,hit_into_play,,,,,4.0,"Romy Gonzalez singles on a fly ball to center fielder Jo Adell, deflected by right fielder Matthew Lugo. Carlos Narváez to 3rd. Romy Gonzalez to 2nd. Carlos Narváez advances to 3rd, on a fielding error by right fielder Matthew Lugo.",R,R,L,BOS,LAA,X,9,fly_ball,1,1,2025,0.15,1.31,-0.41,2.54,,,665966.0,1,7,Bot,151.13,114.3,,,,,-5.878350451009778,-133.5267266871469,-5.83050209048746,3.1165126418368128,29.638173293098543,-15.396711164105014,3.55,1.73,223.0,70.7,38.0,90.6,2410.0,5.7,777649,681351,694384,621035,621028,687263,621493,666176,683090,54.82,0.509,0.481,0.9,1.0,1,0,3.0,65,3,4-Seam Fastball,7,8,7,8,8,7,7,8,Standard,Standard,158.0,0.185,0.428,75.3,6.6,0.589,-0.428,88.0,-1,-1,0.36,0.36,23,28,24,29,1,0,,1.0,34.0,2.0,1.4,0.15,-0.15,43.2,2.2828565866247508,3.108721102690929,31.27939379626121,28.648620282276497,26.57221469042595,0,65.28665453406836,213.22910856576127,4.014869944346988,134.38118792290584,263.7379311597569,85.58735715076672
CH,2025-05-18,85.0,2.59,5.3,"Lugo, Matthew",660271,579328,single,hit_into_play,,,,,14.0,Shohei Ohtani singles on a sharp line drive to right fielder Matthew Lugo. Enrique Hernández scores. Shohei Ohtani to 2nd.,R,L,L,LAD,LAA,X,9,line_drive,3,2,2025,0.92,0.21,1.12,2.37,,571771.0,,2,5,Bot,181.3,117.51,,,,,-5.3551580099101805,-123.76842094795444,-1.0416252428911732,10.484099855423,22.010733811857424,-30.031319189856905,3.5,1.56,234.0,100.8,15.0,86.4,1363.0,6.9,777866,518595,694384,650859,660162,687263,621493,677347,683090,53.61,0.686,0.685,0.9,1.0,1,0,4.0,44,6,Changeup,0,4,0,4,4,1,1,4,Infield shade,Standard,125.0,0.064,0.686,77.1,7.1,0.903,-0.686,100.8,-4,-4,0.096,0.096,34,30,34,31,3,2,6.0,1.0,5.0,1.0,2.92,0.92,0.92,41.8,8.17437541772578,0.4928389581996774,41.70408723310305,28.04249827448717,30.529751895994444,0,133.14557035748768,192.4272774171565,2.454530810166533,134.38118792290584,263.7379311597569,71.32135786680607
