pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SL,2025-09-27,91.0,-1.18,5.72,"Mangum, Jake",543807,671212,field_out,hit_into_play,,,,,5.0,George Springer flies out to right fielder Jake Mangum.,R,R,R,TOR,TB,X,9,fly_ball,2,2,2025,0.36,0.06,0.02,2.66,,,676391.0,1,5,Bot,169.24,97.0,,,,,2.274040662184232,-132.60025879714271,-1.9319672492132285,3.792273728968608,26.81153912858409,-31.33333760042809,3.55,1.64,277.0,93.7,48.0,91.7,2628.0,6.5,776159,663743,666018,664040,691406,700246,666624,802415,663968,54.01,0.003,0.003,0.0,1.0,0,0,3.0,41,7,Slider,3,0,3,0,0,3,3,0,Standard,Standard,132.0,-0.011,-0.222,76.1,7.1,0.003,0.222,93.7,3,3,0.892,0.892,25,35,26,36,3,2,6.0,1.0,,1.0,2.68,-0.36,-0.36,31.8,7.887232804481224,0.3824093025208183,36.11577649923139,36.50790838461004,22.086141183349618,1,110.00268731214125,254.22118083296536,6.377715180600926,140.84146883576724,264.8842778576781,32.630232668805384
SL,2025-09-27,90.3,-1.28,5.64,"Mangum, Jake",665926,671212,field_out,hit_into_play,,,,,3.0,Andrés Giménez flies out to right fielder Jake Mangum.,R,L,R,TOR,TB,X,9,fly_ball,1,2,2025,0.07,0.19,0.73,2.91,,,676391.0,0,5,Bot,159.81,113.64,,,,,4.877871329882516,-131.5108530290791,-1.3286552258972828,-0.0837895728941424,25.2920895940175,-29.876134805079047,3.34,1.51,230.0,70.4,38.0,91.1,2594.0,6.5,776159,663743,666018,664040,691406,700246,666624,802415,663968,53.96,0.6,0.569,0.0,1.0,0,0,3.0,40,4,Slider,3,0,3,0,0,3,3,0,Standard,Standard,135.0,-0.013,-0.164,66.3,6.4,0.684,0.164,88.0,3,3,0.905,0.905,25,26,26,27,2,1,6.0,1.0,,1.0,2.58,-0.07,0.07,31.2,3.8953415661508863,-1.8182537980032525,25.592722233215746,30.51149395837509,30.56090676588913,1,86.58630547887537,213.07935541370233,3.998224196234704,140.84146883576724,264.8842778576781,75.01581660096335
SL,2025-09-27,90.8,-1.22,5.58,"Mangum, Jake",672386,671212,field_out,hit_into_play,,,,,9.0,Alejandro Kirk lines out sharply to right fielder Jake Mangum. Addison Barger to 3rd.,R,R,R,TOR,TB,X,9,line_drive,0,2,2025,0.3,0.25,0.69,1.61,,680718.0,676914.0,1,2,Bot,190.61,107.47,,,,,4.198523318282543,-132.23954995004686,-4.661399711570726,2.734285153797193,26.8342188664322,-28.45918467057665,3.14,1.5,310.0,100.6,16.0,92.2,2748.0,6.9,776159,663743,666018,664040,691406,700246,666624,802415,663968,53.55,0.589,0.62,0.0,1.0,0,0,4.0,15,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,124.0,-0.039,-0.155,72.7,7.5,0.858,0.155,100.6,0,0,0.59,0.59,25,26,26,27,1,0,6.0,1.0,,1.0,2.5,-0.3,-0.3,28.1,6.496627601579579,17.039329178258207,27.32980826014307,47.161487202740005,23.43704258561428,1,180.79457200132342,251.82002052032772,2.5998196831118543,140.84146883576724,264.8842778576781,42.03481024501108
SL,2025-09-27,87.4,1.25,5.1,"Mangum, Jake",676391,664076,field_out,hit_into_play,,,,,8.0,Ernie Clement flies out to right fielder Jake Mangum.,R,R,L,TOR,TB,X,9,fly_ball,1,1,2025,-0.46,0.02,-0.1,1.73,,,,0,7,Bot,161.88,112.18,,,,,-2.2897812116037737,-127.31321268595389,-2.060694922821188,-4.622348987572546,24.10331691366916,-31.788425547170853,3.37,1.55,235.0,76.2,39.0,87.2,2563.0,6.0,776159,663743,666018,664040,691406,700246,666624,802415,663968,54.54,0.1,0.095,0.0,1.0,0,0,3.0,56,3,Slider,5,1,5,1,1,5,5,1,Standard,Standard,220.0,-0.003,-0.251,64.7,7.2,0.132,0.251,88.0,4,4,0.974,0.974,31,29,31,29,1,2,3.0,1.0,,1.0,2.94,-0.46,0.46,30.1,4.055837568476427,2.3977501124815706,29.8803241485034,37.22926084046455,29.78098266478041,1,91.64493037294558,216.39363839294805,4.414276125571566,140.84146883576724,264.8842778576781,69.0770693676442
FF,2025-09-25,94.8,-1.68,6.06,"Mangum, Jake",676059,656876,field_out,hit_into_play,,,,,2.0,Jordan Westburg flies out to right fielder Jake Mangum.,R,R,R,BAL,TB,X,9,fly_ball,1,0,2025,-0.31,1.38,-0.04,3.04,,,,0,3,Bot,199.52,103.81,,,,,5.023897880641496,-137.89856871891376,-5.334109602910907,-5.084062147968625,31.22873153742251,-13.521364471635392,3.5,1.6,297.0,97.7,47.0,95.4,2387.0,6.7,776191,663743,676044,680700,691406,700246,666624,677592,663968,53.78,0.011,0.01,0.0,1.0,0,0,3.0,27,2,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shade,Standard,199.0,-0.023,-0.301,74.2,6.3,0.017,0.301,97.7,-3,-3,0.224,0.224,29,26,30,26,2,1,6.0,1.0,,1.0,1.16,0.31,0.31,58.4,6.11295692488424,9.012673897362818,25.11262252560051,39.94123638802517,25.87083870651201,1,183.31158264620572,233.67897566478524,6.542961256967515,140.84146883576724,264.8842778576781,52.70181640153745
FC,2025-09-25,86.5,-1.97,6.03,"Mangum, Jake",669236,656876,double,hit_into_play,,,,,4.0,Jeremiah Jackson doubles (10) on a fly ball to right fielder Jake Mangum.,R,R,R,BAL,TB,X,9,fly_ball,1,2,2025,0.22,-0.26,-0.65,2.24,,,,0,2,Bot,203.0,92.0,,,,,2.7054893517154888,-125.9537224761532,-2.3336543334305127,1.7951405644335157,24.74175071944901,-34.664634472021525,3.32,1.53,345.0,95.9,33.0,87.1,2700.0,6.6,776191,663743,676044,680700,691406,700246,666624,677592,663968,53.94,0.189,0.318,1.25,1.0,1,1,5.0,14,4,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,70.0,0.065,0.786,72.3,6.1,0.599,-0.786,95.9,0,0,0.55,0.55,29,25,30,25,1,0,6.0,1.0,,1.0,3.29,-0.22,-0.22,53.7,-0.7559933393831176,11.567403360224386,31.67751642896164,32.87554144947036,25.75067711736986,0,203.42092916195136,278.6483905908813,4.800782857099447,140.84146883576724,264.8842778576781,64.07526554021277
FC,2025-09-21,89.4,0.02,6.95,"Mangum, Jake",608324,664126,field_out,hit_into_play,,,,,14.0,Alex Bregman lines out to right fielder Jake Mangum.,R,R,R,TB,BOS,X,9,line_drive,0,2,2025,0.45,0.22,1.0,2.07,,,,1,9,Top,159.61,73.16,,,,,1.46559152641857,-130.14815315916815,-6.505065150396726,4.809160629594912,25.27542371398274,-28.610772927090306,3.38,1.6,324.0,98.6,18.0,89.2,2465.0,6.0,776236,663743,656484,664040,691406,700246,666624,802415,663968,54.51,0.371,0.414,0.0,1.0,0,0,4.0,75,3,Cutter,7,3,3,7,3,7,3,7,Standard,Standard,96.0,0.004,-0.163,73.8,7.0,0.614,0.163,98.6,4,-4,0.995,0.005,31,31,32,31,1,4,4.0,1.0,3.0,2.0,2.61,-0.45,-0.45,58.0,3.75766547892604,9.897874556172882,28.678799957385,43.50896758398426,24.431320957922004,1,85.41067646319215,312.53962364170707,2.843477574468031,140.84146883576724,264.8842778576781,73.09996391823252
FF,2025-09-21,97.0,0.08,6.87,"Mangum, Jake",596115,664126,field_out,hit_into_play,,,,,2.0,Trevor Story flies out to right fielder Jake Mangum.,R,R,R,TB,BOS,X,9,fly_ball,0,2,2025,0.02,1.4,-0.21,3.17,,,,0,9,Top,186.78,129.83,,,,,-0.83087630080893,-141.25086005080243,-7.559979106614824,0.5061118526090853,30.588120848926643,-11.934258350592374,3.47,1.6,230.0,90.0,51.0,96.9,2413.0,6.1,776236,663743,656484,664040,691406,700246,666624,802415,663968,54.42,0.011,0.013,0.0,1.0,0,0,3.0,74,3,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,196.0,0.008,-0.165,68.9,6.5,0.018,0.165,90.0,4,-4,0.987,0.013,31,32,32,33,1,4,4.0,1.0,3.0,2.0,1.01,-0.02,-0.02,52.5,3.2393477924318343,7.403910367378925,24.52190666247088,34.483330587295185,27.83265902931187,1,153.53535362296594,171.2509713486928,6.405892072066765,140.84146883576724,264.8842778576781,94.48984495064148
KC,2025-09-12,84.3,-1.34,6.01,"Mangum, Jake",683737,669358,single,hit_into_play,,,,,6.0,Michael Busch singles on a line drive to right fielder Jake Mangum. Dansby Swanson scores. Willi Castro to 3rd.,R,L,R,CHC,TB,X,9,line_drive,0,0,2025,0.62,-1.05,0.46,2.38,,621020.0,650489.0,2,2,Bot,157.11,93.3,,,,,2.933525600991874,-122.6858381731902,0.0385494871085554,5.650246135607137,25.52003762322669,-42.978996167139336,3.26,1.52,168.0,93.4,12.0,83.9,2719.0,6.1,776352,663743,650490,680700,691406,700246,802415,677592,663968,54.36,0.846,0.822,0.9,1.0,1,0,4.0,20,1,Knuckle Curve,1,3,1,3,3,2,2,3,Standard,Standard,38.0,0.111,0.543,69.1,6.4,0.997,-0.543,93.4,-2,-2,0.326,0.326,26,27,26,28,2,1,6.0,2.0,6.0,1.0,4.27,-0.62,0.62,39.1,7.744193474079693,10.70956155670557,37.76465688669308,31.000809859929447,29.344964655848365,0,48.554096148091574,160.83065549590313,1.8701603770475357,140.84146883576724,264.8842778576781,139.08312436884938
FS,2025-09-12,82.9,-1.7,5.82,"Mangum, Jake",683737,679358,single,hit_into_play,,,,,5.0,"Michael Busch singles on a line drive to right fielder Jake Mangum. Michael Busch out at 1st on the throw, right fielder Jake Mangum to first baseman Yandy Díaz. Matt Shaw to 2nd.",R,L,R,CHC,TB,X,9,line_drive,1,1,2025,-1.06,0.01,-0.06,2.28,,,807713.0,0,8,Bot,167.46,95.11,,,,,5.944999215083661,-120.62877029746144,-1.6253778906243848,-11.551073257118158,23.799292899605213,-31.987708159122736,3.26,1.52,326.0,105.4,21.0,84.2,1620.0,7.2,776352,663743,650490,680700,691406,700246,802415,677592,663968,53.31,0.743,1.102,0.9,1.0,1,0,6.0,68,3,Split-Finger,6,4,6,4,4,6,6,4,Standard,Standard,241.0,-0.003,0.478,70.3,7.4,1.906,-0.478,105.4,2,2,0.951,0.951,27,27,28,28,1,4,1.0,2.0,,1.0,3.31,1.06,-1.06,48.2,17.582688752874194,-3.311084593688788,38.71405551392757,36.89282906005233,31.71115125289253,0,123.02853130931591,301.8939888170559,3.4970334271596357,140.84146883576724,264.8842778576781,41.07334231126008
