pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-05-24,96.3,-1.16,5.8,"Martini, Nick",622569,675848,double,hit_into_play,,,,,8.0,Pablo Reyes doubles (1) on a sharp fly ball to right fielder Nick Martini.,R,R,R,COL,NYY,X,9,fly_ball,0,0,2025,-0.41,0.98,0.01,2.05,,,,2,9,Top,219.46,85.93,,,,,4.023216254449381,-140.36542288176,-6.67180754941946,-6.2393956673657645,25.348321272208405,-18.012994985075007,3.35,1.61,361.0,100.4,24.0,96.7,2696.0,6.0,777782,607732,669911,691182,671289,668845,687597,666160,605361,54.5,0.523,0.786,1.25,1.0,1,1,6.0,79,1,4-Seam Fastball,1,13,13,1,13,1,13,1,Standard,Standard,212.0,0.0,0.58,72.3,7.1,1.381,-0.58,100.4,-12,12,0.001,0.999,24,31,25,32,1,0,14.0,10.0,2.0,14.0,1.43,0.41,0.41,35.7,1.4781346350064022,7.687664948982872,32.58239431417464,38.8380824363192,21.3466546871674,0,231.72161368869598,276.8141863227149,3.7725213287327324,133.0192164236872,261.0649115871918,99.95100239894846
FF,2025-04-24,97.1,-2.8,5.56,"Martini, Nick",521692,801403,field_out,hit_into_play,,,,,12.0,Salvador Perez flies out to right fielder Nick Martini.,R,R,R,KC,COL,X,9,fly_ball,1,0,2025,-0.9,1.17,0.97,3.0,,,686469.0,2,3,Bot,167.76,101.05,,,,,12.09541324299181,-141.04287831393123,-4.027151663357207,-14.619481823507186,28.556672616381466,-15.681543911136789,3.66,1.73,265.0,76.0,37.0,97.1,2407.0,6.1,778195,607732,669911,691182,641857,668845,687597,686668,605361,54.37,0.094,0.085,0.0,1.0,0,0,3.0,25,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Strategic,Standard,226.0,-0.016,-0.307,70.0,7.8,0.108,0.307,88.0,2,2,0.754,0.754,23,35,24,35,2,1,5.0,0.0,6.0,2.0,1.23,0.9,0.9,31.0,11.688893680227448,1.856054443908747,28.69473682530533,48.63900559406955,30.34267852220332,1,105.81043677923131,242.9591559678052,4.2142220269177715,133.0192164236872,261.0649115871918,32.68235114384376
CH,2025-04-24,88.9,-2.56,5.38,"Martini, Nick",686681,801403,sac_fly,hit_into_play,,,,,13.0,Michael Massey out on a sacrifice fly to right fielder Nick Martini. Salvador Perez scores.,R,L,R,KC,COL,X,9,line_drive,1,0,2025,-1.5,0.31,-0.6,1.28,521692.0,,,1,2,Bot,167.66,91.46,,,,,7.951651635203505,-129.16600380604928,-4.660434280789264,-18.46654484045574,25.68816916570205,-27.94813466813469,3.48,1.59,286.0,82.7,23.0,89.1,2100.0,6.4,778195,607732,669911,691182,641857,668845,687597,686668,605361,54.11,0.394,0.366,0.0,1.0,0,0,3.0,15,2,Changeup,0,0,0,0,0,1,1,0,Strategic,Standard,248.0,0.022,-0.151,68.6,7.9,0.467,0.151,88.0,0,0,0.604,0.604,23,27,24,27,1,0,5.0,0.0,6.0,1.0,2.57,1.5,-1.5,25.2,16.99098985266368,-8.917410711911995,34.23730037542828,43.10486372012634,35.496771387093936,1,105.17798562972327,265.95787512099304,3.008044184037241,133.0192164236872,261.0649115871918,28.26791864049906
FF,2025-04-16,95.3,-1.59,6.14,"Martini, Nick",660271,608566,single,hit_into_play,,,,,8.0,Shohei Ohtani singles on a sharp line drive to right fielder Nick Martini. Austin Barnes scores.,R,L,R,LAD,COL,X,9,line_drive,0,0,2025,-0.86,1.2,0.24,1.82,,605131.0,,2,1,Bot,164.28,90.16,,,,,6.633169262326967,-138.47997030228538,-8.2753924980046,-12.56738250850122,30.275789754763416,-15.01019066470775,3.53,1.59,287.0,108.5,15.0,93.8,2235.0,5.4,778287,690924,669911,691182,641857,571657,656248,666160,605361,55.06,0.677,0.723,0.9,1.0,1,0,5.0,16,1,4-Seam Fastball,6,1,6,1,1,7,7,1,Standard,Standard,219.0,0.029,0.672,78.0,7.9,1.061,-0.672,108.5,5,5,0.91,0.91,30,30,30,31,2,1,5.0,1.0,8.0,4.0,1.31,0.86,-0.86,40.2,12.147015274790787,3.15404206751084,43.789160926244136,36.50012949494612,27.17994125172751,0,97.08066485343278,270.0821069815908,2.6311265851467867,133.0192164236872,261.0649115871918,37.052520855518154
FF,2025-04-16,94.2,2.17,5.18,"Martini, Nick",571970,678821,single,hit_into_play,,,,,8.0,Max Muncy singles on a sharp line drive to right fielder Nick Martini.,R,L,L,LAD,COL,X,9,line_drive,3,2,2025,1.23,1.08,0.09,1.74,,,,1,5,Bot,200.76,107.43,,,,,-8.092868469765875,-136.96388566782002,-5.6269792658937945,17.23677010322025,29.563757500276303,-17.529460964615286,3.2,1.53,218.0,108.4,14.0,94.0,2212.0,6.2,778287,690924,669911,691182,641857,571657,656248,666160,605361,54.33,0.743,0.783,0.9,1.0,1,0,5.0,49,8,4-Seam Fastball,7,6,7,6,6,7,7,6,Standard,Standard,133.0,0.023,0.338,73.3,7.6,1.124,-0.338,108.4,1,1,0.692,0.692,24,34,24,35,1,2,2.0,1.0,3.0,2.0,1.49,1.23,1.23,31.1,22.18047636826681,-3.4475569614640142,38.84507984655898,37.55016638737375,38.51148212173739,0,139.1673635663541,167.79882275507842,2.4665041419760794,133.0192164236872,261.0649115871918,93.46851362532487
FF,2025-04-16,95.6,-0.77,6.29,"Martini, Nick",681624,641755,field_out,hit_into_play,,,,,8.0,Andy Pages flies out to right fielder Nick Martini.,R,R,R,LAD,COL,X,9,fly_ball,3,2,2025,-0.4,1.26,0.08,1.64,,,,2,7,Bot,200.61,115.37,,,,,3.098326221946414,-138.9539875806049,-9.35302361859656,-5.860902069756837,29.30403176587557,-13.939853122845792,3.49,1.6,277.0,96.0,51.0,94.6,2257.0,5.6,778287,690924,669911,691182,641857,571657,656248,666160,605361,54.89,0.009,0.013,0.0,1.0,0,0,3.0,67,7,4-Seam Fastball,8,7,8,7,7,8,8,7,Standard,Standard,210.0,-0.009,-0.329,73.3,8.5,0.018,0.329,96.0,1,1,0.762,0.762,34,24,34,25,1,3,2.0,1.0,3.0,2.0,1.22,0.4,0.4,44.1,13.7129260172669,-8.116899549314931,49.32143422167709,36.204798164782765,33.81310653433953,1,186.09494855449796,205.17716764420635,6.829206258484295,133.0192164236872,261.0649115871918,77.07446570854891
FF,2025-04-16,94.0,2.08,5.25,"Martini, Nick",605141,678821,field_out,hit_into_play,,,,,2.0,Mookie Betts lines out to right fielder Nick Martini.,R,R,L,LAD,COL,X,9,line_drive,2,2,2025,1.05,1.37,0.09,3.17,,,,0,4,Bot,160.93,95.84,,,,,-7.450787592328872,-136.73696126771753,-2.699691384626099,14.783482793967716,29.402843318667617,-14.618579886989089,3.2,1.5,272.0,76.4,30.0,93.7,2220.0,6.1,778287,690924,669911,691182,641857,571657,656248,666160,605361,54.41,0.283,0.255,0.0,1.0,0,0,3.0,41,7,4-Seam Fastball,7,6,7,6,6,7,7,6,Strategic,Standard,129.0,-0.02,-0.233,70.6,6.1,0.3,0.233,88.0,1,1,0.69,0.69,24,32,24,33,1,2,2.0,1.0,3.0,2.0,1.21,1.05,-1.05,31.7,-0.93932054523632,10.792341294811534,26.52598402120613,38.37136928832514,25.656266395837537,1,89.09384509151222,256.9947212819937,3.535476385313426,133.0192164236872,261.0649115871918,44.11354322416176
CU,2025-04-15,79.4,-1.15,5.57,"Martini, Nick",669242,663372,double,hit_into_play,,,,,5.0,Tommy Edman doubles (1) on a sharp line drive to right fielder Nick Martini.,R,L,R,LAD,COL,X,9,line_drive,2,2,2025,0.91,-1.01,0.04,2.51,,,,2,3,Bot,201.38,106.2,,,,,0.8918188878301898,-115.48377692572812,2.050952327951856,7.884298549187516,24.6134664390818,-41.77680617572838,3.35,1.49,259.0,100.4,18.0,78.8,2680.0,6.3,778302,607732,571657,691182,641857,678662,691728,666160,605361,54.24,0.409,0.465,1.25,1.0,1,1,4.0,27,7,Curveball,4,0,4,0,0,4,4,0,Standard,Standard,42.0,0.008,0.617,70.4,6.9,0.709,-0.617,100.4,4,4,0.89,0.89,28,30,29,30,2,1,5.0,1.0,7.0,1.0,4.67,-0.91,0.91,42.0,19.80188875500703,-15.35685495460007,25.350899466957927,31.446971940494294,37.093033341868,0,164.82609031852675,199.78328245954128,2.8930655079679837,133.0192164236872,261.0649115871918,69.04429951488484
FF,2025-04-15,94.2,-1.42,5.45,"Martini, Nick",605141,663372,field_out,hit_into_play,,,,,4.0,Mookie Betts flies out to right fielder Nick Martini.,R,R,R,LAD,COL,X,9,fly_ball,0,1,2025,-0.39,1.1,-0.41,2.17,,,660271.0,0,3,Bot,188.67,101.78,,,,,3.472616959275533,-137.2115130056827,-5.295066555861505,-5.717375557644551,27.956383083167136,-17.314603665363325,3.2,1.5,286.0,92.5,45.0,94.2,2400.0,6.1,778302,607732,571657,691182,641857,678662,691728,666160,605361,54.42,0.006,0.008,0.0,1.0,0,0,3.0,23,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,215.0,-0.03,-0.2,69.0,6.8,0.014,0.2,92.5,1,1,0.705,0.705,28,32,29,33,2,1,5.0,1.0,7.0,1.0,1.45,0.39,0.39,39.2,8.226276551583696,-8.35505303459826,39.431016574655686,31.163005395966525,35.25286292914932,1,156.7917243761218,239.1910432419288,5.994361305178174,133.0192164236872,261.0649115871918,32.3047713307874
ST,2025-04-15,85.0,-2.58,4.96,"Martini, Nick",669242,656234,double,hit_into_play,,,,,5.0,Tommy Edman doubles (2) on a sharp line drive to right fielder Nick Martini.,R,L,R,LAD,COL,X,9,line_drive,1,1,2025,0.9,0.85,-0.19,2.47,,,,1,5,Bot,194.58,108.24,,,,,3.7791807486569606,-123.8387195606626,-1.24035508106501,8.558349512438053,24.11911959914672,-23.388790884181148,3.35,1.49,281.0,105.1,18.0,84.3,2575.0,5.7,778302,607732,571657,691182,641857,678662,691728,666160,605361,54.78,0.554,0.681,1.25,1.0,1,1,5.0,47,3,Sweeper,5,2,5,2,2,5,5,2,Standard,Standard,90.0,0.017,0.653,75.2,7.2,1.077,-0.653,105.1,3,3,0.883,0.883,29,30,30,30,1,2,2.0,1.0,4.0,1.0,2.29,-0.9,0.9,15.2,17.429951837250158,-14.836464954679956,24.80353054737874,36.30879523575396,37.97535049941082,0,171.18275321124952,222.8395499075881,3.0227155272494164,133.0192164236872,261.0649115871918,54.01512580446458
