pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CU,2025-09-26,85.5,-1.83,5.62,"McCray, Grant",690022,686790,field_out,hit_into_play,,,,,8.0,Ryan Ritter flies out to right fielder Grant McCray.,R,R,R,SF,COL,X,9,fly_ball,0,1,2025,0.11,0.13,0.18,2.24,,,,0,3,Top,174.21,97.74,,,,,4.529057714498982,-124.40994407213648,-1.906957526604908,0.1989566347298449,26.014319775326985,-30.64433100214887,3.59,1.66,279.0,94.9,48.0,85.8,2731.0,6.6,776166,672275,805811,669477,656305,642715,671218,808982,687529,53.9,0.003,0.006,0.0,1.0,0,0,3.0,21,2,Curveball,5,0,0,5,0,5,0,5,Standard,Standard,29.0,0.013,-0.22,79.5,7.2,0.012,0.22,94.9,5,-5,0.914,0.086,24,24,24,25,1,0,5.0,1.0,,1.0,3.0,-0.11,-0.11,36.8,2.215008962074809,-3.824307673739251,38.531268372249045,38.79005624628614,29.368711812811043,1,121.81770126689884,251.00089174751668,6.458652593924007,139.43305414740956,262.2354350791013,20.892956252626632
CU,2025-09-26,85.9,-1.89,5.51,"McCray, Grant",686668,686790,field_out,hit_into_play,,,,,6.0,Brenton Doyle flies out to right fielder Grant McCray.,R,R,R,SF,COL,X,9,fly_ball,1,0,2025,0.13,-0.18,0.48,2.51,,,,1,2,Top,176.47,86.02,,,,,5.364104623070273,-124.92466149664028,-0.4286547780179978,0.1068898919131566,27.784736203235724,-34.1377500038631,3.41,1.66,307.0,91.5,36.0,85.7,2821.0,6.4,776166,672275,805811,669477,656305,642715,671218,808982,687529,54.08,0.037,0.063,0.0,1.0,0,0,3.0,11,2,Curveball,2,0,0,2,0,2,0,2,Strategic,Standard,19.0,0.016,-0.294,65.5,7.3,0.114,0.294,91.5,2,-2,0.729,0.271,24,27,24,27,1,0,5.0,1.0,,1.0,3.29,-0.13,-0.13,35.0,11.082346793424698,7.40235458697264,26.099400876763383,45.14915273807817,22.77640393968087,1,127.09377297037743,279.45692489568796,4.941128218164907,139.43305414740956,262.2354350791013,21.185787015559686
SI,2025-09-26,93.7,-1.7,5.6,"McCray, Grant",688760,686790,single,hit_into_play,,,,,4.0,Blaine Crim singles on a line drive to right fielder Grant McCray.,R,R,R,SF,COL,X,9,line_drive,0,0,2025,-1.65,0.28,-0.49,2.93,,,,2,1,Top,167.08,95.61,,,,,6.80475253426604,-136.2964435177616,-1.7913195299536628,-22.09676212098077,30.226627493738864,-28.447282444401733,3.61,1.73,196.0,99.2,8.0,94.2,2335.0,6.6,776166,672275,805811,669477,656305,642715,671218,808982,687529,53.86,0.626,0.578,0.9,1.0,1,0,4.0,3,1,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,239.0,-0.012,0.328,73.6,6.2,0.704,-0.328,99.2,0,0,0.537,0.463,24,28,24,28,1,0,5.0,1.0,,1.0,2.32,1.65,1.65,36.8,-3.136491116598776,12.53924002952226,30.10259563663554,34.40630596489072,21.53745232641413,0,73.7006148201712,181.61558131154047,1.3926139520916019,139.43305414740956,262.2354350791013,104.02074024641416
FF,2025-09-12,99.0,-0.92,6.12,"McCray, Grant",605141,666711,double_play,hit_into_play,,,,,8.0,"Mookie Betts flies into a double play, right fielder Grant McCray to third baseman Matt Chapman. Ben Rortvedt out at 3rd.",R,R,R,SF,LAD,X,9,fly_ball,1,0,2025,-1.0,1.02,-0.2,1.59,,666163.0,660271.0,0,10,Top,184.49,105.18,,,,,4.213167127689227,-143.86815829682274,-9.108053183007158,-14.889232671915098,35.63497931507432,-15.995611331141662,3.2,1.49,274.0,94.2,47.0,96.9,2237.0,5.3,776350,672275,527038,669477,656305,642715,671218,808982,687529,55.19,0.003,0.003,0.0,1.0,0,0,3.0,69,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,216.0,0.253,-0.308,74.5,7.3,0.003,0.308,94.2,0,0,0.478,0.522,28,32,28,33,1,4,3.0,2.0,2.0,1.0,1.32,1.0,1.0,38.4,6.616000556091742,1.1327092226995912,40.56398063247906,36.3004658648356,32.84737004233242,0,146.8046526637648,231.35339624970143,6.310636865387645,139.43305414740956,262.2354350791013,31.749658060314484
SI,2025-08-19,96.8,-1.91,5.85,"McCray, Grant",657757,693313,double,hit_into_play,,,,,6.0,Gavin Sheets doubles (18) on a sharp line drive to right fielder Grant McCray.,R,L,R,SD,SF,X,9,line_drive,0,0,2025,-1.21,0.51,0.28,2.6,,,,2,7,Bot,197.21,125.17,,,,,8.66384954206383,-140.669395689416,-4.267850499193811,-18.12301927278884,34.6750832987727,-24.553480586408885,3.48,1.66,253.0,111.7,13.0,96.9,2298.0,6.6,776667,672275,642086,666149,669477,683766,671218,808982,687529,53.87,0.811,0.871,1.25,1.0,1,1,6.0,62,1,Sinker,5,1,5,1,1,5,5,1,Standard,Standard,228.0,0.003,0.58,80.3,7.9,1.243,-0.58,111.7,4,4,0.969,0.969,26,29,27,29,1,3,4.0,1.0,8.0,1.0,1.94,1.21,-1.21,39.7,7.045365656934887,-19.054923583980088,27.72026221733336,33.97460524774009,38.69124411835256,0,177.2732920192252,180.508115985588,2.3695556387692194,139.43305414740956,262.2354350791013,90.06241329438456
FF,2025-08-19,99.0,-1.75,5.98,"McCray, Grant",657656,693313,field_out,hit_into_play,,,,,3.0,Ramón Laureano flies out to right fielder Grant McCray.,R,R,R,SD,SF,X,9,fly_ball,0,2,2025,-0.51,1.39,0.51,3.28,,,,1,7,Bot,185.47,69.77,,,,,7.439381453720881,-143.94874466832536,-5.155209262547414,-8.961917335201784,36.26001639683245,-11.854959455798424,3.44,1.57,351.0,98.7,31.0,99.3,2349.0,6.7,776667,672275,642086,666149,669477,683766,671218,808982,687529,53.81,0.377,0.705,0.0,1.0,0,0,6.0,61,3,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,218.0,-0.002,-0.163,67.8,6.4,1.358,0.163,98.7,4,4,0.971,0.971,26,30,27,31,1,3,4.0,1.0,8.0,1.0,0.95,0.51,0.51,44.5,11.309901795237474,3.5016058860628867,23.185246398924573,47.14657818678279,29.34154753645027,1,148.60211851996615,317.991211154299,4.674500622226077,139.43305414740956,262.2354350791013,56.504675091674244
FF,2025-08-16,93.7,-1.89,7.37,"McCray, Grant",673490,434378,field_out,hit_into_play,,,,,2.0,Ha-Seong Kim flies out to right fielder Grant McCray.,R,R,R,SF,TB,X,9,fly_ball,1,1,2025,-0.88,1.39,0.03,2.95,,,663968.0,2,7,Top,174.62,103.04,,,,,6.795688271946519,-136.1111354457395,-8.629158164180472,-12.428563310129263,31.28037310722158,-13.111304346713062,3.38,1.56,313.0,92.6,23.0,92.6,2492.0,5.8,776711,668800,646240,666149,683766,642715,671218,808982,687529,54.69,0.146,0.167,0.0,1.0,0,0,3.0,49,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,207.0,0.045,-0.257,69.3,6.2,0.269,0.257,92.6,1,-1,0.749,0.251,42,29,42,30,3,2,6.0,1.0,5.0,1.0,1.22,0.88,0.88,62.9,2.088993074942412,18.90185978281799,17.38583109303768,35.374431821398616,27.888886095900364,1,143.66828242352776,278.0798889266778,3.354315121015135,139.43305414740956,262.2354350791013,16.400727919175214
FF,2025-08-16,93.4,-2.07,7.34,"McCray, Grant",664040,434378,single,hit_into_play,,,,,1.0,Brandon Lowe singles on a sharp line drive to right fielder Grant McCray.,R,L,R,SF,TB,X,9,line_drive,0,1,2025,-0.42,1.58,-0.39,2.92,,,,0,7,Top,192.26,103.32,,,,,5.197127669357411,-135.71865466256122,-9.04778573609428,-6.298152410859063,28.02796283519239,-10.912300403883725,3.24,1.43,163.0,105.7,10.0,92.9,2300.0,6.0,776711,668800,646240,666149,683766,642715,671218,808982,687529,54.55,0.849,0.841,0.9,1.0,1,0,4.0,46,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,207.0,-0.071,0.478,76.7,7.1,1.068,-0.478,105.7,1,-1,0.7,0.3,42,30,42,31,3,2,6.0,1.0,5.0,1.0,1.03,0.42,-0.42,62.7,18.655563782113347,-1.5869588712365763,27.13455195568677,39.95889199090442,35.1572912120877,0,93.82733032569645,133.2870289411263,1.7782759621783002,139.43305414740956,262.2354350791013,136.77563193356673
SI,2025-08-16,93.4,-2.03,5.67,"McCray, Grant",677592,676130,field_out,hit_into_play,,,,,2.0,Everson Pereira flies out to right fielder Grant McCray.,R,R,R,SF,TB,X,9,fly_ball,0,0,2025,-1.0,0.77,-0.21,3.25,,,,1,8,Top,188.78,116.09,,,,,6.861668641912439,-135.8967344776239,-2.1732410839014964,-13.919770706348434,29.73945353015389,-22.41578488734249,3.4,1.58,259.0,89.6,45.0,93.1,2236.0,6.1,776711,668800,646240,666149,683766,642715,671218,808982,687529,54.4,0.006,0.005,0.0,1.0,0,0,3.0,54,1,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,207.0,0.039,-0.255,69.3,7.4,0.009,0.255,89.6,1,-1,0.807,0.193,27,24,27,24,1,2,1.0,3.0,4.0,1.0,1.85,1.0,1.0,33.7,13.40893213334476,18.23419048116422,20.46435736004465,34.92424199550621,20.274578325127155,1,158.14175795751905,205.11505159325938,5.808401341184295,139.43305414740956,262.2354350791013,60.106187766519085
CU,2025-08-15,77.0,-2.31,5.61,"McCray, Grant",650490,694738,single,hit_into_play,,,,,14.0,Yandy Díaz singles on a fly ball to right fielder Grant McCray. Chandler Simpson scores.,R,R,R,SF,TB,X,9,fly_ball,2,1,2025,1.66,-0.63,0.39,1.51,,802415.0,,2,3,Top,182.3,146.8,,,,,2.670725593129041,-112.2056707897578,-0.5942662224328977,13.547366408501118,20.52817457190585,-37.6344740083121,3.57,1.66,191.0,67.0,32.0,76.1,3102.0,5.6,776729,672275,646240,683766,669477,642715,671218,808982,687529,54.9,0.923,0.831,0.9,1.0,1,0,4.0,23,4,Curveball,3,2,2,3,3,3,3,3,Standard,Strategic,58.0,-0.107,0.677,71.1,8.2,0.959,-0.677,88.0,1,-1,0.635,0.365,26,33,27,34,2,1,24.0,2.0,5.0,1.0,4.47,-1.66,-1.66,26.9,1.7812754811296032,-22.589650516345444,27.965076371268285,42.53713350840888,43.41653247135936,0,141.62448539077448,128.15422403416247,3.293606961830584,139.43305414740956,262.2354350791013,134.0991182900612
