pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SI,2025-04-16,91.6,1.41,5.84,"McCutchen, Andrew",642708,663559,field_out,hit_into_play,,,,,3.0,Amed Rosario flies out to right fielder Andrew McCutchen.,R,R,L,PIT,WSH,X,9,fly_ball,1,1,2025,0.88,1.64,0.65,3.57,,,,2,5,Top,169.95,85.37,,,,,-3.89586298224022,-133.33998636098875,-3.454689677563884,11.344356645926752,28.84925613045919,-12.11232852388856,3.45,1.61,302.0,91.4,44.0,93.0,1922.0,7.1,778293,680779,665839,669707,663647,643396,502054,665833,457705,53.36,0.011,0.015,0.0,1.0,0,0,3.0,31,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,171.0,0.014,-0.245,68.6,6.8,0.021,0.245,91.4,0,0,0.551,0.449,28,29,28,30,2,1,5.0,1.0,6.0,1.0,1.08,0.88,-0.88,53.3,9.269336638015174,2.3259446301018127,14.062281915695756,37.423587126500365,27.94963011331772,1,110.80723772948836,280.93728137568473,5.820642574904231,138.0131119208222,270.86598335326386,29.01018156391138
SI,2025-04-16,91.1,1.21,5.87,"McCutchen, Andrew",669743,663559,field_out,hit_into_play,,,,,5.0,Alex Call flies out to right fielder Andrew McCutchen.,R,R,L,PIT,WSH,X,9,fly_ball,0,1,2025,0.69,1.61,0.1,2.74,,,,0,4,Top,189.51,107.03,,,,,-4.367405250844473,-132.55122081952342,-5.477003142239903,9.071992846983951,30.213318081036743,-12.290749097620928,3.43,1.67,278.0,83.0,38.0,92.4,2098.0,7.2,778293,680779,665839,669707,663647,643396,502054,665833,457705,53.28,0.011,0.013,0.0,1.0,0,0,3.0,22,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,169.0,0.027,-0.22,68.8,6.7,0.022,0.22,88.0,0,0,0.5,0.5,28,30,28,31,2,1,5.0,2.0,6.0,1.0,1.16,0.69,-0.69,54.7,5.220639616063742,12.464320259321129,29.986782976298777,36.97722864198356,23.735859260641178,1,159.79380044795286,227.48613438713096,4.698515764602226,138.0131119208222,270.86598335326386,48.54080437158394
CU,2025-04-16,79.5,1.36,5.85,"McCutchen, Andrew",605137,663559,field_out,hit_into_play,,,,,5.0,Josh Bell flies out to right fielder Andrew McCutchen.,R,R,L,PIT,WSH,X,9,fly_ball,1,1,2025,-0.35,-0.15,-0.04,2.89,,,,1,2,Top,198.37,129.21,,,,,-2.4589354342915897,-115.81938124768772,0.5330555767737555,-2.727316267599751,20.77141345252435,-33.80104086875305,3.76,1.77,250.0,85.5,51.0,80.9,1974.0,7.1,778293,680779,665839,669707,663647,643396,502054,665833,457705,53.41,0.009,0.008,0.0,1.0,0,0,3.0,8,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,281.0,0.017,-0.244,70.9,7.8,0.009,0.244,88.0,0,0,0.523,0.477,28,32,28,33,1,0,5.0,1.0,6.0,3.0,3.73,-0.35,0.35,56.1,5.100866363051276,-8.024500337159493,33.21360888177594,37.027399382623344,24.04056222339705,1,181.55093960927144,171.86988196595317,6.088570279197805,138.0131119208222,270.86598335326386,108.14698576343122
FS,2025-04-14,95.7,-2.28,5.43,"McCutchen, Andrew",660688,694973,field_out,hit_into_play,,,,,4.0,Keibert Ruiz lines out to right fielder Andrew McCutchen.,R,L,R,PIT,WSH,X,9,line_drive,0,0,2025,-1.31,0.17,-0.38,2.38,,,695578.0,1,6,Top,174.44,100.68,,,,,7.98387440932407,-139.15053098434942,-2.7742692451329534,-18.77529191124148,32.52938130794153,-29.59092714648684,3.38,1.57,273.0,96.7,15.0,96.0,1946.0,6.6,778321,680779,665839,624428,663647,643396,502054,665833,457705,53.93,0.8,0.769,0.0,1.0,0,0,4.0,43,1,Split-Finger,5,1,1,5,1,5,1,5,Standard,Standard,252.0,0.019,-0.256,67.0,7.1,0.999,0.256,96.7,4,-4,0.924,0.076,23,26,23,27,3,2,6.0,1.0,5.0,1.0,2.34,1.31,-1.31,16.0,9.123071210259516,-6.022660138169364,31.88274480692214,38.03633880356327,36.99185731698006,1,122.53906412436758,243.95322863927038,2.3608005120888143,138.0131119208222,270.86598335326386,31.044202703605396
SV,2025-04-14,80.1,2.23,5.87,"McCutchen, Andrew",663993,657571,field_out,hit_into_play,,,,,2.0,Nathaniel Lowe flies out to right fielder Andrew McCutchen.,R,L,L,PIT,WSH,X,9,fly_ball,2,1,2025,-0.88,-1.13,0.08,2.93,,,660688.0,2,8,Top,188.58,68.39,,,,,-3.099500164192284,-116.55792701067028,2.3923857910903377,-7.338947837167244,23.715346691557084,-43.1284082269465,3.54,1.56,356.0,98.3,42.0,79.8,3095.0,6.2,778321,680779,665839,624428,663647,643396,502054,665833,457705,54.26,0.049,0.083,0.0,1.0,0,0,3.0,59,4,Slurve,5,3,3,5,3,5,3,5,Standard,Standard,328.0,0.034,-0.311,67.1,7.7,0.16,0.311,98.3,2,-2,0.908,0.092,28,29,29,30,1,3,1.0,1.0,2.0,1.0,4.71,-0.88,-0.88,45.3,19.431396897994578,-11.448026629312665,24.09569482125504,39.778301041677,40.15118541417712,1,155.68823233649402,320.1517988578822,6.027754567368724,138.0131119208222,270.86598335326386,52.35934961077896
FF,2025-04-14,94.1,2.52,5.88,"McCutchen, Andrew",683083,657571,single,hit_into_play,,,,,1.0,Nasim Nuñez singles on a line drive to right fielder Andrew McCutchen.,R,R,L,PIT,WSH,X,9,line_drive,1,1,2025,0.51,1.43,-0.61,2.72,,,,0,8,Top,176.54,126.02,,,,,-9.211081710199764,-136.65061680908013,-5.639726407155486,8.369919920673926,28.7179139913325,-13.139317003026788,3.23,1.45,159.0,80.1,12.0,94.0,2339.0,6.2,778321,680779,665839,624428,663647,643396,502054,665833,457705,54.28,0.489,0.467,0.9,1.0,1,0,4.0,55,3,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,145.0,-0.041,0.447,61.3,5.8,0.547,-0.447,88.0,3,-3,0.935,0.065,28,24,29,25,1,2,1.0,,2.0,1.0,1.14,0.51,-0.51,40.9,-4.61186400772127,23.60161016722673,27.70695576070736,30.47681495063759,18.34327920617446,0,91.83645714962692,129.79624469993243,1.6325645002685845,138.0131119208222,270.86598335326386,148.4350181378282
SL,2025-04-12,88.7,-1.27,6.29,"McCutchen, Andrew",669289,693312,field_out,hit_into_play,,,,,5.0,Santiago Espinal flies out to right fielder Andrew McCutchen. Noelvi Marte to 3rd.,R,R,R,CIN,PIT,X,9,fly_ball,0,1,2025,0.54,0.22,0.02,2.39,,682622.0,641584.0,0,7,Bot,193.68,108.47,,,,,2.040865262087251,-129.23595206770992,-3.9637960338842135,5.603923170855486,27.15729804834693,-29.136574589247324,3.47,1.65,281.0,87.5,34.0,89.2,2604.0,6.5,778357,680779,682848,665839,663647,643396,502054,672744,457705,53.96,0.029,0.044,0.0,1.0,0,0,3.0,54,2,Slider,4,2,4,2,2,4,4,2,Standard,Standard,144.0,-0.005,-0.21,71.9,7.3,0.071,0.21,88.0,2,2,0.928,0.928,26,30,26,31,1,2,,1.0,3.0,1.0,2.68,-0.54,-0.54,47.2,1.4525085792536514,2.745904781464573,34.08713255924934,35.190226406626806,28.89029164550373,1,170.04734663809225,223.7071744521049,4.502356377003615,138.0131119208222,270.86598335326386,57.010046929441984
FF,2025-04-09,93.9,-1.97,5.79,"McCutchen, Andrew",676475,656605,double,hit_into_play,,,,,3.0,Alec Burleson doubles (3) on a sharp line drive to right fielder Andrew McCutchen.,R,L,R,PIT,STL,X,9,line_drive,1,1,2025,-0.51,1.22,0.49,3.15,,,,2,7,Top,207.13,111.37,,,,,7.5093370954718575,-136.6255252591013,-3.908756229960298,-7.903827812514146,25.47662936819137,-16.100168156853154,3.48,1.59,227.0,104.6,16.0,94.6,2454.0,6.3,778389,663698,682848,624428,663647,691907,502054,669261,457705,54.17,0.609,0.693,1.25,1.0,1,1,5.0,43,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220.0,-0.044,0.597,70.6,7.2,1.048,-0.597,104.6,0,0,0.567,0.433,29,26,29,27,3,2,5.0,1.0,6.0,2.0,1.33,0.51,-0.51,35.1,15.370982387468572,-9.663971163467448,29.68902616463854,24.61305757787484,28.3766073097934,0,155.49881823685146,165.37568602107936,2.6977366119248942,138.0131119208222,270.86598335326386,106.92966266010156
SL,2025-04-09,85.9,-1.81,5.86,"McCutchen, Andrew",680977,656605,field_out,hit_into_play,,,,,8.0,Brendan Donovan flies out sharply to right fielder Andrew McCutchen.,R,L,R,PIT,STL,X,9,fly_ball,3,2,2025,0.42,-0.05,0.18,2.1,,,,0,7,Top,170.91,58.07,,,,,3.886147472147229,-125.09616783605615,-2.616393691515044,3.7177184160230574,23.7952813187594,-32.39803969945229,3.4,1.67,365.0,106.1,22.0,87.0,2515.0,6.8,778389,663698,682848,624428,663647,691907,502054,669261,457705,53.71,0.843,1.419,0.0,1.0,0,0,6.0,41,6,Slider,0,0,0,0,0,0,0,0,Standard,Standard,91.0,0.039,-0.345,72.1,7.3,2.62,0.345,106.1,0,0,0.5,0.5,29,28,29,28,3,2,5.0,1.0,6.0,2.0,3.12,-0.42,0.42,41.2,14.868064008416534,-8.422073376142214,32.378165359115044,36.35616111380678,28.45054588274786,1,112.64842125619937,347.18198857153556,3.6744102838630694,138.0131119208222,270.86598335326386,80.42076961200557
CH,2025-04-06,81.9,3.05,5.05,"McCutchen, Andrew",669224,571760,field_out,hit_into_play,,,,,14.0,Austin Wells flies out to right fielder Andrew McCutchen.,R,L,L,PIT,NYY,X,9,fly_ball,0,1,2025,1.71,0.64,0.9,2.17,,,683011.0,2,6,Top,173.66,118.97,,,,,-8.121008108147745,-118.9388818454772,-1.0703455137840612,17.80660923753858,24.957646306880093,-26.172589146139067,3.53,1.65,225.0,97.4,59.0,81.3,2230.0,6.2,778428,663698,665839,624428,663647,643396,502054,665833,457705,54.32,0.02,0.018,0.0,1.0,0,0,3.0,46,2,Changeup,4,1,1,4,1,4,1,4,Infield shade,Standard,111.0,0.021,-0.23,77.4,8.6,0.023,0.23,97.4,3,-3,0.897,0.103,34,25,34,26,3,2,7.0,1.0,6.0,1.0,2.8,1.71,1.71,26.7,27.63181171999056,-27.423890309994327,41.37844378761969,20.47030903728232,38.830013362370806,1,116.93576629312997,192.2264980730765,7.636108435672183,138.0131119208222,270.86598335326386,81.4151284703402
