pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-25,92.2,-1.35,6.39,"Moniak, Mickey",553993,687134,single,hit_into_play,,,,,8.0,Eugenio Suárez singles on a line drive to right fielder Mickey Moniak. Josh Naylor to 3rd.,R,R,R,SEA,COL,X,9,line_drive,1,0,2025,-0.42,1.68,-0.13,1.78,,647304.0,,1,4,Bot,180.19,119.4,,,,,4.01365941878302,-133.8902663830464,-9.515420608680346,-5.939958737213343,29.785438278345545,-10.112628233701065,3.35,1.51,199.0,97.3,11.0,92.2,2163.0,6.5,776179,690924,688760,690022,691720,678662,687597,686668,666160,54.02,0.869,0.832,0.9,1.0,1,0,4.0,29,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,194.0,0.03,0.512,72.2,6.9,1.032,-0.512,97.3,2,2,0.807,0.807,24,33,25,34,2,1,6.0,1.0,,1.0,1.02,0.42,0.42,65.6,-6.883160549756455,16.466106906213017,44.58768619342793,31.39427074691793,21.08256073119682,0,113.50760094539582,163.4534322907316,1.7964608570621083,135.74315942212448,266.410950732322,105.33124258463133
FF,2025-09-25,94.4,-1.53,6.3,"Moniak, Mickey",677594,687134,field_out,hit_into_play,,,,,1.0,Julio Rodríguez flies out to right fielder Mickey Moniak.,R,R,R,SEA,COL,X,9,fly_ball,2,2,2025,-0.47,1.58,-0.49,3.05,,,,2,3,Bot,163.39,124.58,,,,,3.7644855063961407,-137.3216366178137,-6.330760610298008,-6.80210099049058,29.61849251004093,-10.935467595855943,3.17,1.42,209.0,88.3,57.0,94.8,2126.0,6.5,776179,690924,688760,690022,691720,678662,687597,686668,666160,54.03,0.006,0.005,0.0,1.0,0,0,3.0,23,8,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,196.0,-0.008,-0.224,75.2,6.7,0.006,0.224,88.3,2,2,0.746,0.746,24,24,25,25,2,1,6.0,1.0,,1.0,0.97,0.47,0.47,61.4,5.485673425397777,5.209174612875488,27.289109468671576,31.36290570233565,31.307344154963737,1,95.72983240157859,185.78697260132552,6.7791361935562415,135.74315942212448,266.410950732322,90.00717854105055
FF,2025-09-25,96.3,-1.55,6.18,"Moniak, Mickey",641598,683627,field_out,hit_into_play,,,,,5.0,Mitch Garver flies out to right fielder Mickey Moniak in foul territory.,R,R,R,SEA,COL,X,9,fly_ball,1,0,2025,-0.62,1.64,0.18,2.45,,553993.0,686527.0,1,5,Bot,200.68,131.88,,,,,6.04210538124764,-139.94667771096564,-8.006076607805271,-9.603059146828006,33.82531214809882,-9.007592619629982,3.48,1.63,248.0,95.2,51.0,96.2,2196.0,6.5,776179,690924,688760,690022,691720,678662,687597,686668,666160,54.04,0.001,0.0,0.0,1.0,0,0,3.0,45,2,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,210.0,-0.003,-0.275,71.5,7.1,0.001,0.275,95.2,6,6,0.983,0.983,23,34,23,34,1,2,7.0,4.0,,1.0,0.84,0.62,0.62,56.2,10.318776298489848,7.587167128459064,29.63193634379473,39.73736744196934,25.81578344165712,1,185.97925799803883,164.06009750850117,6.772751386659674,135.74315942212448,266.410950732322,114.01474797486992
FF,2025-09-25,94.7,2.62,4.96,"Moniak, Mickey",553993,678821,field_out,hit_into_play,,,,,5.0,Eugenio Suárez flies out to right fielder Mickey Moniak.,R,R,L,SEA,COL,X,9,fly_ball,2,0,2025,1.02,1.2,-0.26,2.66,,,702284.0,0,7,Bot,181.43,111.38,,,,,-9.73049633498172,-137.56179411887624,-2.9896156343434765,15.063447575902453,30.072125357455,-16.483188913048195,3.35,1.51,258.0,91.3,52.0,94.3,2264.0,6.1,776179,690924,688760,690022,691720,678662,687597,686668,666160,54.39,0.006,0.005,0.0,1.0,0,0,3.0,61,3,4-Seam Fastball,6,1,6,1,1,6,6,1,Standard,Standard,129.0,-0.001,-0.344,71.3,7.1,0.006,0.344,91.3,5,5,0.989,0.989,24,33,24,34,1,3,18.0,1.0,3.0,1.0,1.35,1.02,-1.02,24.7,15.0459145261085,9.142698704512886,40.83031256215237,30.5760476700362,28.31963314880798,1,139.7840220542349,216.85116365457014,6.587635477054498,135.74315942212448,266.410950732322,49.724250280961385
FF,2025-09-25,94.5,-1.51,6.35,"Moniak, Mickey",663728,687134,field_out,hit_into_play,,,,,5.0,Cal Raleigh flies out sharply to right fielder Mickey Moniak.,R,L,R,SEA,COL,X,9,fly_ball,0,0,2025,-0.44,1.52,-0.12,2.71,,,,1,1,Bot,180.59,58.54,,,,,4.612096124108076,-137.29951394543917,-7.126989772118534,-6.659397104064849,33.565693370812696,-11.556049658552093,3.56,1.64,371.0,110.1,40.0,94.2,2031.0,6.4,776179,690924,688760,690022,691720,678662,687597,686668,666160,54.09,0.7,1.439,0.0,1.0,0,0,6.0,6,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,198.0,-0.016,-0.255,76.6,7.7,2.811,0.255,110.1,0,0,0.526,0.526,24,28,25,29,1,0,6.0,1.0,,1.0,1.06,0.44,-0.44,63.1,18.052821180911863,-4.876585321680829,33.56313170156393,34.2124546053262,35.3245242050337,1,136.24746020039322,345.0762663367944,6.481023996378618,135.74315942212448,266.410950732322,78.66693205169632
FF,2025-09-25,94.7,-1.24,6.34,"Moniak, Mickey",668227,687134,field_out,hit_into_play,,,,,12.0,Randy Arozarena flies out to right fielder Mickey Moniak.,R,R,R,SEA,COL,X,9,fly_ball,0,2,2025,-0.29,1.66,0.18,3.58,,,,0,1,Bot,182.52,103.39,,,,,4.3757197215647565,-137.7562907494267,-5.268460958361173,-4.731414508874239,31.349449073589085,-10.062262050202529,3.41,1.63,276.0,98.2,48.0,95.1,1995.0,6.6,776179,690924,688760,690022,691720,678662,687597,686668,666160,53.93,0.017,0.032,0.0,1.0,0,0,3.0,5,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,196.0,-0.021,-0.165,68.6,6.7,0.052,0.165,98.2,0,0,0.547,0.547,24,30,25,30,1,0,6.0,1.0,,1.0,0.89,0.29,0.29,67.5,17.68952718143323,9.05700684530439,11.678235853304123,35.562273940228586,24.57592400760496,1,142.31591757168476,236.478708567451,6.68127606690539,135.74315942212448,266.410950732322,30.645395587413997
SI,2025-09-23,95.5,-3.59,5.62,"Moniak, Mickey",647304,685326,single,hit_into_play,,,,,1.0,Josh Naylor singles on a sharp line drive to right fielder Mickey Moniak.,R,L,R,SEA,COL,X,9,line_drive,3,1,2025,-0.93,1.33,-0.31,2.93,,,,2,4,Bot,193.52,116.47,,,,,10.883147146119974,-138.63796889776606,-4.514123315527326,-14.38824335878779,30.018721019235795,-14.149693041531313,3.24,1.56,142.0,102.1,9.0,97.0,2347.0,7.2,776212,696100,688760,690022,691720,678662,687597,686668,666160,53.3,0.754,0.712,0.9,1.0,1,0,4.0,28,5,Sinker,0,1,0,1,1,0,0,1,Infield shade,Standard,223.0,0.018,0.174,70.3,7.9,0.883,-0.174,102.1,-1,-1,0.369,0.369,24,28,25,28,2,1,6.0,2.0,5.0,1.0,1.18,0.93,-0.93,28.3,16.78850403364611,-7.154592286650284,31.93306799434588,37.644510212519776,24.02747889370412,0,90.85368419663867,109.13115076776863,1.5746112891853088,135.74315942212448,266.410950732322,163.56038781718948
FF,2025-09-21,98.3,-1.66,5.65,"Moniak, Mickey",681351,680767,single,hit_into_play,,,,,4.0,Logan O'Hoppe singles on a line drive to right fielder Mickey Moniak.,R,R,R,COL,LAA,X,9,line_drive,1,0,2025,-0.48,1.07,-0.55,2.61,,,,2,9,Top,176.53,111.61,,,,,4.13737200873251,-143.1585669313901,-5.384912382225583,-7.549727498924391,27.72739547485615,-16.4026811859147,3.45,1.62,198.0,79.6,16.0,99.4,2314.0,6.5,776232,690924,688760,690022,691720,678662,687597,686668,666160,53.99,0.917,0.86,0.9,1.0,1,0,4.0,65,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,204.0,-0.024,0.29,71.0,6.7,1.023,-0.29,88.0,2,-2,0.989,0.011,25,25,26,25,1,3,2.0,1.0,2.0,2.0,1.25,0.48,0.48,53.3,5.809235603504787,17.478979178614082,33.65243312067137,29.55580004596795,18.910456192005697,0,100.58515234717393,170.54802000403234,2.0896017152268445,135.74315942212448,266.410950732322,102.1067429178854
KC,2025-09-21,82.0,2.63,5.8,"Moniak, Mickey",666176,607536,single,hit_into_play,,,,,9.0,Jo Adell singles on a line drive to right fielder Mickey Moniak. Mike Trout scores.,R,R,L,COL,LAA,X,9,line_drive,0,0,2025,-0.07,-0.15,0.36,2.21,545361.0,,,1,1,Top,170.94,102.11,,,,,-5.03526107294986,-119.42557868372651,-1.3762487505275731,0.2061713054784723,19.85647856972613,-33.61535609142737,3.65,1.77,267.0,88.8,17.0,82.7,2074.0,6.4,776232,690924,688760,690022,691720,678662,687597,686668,666160,54.08,0.869,0.806,0.9,1.0,1,0,4.0,3,1,Knuckle Curve,0,0,0,0,1,0,1,0,Standard,Standard,324.0,-0.054,0.461,66.7,7.0,0.998,-0.461,88.8,0,0,0.451,0.549,32,26,32,26,1,0,5.0,1.0,6.0,2.0,3.5,-0.07,0.07,29.5,-7.371930880603749,5.941443969612524,31.54391829680268,40.51868047352951,17.402060821277317,0,114.23863750230544,241.3266120874713,2.4433585494261836,135.74315942212448,266.410950732322,33.04040720465669
KC,2025-09-21,82.3,2.61,5.86,"Moniak, Mickey",545361,607536,double,hit_into_play,,,,,14.0,Mike Trout doubles (14) on a line drive to right fielder Mickey Moniak.,R,R,L,COL,LAA,X,9,line_drive,1,1,2025,-0.02,-0.28,0.97,2.23,,,,0,1,Top,213.84,86.95,,,,,-3.701797553803456,-120.05952835650386,-1.361177412588481,0.3383963286128779,17.03248300710648,-34.91940513018318,3.62,1.72,350.0,99.5,22.0,83.8,2286.0,6.5,776232,690924,688760,690022,691720,678662,687597,686668,666160,53.97,0.429,0.581,1.25,1.0,1,1,5.0,1,3,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,331.0,-0.06,0.724,71.2,7.3,0.967,-0.724,99.5,0,0,0.5,0.5,32,33,32,34,1,0,5.0,1.0,6.0,2.0,3.56,-0.02,0.02,30.6,5.175077897879413,12.409197229047058,33.681323767390886,43.38129559558839,18.873274052873786,0,217.6871694690048,274.06622602679954,3.452264786736531,135.74315942212448,266.410950732322,82.30081422681954
FF,2025-09-21,96.2,-1.12,5.9,"Moniak, Mickey",660162,675848,single,hit_into_play,,,,,8.0,Yoán Moncada singles on a line drive to right fielder Mickey Moniak.,R,L,R,COL,LAA,X,9,line_drive,1,0,2025,-0.1,0.81,-0.15,1.83,,,,0,8,Top,198.94,115.2,,,,,2.776258160735884,-140.2803665108197,-7.191841558379562,-1.7529038211648813,22.679007482217145,-20.204790051354188,3.41,1.54,18.0,101.8,-5.0,96.9,2392.0,6.0,776232,690924,688760,690022,691720,678662,687597,686668,666160,54.54,0.354,0.342,0.9,1.0,1,0,2.0,55,2,4-Seam Fastball,2,1,1,2,1,2,1,2,Strategic,Standard,206.0,-0.088,0.397,73.3,7.6,0.4,-0.397,101.8,1,-1,0.753,0.247,24,30,25,30,1,0,2.0,1.0,2.0,3.0,1.59,0.1,-0.1,35.6,9.64682464466328,-5.02043343824771,42.30682187594636,37.142697457563735,31.590073238426207,0,11.929515540998018,13.479119368752796,0.1872120091657449,135.74315942212448,266.410950732322,281.61024435920547
