pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-08-13,92.8,2.03,5.83,"Noda, Ryan",553993,669432,field_out,hit_into_play,,,,,2.0,Eugenio Suárez flies out to right fielder Ryan Noda.,R,R,L,BAL,SEA,X,9,fly_ball,0,1,2025,0.78,1.12,-0.05,2.97,677594.0,,,0,7,Top,171.85,132.01,,,,,-7.068226347335247,-135.022200622145,-4.056090994505518,11.004783012680942,26.28338910906524,-17.702384502739196,3.49,1.6,203.0,76.1,54.0,93.7,2343.0,6.6,776761,668939,691723,702616,676059,683002,666185,669288,676116,53.91,0.094,0.105,0.0,1.0,0,0,3.0,44,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,121.0,0.066,-0.128,75.4,7.2,0.144,0.128,88.0,0,0,0.333,0.667,27,33,28,34,3,2,7.0,1.0,5.0,1.0,1.5,0.78,-0.78,21.8,10.524727427980114,9.0601501430903,37.060889421507824,30.3222381889209,29.74275684644101,1,116.4936695567968,166.24748104314796,5.646076082274013,140.37199727298136,264.00133026481916,100.62797609101922
FF,2025-08-13,92.8,2.03,5.83,"Noda, Ryan",553993,669432,field_out,hit_into_play,,,,,2.0,Eugenio Suárez flies out to right fielder Ryan Noda.,R,R,L,BAL,SEA,X,9,fly_ball,0,1,2025,0.78,1.12,-0.05,2.97,677594.0,,,0,7,Top,171.85,132.01,,,,,-7.068226347335247,-135.022200622145,-4.056090994505518,11.004783012680942,26.28338910906524,-17.702384502739196,3.49,1.6,203.0,76.1,54.0,93.7,2343.0,6.6,776761,668939,691723,702616,676059,683002,666185,669288,676116,53.91,0.094,0.105,0.0,1.0,0,0,3.0,44,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,121.0,0.066,-0.128,75.4,7.2,0.144,0.128,88.0,0,0,0.333,0.667,27,33,28,34,3,2,7.0,1.0,5.0,1.0,1.5,0.78,-0.78,21.8,10.524727427980114,9.0601501430903,37.060889421507824,30.3222381889209,29.74275684644101,1,116.4936695567968,166.24748104314796,5.646076082274013,141.31094039855313,265.767225450537,102.56742396562923
CU,2025-08-12,74.9,-1.98,6.43,"Noda, Ryan",593871,665152,field_out,hit_into_play,,,,,5.0,Jorge Polanco flies out sharply to right fielder Ryan Noda.,R,L,R,BAL,SEA,X,9,fly_ball,0,1,2025,0.88,-1.09,0.16,2.47,,,,0,8,Top,202.4,82.86,,,,,2.849413386935841,-108.9538403322492,0.9671952896561596,6.414289536581917,20.77524439031886,-41.21372402321401,3.31,1.57,342.0,100.5,24.0,73.9,2992.0,5.7,776776,668939,691723,702616,676059,683002,666185,656185,676116,54.76,0.577,0.875,0.0,1.0,0,0,6.0,47,2,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,30.0,0.022,-0.22,69.8,7.4,1.544,0.22,100.5,-1,1,0.247,0.753,29,31,29,32,3,2,7.0,2.0,5.0,1.0,5.18,-0.88,0.88,47.7,15.744498801578764,-14.43694569667313,30.461940996546325,37.25002838397472,33.26368630918197,1,189.7757303936746,284.51567997835787,3.776181668056364,140.37199727298136,264.00133026481916,53.49362009090474
CU,2025-08-12,74.9,-1.98,6.43,"Noda, Ryan",593871,665152,field_out,hit_into_play,,,,,5.0,Jorge Polanco flies out sharply to right fielder Ryan Noda.,R,L,R,BAL,SEA,X,9,fly_ball,0,1,2025,0.88,-1.09,0.16,2.47,,,,0,8,Top,202.4,82.86,,,,,2.849413386935841,-108.9538403322492,0.9671952896561596,6.414289536581917,20.77524439031886,-41.21372402321401,3.31,1.57,342.0,100.5,24.0,73.9,2992.0,5.7,776776,668939,691723,702616,676059,683002,666185,656185,676116,54.76,0.577,0.875,0.0,1.0,0,0,6.0,47,2,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,30.0,0.022,-0.22,69.8,7.4,1.544,0.22,100.5,-1,1,0.247,0.753,29,31,29,32,3,2,7.0,2.0,5.0,1.0,5.18,-0.88,0.88,47.7,15.744498801578764,-14.43694569667313,30.461940996546325,37.25002838397472,33.26368630918197,1,189.7757303936746,284.51567997835787,3.776181668056364,141.31094039855313,265.767225450537,51.96479978267011
FS,2025-08-12,82.4,-1.97,6.33,"Noda, Ryan",647304,665152,field_out,hit_into_play,,,,,13.0,Josh Naylor flies out to right fielder Ryan Noda.,R,L,R,BAL,SEA,X,9,fly_ball,3,2,2025,-0.74,0.82,-0.92,2.21,,,,1,4,Top,197.42,86.82,,,,,3.796410735162002,-119.93015476602388,-4.482888145795506,-7.840248567201479,21.35938060439329,-23.55427620817395,3.23,1.49,337.0,88.9,32.0,82.4,1097.0,6.1,776776,668939,691723,702616,676059,683002,666185,656185,676116,54.4,0.029,0.031,0.0,1.0,0,0,3.0,22,8,Split-Finger,0,1,1,0,1,0,1,0,Standard,Standard,216.0,0.016,-0.332,77.0,8.4,0.052,0.332,88.9,-1,1,0.394,0.606,29,28,29,28,2,1,7.0,2.0,5.0,1.0,2.51,0.74,-0.74,47.4,16.17721059993433,-19.41527843705548,31.595375168034927,44.162886072676365,35.077711065945145,1,182.8702751447583,283.06794673449053,4.338034678388821,140.37199727298136,264.00133026481916,46.57938906499643
FS,2025-08-12,82.4,-1.97,6.33,"Noda, Ryan",647304,665152,field_out,hit_into_play,,,,,13.0,Josh Naylor flies out to right fielder Ryan Noda.,R,L,R,BAL,SEA,X,9,fly_ball,3,2,2025,-0.74,0.82,-0.92,2.21,,,,1,4,Top,197.42,86.82,,,,,3.796410735162002,-119.93015476602388,-4.482888145795506,-7.840248567201479,21.35938060439329,-23.55427620817395,3.23,1.49,337.0,88.9,32.0,82.4,1097.0,6.1,776776,668939,691723,702616,676059,683002,666185,656185,676116,54.4,0.029,0.031,0.0,1.0,0,0,3.0,22,8,Split-Finger,0,1,1,0,1,0,1,0,Standard,Standard,216.0,0.016,-0.332,77.0,8.4,0.052,0.332,88.9,-1,1,0.394,0.606,29,28,29,28,2,1,7.0,2.0,5.0,1.0,2.51,0.74,-0.74,47.4,16.17721059993433,-19.41527843705548,31.595375168034927,44.162886072676365,35.077711065945145,1,182.8702751447583,283.06794673449053,4.338034678388821,141.31094039855313,265.767225450537,45.01658873673325
FS,2025-08-12,81.1,-1.93,6.53,"Noda, Ryan",686527,665152,force_out,hit_into_play,,,,,7.0,"Dominic Canzone lines into a force out, right fielder Ryan Noda to shortstop Gunnar Henderson. Jorge Polanco out at 2nd. Dominic Canzone to 1st.",R,L,R,BAL,SEA,X,9,line_drive,0,1,2025,-0.8,1.0,-0.31,1.87,,,593871.0,0,2,Top,174.35,108.59,,,,,5.090326851427852,-118.04670396285051,-5.799552305875792,-8.365510949237658,17.906430485233816,-21.922949446832217,3.27,1.46,255.0,80.6,22.0,81.1,1244.0,5.8,776776,668939,691723,702616,676059,683002,666185,656185,676116,54.71,0.711,0.646,0.0,1.0,0,0,4.0,10,2,Split-Finger,0,1,1,0,1,0,1,0,Standard,Standard,214.0,0.03,-0.2,76.2,7.9,0.786,0.2,88.0,-1,1,0.359,0.641,29,27,29,28,1,0,7.0,2.0,5.0,1.0,2.4,0.8,-0.8,48.4,19.20912139404868,-7.7058262738394365,37.35335586265029,40.593352011256094,43.16531009100915,0,122.13352524413982,223.8490607785502,2.818905752701645,140.37199727298136,264.00133026481916,44.100415041638776
FS,2025-08-12,81.1,-1.93,6.53,"Noda, Ryan",686527,665152,force_out,hit_into_play,,,,,7.0,"Dominic Canzone lines into a force out, right fielder Ryan Noda to shortstop Gunnar Henderson. Jorge Polanco out at 2nd. Dominic Canzone to 1st.",R,L,R,BAL,SEA,X,9,line_drive,0,1,2025,-0.8,1.0,-0.31,1.87,,,593871.0,0,2,Top,174.35,108.59,,,,,5.090326851427852,-118.04670396285051,-5.799552305875792,-8.365510949237658,17.906430485233816,-21.922949446832217,3.27,1.46,255.0,80.6,22.0,81.1,1244.0,5.8,776776,668939,691723,702616,676059,683002,666185,656185,676116,54.71,0.711,0.646,0.0,1.0,0,0,4.0,10,2,Split-Finger,0,1,1,0,1,0,1,0,Standard,Standard,214.0,0.03,-0.2,76.2,7.9,0.786,0.2,88.0,-1,1,0.359,0.641,29,27,29,28,1,0,7.0,2.0,5.0,1.0,2.4,0.8,-0.8,48.4,19.20912139404868,-7.7058262738394365,37.35335586265029,40.593352011256094,43.16531009100915,0,122.13352524413982,223.8490607785502,2.818905752701645,141.31094039855313,265.767225450537,46.0967003317214
FF,2025-08-12,92.5,-2.37,6.34,"Noda, Ryan",663728,665152,field_out,hit_into_play,,,,,5.0,Cal Raleigh flies out sharply to right fielder Ryan Noda.,R,L,R,BAL,SEA,X,9,fly_ball,0,0,2025,-0.66,1.51,0.26,2.82,,,668227.0,0,1,Top,197.86,112.52,,,,,8.116396240848998,-134.44106707570157,-6.507646491193077,-9.62470182844879,24.768333088918023,-12.52669743227364,3.64,1.67,278.0,104.5,55.0,92.6,2310.0,6.1,776776,668939,691723,702616,676059,683002,666185,656185,676116,54.43,0.009,0.01,0.0,1.0,0,0,3.0,2,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,207.0,0.033,-0.242,71.2,7.7,0.02,0.242,104.5,0,0,0.464,0.536,29,28,29,29,1,0,7.0,2.0,5.0,1.0,1.12,0.66,-0.66,42.4,21.04177755510344,-12.739841937391889,39.85660291169688,27.253413498125106,35.9908070071793,1,179.40202773312942,212.3650452528416,7.82818015521777,140.37199727298136,264.00133026481916,64.72749962387132
FF,2025-08-12,92.5,-2.37,6.34,"Noda, Ryan",663728,665152,field_out,hit_into_play,,,,,5.0,Cal Raleigh flies out sharply to right fielder Ryan Noda.,R,L,R,BAL,SEA,X,9,fly_ball,0,0,2025,-0.66,1.51,0.26,2.82,,,668227.0,0,1,Top,197.86,112.52,,,,,8.116396240848998,-134.44106707570157,-6.507646491193077,-9.62470182844879,24.768333088918023,-12.52669743227364,3.64,1.67,278.0,104.5,55.0,92.6,2310.0,6.1,776776,668939,691723,702616,676059,683002,666185,656185,676116,54.43,0.009,0.01,0.0,1.0,0,0,3.0,2,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,207.0,0.033,-0.242,71.2,7.7,0.02,0.242,104.5,0,0,0.464,0.536,29,28,29,29,1,0,7.0,2.0,5.0,1.0,1.12,0.66,-0.66,42.4,21.04177755510344,-12.739841937391889,39.85660291169688,27.253413498125106,35.9908070071793,1,179.40202773312942,212.3650452528416,7.82818015521777,141.31094039855313,265.767225450537,65.595150614946
