pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-25,91.8,-1.18,6.26,"Noel, Jhonkensy",650402,687849,field_out,hit_into_play,,,,,3.0,Gleyber Torres flies out to right fielder Jhonkensy Noel.,R,R,R,CLE,DET,X,9,fly_ball,3,1,2025,0.17,0.96,0.32,2.77,,,,1,9,Top,172.23,99.75,,,,,3.4024646668505945,-133.71033003961034,-5.098725717001781,1.4081421654477595,26.734897245688245,-19.746841933859823,3.24,1.53,273.0,94.4,49.0,91.6,2646.0,6.0,776189,595978,700932,677587,608070,672356,680757,682657,678877,54.52,0.009,0.013,0.0,1.0,0,0,3.0,69,5,4-Seam Fastball,2,4,4,2,4,2,4,2,Strategic,Standard,181.0,0.006,-0.42,67.7,7.4,0.018,0.42,94.4,-2,2,0.078,0.922,27,28,27,29,1,4,4.0,1.0,1.0,1.0,1.72,-0.17,-0.17,50.9,19.899853744366364,7.528964483876884,30.534089189969382,39.63418641059585,32.751849140553944,1,117.15905715794487,246.58214721642238,6.524019165818734,143.9884572131621,259.7620530204005,29.891915701818547
ST,2025-09-23,85.9,-2.89,5.81,"Noel, Jhonkensy",650402,668909,field_out,hit_into_play,,,,,8.0,Gleyber Torres lines out to right fielder Jhonkensy Noel.,R,R,R,CLE,DET,X,9,line_drive,0,0,2025,0.98,-0.38,0.23,1.64,,672761.0,,2,3,Top,169.03,100.1,,,,,5.4392452815397565,-124.93903498311931,-2.817271419928724,9.022677909226632,27.76600874047841,-35.76243851427927,3.27,1.55,269.0,80.7,30.0,86.6,2281.0,7.0,776218,595978,700932,677587,608070,672356,680757,682657,678877,53.5,0.094,0.107,0.0,1.0,0,0,3.0,18,1,Sweeper,0,1,1,0,1,0,1,0,Strategic,Strategic,55.0,0.033,-0.29,64.7,7.5,0.154,0.29,88.0,-1,1,0.397,0.603,25,28,26,29,2,1,6.0,2.0,7.0,1.0,3.5,-0.98,-0.98,29.7,-1.8579672530090543,-5.465800688224104,40.33419820881579,38.11607882416494,33.01401861960472,1,109.20709982976138,245.83492296004758,3.7287596866946537,143.9884572131621,259.7620530204005,37.46608830862691
FF,2025-09-16,91.5,-2.06,4.96,"Noel, Jhonkensy",690993,670036,single,hit_into_play,,,,,6.0,Colt Keith singles on a sharp line drive to right fielder Jhonkensy Noel. Riley Greene to 3rd.,R,L,R,DET,CLE,X,9,line_drive,0,1,2025,0.15,0.76,0.38,2.76,,,682985.0,1,6,Bot,197.0,115.0,,,,,5.835215229936976,-133.2699142556644,-1.3506813518002432,0.5324209348146429,27.857303575750908,-23.02506293423696,3.34,1.58,146.0,104.5,8.0,91.7,2559.0,6.3,776303,666310,692216,677587,608070,672356,680757,682177,678877,54.19,0.674,0.627,0.9,1.0,1,0,4.0,50,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shade,Standard,200.0,0.09,0.448,72.8,6.5,0.757,-0.448,104.5,-2,-2,0.254,0.254,32,23,32,24,1,0,2.0,2.0,1.0,1.0,1.95,-0.15,0.15,28.0,11.995454894424409,-0.7234709112617658,29.97403712395237,33.23668358617726,32.40997376582212,0,95.17311990596471,110.71620137705621,1.4541926786157942,143.9884572131621,259.7620530204005,156.83623002516114
FF,2025-09-14,95.7,-2.43,5.82,"Noel, Jhonkensy",678246,671922,single,hit_into_play,,,,,2.0,Miguel Vargas singles on a fly ball to right fielder Jhonkensy Noel. Lenyn Sosa to 3rd.,R,R,R,CLE,CWS,X,9,fly_ball,0,0,2025,-0.45,1.2,-0.03,2.99,,,672820.0,2,9,Top,181.13,134.38,,,,,7.532052234288887,-139.16715145138238,-4.660204139745312,-7.563457481873449,30.754054157600017,-15.718773983840055,3.38,1.59,212.0,85.6,48.0,97.8,2342.0,7.5,776331,666310,692216,677587,682177,672356,680757,682657,678877,53.01,0.003,0.003,0.9,1.0,1,0,3.0,65,1,4-Seam Fastball,3,2,2,3,2,3,2,3,Standard,Standard,214.0,-0.081,0.346,67.8,7.5,0.003,-0.346,88.0,1,-1,0.922,0.078,26,25,26,26,1,3,1.0,1.0,2.0,1.0,1.29,0.45,0.45,39.7,10.54058552146354,3.406058178982533,30.49984070315161,38.68823475562437,32.01039335590742,0,139.3283290067481,159.7861594012052,5.831652244587082,143.9884572131621,259.7620530204005,100.08444484462545
FC,2025-09-12,86.8,-2.22,6.25,"Noel, Jhonkensy",695657,676440,field_out,hit_into_play,,,,,5.0,Colson Montgomery lines out sharply to right fielder Jhonkensy Noel.,R,L,R,CLE,CWS,X,9,line_drive,0,1,2025,0.64,0.08,0.26,2.47,,,,1,7,Top,204.14,109.08,,,,,4.660626230014406,-126.4309625647398,-3.034680074430873,5.883191488944522,26.06985990200373,-30.922405854807995,3.63,1.72,294.0,107.6,18.0,87.2,2558.0,6.5,776361,595978,700932,677587,608070,672356,680757,682657,678877,54.02,0.689,0.904,0.0,1.0,0,0,6.0,44,2,Cutter,2,0,0,2,0,2,0,2,Infield shade,Strategic,90.0,0.023,-0.216,80.9,8.0,1.461,0.216,107.6,2,-2,0.857,0.143,26,23,26,23,3,2,6.0,1.0,6.0,1.0,2.94,-0.64,0.64,53.5,14.000322522877982,-8.63892679730883,32.60048860594928,33.83576519769757,37.15871459039643,1,194.54863744976595,220.42419936667466,3.0917709708812224,143.9884572131621,259.7620530204005,64.06089724348091
SI,2025-09-12,94.0,-1.99,6.37,"Noel, Jhonkensy",805367,676440,single,hit_into_play,,,,,4.0,Chase Meidroth singles on a line drive to right fielder Jhonkensy Noel.,R,R,R,CLE,CWS,X,9,line_drive,0,0,2025,-1.05,0.71,-0.65,2.61,,,,1,3,Top,172.44,109.98,,,,,5.843517093255323,-136.71764712292386,-5.587378500267684,-14.451492502093274,31.854509655546167,-22.18812699795245,3.15,1.52,223.0,82.7,18.0,94.3,1850.0,6.6,776361,595978,700932,677587,608070,672356,680757,682657,678877,53.87,0.963,0.896,0.9,1.0,1,0,4.0,15,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,208.0,-0.028,0.415,64.3,5.7,1.093,-0.415,88.0,0,0,0.525,0.475,26,23,26,24,1,0,6.0,1.0,6.0,1.0,1.88,1.05,1.05,58.5,-0.4053771470236691,21.320187510131856,33.8603667931499,27.85340943670048,21.48050152315074,0,104.82313419723711,196.82761629676872,2.4074009145471305,143.9884572131621,259.7620530204005,74.12601333312453
SI,2025-09-07,91.4,1.24,5.61,"Noel, Jhonkensy",664040,800048,double,hit_into_play,,,,,7.0,Brandon Lowe doubles (17) on a line drive to right fielder Jhonkensy Noel.,R,L,L,TB,CLE,X,9,line_drive,3,2,2025,1.0,0.89,-0.72,1.88,,,,0,6,Bot,163.3,80.32,,,,,-7.118596780837705,-132.99095147827305,-5.47887917838716,13.321340351925178,26.199176887208857,-20.670763788333065,3.26,1.47,290.0,84.4,25.0,92.0,2021.0,6.4,776421,595978,700932,677587,682177,672356,680757,682657,678877,54.06,0.163,0.151,1.25,1.0,1,1,3.0,48,9,Sinker,1,2,1,2,2,1,1,2,Strategic,Strategic,155.0,0.109,0.631,74.9,7.9,0.226,-0.631,88.0,-1,-1,0.387,0.387,24,30,25,31,3,2,6.0,1.0,6.0,2.0,1.82,1.0,1.0,45.8,17.039605613482884,-4.1262092690735335,34.84166575932733,44.24493913849892,36.87193761048857,0,88.67370416554424,276.1104383929763,3.3083424139451085,143.9884572131621,259.7620530204005,57.680079828387875
FF,2025-09-03,90.9,0.59,5.75,"Noel, Jhonkensy",678882,676282,field_out,hit_into_play,,,,,8.0,Ceddanne Rafaela flies out to right fielder Jhonkensy Noel.,R,R,L,BOS,CLE,X,9,fly_ball,0,1,2025,0.58,1.61,0.17,1.67,,,680776.0,2,6,Bot,163.34,109.3,,,,,-2.3442866037830603,-132.14928467732443,-7.839234102808526,7.262704587962693,30.953787518021244,-11.85611600130712,3.55,1.67,243.0,87.0,51.0,92.2,1907.0,7.4,776474,666310,692216,677587,608070,672356,680757,682657,678877,53.14,0.009,0.009,0.0,1.0,0,0,3.0,53,2,4-Seam Fastball,1,7,1,7,7,1,1,7,Strategic,Standard,156.0,-0.005,-0.23,74.0,7.7,0.014,0.23,88.0,-6,-6,0.019,0.019,25,24,26,25,3,2,19.0,1.0,6.0,2.0,1.18,0.58,-0.58,52.8,11.653886895128998,-1.1976564765602655,37.5909285822998,35.42508654296288,37.725852102137466,1,95.27643536607687,223.54283899050262,6.194327021671294,143.9884572131621,259.7620530204005,60.70166832447409
FF,2025-09-03,90.3,0.43,5.77,"Noel, Jhonkensy",608701,676282,field_out,hit_into_play,,,,,5.0,Rob Refsnyder flies out sharply to right fielder Jhonkensy Noel.,R,R,L,BOS,CLE,X,9,fly_ball,2,0,2025,0.65,1.46,-0.09,2.4,,,,1,6,Bot,207.87,90.45,,,,,-2.7338633066034617,-131.40453701988943,-5.634456596053537,8.070164269271391,28.46858614464569,-14.259320624002662,3.54,1.62,336.0,102.7,24.0,92.2,1851.0,7.5,776474,666310,692216,677587,608070,672356,680757,682657,678877,53.01,0.774,1.339,0.0,1.0,0,0,6.0,51,3,4-Seam Fastball,1,7,1,7,7,1,1,7,Strategic,Standard,154.0,-0.004,-0.365,77.3,7.0,2.461,0.365,102.7,-6,-6,0.02,0.02,25,34,26,34,3,2,19.0,1.0,6.0,2.0,1.34,0.65,-0.65,57.3,4.748013978169434,19.20704233614061,36.39002486956659,36.8785687258,21.356694954338693,1,204.10231730083117,266.90493452244533,3.856731859376657,143.9884572131621,259.7620530204005,60.53674033834418
CH,2025-09-03,77.9,0.57,5.86,"Noel, Jhonkensy",663853,676282,field_out,hit_into_play,,,,,13.0,Romy Gonzalez flies out to right fielder Jhonkensy Noel.,R,R,L,BOS,CLE,X,9,fly_ball,0,2,2025,0.77,1.09,-0.03,1.0,,,,0,6,Bot,177.86,119.35,,,,,-2.759687967448496,-113.41390218864902,-5.66953397392225,7.14138082839596,20.234773023472272,-21.912888598437743,3.6,1.74,238.0,76.6,42.0,79.6,1613.0,7.4,776474,666310,692216,677587,608070,672356,680757,682657,678877,53.14,0.063,0.057,0.0,1.0,0,0,3.0,50,3,Changeup,1,7,1,7,7,1,1,7,Strategic,Standard,131.0,-0.007,-0.165,61.2,7.5,0.074,0.165,88.0,-6,-6,0.027,0.027,25,28,26,29,3,2,19.0,1.0,6.0,2.0,2.65,0.77,-0.77,53.4,9.228451269695016,-5.102683651484373,44.43123516579266,36.29358573072628,30.904855633029992,1,131.71708169200846,198.2286820582248,4.7125746183491515,143.9884572131621,259.7620530204005,62.74505876282131
