pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SI,2025-09-22,93.1,-1.52,6.54,"O'Hearn, Ryan",683734,601713,single,hit_into_play,,,,,1.0,Andrew Vaughn singles on a fly ball to right fielder Ryan O'Hearn. Sal Frelick to 2nd.,R,R,R,SD,MIL,X,9,fly_ball,0,1,2025,-1.17,1.4,-0.74,2.66,,,686217.0,1,2,Top,159.66,101.79,,,,,4.609153809420688,-135.3332796385689,-7.277604272279863,-15.363074925762934,30.46101516928801,-13.525939344125891,3.18,1.49,258.0,77.2,31.0,93.5,2167.0,6.6,776222,553869,650333,630105,592518,578428,669369,701538,656811,53.87,0.154,0.139,0.9,1.0,1,0,3.0,12,2,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,205.0,-0.04,0.448,66.3,6.2,0.172,-0.448,88.0,1,-1,0.605,0.395,32,27,32,27,1,0,5.0,1.0,8.0,2.0,1.24,1.17,1.17,49.1,3.3449718188794537,10.910235411223852,34.83067782043356,26.474474271175417,21.200383379963387,0,86.28929249898606,243.1422587705075,3.6757753937218207,138.96358258462368,261.3524874862424,55.73323304730561
SI,2025-09-22,93.1,-1.52,6.54,"O'Hearn, Ryan",683734,601713,single,hit_into_play,,,,,1.0,Andrew Vaughn singles on a fly ball to right fielder Ryan O'Hearn. Sal Frelick to 2nd.,R,R,R,SD,MIL,X,9,fly_ball,0,1,2025,-1.17,1.4,-0.74,2.66,,,686217.0,1,2,Top,159.66,101.79,,,,,4.609153809420688,-135.3332796385689,-7.277604272279863,-15.363074925762934,30.46101516928801,-13.525939344125891,3.18,1.49,258.0,77.2,31.0,93.5,2167.0,6.6,776222,553869,650333,630105,592518,578428,669369,701538,656811,53.87,0.154,0.139,0.9,1.0,1,0,3.0,12,2,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,205.0,-0.04,0.448,66.3,6.2,0.172,-0.448,88.0,1,-1,0.605,0.395,32,27,32,27,1,0,5.0,1.0,8.0,2.0,1.24,1.17,1.17,49.1,3.3449718188794537,10.910235411223852,34.83067782043356,26.474474271175417,21.200383379963387,0,86.28929249898606,243.1422587705075,3.6757753937218207,133.9271974231663,262.84692463556854,51.55234080445753
FF,2025-09-22,97.7,-0.39,5.91,"O'Hearn, Ryan",702332,669093,single,hit_into_play,,,,,12.0,Caleb Durbin singles on a line drive to right fielder Ryan O'Hearn. Blake Perkins to 3rd.,R,R,R,SD,MIL,X,9,line_drive,0,0,2025,-0.02,1.65,0.92,3.13,,,663368.0,2,8,Top,157.98,143.94,,,,,3.633061425921821,-142.0338126168704,-5.797916559598516,-1.2446739002901033,37.23376744486647,-8.7869075996703,3.23,1.46,163.0,72.4,16.0,98.3,2198.0,7.0,776222,666023,650333,630105,592518,578428,669369,701538,656811,53.47,0.606,0.56,0.9,1.0,1,0,4.0,64,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,189.0,-0.055,0.346,59.1,6.3,0.659,-0.346,88.0,0,0,0.554,0.446,26,25,27,25,1,3,2.0,1.0,2.0,1.0,0.77,0.02,0.02,68.5,-1.708149973525762,14.012192687642424,19.538122851267605,47.39071155710453,17.08356431703516,0,83.79089236569648,139.81447119865766,1.9167147479995408,138.96358258462368,261.3524874862424,133.47477345594157
FF,2025-09-22,97.7,-0.39,5.91,"O'Hearn, Ryan",702332,669093,single,hit_into_play,,,,,12.0,Caleb Durbin singles on a line drive to right fielder Ryan O'Hearn. Blake Perkins to 3rd.,R,R,R,SD,MIL,X,9,line_drive,0,0,2025,-0.02,1.65,0.92,3.13,,,663368.0,2,8,Top,157.98,143.94,,,,,3.633061425921821,-142.0338126168704,-5.797916559598516,-1.2446739002901033,37.23376744486647,-8.7869075996703,3.23,1.46,163.0,72.4,16.0,98.3,2198.0,7.0,776222,666023,650333,630105,592518,578428,669369,701538,656811,53.47,0.606,0.56,0.9,1.0,1,0,4.0,64,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,189.0,-0.055,0.346,59.1,6.3,0.659,-0.346,88.0,0,0,0.554,0.446,26,25,27,25,1,3,2.0,1.0,2.0,1.0,0.77,0.02,0.02,68.5,-1.708149973525762,14.012192687642424,19.538122851267605,47.39071155710453,17.08356431703516,0,83.79089236569648,139.81447119865766,1.9167147479995408,133.9271974231663,262.84692463556854,132.85568743385176
FF,2025-09-22,97.1,-0.32,5.85,"O'Hearn, Ryan",641343,669093,field_out,hit_into_play,,,,,4.0,Jake Bauers flies out to right fielder Ryan O'Hearn.,R,L,R,SD,MIL,X,9,fly_ball,3,0,2025,-0.16,1.72,-0.64,2.61,,,663368.0,1,8,Top,212.61,95.63,,,,,-0.4901406732605067,-141.13038402115075,-7.0545297792669945,-1.9199615207847656,37.11311124236013,-7.8288423640278655,3.61,1.71,332.0,92.7,45.0,97.5,2179.0,6.9,776222,666023,650333,630105,592518,578428,669369,701538,656811,53.55,0.006,0.008,0.0,1.0,0,0,3.0,63,4,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,188.0,0.057,-0.456,78.3,8.5,0.012,0.456,92.7,0,0,0.497,0.503,26,29,27,30,1,0,2.0,1.0,2.0,1.0,0.73,0.16,-0.16,72.0,18.99816552259288,-16.687081323043337,29.34838121890333,41.991987307441455,39.702623214243374,1,214.94198152447126,253.0295330160767,6.007188391651133,138.96358258462368,261.3524874862424,76.43290310183882
FF,2025-09-22,97.1,-0.32,5.85,"O'Hearn, Ryan",641343,669093,field_out,hit_into_play,,,,,4.0,Jake Bauers flies out to right fielder Ryan O'Hearn.,R,L,R,SD,MIL,X,9,fly_ball,3,0,2025,-0.16,1.72,-0.64,2.61,,,663368.0,1,8,Top,212.61,95.63,,,,,-0.4901406732605067,-141.13038402115075,-7.0545297792669945,-1.9199615207847656,37.11311124236013,-7.8288423640278655,3.61,1.71,332.0,92.7,45.0,97.5,2179.0,6.9,776222,666023,650333,630105,592518,578428,669369,701538,656811,53.55,0.006,0.008,0.0,1.0,0,0,3.0,63,4,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,188.0,0.057,-0.456,78.3,8.5,0.012,0.456,92.7,0,0,0.497,0.503,26,29,27,30,1,0,2.0,1.0,2.0,1.0,0.73,0.16,-0.16,72.0,18.99816552259288,-16.687081323043337,29.34838121890333,41.991987307441455,39.702623214243374,1,214.94198152447126,253.0295330160767,6.007188391651133,133.9271974231663,262.84692463556854,81.6074532208396
SI,2025-09-22,98.7,2.23,6.06,"O'Hearn, Ryan",661388,670970,field_out,hit_into_play,,,,,2.0,William Contreras flies out to right fielder Ryan O'Hearn in foul territory. Brice Turang to 3rd.,R,R,L,SD,MIL,X,9,fly_ball,1,2,2025,1.31,0.69,0.08,3.01,,668930.0,,0,10,Top,213.9,128.19,,,,,-8.923465312052949,-143.35422946020384,-4.424644787060725,20.16069805789341,35.21959601301195,-21.750638067551844,3.41,1.6,264.0,87.4,52.0,98.5,2333.0,6.4,776222,666023,650333,630105,592518,578428,669369,701538,656811,54.06,0.006,0.005,0.0,1.0,0,0,3.0,77,6,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,149.0,-0.008,-0.191,72.9,6.7,0.006,0.191,88.0,0,0,0.5,0.5,26,27,26,28,1,4,1.0,2.0,2.0,1.0,1.67,1.31,-1.31,46.1,11.720837805496288,7.817341339506258,26.79593481979385,38.49508783904299,27.387576616637105,1,206.95014972409675,163.91350014313628,6.308696825424041,138.96358258462368,261.3524874862424,118.81300251176248
SI,2025-09-22,98.7,2.23,6.06,"O'Hearn, Ryan",661388,670970,field_out,hit_into_play,,,,,2.0,William Contreras flies out to right fielder Ryan O'Hearn in foul territory. Brice Turang to 3rd.,R,R,L,SD,MIL,X,9,fly_ball,1,2,2025,1.31,0.69,0.08,3.01,,668930.0,,0,10,Top,213.9,128.19,,,,,-8.923465312052949,-143.35422946020384,-4.424644787060725,20.16069805789341,35.21959601301195,-21.750638067551844,3.41,1.6,264.0,87.4,52.0,98.5,2333.0,6.4,776222,666023,650333,630105,592518,578428,669369,701538,656811,54.06,0.006,0.005,0.0,1.0,0,0,3.0,77,6,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,149.0,-0.008,-0.191,72.9,6.7,0.006,0.191,88.0,0,0,0.5,0.5,26,27,26,28,1,4,1.0,2.0,2.0,1.0,1.67,1.31,-1.31,46.1,11.720837805496288,7.817341339506258,26.79593481979385,38.49508783904299,27.387576616637105,1,206.95014972409675,163.91350014313628,6.308696825424041,133.9271974231663,262.84692463556854,122.96411689815757
FF,2025-09-22,91.6,2.38,5.82,"O'Hearn, Ryan",668930,606996,single,hit_into_play,,,,,9.0,Brice Turang singles on a line drive to right fielder Ryan O'Hearn. Christian Yelich to 3rd.,R,L,L,SD,MIL,X,9,line_drive,2,1,2025,0.65,1.06,0.39,1.85,,,592885.0,2,7,Top,164.85,105.88,,,,,-6.427978840227624,-133.0670187907348,-6.37886422058523,9.124160118719104,31.422296804614927,-18.35305254540304,3.49,1.66,292.0,98.0,19.0,91.4,2259.0,6.5,776222,553869,650333,630105,592518,578428,669369,701538,656811,54.02,0.306,0.354,0.9,1.0,1,0,4.0,53,4,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,141.0,-0.028,0.308,72.6,7.5,0.549,-0.308,98.0,-1,1,0.328,0.672,32,25,33,26,1,3,1.0,1.0,2.0,1.0,1.69,0.65,0.65,39.5,10.731589107011908,-4.117601140190741,44.86914369918664,31.59966648610056,38.70823751199382,0,114.61734307614496,268.56445160550436,2.971625812151787,138.96358258462368,261.3524874862424,25.39196338729504
FF,2025-09-22,91.6,2.38,5.82,"O'Hearn, Ryan",668930,606996,single,hit_into_play,,,,,9.0,Brice Turang singles on a line drive to right fielder Ryan O'Hearn. Christian Yelich to 3rd.,R,L,L,SD,MIL,X,9,line_drive,2,1,2025,0.65,1.06,0.39,1.85,,,592885.0,2,7,Top,164.85,105.88,,,,,-6.427978840227624,-133.0670187907348,-6.37886422058523,9.124160118719104,31.422296804614927,-18.35305254540304,3.49,1.66,292.0,98.0,19.0,91.4,2259.0,6.5,776222,553869,650333,630105,592518,578428,669369,701538,656811,54.02,0.306,0.354,0.9,1.0,1,0,4.0,53,4,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,141.0,-0.028,0.308,72.6,7.5,0.549,-0.308,98.0,-1,1,0.328,0.672,32,25,33,26,1,3,1.0,1.0,2.0,1.0,1.69,0.65,0.65,39.5,10.731589107011908,-4.117601140190741,44.86914369918664,31.59966648610056,38.70823751199382,0,114.61734307614496,268.56445160550436,2.971625812151787,133.9271974231663,262.84692463556854,20.13853494063364
