pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CU,2025-06-04,83.1,-1.31,6.1,"Palacios, Joshua",682985,678024,double,hit_into_play,,,,,14.0,Riley Greene doubles (14) on a sharp line drive to right fielder Joshua Palacios.,R,L,R,CWS,DET,X,9,line_drive,3,2,2025,0.7,-1.3,0.37,1.31,,,,1,5,Top,217.96,104.36,,,,,2.45150930980548,-121.0408012890221,-1.9122247800109249,6.299214652619253,25.99808019529138,-44.67481170948075,3.6,1.69,296.0,104.3,20.0,82.3,2692.0,5.9,777639,686676,671284,668942,678246,805367,643217,572191,641943,54.57,0.569,0.751,1.25,1.0,1,1,6.0,39,6,Curveball,3,4,4,3,4,3,4,3,Strategic,Standard,29.0,-0.045,0.565,77.6,8.0,1.233,-0.565,104.3,-1,1,0.379,0.621,25,24,25,25,2,2,7.0,1.0,4.0,1.0,4.62,-0.7,0.7,35.1,18.213354107443788,-7.084181209761414,50.26027700740512,27.566555494512905,41.36577037222825,0,207.76007471961918,210.83583981974758,3.308675857868116,143.01883797266944,258.01281360612177,80.10676994589679
SI,2025-06-04,94.9,-1.57,5.95,"Palacios, Joshua",650402,678024,field_out,hit_into_play,,,,,6.0,Gleyber Torres lines out to right fielder Joshua Palacios.,R,R,R,CWS,DET,X,9,line_drive,3,2,2025,-1.6,0.32,0.42,2.04,,,656716.0,2,4,Top,187.28,119.57,,,,,8.758908059699639,-137.80774068998198,-5.186805895983445,-22.39258386242326,34.40143048924738,-27.042092789602,3.23,1.5,250.0,79.2,28.0,94.1,2193.0,6.2,777639,686676,671284,668942,678246,805367,643217,572191,641943,54.26,0.183,0.165,0.0,1.0,0,0,3.0,32,6,Sinker,2,4,4,2,4,2,4,2,Standard,Standard,224.0,0.019,-0.296,72.4,7.6,0.226,0.296,88.0,-2,2,0.281,0.719,25,28,25,29,2,2,7.0,1.0,4.0,1.0,2.25,1.6,1.6,30.1,13.138951377016156,9.681039629157851,35.66207599752199,40.58471687466305,25.65306167248478,1,154.49288646719378,196.55011582554405,3.4440776548312777,143.01883797266944,258.01281360612177,62.52453124431505
FF,2025-06-04,94.1,1.62,5.34,"Palacios, Joshua",628451,694363,double,hit_into_play,,,,,4.0,"Andy Ibáñez doubles (4) on a fly ball to first baseman Tim Elko, deflected by right fielder Joshua Palacios. Gleyber Torres to 3rd.",R,R,L,CWS,DET,X,9,fly_ball,0,2,2025,1.02,1.15,-0.55,2.61,,650402.0,,0,1,Top,179.82,137.01,,,,,-7.951717582591928,-136.73650399330734,-3.9186294873870886,14.58687679761196,31.948917317796703,-17.056235430433254,3.15,1.46,206.0,69.9,44.0,94.6,2239.0,6.8,777639,686676,671284,668942,678246,805367,643217,572191,641943,53.7,0.331,0.323,1.25,1.0,1,1,3.0,2,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,120.0,-0.08,0.827,73.1,6.2,0.408,-0.827,88.0,0,0,0.44,0.56,26,32,27,32,1,0,5.0,1.0,,1.0,1.44,1.02,-1.02,28.5,-2.778286607441724,5.522985246159825,30.464889560216044,25.518209164003306,24.083779341688363,0,136.78402245754813,154.03288999539342,4.468683705587633,143.01883797266944,258.01281360612177,104.16668103861474
FC,2025-06-02,87.4,-3.13,5.81,"Palacios, Joshua",700242,669060,single,hit_into_play,,,,,12.0,Trey Sweeney singles on a line drive to right fielder Joshua Palacios. Parker Meadows to 3rd. Andy Ibáñez to 2nd.,R,L,R,CWS,DET,X,9,line_drive,0,1,2025,0.07,0.9,0.29,3.76,,678009.0,628451.0,1,8,Top,172.52,108.43,,,,,8.129209654498178,-127.18965773267132,-0.682820328170511,-0.827461063217622,24.346342669213644,-22.44011916353521,3.6,1.61,178.0,80.8,14.0,87.9,2025.0,6.4,777674,686676,672820,681962,668942,805367,596103,673357,641943,54.07,0.786,0.73,0.9,1.0,1,0,4.0,66,2,Cutter,1,11,11,1,11,1,11,1,Infield shade,Standard,198.0,0.0,0.512,71.2,6.5,0.881,-0.512,88.0,-10,10,0.001,0.999,27,25,28,25,3,0,5.0,2.0,4.0,1.0,2.07,-0.07,0.07,39.3,5.963741544883972,5.667638397892244,16.371722743225096,28.862709595732547,29.67678015746783,0,82.64962968403995,157.64846562238105,1.8812720303902826,143.01883797266944,258.01281360612177,117.12149100654983
SI,2025-06-02,91.8,-3.06,5.72,"Palacios, Joshua",628451,669060,single,hit_into_play,,,,,1.0,Andy Ibáñez singles on a line drive to right fielder Joshua Palacios. Javier Báez scores. Parker Meadows to 2nd.,R,R,R,CWS,DET,X,9,line_drive,0,1,2025,-1.24,0.52,-0.58,2.79,,595879.0,678009.0,0,8,Top,158.37,126.45,,,,,8.986855750915135,-133.4673578470834,-2.698171749525556,-16.72536017869596,28.00600453581792,-25.590055800509223,3.15,1.45,202.0,76.8,18.0,92.3,2059.0,6.6,777674,686676,672820,681962,668942,805367,596103,673357,641943,53.95,0.96,0.877,0.9,1.0,1,0,4.0,64,2,Sinker,1,10,10,1,11,1,11,1,Standard,Standard,225.0,0.0,0.542,67.9,5.9,1.034,-0.542,88.0,-9,9,0.001,0.999,27,32,28,32,3,0,5.0,1.0,4.0,1.0,2.19,1.24,1.24,37.9,-5.342709628872437,16.345030314933044,28.065736601019715,25.253728146787427,20.48123038816351,0,84.23290494517421,183.59961253907167,2.246718170519797,143.01883797266944,258.01281360612177,94.83201155178762
FF,2025-06-02,91.1,-2.28,5.82,"Palacios, Joshua",595879,686563,field_out,hit_into_play,,,,,2.0,Javier Báez flies out to right fielder Joshua Palacios.,R,R,R,CWS,DET,X,9,fly_ball,2,1,2025,-0.69,1.05,-0.2,3.31,,,,0,2,Top,187.01,86.81,,,,,6.725985470762804,-132.5408102133336,-2.6606356628070604,-9.56910815964432,29.40077951121544,-19.407063585832883,3.49,1.64,316.0,89.8,29.0,91.2,2262.0,6.5,777674,686676,678246,672820,668942,805367,643217,673357,641943,54.03,0.066,0.081,0.0,1.0,0,0,3.0,13,4,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,222.0,0.007,-0.306,68.1,7.1,0.125,0.306,89.8,-5,5,0.099,0.901,24,32,25,33,1,0,6.0,1.0,27.0,1.0,1.7,0.69,0.69,23.7,3.705106214554897,8.813090967623422,27.32683559317975,33.99626679366671,18.340932481562792,1,152.83280538434366,276.5829597035062,4.015648436864278,143.01883797266944,258.01281360612177,21.003911122350676
FF,2025-06-02,91.6,-2.93,6.0,"Palacios, Joshua",678009,669060,triple,hit_into_play,,,,,6.0,Parker Meadows triples (1) on a sharp line drive to right fielder Joshua Palacios.,R,L,R,CWS,DET,X,9,line_drive,1,1,2025,-0.46,1.43,0.68,2.26,,,,0,6,Top,212.62,104.05,,,,,10.166622006549453,-132.87428000047072,-6.685760337918458,-7.623262975131856,28.20991035107709,-13.923404753505592,3.42,1.61,179.0,109.2,9.0,92.0,2297.0,6.7,777674,686676,672820,681962,668942,805367,596103,673357,641943,53.82,0.8,0.8,1.6,1.0,1,2,4.0,46,3,4-Seam Fastball,0,8,8,0,8,0,8,0,Infield shade,Standard,216.0,-0.002,0.93,74.1,7.4,1.023,-0.93,109.2,-8,8,0.006,0.994,27,25,28,26,2,3,5.0,,4.0,1.0,1.3,0.46,-0.46,45.4,15.675708621580734,-9.312345981009706,35.20043537100188,29.26702155536564,38.09261212776864,0,121.58345023699437,131.3714757033212,1.6691645574958582,143.01883797266944,258.01281360612177,128.4426109715543
CU,2025-06-01,82.4,-1.27,5.79,"Palacios, Joshua",602104,605288,field_out,hit_into_play,,,,,6.0,Ramón Urías lines out to right fielder Joshua Palacios.,R,R,R,BAL,CWS,X,9,line_drive,2,2,2025,0.49,-0.6,0.54,2.55,,,,1,5,Bot,186.39,91.47,,,,,3.191690868092389,-119.97722577460551,0.3425834807998742,4.130655946596567,23.48947182508377,-38.20324103533434,3.27,1.6,306.0,97.3,20.0,83.2,1684.0,6.8,777684,700337,678246,672820,668942,805367,643217,673357,641943,53.68,0.286,0.346,0.0,1.0,0,0,4.0,41,5,Curveball,2,0,2,0,0,2,2,0,Standard,Standard,31.0,-0.011,-0.228,,,0.552,0.228,97.3,2,2,0.806,0.806,32,31,32,31,3,2,6.0,1.0,6.0,2.0,3.95,-0.49,-0.49,40.6,,,,,,1,151.7086363244119,265.745159249585,3.0943045790394383,143.01883797266944,258.01281360612177,11.631928668279013
CH,2025-06-01,86.5,-1.44,5.78,"Palacios, Joshua",677008,605288,triple,hit_into_play,,,,,8.0,Heston Kjerstad triples (1) on a line drive to right fielder Joshua Palacios.,R,L,R,BAL,CWS,X,9,line_drive,1,1,2025,-1.73,0.31,0.14,1.8,,,,1,4,Bot,221.75,111.14,,,,,7.367076241244682,-125.7113638456422,-3.8488479731897054,-19.81082196462276,28.58316496961964,-28.212659425102867,3.88,1.76,189.0,95.3,14.0,86.7,1587.0,6.8,777684,700337,678246,672820,668942,805367,643217,673357,641943,53.74,0.946,0.912,1.6,1.0,1,2,4.0,34,3,Changeup,2,0,2,0,0,2,2,0,,,240.0,0.052,1.084,72.4,7.7,1.168,-1.084,95.3,2,2,0.779,0.779,32,26,32,26,2,1,6.0,1.0,6.0,2.0,2.77,1.73,-1.73,38.6,19.69919318190861,-9.1643946293749,44.253406242021605,,,0,140.1688757434094,126.78204239098163,2.187221540723853,143.01883797266944,258.01281360612177,131.26171413793384
CH,2025-06-01,85.9,-1.36,5.69,"Palacios, Joshua",702616,605288,double,hit_into_play,,,,,8.0,Jackson Holliday doubles (8) on a line drive to right fielder Joshua Palacios. Maverick Handley to 3rd.,R,L,R,BAL,CWS,X,9,line_drive,0,0,2025,-1.61,0.31,-0.09,1.79,,,668974.0,0,3,Bot,185.39,131.41,,,,,6.373030403031538,-124.91471061732774,-3.6108087302631295,-18.16002098913321,26.580252665750816,-28.37333784124704,3.46,1.61,173.0,79.3,15.0,86.8,1566.0,7.0,777684,700337,678246,672820,668942,805367,643217,673357,641943,53.49,0.8,0.733,1.25,1.0,1,1,4.0,22,1,Changeup,0,0,0,0,0,0,0,0,,,243.0,0.116,0.73,71.1,8.0,0.881,-0.73,88.0,0,0,0.594,0.594,32,21,32,22,2,1,6.0,1.0,6.0,2.0,2.8,1.61,-1.61,,15.69131377476884,-10.108436079604497,34.18094503737597,,,0,115.513638145332,128.7850899849408,1.9660758698384984,143.01883797266944,258.01281360612177,132.1224453673716
