pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CU,2025-05-10,79.3,-1.96,5.77,"Pham, Tommy",621566,670280,field_out,hit_into_play,,,,,8.0,Matt Olson flies out to right fielder Tommy Pham.,R,L,R,PIT,ATL,X,9,fly_ball,2,2,2025,0.68,-0.54,-0.19,2.2,,,,1,8,Top,175.75,60.21,,,,,2.595332163189795,-115.51173897183502,-0.0040459553995924,5.597560057176113,21.765533973782905,-37.242906666407485,3.61,1.73,363.0,93.6,30.0,79.3,2431.0,6.2,777985,663698,685301,624428,663647,669707,672744,665833,502054,54.27,0.166,0.279,0.0,1.0,0,0,3.0,60,5,Curveball,1,2,2,1,2,1,2,1,Infield shade,Standard,47.0,0.016,-0.228,62.9,7.6,0.497,0.228,93.6,-1,1,0.269,0.731,30,31,31,31,1,3,1.0,1.0,2.0,1.0,4.16,-0.68,0.68,34.8,12.81759440303403,-9.503482820662466,32.918155449859825,39.54479744791831,40.6712835273418,1,124.32838727843323,341.0446482745975,4.310066817634024,126.68926142204337,259.7514793804593,81.32744331142376
SI,2025-04-16,93.9,-2.39,5.45,"Pham, Tommy",686611,663767,single,hit_into_play,,,,,2.0,Dylan Crews singles on a sharp line drive to right fielder Tommy Pham.,R,R,R,PIT,WSH,X,9,line_drive,0,0,2025,-1.24,0.71,0.19,2.59,,,,0,9,Top,198.42,106.31,,,,,9.404890642216504,-136.41020793113705,-3.201055906980265,-17.664413477497146,31.941702623977683,-22.77597038759908,3.05,1.32,251.0,105.1,13.0,93.4,1981.0,6.2,778293,680779,669707,624428,663647,643396,669261,665833,502054,54.29,0.866,0.867,0.9,1.0,1,0,4.0,61,1,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,223.0,-0.003,0.439,72.0,6.4,1.155,-0.439,105.1,6,-6,0.998,0.002,28,23,29,23,1,2,5.0,1.0,4.0,1.0,1.9,1.24,1.24,32.5,-0.1536482458245341,22.66396128771934,21.04933389127575,37.44987645064778,20.254257718045096,0,156.05694105610465,196.5889904043751,2.238792997792022,126.68926142204337,259.7514793804593,69.65601640018478
SI,2025-04-15,91.8,-1.88,5.79,"Pham, Tommy",686611,656605,single,hit_into_play,,,,,1.0,Dylan Crews singles on a line drive to right fielder Tommy Pham. Amed Rosario to 3rd.,R,R,R,PIT,WSH,X,9,line_drive,1,1,2025,-1.22,1.03,-0.4,2.87,,,642708.0,2,6,Top,159.24,82.84,,,,,6.391518235436546,-133.45416694484052,-3.732506531496752,-15.92996320568908,31.05684759511097,-19.257384266708065,3.04,1.32,273.0,86.7,21.0,91.6,2421.0,6.4,778314,680779,665839,624428,663647,643396,669261,665833,502054,54.09,0.434,0.391,0.9,1.0,1,0,3.0,42,3,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,207.0,-0.028,0.361,69.2,6.4,0.521,-0.361,88.0,-1,1,0.361,0.639,29,23,29,23,3,2,6.0,1.0,5.0,1.0,1.7,1.22,1.22,36.7,-0.0519911173665601,4.433478510189131,20.461952620214976,29.274017452366568,24.61973318354371,0,76.75980129858984,261.9865128295749,2.897096293098962,126.68926142204337,259.7514793804593,49.97945940822292
SL,2025-04-15,88.1,1.77,6.13,"Pham, Tommy",605137,641835,field_out,hit_into_play,,,,,8.0,Josh Bell flies out to right fielder Tommy Pham.,R,R,L,PIT,WSH,X,9,fly_ball,3,2,2025,-0.43,0.12,0.06,2.03,,660688.0,663993.0,2,9,Top,198.23,130.38,,,,,-3.2830687713224385,-128.17669232196332,-4.108279342263133,-3.986199999627434,29.2844951507898,-30.10822300806833,3.76,1.77,247.0,86.4,51.0,88.9,2178.0,7.0,778314,680779,665839,624428,663647,643396,669261,665833,502054,53.45,0.009,0.008,0.0,1.0,0,0,3.0,69,6,Slider,0,3,3,0,3,0,3,0,Standard,Standard,275.0,0.006,-0.281,70.6,8.0,0.009,0.281,88.0,-3,3,0.032,0.968,33,32,33,33,1,4,3.0,1.0,3.0,1.0,2.84,-0.43,0.43,44.1,12.419143065511022,3.1744297058696,39.00027308159196,37.05810769457945,25.18231881260793,1,180.65231341411425,168.44507015086143,6.15202217778387,126.68926142204337,259.7514793804593,106.06069652185835
SI,2025-04-15,94.2,1.93,6.22,"Pham, Tommy",660688,641835,field_error,hit_into_play,,,,,5.0,Keibert Ruiz reaches on a fielding error by right fielder Tommy Pham.,R,R,L,PIT,WSH,X,9,line_drive,0,1,2025,1.45,0.69,0.26,2.79,,,,2,9,Top,161.73,87.39,,,,,-7.64834596027349,-136.96239937676293,-4.768781943330937,20.00795782519843,30.63583253552387,-22.56954928821293,3.39,1.57,292.0,93.6,19.0,95.1,2205.0,6.9,778314,680779,665839,624428,663647,643396,669261,665833,502054,53.61,0.414,0.424,0.9,1.0,0,0,4.0,67,2,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,130.0,-0.002,0.414,61.8,6.0,0.599,-0.414,93.6,-3,3,0.037,0.963,33,26,33,27,1,4,3.0,1.0,3.0,1.0,1.88,1.45,-1.45,40.7,-0.3538334973982991,9.365882502938478,26.54137254242685,41.18466416149887,25.831641083193176,0,90.87313689933325,277.499681063015,2.8438432709807504,126.68926142204337,259.7514793804593,39.97240846872941
FF,2025-04-15,96.6,-1.19,6.22,"Pham, Tommy",671277,693312,double,hit_into_play,,,,,3.0,Luis García Jr. doubles (3) on a sharp line drive to right fielder Tommy Pham.,R,L,R,PIT,WSH,X,9,line_drive,0,0,2025,-0.7,1.31,0.64,2.98,,,,1,8,Top,204.05,127.76,,,,,6.524947501303846,-140.40779450062118,-6.073025401500451,-10.753341422593737,34.67499139310929,-13.621116160302586,3.46,1.68,207.0,102.2,12.0,97.1,2345.0,6.8,778314,680779,665839,624428,663647,643396,669261,665833,502054,53.65,0.943,0.901,1.25,1.0,1,1,4.0,57,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,210.0,-0.013,0.642,73.4,7.5,1.134,-0.642,102.2,-3,3,0.072,0.928,26,25,26,25,1,3,3.0,1.0,3.0,1.0,1.15,0.7,-0.7,48.9,16.904877498505194,-16.639990389489967,27.531855011322023,29.55610082574136,38.612147542776455,0,154.11210071651257,138.1971794673954,2.0291554648492096,126.68926142204337,259.7514793804593,124.60922896128267
SL,2025-04-14,87.8,-2.36,5.71,"Pham, Tommy",605137,642701,field_out,hit_into_play,,,,,7.0,Josh Bell flies out to right fielder Tommy Pham.,R,L,R,PIT,WSH,X,9,fly_ball,0,1,2025,0.48,0.07,-0.29,1.96,,,,0,9,Top,178.01,70.29,,,,,4.010998446744639,-127.81948906232812,-3.087108577878257,4.36038227305707,26.96080225022242,-30.920435372239456,3.75,1.77,343.0,91.3,34.0,87.4,2545.0,6.0,778321,680779,665839,624428,663647,643396,669261,665833,502054,54.46,0.029,0.038,0.0,1.0,0,0,3.0,70,2,Slider,10,3,3,10,3,10,3,10,Infield shade,Standard,173.0,0.0,-0.22,71.5,8.7,0.066,0.22,91.3,7,-7,0.999,0.001,29,32,29,33,1,3,5.0,1.0,3.0,1.0,2.89,-0.48,0.48,34.3,14.162255036588588,-12.69556899280806,37.16168347757123,36.65594267040611,32.162020748293465,1,130.36898157747635,317.25845716458315,4.6943940969370574,126.68926142204337,259.7514793804593,57.62458532853852
FS,2025-04-08,92.0,-2.39,5.64,"Pham, Tommy",680977,694973,double,hit_into_play,,,,,2.0,Brendan Donovan doubles (3) on a sharp line drive to right fielder Tommy Pham.,R,L,R,PIT,STL,X,9,line_drive,1,0,2025,-1.02,0.3,0.18,2.91,,,,0,6,Top,212.0,103.0,,,,,8.763702414747266,-133.8139722174356,-1.7580852501016366,-14.091525574907012,27.53471980762003,-28.35442327398352,3.4,1.67,172.0,106.1,10.0,92.4,1713.0,6.5,778408,682848,665839,624428,663647,643396,669261,665833,502054,54.03,0.849,0.841,1.25,1.0,1,1,4.0,38,2,Split-Finger,1,3,3,1,3,1,3,1,Standard,Standard,248.0,-0.046,0.675,71.0,7.1,1.068,-0.675,106.1,-2,2,0.211,0.789,23,28,23,28,3,2,6.0,1.0,6.0,1.0,2.38,1.02,-1.02,21.5,14.382892446744242,-12.48685152864206,25.31893617045614,36.03066185981015,31.50678869810276,0,115.6784382834758,127.28903690536777,1.7842570898329322,126.68926142204337,259.7514793804593,132.91928713567395
FF,2025-04-08,96.5,-2.52,5.65,"Pham, Tommy",687363,694973,field_out,hit_into_play,,,,,4.0,Victor Scott II flies out to right fielder Tommy Pham.,R,L,R,PIT,STL,X,9,fly_ball,3,2,2025,-1.31,0.87,-0.47,2.6,,,,1,5,Top,179.81,65.94,,,,,8.421704431351442,-140.3152164848212,-4.540312408029187,-19.187982167886144,31.44572506266536,-19.854439374571182,3.17,1.44,354.0,97.8,24.0,96.7,2220.0,6.4,778408,682848,665839,624428,663647,643396,669261,665833,502054,54.09,0.389,0.565,0.0,1.0,0,0,5.0,33,6,4-Seam Fastball,1,3,3,1,3,1,3,1,Infield shade,Standard,240.0,0.013,-0.332,69.8,6.7,0.959,0.332,97.8,-2,2,0.256,0.744,23,24,23,24,3,2,6.0,2.0,6.0,1.0,1.58,1.31,-1.31,21.1,17.435831206036216,-6.733071965754919,28.242288594273703,37.354024123144974,32.37299875773937,1,134.576333848224,327.4220676252158,3.6773855324759115,126.68926142204337,259.7514793804593,68.12866081794942
FS,2025-04-08,93.5,-2.37,5.61,"Pham, Tommy",686780,694973,single,hit_into_play,,,,,5.0,Pedro Pagés singles on a sharp line drive to right fielder Tommy Pham.,R,R,R,PIT,STL,X,9,line_drive,0,0,2025,-1.22,0.35,0.02,2.56,,,,0,3,Top,164.54,108.41,,,,,8.850743079495016,-135.9443431796598,-2.8693855239135577,-17.094229978651253,29.98307108553797,-27.35096273025916,3.25,1.59,184.0,102.2,8.0,93.6,1886.0,6.4,778408,682848,665839,624428,663647,643396,669261,665833,502054,54.1,0.689,0.646,0.9,1.0,1,0,4.0,14,1,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,253.0,-0.04,0.439,75.8,6.7,0.789,-0.439,102.2,0,0,0.5,0.5,23,26,23,27,1,0,6.0,2.0,6.0,1.0,2.26,1.22,1.22,21.0,-7.723000675885274,7.944613465757339,32.55040187768762,38.40115972869005,25.73282111370205,0,73.44523058726034,168.70624796961184,1.4274147856382116,126.68926142204337,259.7514793804593,105.47113814778945
