pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SI,2025-08-21,92.3,2.7,6.24,"Smith, Josh",672580,571578,single,hit_into_play,,,,,6.0,Maikel Garcia singles on a line drive to right fielder Josh Smith. Nick Loftin scores.,R,R,L,KC,TEX,X,9,line_drive,1,1,2025,1.11,0.81,0.73,2.85,679845.0,,,2,4,Bot,188.36,121.5,,,,,-7.438888816532168,-134.2856587679812,-4.591134894994359,14.994649976341297,28.131314416001764,-21.579658033457346,3.67,1.73,199.0,96.0,10.0,92.7,2122.0,6.4,776657,641680,642133,677649,683227,608369,694671,694497,669701,54.05,0.686,0.659,0.9,1.0,1,0,4.0,38,3,Sinker,3,1,3,1,1,4,4,1,Standard,Standard,143.0,0.07,0.743,69.6,7.0,0.801,-0.743,96.0,2,2,0.787,0.787,35,25,36,25,3,2,5.0,1.0,5.0,1.0,1.86,1.11,-1.11,36.9,0.7616778093056029,22.60186479663529,25.055545706091653,42.087825860970106,20.97753920358029,0,126.16817324374796,153.89149443791754,1.6339704094682348,129.31948830277784,265.14424365825425,111.2973719172398
FC,2025-08-21,88.6,3.04,6.0,"Smith, Josh",686469,571578,field_out,hit_into_play,,,,,5.0,Vinnie Pasquantino flies out to right fielder Josh Smith.,R,L,L,KC,TEX,X,9,fly_ball,1,2,2025,0.09,0.51,0.07,2.64,,677951.0,,1,3,Bot,164.5,108.36,,,,,-7.4756803229359905,-128.9914086072612,-3.265364538848765,2.4623314610889624,24.3375551255685,-26.052282944634875,3.57,1.7,246.0,94.0,51.0,89.2,2296.0,6.4,776657,641680,642133,677649,683227,608369,694671,694497,669701,54.06,0.006,0.006,0.0,1.0,0,0,3.0,26,4,Cutter,1,1,1,1,1,1,1,1,Infield shade,Standard,153.0,-0.038,-0.189,74.1,7.3,0.009,0.189,94.0,0,0,0.576,0.576,35,27,36,28,2,1,5.0,1.0,5.0,1.0,2.37,0.09,0.09,28.9,14.637699978863097,-22.92840509840785,28.04399545647881,35.74266453324751,34.013675553828094,1,98.0627667222428,225.6096048105643,6.688076254177693,129.31948830277784,265.14424365825425,50.398118147212216
SI,2025-08-21,91.4,2.74,6.16,"Smith, Josh",686475,571578,double,hit_into_play,,,,,3.0,"Tyler Tolbert doubles (1) on a line drive to right fielder Josh Smith. Tyler Tolbert out at 3rd on the throw, right fielder Josh Smith to second baseman Marcus Semien to third baseman Cody Freeman.",R,R,L,KC,TEX,X,9,line_drive,1,1,2025,1.04,0.8,0.5,3.06,,,,2,2,Bot,221.0,100.0,,,,,-7.910596764439427,-133.04352672192783,-3.750362066219233,13.908472034834618,24.56145646244282,-22.06911283177285,3.32,1.51,249.0,95.6,16.0,92.4,2135.0,6.6,776657,641680,642133,543760,683227,608369,694671,694497,669701,53.95,0.657,0.666,1.25,1.0,1,1,4.0,17,3,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,154.0,-0.009,0.597,64.2,5.8,0.892,-0.597,95.6,1,1,0.626,0.626,35,27,36,27,1,0,5.0,8.0,5.0,4.0,1.9,1.04,-1.04,36.1,0.1253866436252873,23.125989774706216,26.22146210677592,39.75018505738024,16.35857191023305,0,173.6096075149941,178.49566991523827,2.4777043974182353,129.31948830277784,265.14424365825425,97.31181835486997
CU,2025-08-20,79.0,2.1,5.92,"Smith, Josh",573262,656641,field_out,hit_into_play,,,,,9.0,Mike Yastrzemski flies out to right fielder Josh Smith.,R,L,L,KC,TEX,X,9,fly_ball,0,0,2025,-0.41,-0.65,0.32,2.12,,,,0,7,Bot,175.56,72.72,,,,,-3.144191350488504,-114.99702618059776,-0.2554824553139398,-3.0400610773576613,21.20093919781844,-38.151005571369176,3.43,1.59,335.0,94.7,42.0,79.5,2620.0,6.6,776666,543309,677649,543760,683227,608369,694671,694497,669701,53.89,0.014,0.023,0.0,1.0,0,0,3.0,59,1,Curveball,3,3,3,3,3,3,3,3,Infield shade,Standard,334.0,-0.038,-0.259,72.0,7.6,0.045,0.259,94.7,0,0,0.586,0.586,29,34,29,35,2,3,20.0,1.0,7.0,1.0,4.3,-0.41,-0.41,52.3,16.10544038354309,-10.125178708423928,35.45080786650838,30.08552077023068,39.34533958137101,1,124.24496393861305,311.10800204413374,5.80929904746433,129.31948830277784,265.14424365825425,46.243030636821466
FF,2025-08-20,93.3,-1.37,5.75,"Smith, Josh",686469,542888,single,hit_into_play,,,,,12.0,Vinnie Pasquantino singles on a fly ball to right fielder Josh Smith. Bobby Witt Jr. to 3rd.,R,L,R,KC,TEX,X,9,fly_ball,0,1,2025,-0.47,1.2,1.22,2.95,,,677951.0,1,7,Bot,171.61,124.89,,,,,7.736454081300694,-135.73439889307957,-4.141821604248236,-7.480698405616264,27.95170319689023,-16.553266217809934,3.57,1.69,208.0,62.3,32.0,94.1,2367.0,6.7,776666,543309,677649,543760,683227,608369,694671,694497,669701,53.85,0.603,0.543,0.9,1.0,1,0,4.0,61,2,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,218.0,0.113,0.448,70.7,6.6,0.635,-0.448,88.0,0,0,0.589,0.589,34,27,35,28,1,3,3.0,1.0,7.0,1.0,1.4,0.47,-0.47,40.5,7.249154640106122,-10.297387085492126,31.79453978687476,25.70137546698939,26.92059050390286,0,110.80416323480097,176.0296492351092,3.070646029529694,129.31948830277784,265.14424365825425,91.01773564297504
SL,2025-08-18,87.1,-1.65,5.53,"Smith, Josh",573262,683004,single,hit_into_play,,,,,9.0,Mike Yastrzemski singles on a line drive to right fielder Josh Smith. Kyle Isbel to 3rd.,R,L,R,KC,TEX,X,9,line_drive,1,0,2025,0.4,0.32,0.42,1.81,,,664728.0,1,4,Bot,195.4,124.32,,,,,4.145342849547185,-126.89835769278258,-3.486540047074451,3.564712315855221,24.083249164212152,-28.201206336209346,3.43,1.59,105.0,102.0,5.0,87.6,2481.0,6.4,776690,641680,642133,543760,683227,608369,694671,694497,669701,54.1,0.563,0.518,0.9,1.0,1,0,4.0,35,2,Slider,3,1,3,1,1,3,3,1,Standard,Standard,161.0,0.042,0.372,72.7,7.6,0.622,-0.372,102.0,2,2,0.795,0.795,25,34,25,35,3,2,6.0,1.0,5.0,1.0,2.66,-0.4,0.4,42.0,13.239750919177077,-9.231801848247398,39.65549687201671,26.8009928066344,32.76944234984151,0,72.17084062450682,76.26512809634582,0.9974599737954238,129.31948830277784,265.14424365825425,197.33547128406468
FF,2025-08-18,96.9,-1.23,5.5,"Smith, Josh",663697,683004,field_out,hit_into_play,,,,,5.0,Jonathan India lines out sharply to right fielder Josh Smith.,R,R,R,KC,TEX,X,9,line_drive,0,1,2025,-0.88,1.5,0.27,2.39,,,672580.0,1,3,Bot,185.09,64.49,,,,,6.065656955719179,-140.84360038490072,-6.225758539943431,-13.062181161307368,32.904256278888035,-10.993330019703064,3.39,1.57,363.0,101.2,19.0,97.8,2526.0,6.9,776690,641680,642133,543760,683227,608369,694671,694497,669701,53.6,0.363,0.431,0.0,1.0,0,0,5.0,28,2,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,216.0,-0.02,-0.215,,,0.665,0.215,101.2,2,2,0.774,0.774,25,28,25,29,2,1,6.0,1.0,5.0,1.0,0.94,0.88,0.88,41.4,,,,,,1,147.86729139388487,331.51812037328506,3.0647033934970906,129.31948830277784,265.14424365825425,68.91670704327498
FC,2025-08-17,91.3,-2.25,5.58,"Smith, Josh",666182,543135,field_out,hit_into_play,,,,,9.0,Bo Bichette flies out to right fielder Josh Smith.,R,R,R,TOR,TEX,X,9,fly_ball,1,1,2025,0.0,1.13,0.48,2.33,,,665489.0,2,1,Bot,194.22,79.29,,,,,6.94464463403729,-132.7693505586335,-4.790196308904163,-1.482549445480249,27.88672078481184,-17.984093788342133,3.75,1.74,340.0,96.7,28.0,92.4,2311.0,6.9,776710,641680,669394,543760,683227,608369,694671,694497,669701,53.58,0.286,0.453,0.0,1.0,0,0,5.0,7,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,204.0,-0.022,-0.257,75.2,7.4,0.829,0.257,96.7,0,0,0.522,0.522,35,27,35,27,1,0,6.0,1.0,5.0,1.0,1.61,0.0,0.0,35.8,10.150233543071757,2.232898798432828,34.242098715835645,37.75217669698168,27.02059399924916,1,170.19823430949413,294.33409764743624,4.1835446077124026,129.31948830277784,265.14424365825425,50.230662458217544
SI,2025-08-16,93.0,2.45,6.11,"Smith, Josh",672386,571578,field_out,hit_into_play,,,,,11.0,Alejandro Kirk flies out to right fielder Josh Smith.,R,R,L,TOR,TEX,X,9,fly_ball,2,2,2025,1.26,0.8,-0.88,2.63,,,666182.0,0,2,Bot,189.4,129.86,,,,,-11.360556366360468,-134.96628931697884,-4.887479172119656,17.84967023730698,28.677731809040765,-21.50943294380178,3.18,1.5,203.0,74.9,55.0,93.4,2019.0,6.6,776723,641680,669394,677649,673962,608369,664059,694671,669701,53.88,0.103,0.108,0.0,1.0,0,0,3.0,14,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,144.0,-0.035,-0.2,71.6,6.5,0.139,0.2,88.0,0,0,0.588,0.588,35,26,36,27,1,0,6.0,1.0,5.0,1.0,1.85,1.26,-1.26,36.4,0.1766403596022471,6.258001461300364,23.83496256841773,32.64632140080923,25.44094392054712,1,138.66188128063826,148.26288368878497,5.626887363544276,129.31948830277784,265.14424365825425,117.25413687740588
SL,2025-08-15,90.4,-1.57,5.48,"Smith, Josh",672386,594798,field_out,hit_into_play,,,,,6.0,Alejandro Kirk flies out to right fielder Josh Smith.,R,R,R,TOR,TEX,X,9,fly_ball,0,1,2025,0.52,0.14,0.67,2.24,,,680718.0,1,2,Bot,180.48,79.93,,,,,4.495216535912059,-131.64547422006632,-2.462812341393561,5.199075538086981,26.930439101326627,-30.199849424603705,3.17,1.49,323.0,89.8,30.0,91.3,2608.0,6.7,776735,543309,642133,543760,673962,608369,694671,694497,669701,53.81,0.071,0.096,0.0,1.0,0,0,3.0,17,2,Slider,0,3,0,3,3,0,0,3,Standard,Standard,162.0,-0.028,-0.215,71.7,7.2,0.157,0.215,89.8,-3,-3,0.244,0.244,37,26,37,27,1,0,6.0,1.0,10.0,1.0,2.63,-0.52,-0.52,33.6,7.27423222166981,8.850646444116734,19.05749645437228,48.64994088852898,25.9191945964624,1,136.2559367241152,292.85375139723567,4.138634309450711,129.31948830277784,265.14424365825425,28.564508324817083
