pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-08-09,87.3,-1.98,5.69,"Stowers, Kyle",686948,687473,field_out,hit_into_play,,,,,4.0,Drake Baldwin lines out to right fielder Kyle Stowers.,R,L,R,ATL,MIA,X,9,line_drive,0,0,2025,-1.2,0.39,-0.51,2.25,,,621566.0,1,5,Bot,206.66,96.98,,,,,6.038266751270888,-127.21246299956218,-3.06048003684754,-14.20150944398874,21.48907656759984,-27.525580388985283,3.36,1.6,321.0,96.0,20.0,88.3,1416.0,6.5,778431,689414,687859,669364,688363,691594,667472,805300,669065,54.02,0.329,0.388,0.0,1.0,0,0,4.0,37,1,Changeup,3,0,3,0,0,3,3,0,Infield shade,Standard,246.0,-0.011,-0.256,73.2,8.0,0.601,0.256,96.0,3,3,0.892,0.892,26,24,26,24,3,2,10.0,1.0,13.0,0.0,2.55,1.2,-1.2,37.0,16.44872597234574,-9.93856788455251,27.49025007583703,43.19858919291161,36.19567580872268,1,200.84049909169892,250.40785515753552,3.0545519335653086,138.4941110218378,260.46953989338346,63.15306489063944
FC,2025-08-09,89.8,-1.83,5.82,"Stowers, Kyle",669397,687473,single,hit_into_play,,,,,6.0,Nick Allen singles on a fly ball to right fielder Kyle Stowers.,R,R,R,ATL,MIA,X,9,fly_ball,0,0,2025,0.2,1.04,0.51,2.18,,,,0,3,Bot,179.34,137.16,,,,,5.387290551018627,-130.75797501515342,-5.316402203007954,1.2772577852105718,24.96348262844266,-19.363218932447943,3.11,1.45,195.0,66.4,35.0,90.6,2486.0,6.5,778431,689414,687859,669364,688363,691594,667472,805300,669065,53.96,0.806,0.739,0.9,1.0,1,0,4.0,19,1,Cutter,2,0,2,0,0,2,2,0,Standard,Standard,187.0,0.024,0.439,71.7,7.2,0.875,-0.439,88.0,2,2,0.772,0.772,26,26,26,27,1,0,10.0,1.0,13.0,0.0,1.77,-0.2,-0.2,40.4,15.808073291899207,-15.524337911926787,29.268981633301667,40.50281280465519,42.4854018434252,0,129.0154278637203,146.21908005845606,3.5251889983935754,138.4941110218378,260.46953989338346,114.64298062639656
FF,2025-08-09,96.3,-2.28,5.75,"Stowers, Kyle",645277,666277,field_out,hit_into_play,,,,,5.0,Ozzie Albies lines out sharply to right fielder Kyle Stowers.,R,L,R,ATL,MIA,X,9,line_drive,2,2,2025,-0.63,1.13,-0.13,2.13,,,,2,7,Bot,200.59,85.82,,,,,7.1545503461006925,-140.0094031425738,-6.672369775346335,-9.814335394857684,28.655562160170817,-15.928175001213296,3.26,1.57,335.0,102.9,20.0,96.9,2199.0,6.5,778431,689414,687859,669364,688363,691594,667472,805300,669065,54.03,0.563,0.749,0.0,1.0,0,0,5.0,58,6,4-Seam Fastball,7,1,7,1,1,7,7,1,Infield shade,Standard,219.0,0.0,-0.224,70.1,7.4,1.224,0.224,102.9,6,6,0.993,0.993,26,28,26,28,1,3,64.0,1.0,23.0,0.0,1.31,0.63,-0.63,31.6,15.250942108199393,-8.030967183103826,36.91142604748276,34.81505036506542,37.14454754600647,1,186.17306263733232,278.5042023888256,3.2657612966157865,138.4941110218378,260.46953989338346,50.97579306373934
CH,2025-08-09,88.3,-2.03,5.75,"Stowers, Kyle",671739,687473,double,hit_into_play,,,,,5.0,Michael Harris II doubles (18) on a sharp line drive to right fielder Kyle Stowers. Sean Murphy to 3rd.,R,L,R,ATL,MIA,X,9,line_drive,0,1,2025,-1.3,0.39,-0.19,2.25,,,669221.0,0,2,Bot,202.64,116.13,,,,,7.239639177509893,-128.42317289395663,-3.3186465234942286,-15.831265379836784,23.83539694190509,-27.352737859947226,3.49,1.66,225.0,104.8,12.0,89.2,1646.0,6.6,778431,689414,687859,669364,688363,691594,667472,805300,669065,53.86,0.903,0.897,1.25,1.0,1,1,4.0,11,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,248.0,0.109,0.772,77.2,8.6,1.186,-0.772,104.8,0,0,0.588,0.588,26,24,26,24,1,0,10.0,1.0,13.0,0.0,2.51,1.3,-1.3,37.5,16.129666789955643,-9.557045621478988,32.98251346405862,37.14511990437912,39.58012114164553,0,154.11365198979826,163.9328590318834,2.0763508116301814,138.4941110218378,260.46953989338346,97.79213062309721
SL,2025-08-09,86.2,-2.63,5.64,"Stowers, Kyle",621566,666277,single,hit_into_play,,,,,14.0,Matt Olson singles on a sharp line drive to right fielder Kyle Stowers. Jurickson Profar to 2nd.,R,L,R,ATL,MIA,X,9,line_drive,2,1,2025,0.22,0.24,0.24,1.38,,,595777.0,1,7,Bot,191.39,102.08,,,,,6.439078158949542,-125.39660151607168,-4.486223186279201,1.1296164505555393,22.76038837467564,-28.95351737025277,3.57,1.7,217.0,104.5,14.0,87.2,2653.0,6.7,778431,689414,687859,669364,688363,691594,667472,805300,669065,53.8,0.74,0.755,0.9,1.0,1,0,4.0,54,4,Slider,3,1,3,1,1,3,3,1,Infield shade,Standard,357.0,0.014,0.365,75.0,8.3,1.047,-0.365,104.5,2,2,0.894,0.894,26,31,26,31,1,3,64.0,1.0,23.0,0.0,2.8,-0.22,0.22,27.1,17.61277328990944,-4.108625108404375,41.71166665319991,35.578434507260155,41.459881901631846,0,122.73375333732413,178.95649133723225,2.383129932598201,138.4941110218378,260.46953989338346,83.02268340195512
SI,2025-08-08,95.6,-1.2,6.19,"Stowers, Kyle",669397,665795,field_out,hit_into_play,,,,,2.0,Nick Allen flies out to right fielder Kyle Stowers.,R,R,R,ATL,MIA,X,9,fly_ball,0,0,2025,-1.23,0.7,0.07,3.07,,,,0,6,Bot,170.52,85.69,,,,,6.125616000042382,-139.1100538830476,-4.241542874298555,-17.397057219670113,28.72099939111717,-22.305378530171183,3.11,1.45,303.0,83.8,34.0,96.2,2342.0,6.4,776834,682663,687859,669364,688363,672640,667472,805300,669065,54.05,0.009,0.008,0.0,1.0,0,0,3.0,45,1,Sinker,0,5,0,5,5,0,0,5,Standard,Standard,225.0,-0.012,-0.259,64.2,6.0,0.009,0.259,88.0,-5,-5,0.05,0.05,27,26,27,27,2,1,5.0,1.0,6.0,1.0,1.78,1.23,1.23,33.8,10.293732791819536,14.441102794630122,23.115273798767383,35.83400079399124,26.74358114582613,1,112.67781758817459,281.2698160549156,4.315515747651078,138.4941110218378,260.46953989338346,33.15316719483985
CH,2025-08-08,93.6,-1.22,6.18,"Stowers, Kyle",671739,665795,single,hit_into_play,,,,,4.0,Michael Harris II singles on a line drive to right fielder Kyle Stowers.,R,L,R,ATL,MIA,X,9,line_drive,0,0,2025,-1.5,0.37,-0.41,2.54,,,,1,2,Bot,192.83,119.14,,,,,5.430828909802084,-136.21184045874986,-4.488091228749802,-19.935171272008034,29.34628746330728,-26.78131617880328,3.49,1.66,235.0,80.6,19.0,93.8,1687.0,6.4,776834,682663,687859,669364,688363,672640,667472,805300,669065,54.14,0.966,0.894,0.9,1.0,1,0,4.0,12,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,244.0,0.026,0.415,74.3,8.7,1.077,-0.415,88.0,0,0,0.527,0.527,27,24,27,24,1,0,5.0,1.0,6.0,1.0,2.23,1.5,-1.5,35.7,11.619478080731316,-16.237391944434485,28.336172105375304,41.30465872297847,42.630921364712485,0,152.39349866979217,178.88885254028563,2.4679601872843553,138.4941110218378,260.46953989338346,82.75627786453425
FF,2025-07-12,94.1,-0.21,5.81,"Stowers, Kyle",656775,676083,field_out,hit_into_play,,,,,6.0,Cedric Mullins flies out to right fielder Kyle Stowers.,R,L,R,BAL,MIA,X,9,fly_ball,0,0,2025,-0.4,1.34,0.47,2.23,,681297.0,,2,7,Bot,190.77,105.21,,,,,2.675632653568849,-136.91640853810298,-6.562308578531056,-5.667198098621276,32.12649003029429,-14.0156012932262,3.47,1.57,282.0,90.8,46.0,94.4,2338.0,6.6,777141,682663,676572,669364,691594,672640,667472,656537,669065,53.89,0.006,0.006,0.0,1.0,0,0,3.0,52,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,201.0,-0.075,-0.29,77.8,7.9,0.012,0.29,90.8,-1,-1,0.322,0.322,29,30,29,31,3,2,5.0,1.0,8.0,1.0,1.24,0.4,-0.4,56.6,17.76452861164344,-16.78332105491368,32.20418620788333,27.60263598907605,34.13413719931535,1,162.06238889841507,230.78080965396336,5.986078314859836,138.4941110218378,260.46953989338346,37.90625839220509
SL,2025-07-12,88.6,-0.56,5.64,"Stowers, Kyle",656775,676083,field_out,hit_into_play,,,,,2.0,Cedric Mullins flies out to right fielder Kyle Stowers.,R,L,R,BAL,MIA,X,9,fly_ball,2,2,2025,0.41,0.13,0.13,3.15,,,681297.0,1,5,Bot,183.74,91.38,,,,,0.8254465901512529,-129.26188584757304,-0.4141851471342515,4.51989826876502,23.55751273338709,-30.77763013941592,3.47,1.57,340.0,88.6,28.0,89.6,2380.0,6.5,777141,682663,676572,669364,691594,672640,667472,656537,669065,54.0,0.057,0.082,0.0,1.0,0,0,3.0,35,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,161.0,-0.038,-0.222,71.4,7.5,0.138,0.222,88.6,0,0,0.569,0.569,29,30,29,31,2,1,5.0,1.0,8.0,1.0,2.73,-0.41,0.41,51.6,15.495443181022605,-4.796808634868377,23.21183778673387,30.755351102190893,25.266471021657125,1,162.8449378598798,298.46528477096274,3.8408246988757795,138.4941110218378,260.46953989338346,45.12914132241382
ST,2025-07-12,82.6,-0.9,5.57,"Stowers, Kyle",641933,676083,field_out,hit_into_play,,,,,9.0,Tyler O'Neill flies out to right fielder Kyle Stowers.,R,R,R,BAL,MIA,X,9,fly_ball,1,1,2025,0.77,0.28,0.76,1.79,,,681297.0,0,5,Bot,177.15,126.85,,,,,2.292233005992868,-120.21762194791552,-2.603900205038405,6.911121124338021,24.82175762370409,-29.13334929644395,3.13,1.38,223.0,87.1,53.0,82.7,2525.0,6.5,777141,682663,676572,669364,691594,672640,667472,656537,669065,53.98,0.009,0.008,0.0,1.0,0,0,3.0,34,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,83.0,-0.043,-0.234,82.1,8.0,0.009,0.234,88.0,0,0,0.612,0.612,29,30,29,30,2,1,5.0,1.0,8.0,7.0,3.07,-0.77,-0.77,46.3,19.43733949024871,-2.628585926534732,38.39552393471262,41.60994699949792,33.841193411974594,1,130.8117081399084,180.60259414947342,6.3712246769952054,138.4941110218378,260.46953989338346,80.23558024032073
