pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SL,2025-09-12,87.5,2.3,5.43,"Taylor, Chris",668227,579328,field_out,hit_into_play,,,,,5.0,Randy Arozarena flies out to right fielder Chris Taylor.,R,R,L,SEA,LAA,X,9,fly_ball,2,1,2025,-0.21,0.41,0.22,2.45,,,,0,1,Bot,166.02,105.42,,,,,-4.617602315231801,-127.44748735161106,-1.95845650085556,-1.4493990265387442,24.82984925466839,-27.46847574523788,3.47,1.72,254.0,95.9,50.0,88.4,2448.0,6.7,776345,665861,669722,650859,660162,672724,621493,669326,621035,53.8,0.003,0.003,0.0,1.0,0,0,3.0,4,4,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,197.0,-0.021,-0.306,78.9,7.7,0.003,0.306,95.9,0,0,0.547,0.547,34,30,34,30,1,0,6.0,1.0,6.0,1.0,2.55,-0.21,0.21,37.2,10.123304448733649,6.926977069191973,29.145578616513035,35.3868110168762,28.02453997657816,1,101.76196174308821,232.7240923114714,6.72547829538507,130.196230596356,266.9418317508526,44.49001390830642
SI,2025-09-11,97.4,-1.33,5.56,"Taylor, Chris",660844,667755,field_out,hit_into_play,,,,,7.0,Leo Rivas lines out to right fielder Chris Taylor.,R,L,R,SEA,LAA,X,9,line_drive,3,1,2025,-1.38,0.27,-0.48,1.83,,,,2,3,Bot,173.37,86.02,,,,,5.454547418863888,-141.77101714787267,-5.140520226071715,-19.800100747883143,32.730026805512175,-27.570722594621145,3.31,1.57,304.0,92.1,22.0,97.9,1980.0,6.6,776362,518595,669722,650859,660162,687263,621493,669326,621035,53.93,0.197,0.194,0.0,1.0,0,0,3.0,28,5,Sinker,4,1,4,1,1,4,4,1,Infield shade,Standard,226.0,-0.005,-0.414,68.8,8.1,0.3,0.414,92.1,3,3,0.829,0.829,26,27,27,28,2,1,6.0,1.0,6.0,3.0,2.14,1.38,-1.38,31.1,25.65020947799924,-0.059024506073678,39.972958367882576,36.57406363510712,33.60559190006069,1,119.42074407107081,279.5615958702336,3.203721613103857,130.196230596356,266.9418317508526,16.59426275209051
CH,2025-09-09,79.3,-2.65,6.12,"Taylor, Chris",807712,543294,field_out,hit_into_play,,,,,9.0,Luke Keaschall flies out to right fielder Chris Taylor.,R,R,R,LAA,MIN,X,9,fly_ball,0,1,2025,-0.19,1.13,0.74,1.42,621439.0,,,2,1,Top,164.5,119.49,,,,,7.630357876290249,-115.2668972029564,-5.572106999436376,-3.0049006034521915,20.0148818797056,-21.233655793247063,3.28,1.52,220.0,70.5,44.0,78.3,1980.0,5.5,776390,665861,672724,650859,660162,687263,621493,669326,621035,54.99,0.3,0.307,0.0,1.0,0,0,3.0,4,2,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,229.0,0.036,-0.232,61.9,7.3,0.389,0.232,88.0,0,0,0.511,0.489,35,22,36,23,1,0,5.0,1.0,5.0,1.0,2.48,0.19,0.19,43.1,16.580023341512618,-1.583356112982162,41.70631695489357,44.49074128049345,40.01559768414301,1,97.76608261289657,197.08321361934478,4.506334619926526,130.196230596356,266.9418317508526,77.01909520030024
SL,2025-09-02,81.4,1.22,6.02,"Taylor, Chris",677951,815083,triple,hit_into_play,,,,,6.0,Bobby Witt Jr. triples (5) on a sharp line drive to right fielder Chris Taylor.,R,R,L,KC,LAA,X,9,line_drive,3,1,2025,-0.09,-0.07,0.58,2.89,,,,1,3,Bot,218.6,103.92,,,,,-1.260724292070229,-118.56245959795224,-0.3232898216818035,-0.6266461846277821,22.040271880612742,-32.96247665672719,3.54,1.64,326.0,101.3,20.0,81.6,2284.0,6.3,776488,681351,672724,650859,660162,687263,683090,669326,621035,54.22,0.449,0.578,1.6,1.0,1,2,5.0,23,5,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,281.0,0.083,0.907,78.3,6.5,0.931,-0.907,101.3,0,0,0.529,0.529,24,25,24,25,2,1,,2.0,5.0,1.0,3.49,-0.09,0.09,44.3,-5.102005871008464,18.923991270200087,25.32057836288351,40.72900836658975,19.684950836183464,0,229.07415755063911,231.95049114512557,3.2167398539047993,130.196230596356,266.9418317508526,104.88678828223576
FF,2025-09-02,96.3,1.49,5.98,"Taylor, Chris",545341,672282,single,hit_into_play,,,,,2.0,Randal Grichuk singles on a line drive to right fielder Chris Taylor.,R,R,L,KC,LAA,X,9,line_drive,3,2,2025,0.71,1.35,-0.05,2.93,,,,1,7,Bot,166.66,114.02,,,,,-5.693095494834238,-140.1187602805047,-5.602319619955596,10.621062309180434,31.554289217421985,-13.368448674485157,3.26,1.48,193.0,84.5,13.0,96.6,2151.0,6.5,776488,681351,672724,650859,660162,687263,683090,669326,621035,54.03,0.769,0.734,0.9,1.0,1,0,4.0,52,8,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,149.0,0.031,0.338,64.5,6.5,0.875,-0.338,88.0,-3,-3,0.091,0.091,25,33,26,34,1,2,3.0,2.0,1.0,1.0,1.11,0.71,-0.71,45.5,4.110469191383351,22.760729611357856,22.817699990553315,36.99753683330759,16.734916685557604,0,84.85242139263835,173.3466659148832,1.8346564037986448,130.196230596356,266.9418317508526,104.00055817622213
SI,2025-07-25,100.3,-1.2,5.8,"Taylor, Chris",677594,667755,field_out,hit_into_play,,,,,8.0,Julio Rodríguez lines out sharply to right fielder Chris Taylor.,R,R,R,LAA,SEA,X,9,line_drive,3,1,2025,-1.21,0.39,0.01,1.63,,,,1,3,Top,204.83,91.09,,,,,6.277843026617799,-145.77147290845127,-7.146751084172868,-18.70520666532017,35.417515052812504,-25.0252807961454,3.3,1.51,329.0,108.2,16.0,100.9,1905.0,6.8,777006,681351,694384,650859,660162,687263,621493,666176,621035,53.72,0.617,0.698,0.0,1.0,0,0,6.0,21,5,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,226.0,0.018,-0.42,80.0,7.7,1.062,0.42,108.2,1,-1,0.643,0.357,26,24,27,25,2,1,5.0,1.0,5.0,1.0,1.88,1.21,1.21,35.9,0.1550865115353778,11.920617648189944,37.46558902869594,39.32328169814711,22.888528486177684,1,195.85758561036621,264.3497799486091,2.786014655130169,130.196230596356,266.9418317508526,65.71249709774692
SL,2025-07-25,88.6,1.83,6.37,"Taylor, Chris",686527,656271,field_out,hit_into_play,,,,,3.0,Dominic Canzone lines out sharply to right fielder Chris Taylor.,R,L,L,LAA,SEA,X,9,line_drive,0,0,2025,0.21,0.49,0.28,3.26,,,,0,7,Top,170.2,93.87,,,,,-4.285133132493495,-129.02448091372116,-2.6190003798096804,3.221660687607598,24.471239936336225,-26.356395823569592,3.27,1.43,283.0,103.0,19.0,89.6,2215.0,6.7,777006,681351,694384,650859,660162,687263,621493,666176,621035,53.82,0.446,0.568,0.0,1.0,0,0,5.0,48,1,Slider,2,2,2,2,2,2,2,2,Infield shade,Standard,150.0,0.039,-0.259,,,0.918,0.259,103.0,0,0,0.5,0.5,28,27,29,28,1,2,2.0,1.0,2.0,1.0,2.39,0.21,0.21,41.8,,,,,,1,111.5573295780943,260.084528985106,3.11710861189085,130.196230596356,266.9418317508526,19.860292857600907
FF,2025-07-23,92.8,1.19,5.62,"Taylor, Chris",624413,671109,single,hit_into_play,,,,,4.0,Pete Alonso singles on a line drive to right fielder Chris Taylor.,R,R,L,NYM,LAA,X,9,line_drive,1,1,2025,0.68,1.45,-0.61,3.02,,,,2,7,Bot,147.75,89.54,,,,,-6.183935032631852,-134.95350114947172,-4.036174142145746,9.686523072260355,31.8017641093329,-13.880276505723176,3.63,1.73,255.0,78.1,24.0,93.9,2110.0,7.2,777034,518595,694384,650859,621028,687263,621493,666176,621035,53.34,0.674,0.607,0.9,1.0,1,0,4.0,61,3,4-Seam Fastball,6,3,6,3,3,6,6,3,Infield shade,Standard,140.0,0.003,0.344,71.3,6.0,0.736,-0.344,88.0,3,3,0.937,0.937,26,30,27,31,3,3,5.0,1.0,,2.0,1.22,0.68,-0.68,39.2,2.6689645542080305,12.184132211482606,33.48996518529189,28.54031508739252,21.73949027724801,0,51.29897798573038,249.78673875452145,2.9591673629585147,130.196230596356,266.9418317508526,80.74078080634125
FF,2025-07-23,92.7,1.28,5.7,"Taylor, Chris",621438,671109,field_out,hit_into_play,,,,,3.0,Tyrone Taylor flies out to right fielder Chris Taylor.,R,R,L,NYM,LAA,X,9,fly_ball,1,1,2025,0.69,1.26,0.51,3.2,,,,1,6,Bot,163.64,70.9,,,,,-3.547786278217833,-134.90609262928217,-3.3834889767838816,9.17003881222514,29.705815026521613,-16.29990021520349,3.69,1.72,331.0,92.9,25.0,94.3,2036.0,7.3,777034,518595,694384,650859,621028,687263,621493,666176,621035,53.24,0.149,0.189,0.0,1.0,0,0,3.0,50,3,4-Seam Fastball,6,1,6,1,1,6,6,1,Infield shade,Standard,141.0,-0.002,-0.244,70.0,6.8,0.306,0.244,92.9,5,5,0.975,0.975,26,31,27,31,3,2,5.0,3.0,,2.0,1.4,0.69,-0.69,41.4,0.18164004945644,9.131168878910016,24.94746356728101,41.26194723201628,21.66750420324526,1,95.13270197322244,317.0343341268798,3.6308448357087295,130.196230596356,266.9418317508526,61.14499025919946
SL,2025-07-21,87.4,2.02,6.35,"Taylor, Chris",607043,656271,sac_fly,hit_into_play,,,,,3.0,Brandon Nimmo out on a sacrifice fly to right fielder Chris Taylor. Francisco Alvarez scores.,R,L,L,NYM,LAA,X,9,fly_ball,1,1,2025,0.04,0.34,0.8,3.42,682626.0,,677595.0,1,8,Bot,154.15,79.26,,,,,-3.0620679403746345,-127.13704734361644,-1.53808423772369,1.2041388177816683,30.086866481550857,-28.390375059745665,3.69,1.74,306.0,83.7,33.0,87.7,2316.0,6.9,777061,681351,694384,650859,660162,687263,621493,666176,621035,53.64,0.014,0.014,0.0,1.0,0,0,3.0,74,3,Slider,6,5,6,5,5,7,7,5,Strategic,Standard,180.0,0.025,-0.11,68.1,6.2,0.026,0.11,88.0,1,1,0.911,0.911,28,32,29,32,1,4,1.0,1.0,2.0,1.0,2.68,0.04,0.04,44.4,11.811504132142996,1.6640324112713316,22.453772729812243,29.82388871001299,25.270950770700875,1,71.80814725893482,297.4551898811637,4.200539683172114,130.196230596356,266.9418317508526,65.88044702494255
