pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-26,94.4,-1.81,5.99,"Thomas, Colby",573262,686930,field_out,hit_into_play,,,,,6.0,Mike Yastrzemski lines out to right fielder Colby Thomas.,R,L,R,ATH,KC,X,9,line_drive,2,2,2025,0.39,1.09,0.53,2.48,,,,1,5,Top,197.56,108.03,,,,,5.223402418988466,-137.36521151070477,-5.905700298228268,3.8566417329474185,29.19707389048812,-17.216173312245214,3.43,1.62,286.0,93.2,21.0,94.5,2303.0,6.2,776172,669127,701762,687231,695391,805779,691016,671732,687515,54.25,0.243,0.261,0.0,1.0,0,0,3.0,36,6,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shade,Standard,193.0,0.009,-0.228,73.9,7.4,0.401,0.228,93.2,-3,3,0.165,0.835,24,34,25,35,3,2,9.0,1.0,,1.0,1.46,-0.39,0.39,52.8,14.234703827179318,-13.194178633625508,34.42263380601172,25.93917726108168,32.562772679555124,1,178.5842803504924,223.39125947918538,3.1051560028694585,138.02463945905188,259.58659230052456,54.361627894040545
FF,2025-09-26,93.4,-1.97,6.05,"Thomas, Colby",624428,686930,field_out,hit_into_play,,,,,3.0,Adam Frazier flies out to right fielder Colby Thomas.,R,L,R,ATH,KC,X,9,fly_ball,2,0,2025,0.19,0.98,0.62,2.75,,,,2,4,Top,207.92,99.67,,,,,6.243802095576922,-135.93025243958652,-4.920666333631703,1.0026887401876436,29.65627629628596,-19.10677442459417,3.27,1.52,317.0,86.6,28.0,93.2,2322.0,6.2,776172,669127,701762,687231,695391,805779,691016,671732,687515,54.34,0.071,0.092,0.0,1.0,0,0,3.0,31,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,194.0,0.006,-0.363,69.7,6.8,0.143,0.363,88.0,-3,3,0.197,0.803,24,33,25,34,2,1,9.0,1.0,,1.0,1.63,-0.19,0.19,52.5,15.539193618626832,-4.734072188870377,38.98482185106581,24.033566092942888,28.31169929018265,1,203.42311469433284,243.1214437437724,3.7563127763815376,138.02463945905188,259.58659230052456,67.43931850260331
FF,2025-09-26,93.0,-1.96,5.98,"Thomas, Colby",521692,686930,field_out,hit_into_play,,,,,6.0,Salvador Perez flies out sharply to right fielder Colby Thomas.,R,R,R,ATH,KC,X,9,fly_ball,1,2,2025,0.3,1.01,0.8,2.99,,,672580.0,1,4,Top,206.2,83.89,,,,,6.421460661821121,-135.40421336113428,-4.151128240306604,2.387009086096503,28.08366782170487,-18.989714111109183,3.7,1.73,345.0,100.7,37.0,93.3,2409.0,6.3,776172,669127,701762,687231,695391,805779,691016,671732,687515,54.19,0.274,0.55,0.0,1.0,0,0,5.0,28,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,188.0,0.034,-0.179,68.4,6.9,1.069,0.179,100.7,0,0,0.497,0.503,24,35,25,35,2,1,9.0,1.0,,1.0,1.61,-0.3,-0.3,51.1,10.121187116152925,10.859657713974894,29.726779330937365,44.07085884485866,24.735630564284417,1,199.02340845349568,281.8061086767869,5.5587589748558415,138.02463945905188,259.58659230052456,64.91961742672632
FF,2025-09-24,98.8,-2.46,5.87,"Thomas, Colby",514888,665660,single,hit_into_play,,,,,12.0,Jose Altuve singles on a fly ball to right fielder Colby Thomas.,R,R,R,ATH,HOU,X,9,fly_ball,2,2,2025,-1.0,1.22,0.15,3.22,,,,0,9,Top,189.47,115.07,,,,,9.334932373868318,-143.5713385498069,-4.56879340931488,-15.973308805725694,31.762322871475348,-14.43137879500088,2.8,1.25,261.0,77.2,39.0,97.9,2218.0,5.8,776195,669127,701762,680474,695391,805779,691016,671732,687515,54.75,0.066,0.075,0.9,1.0,1,0,3.0,63,6,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,232.0,-0.003,0.465,70.1,7.0,0.102,-0.465,88.0,6,-6,0.998,0.002,26,35,26,35,1,3,5.0,1.0,3.0,1.0,1.12,1.0,1.0,22.1,5.016228811370176,16.896281020170782,20.158792306606987,42.73454276950197,15.458949127599077,0,159.21258135869647,206.8147817180882,4.471114797501933,138.02463945905188,259.58659230052456,56.866447700654355
FF,2025-09-17,93.9,-2.97,5.3,"Thomas, Colby",608701,686993,field_out,hit_into_play,,,,,12.0,Rob Refsnyder flies out to right fielder Colby Thomas. David Hamilton to 3rd.,R,R,R,BOS,ATH,X,9,fly_ball,3,2,2025,-0.71,1.52,0.38,3.67,,666152.0,,1,7,Bot,196.24,81.75,,,,,10.246344635310228,-136.40929691243028,-1.7977665481048737,-11.230689159024369,31.86901303714265,-13.123890821630908,3.5,1.61,348.0,99.7,31.0,93.7,2479.0,6.4,776299,669127,701762,687231,695391,805779,691016,671732,687515,54.08,0.509,0.94,0.0,1.0,0,0,6.0,67,6,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,214.0,-0.05,-0.284,70.4,6.9,1.81,0.284,99.7,0,0,0.624,0.624,28,34,29,34,1,3,3.0,1.0,2.0,1.0,1.09,0.71,0.71,37.3,10.20728951190011,16.38781975169197,16.774021802756515,43.23522245174561,21.39195033479501,1,180.74556100605685,297.3802989046278,4.721063649175273,138.02463945905188,259.58659230052456,57.03894631479784
FF,2025-09-17,94.9,-3.28,6.03,"Thomas, Colby",678882,621053,field_out,hit_into_play,,,,,2.0,Ceddanne Rafaela flies out to right fielder Colby Thomas.,R,R,R,BOS,ATH,X,9,fly_ball,0,1,2025,-0.41,1.3,-0.06,3.46,,,663993.0,1,6,Bot,192.19,134.96,,,,,9.339648265298822,-137.9197567620475,-4.000845791712883,-7.233649647374195,28.58142504104085,-14.81670982788606,3.46,1.62,234.0,93.3,50.0,95.1,2457.0,6.3,776299,669127,701762,687231,695391,805779,691016,671732,687515,54.2,0.009,0.012,0.0,1.0,0,0,3.0,57,2,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,224.0,-0.05,-0.215,69.6,6.6,0.019,0.215,93.3,-1,-1,0.392,0.392,31,24,32,25,1,2,3.0,1.0,3.0,1.0,1.22,0.41,0.41,33.8,10.474966489425714,6.053603653633012,21.05407665564025,35.906414703025746,26.097074212652007,1,169.80408120692996,161.00488814154164,6.544657843382551,138.02463945905188,259.58659230052456,103.57743631069465
ST,2025-09-17,83.4,-3.6,5.86,"Thomas, Colby",663993,621053,single,hit_into_play,,,,,7.0,Nathaniel Lowe singles on a line drive to right fielder Colby Thomas.,R,L,R,BOS,ATH,X,9,line_drive,0,1,2025,1.15,0.2,-0.45,1.57,,,,0,6,Bot,186.36,119.99,,,,,4.967804455085351,-121.449576211901,-3.818838570377609,10.409726212320448,24.03077665186741,-29.600693432332665,3.47,1.6,178.0,83.4,13.0,83.2,2649.0,6.1,776299,669127,701762,687231,695391,805779,691016,671732,687515,54.36,0.68,0.677,0.9,1.0,1,0,4.0,55,2,Sweeper,3,4,3,4,4,3,3,4,Standard,Standard,63.0,0.064,0.478,69.0,8.6,0.813,-0.478,88.0,-1,-1,0.387,0.387,31,29,32,30,1,2,3.0,1.0,3.0,1.0,3.07,-1.15,1.15,27.9,12.608717139543902,-11.955414128993512,34.194147999190626,42.5621357284421,38.17154933646483,0,109.3435282805272,140.45637338036872,1.8132940024464859,138.02463945905188,259.58659230052456,122.53413890993461
FC,2025-09-17,87.5,-3.01,5.39,"Thomas, Colby",680776,686993,single,hit_into_play,,,,,8.0,Jarren Duran singles on a line drive to right fielder Colby Thomas. Nathaniel Lowe to 2nd.,R,L,R,BOS,ATH,X,9,line_drive,0,2,2025,0.58,0.31,-0.06,1.93,,,663993.0,2,6,Bot,176.92,110.94,,,,,5.919012856326726,-127.37769760022498,-2.853119947815851,5.2001317547473285,25.43373395611782,-28.427666762795788,3.48,1.6,183.0,96.5,10.0,87.6,2897.0,6.3,776299,669127,701762,687231,695391,805779,691016,671732,687515,54.21,0.751,0.704,0.9,1.0,1,0,4.0,58,3,Cutter,3,4,3,4,4,3,3,4,Standard,Standard,146.0,0.035,0.444,78.8,8.1,0.854,-0.444,96.5,-1,-1,0.342,0.342,28,28,29,29,1,3,3.0,1.0,2.0,1.0,2.66,-0.58,0.58,34.5,4.320095316744075,-10.106023727855272,25.84602561205036,38.58606445094337,39.13199811866688,0,92.95816809753137,157.6317829117945,1.6413716094196915,138.02463945905188,259.58659230052456,111.47093790971272
SL,2025-09-09,81.2,2.54,6.26,"Thomas, Colby",680776,605488,double,hit_into_play,,,,,4.0,Jarren Duran doubles (38) on a sharp line drive to right fielder Colby Thomas. Rob Refsnyder to 3rd.,R,L,L,ATH,BOS,X,9,line_drive,1,0,2025,-0.14,-0.07,-0.5,2.28,,,608701.0,0,6,Top,161.6,39.5,,,,,-6.4999586664420965,-118.14896205510708,-2.1443246306578274,-0.0917879011863293,22.91423930820498,-32.64948057201608,3.53,1.64,374.0,100.0,22.0,80.8,2157.0,6.1,776396,669127,701762,680869,687231,805779,691016,671732,687515,54.41,0.429,0.581,1.25,1.0,1,1,5.0,44,2,Slider,0,5,5,0,5,0,5,0,Standard,Standard,208.0,-0.015,0.691,71.7,7.8,0.967,-0.691,100.0,-5,5,0.036,0.964,32,28,33,29,3,2,6.0,1.0,7.0,1.0,3.54,-0.14,-0.14,47.6,12.326490532206874,-3.7256778055086506,23.42593911634648,44.59147904406129,39.70611161507799,0,83.0957373540495,364.65202376181435,3.469079571663379,138.02463945905188,259.58659230052456,118.55770398674191
ST,2025-09-09,77.7,2.72,5.97,"Thomas, Colby",680776,605488,field_out,hit_into_play,,,,,5.0,Jarren Duran flies out to right fielder Colby Thomas.,R,L,L,ATH,BOS,X,9,fly_ball,0,1,2025,-1.16,0.05,0.25,2.82,,,,1,3,Top,168.6,62.14,,,,,-3.158664433861445,-113.03554182752448,0.143828688564567,-9.268401116968716,22.66206187219265,-32.00501562279337,3.53,1.64,353.0,94.6,38.0,77.1,2311.0,6.1,776396,669127,701762,680869,687231,805779,691016,671732,687515,54.36,0.057,0.098,0.0,1.0,0,0,3.0,20,2,Sweeper,0,5,5,0,5,0,5,0,Standard,Standard,298.0,0.004,-0.216,75.4,7.4,0.192,0.216,94.6,-5,5,0.092,0.908,32,28,33,29,2,1,6.0,1.0,7.0,1.0,3.76,-1.16,-1.16,38.5,12.141155667049278,-14.950215923358645,23.79804668953303,35.252483553662955,40.56827267343755,1,106.72987979874917,336.4784283697018,5.344829219217246,138.02463945905188,259.58659230052456,83.01636246117593
