pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-07-21,89.9,-2.55,5.23,"Andujar, Miguel",669701,665660,double,hit_into_play,,,,,8.0,Josh Smith doubles (17) on a line drive to right fielder Miguel Andujar.,R,L,R,TEX,ATH,X,9,line_drive,0,1,2025,-1.27,0.13,-0.22,1.72,,,,0,7,Bot,165.46,87.7,,,,,8.399426646137462,-130.68663721070638,-2.931171910983381,-16.31299630901166,29.266214994571964,-30.25567469074949,3.14,1.47,294.0,89.1,20.0,89.1,1878.0,6.0,777057,669127,701762,649966,570482,805779,691016,671732,609280,54.52,0.503,0.453,1.25,1.0,1,1,4.0,56,2,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,252.0,0.015,0.755,68.6,7.2,0.585,-0.755,89.1,3,3,0.946,0.946,26,27,26,28,1,2,3.0,2.0,4.0,1.0,2.71,1.27,-1.27,12.1,9.011562381570686,-8.677135911429033,37.8524724220811,40.77618625455548,35.01124624487395
CU,2025-07-21,80.8,2.5,6.32,"Andujar, Miguel",543760,656794,field_out,hit_into_play,,,,,6.0,Marcus Semien flies out to right fielder Miguel Andujar.,R,R,L,TEX,ATH,X,9,fly_ball,0,2,2025,-0.77,-1.14,0.7,2.5,,,608369.0,2,7,Bot,199.11,120.09,,,,,-2.497369597075139,-117.57301254017956,0.3978711769552299,-6.534308503673489,26.226099835152848,-42.92177179917105,3.36,1.66,266.0,81.7,37.0,78.8,2850.0,5.3,777057,669127,701762,649966,570482,805779,691016,671732,609280,55.2,0.017,0.02,0.0,1.0,0,0,3.0,61,3,Curveball,7,2,7,2,2,7,7,2,Standard,Standard,327.0,-0.001,-0.174,62.5,7.4,0.033,0.174,88.0,5,5,0.986,0.986,32,34,32,35,1,3,8.0,1.0,1.0,1.0,4.68,-0.77,0.77,36.3,5.364546180041048,16.119859747715363,33.9822974315329,41.32049983992394,20.368552205791985
SL,2025-05-24,83.9,2.39,5.95,"Andujar, Miguel",607208,605488,field_out,hit_into_play,,,,,8.0,Trea Turner flies out to right fielder Miguel Andujar.,R,R,L,ATH,PHI,X,9,fly_ball,3,2,2025,-0.19,0.22,0.17,1.87,681082.0,,,2,2,Top,186.41,134.71,,,,,-4.781109331689672,-122.18534040024797,-3.549945244619624,-1.050078629745949,22.077588239348533,-29.462790109029086,3.45,1.7,220.0,74.0,42.0,84.5,2361.0,6.5,777784,669127,701762,649966,680474,805779,691016,672016,609280,54.04,0.206,0.194,0.0,1.0,0,0,3.0,14,8,Slider,0,2,2,0,2,0,2,0,Standard,Standard,241.0,0.029,-0.26,67.7,7.1,0.25,0.26,88.0,-2,2,0.302,0.698,32,32,33,32,2,1,6.0,1.0,6.0,1.0,2.99,-0.19,0.19,40.2,-4.952264698295627,9.807045460817491,34.65829380120993,37.88814303633785,23.03159248238568
SI,2025-05-11,95.0,-1.56,5.99,"Andujar, Miguel",691176,622663,single,hit_into_play,,,,,8.0,Jasson Domínguez singles on a sharp line drive to right fielder Miguel Andujar.,R,L,R,ATH,NYY,X,9,line_drive,3,1,2025,-1.26,0.96,0.18,1.98,,,,0,5,Top,199.16,88.19,,,,,7.31291319838466,-137.94789116289357,-6.904311534470103,-17.70124223373648,33.1490647769724,-18.451654960351053,3.45,1.63,262.0,108.3,12.0,94.2,2054.0,6.1,777957,669127,701762,649966,570482,805779,691016,668709,609280,54.37,0.923,0.948,0.9,1.0,1,0,5.0,39,5,Sinker,1,6,6,1,6,1,6,1,Infield shade,Standard,222.0,-0.007,0.259,74.2,8.0,1.302,-0.259,108.3,-5,5,0.057,0.943,31,22,31,22,3,2,6.0,1.0,6.0,2.0,1.59,1.26,-1.26,37.7,6.433357892174929,-8.704636807005466,34.86479375193821,29.3551490876809,35.00739372941349
SI,2025-05-11,94.5,-1.79,6.12,"Andujar, Miguel",683011,622663,field_out,hit_into_play,,,,,2.0,Anthony Volpe lines out sharply to right fielder Miguel Andujar.,R,R,R,ATH,NYY,X,9,line_drive,2,1,2025,-0.99,1.11,-0.2,2.92,,,691176.0,0,3,Top,191.72,106.82,,,,,6.314880131127604,-137.32836135128642,-5.073858424424226,-13.956155188682022,32.276370585820885,-17.15938445519296,3.35,1.57,282.0,103.1,15.0,94.0,2187.0,6.2,777957,669127,701762,649966,570482,805779,691016,668709,609280,54.3,0.646,0.674,0.0,1.0,0,0,4.0,21,4,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,209.0,0.009,-0.278,72.1,6.3,0.95,0.278,103.1,-5,5,0.076,0.924,31,24,31,24,2,1,6.0,1.0,6.0,1.0,1.46,0.99,0.99,48.6,3.9510072956267015,19.351762220662486,27.854540189271013,34.46875141023264,15.103883407508285
FF,2025-05-11,96.6,-1.74,6.03,"Andujar, Miguel",502671,622663,field_out,hit_into_play,,,,,12.0,Paul Goldschmidt lines out sharply to right fielder Miguel Andujar.,R,R,R,ATH,NYY,X,9,line_drive,2,1,2025,-0.41,1.28,0.75,3.66,,700250.0,592450.0,2,2,Top,191.07,78.45,,,,,7.5361832408849985,-140.4368658856475,-3.627850269152432,-7.176162228276283,31.78238636784288,-14.591702295957315,3.52,1.61,339.0,100.9,21.0,96.3,2186.0,6.2,777957,669127,701762,649966,570482,805779,691016,668709,609280,54.35,0.423,0.547,0.0,1.0,0,0,5.0,16,4,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,213.0,0.013,-0.285,71.5,7.0,0.887,0.285,100.9,-5,5,0.101,0.899,31,37,31,38,2,1,6.0,1.0,6.0,1.0,1.17,0.41,0.41,41.4,4.973438281078142,17.305431084810245,16.156492593705494,52.455957387392814,14.503974529747277
SI,2025-05-11,98.1,-2.67,5.44,"Andujar, Miguel",683011,665660,field_out,hit_into_play,,,,,7.0,Anthony Volpe flies out to right fielder Miguel Andujar.,R,R,R,ATH,NYY,X,9,fly_ball,2,0,2025,-1.37,0.47,-0.43,1.99,592450.0,502671.0,,2,7,Top,202.55,114.3,,,,,9.146457479229094,-142.54409544089913,-4.884803860767938,-20.80903146459218,33.43428097259725,-24.73707474718486,3.35,1.57,283.0,92.9,40.0,97.2,2496.0,5.9,777957,669127,701762,649966,570482,805779,691016,668709,609280,54.59,0.017,0.023,0.0,1.0,0,0,3.0,66,3,Sinker,2,12,12,2,12,2,12,2,Standard,Standard,238.0,0.0,-0.312,75.2,7.0,0.046,0.312,92.9,-10,10,0.001,0.999,26,24,26,24,1,4,2.0,1.0,22.0,1.0,1.9,1.37,1.37,17.4,3.051357030639974,8.026169181698315,35.15220629861975,32.934082854378715,21.29474278544212
FC,2025-05-11,93.6,-2.3,6.12,"Andujar, Miguel",641355,687765,single,hit_into_play,,,,,6.0,Cody Bellinger singles on a line drive to right fielder Miguel Andujar. Aaron Judge to 2nd.,R,L,R,ATH,NYY,X,9,line_drive,1,2,2025,0.23,0.22,0.41,2.71,,,592450.0,2,5,Top,182.31,107.26,,,,,6.461840304398969,-136.12124715358806,-3.525440324869628,1.3776719158689794,30.2604800062076,-28.836211693481136,3.9,1.83,224.0,80.5,20.0,93.0,2756.0,6.0,777957,669127,701762,649966,570482,805779,691016,668709,609280,54.53,0.917,0.827,0.9,1.0,1,0,4.0,46,4,Cutter,1,10,10,1,10,1,10,1,Infield shade,Standard,173.0,0.0,0.434,68.1,7.6,0.985,-0.434,88.0,-9,9,0.006,0.994,27,29,27,30,1,3,4.0,1.0,4.0,1.0,2.39,-0.23,0.23,43.2,11.90412744103906,-5.643206342312952,35.8471144145264,25.490124070472667,28.619210975883732
FC,2025-05-11,93.1,-2.29,6.09,"Andujar, Miguel",592450,687765,single,hit_into_play,,,,,8.0,Aaron Judge singles on a line drive to right fielder Miguel Andujar.,R,R,R,ATH,NYY,X,9,line_drive,1,1,2025,0.31,0.33,-0.04,1.79,,,,2,5,Top,179.53,92.44,,,,,5.084520859681455,-135.46306916492628,-5.9997824866461285,2.786900847986961,27.947846284461,-27.014298309838065,4.03,1.83,258.0,89.5,18.0,92.9,2765.0,6.0,777957,669127,701762,649966,570482,805779,691016,668709,609280,54.46,0.737,0.683,0.9,1.0,1,0,4.0,45,3,Cutter,1,10,10,1,10,1,10,1,Standard,Standard,171.0,0.0,0.344,75.7,7.8,0.854,-0.344,89.5,-9,9,0.006,0.994,27,33,27,33,1,3,4.0,1.0,4.0,1.0,2.29,-0.31,-0.31,43.1,1.0757293564445425,5.399937884481583,46.31188462361621,41.39348794154034,23.649433864296604
SI,2025-05-11,95.2,-1.83,5.98,"Andujar, Miguel",700250,622663,field_out,hit_into_play,,,,,9.0,Ben Rice lines out sharply to right fielder Miguel Andujar.,R,L,R,ATH,NYY,X,9,line_drive,0,1,2025,-0.79,0.68,0.64,1.93,,,,0,1,Top,185.24,99.65,,,,,8.217280027456477,-138.32737166535958,-6.471441033685744,-12.029663189796125,30.561230313299472,-22.220663712169504,3.77,1.81,287.0,108.2,16.0,94.7,2325.0,6.1,777957,669127,701762,649966,570482,805779,691016,668709,609280,54.42,0.617,0.698,0.0,1.0,0,0,6.0,1,2,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,206.0,0.022,-0.22,75.4,7.5,1.062,0.22,108.2,0,0,0.5,0.5,31,26,31,26,1,0,6.0,1.0,6.0,1.0,1.84,0.79,-0.79,40.1,9.728719842093314,-15.2504412179375,44.68237457038295,30.658343609779397,29.542612728307745
