pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-09-20,89.9,-1.65,5.92,"Castro, Willi",680574,665871,single,hit_into_play,,,,,6.0,Matt McLain singles on a line drive to right fielder Willi Castro.,R,R,R,CIN,CHC,X,9,line_drive,1,1,2025,0.1,0.71,0.63,2.34,,,,0,3,Bot,161.42,100.85,,,,,5.466284063809862,-130.82726381171784,-4.429391134219837,0.0379269660267233,26.805938038287085,-23.3019464239384,3.1,1.36,205.0,96.9,12.0,90.5,2089.0,6.6,776254,624512,683737,663538,807713,621020,664023,691718,650489,53.9,0.966,0.917,0.9,1.0,1,0,4.0,21,3,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,182.0,0.044,0.447,65.7,6.4,1.137,-0.447,96.9,-1,-1,0.43,0.43,27,25,28,26,1,0,6.0,1.0,8.0,1.0,2.1,-0.1,-0.1,50.6,7.888063385875893,19.52630757891585,30.981688827477484,43.80167458503617,27.742492578903043
SL,2025-09-20,88.0,-1.51,5.93,"Castro, Willi",663647,552640,field_out,hit_into_play,,,,,5.0,Ke'Bryan Hayes flies out to right fielder Willi Castro.,R,R,R,CIN,CHC,X,9,fly_ball,0,2,2025,0.14,0.13,0.22,2.22,,,,1,8,Bot,191.61,121.93,,,,,3.943335487855759,-128.15284642138025,-3.247918176419737,0.7722699813886568,24.56992794662238,-30.25556367739193,3.3,1.54,251.0,83.9,47.0,88.8,2753.0,6.6,776254,608348,683737,663538,807713,621020,664023,691718,650489,53.95,0.011,0.012,0.0,1.0,0,0,3.0,66,3,Slider,6,3,6,3,3,6,6,3,Standard,Standard,115.0,-0.002,-0.163,73.3,7.0,0.017,0.163,88.0,3,3,0.972,0.972,35,28,35,28,1,3,4.0,1.0,3.0,1.0,2.79,-0.14,-0.14,41.3,2.109132193828429,5.1605792554239365,24.310203126892485,38.21334303229141,35.21050539450985
FF,2025-09-16,94.7,-2.27,5.88,"Castro, Willi",693304,690990,field_out,hit_into_play,,,,,5.0,Nick Gonzales flies out to right fielder Willi Castro.,R,R,R,PIT,CHC,X,9,fly_ball,0,0,2025,-0.09,1.3,-0.2,2.32,,,,0,4,Bot,201.79,101.25,,,,,5.6382046483458215,-137.71704823628286,-6.537534872530957,-2.446755601951856,30.372764343052,-14.349157957541529,3.49,1.6,306.0,93.6,40.0,94.9,2519.0,6.4,776308,608348,683737,663538,807713,621020,664023,691718,650489,54.1,0.031,0.043,0.0,1.0,0,0,3.0,35,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,207.0,-0.029,-0.259,70.8,7.4,0.082,0.259,93.6,-2,-2,0.3,0.3,23,26,24,26,2,1,7.0,1.0,7.0,1.0,1.24,0.09,0.09,47.5,-0.0046815023938929,5.447802263388804,37.92980011672255,31.97360390733004,27.194537256320224
FF,2025-09-16,95.1,-2.33,5.82,"Castro, Willi",694377,690990,field_out,hit_into_play,,,,,4.0,Nick Yorke flies out to right fielder Willi Castro.,R,R,R,PIT,CHC,X,9,fly_ball,1,0,2025,-0.31,1.26,-0.54,2.41,,,,1,2,Bot,188.1,113.69,,,,,5.40630885621415,-138.26117143372997,-6.14237075112879,-5.175444603292371,31.85020745934059,-14.78253565899755,3.61,1.64,263.0,82.4,42.0,95.4,2542.0,6.6,776308,608348,683737,663538,807713,621020,664023,691718,650489,53.94,0.009,0.008,0.0,1.0,0,0,3.0,20,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,204.0,-0.017,-0.294,74.7,7.2,0.013,0.294,88.0,-2,-2,0.307,0.307,23,23,24,23,1,0,7.0,1.0,7.0,1.0,1.27,0.31,0.31,46.6,-3.027653092883504,-2.214697720948477,39.23017726035195,25.822223768357794,26.583178745553703
CU,2025-09-16,85.5,-2.05,6.04,"Castro, Willi",665833,690990,triple,hit_into_play,,,,,7.0,Oneil Cruz triples (3) on a line drive to right fielder Willi Castro. Spencer Horwitz scores.,R,L,R,PIT,CHC,X,9,line_drive,0,0,2025,-0.18,-0.49,-0.82,2.25,,,687462.0,2,1,Bot,175.63,93.7,,,,,3.260754070080766,-124.55057582360196,-1.632897510734111,-2.565050721705977,26.175112067182187,-37.16903188899079,3.88,1.81,368.0,99.7,22.0,85.3,2456.0,6.2,776308,608348,683737,663538,807713,621020,664023,691718,650489,54.33,0.429,0.581,1.6,1.0,1,2,5.0,12,1,Curveball,0,2,0,2,2,1,1,2,Infield shade,Strategic,29.0,0.112,1.34,82.4,8.7,0.967,-1.34,99.7,-2,-2,0.317,0.317,23,26,24,27,1,0,7.0,1.0,7.0,1.0,3.62,0.18,-0.18,54.9,12.427964445946415,-16.35209991696827,30.77097736527994,42.81473721458194,39.9804025451146
CH,2025-09-16,88.7,-2.31,5.78,"Castro, Willi",668804,690990,field_out,hit_into_play,,,,,7.0,Bryan Reynolds lines out to right fielder Willi Castro.,R,L,R,PIT,CHC,X,9,line_drive,2,2,2025,-1.14,0.54,-0.62,1.85,,,687462.0,1,1,Bot,171.14,64.73,,,,,6.52854739540478,-129.01258969565046,-4.650742634649364,-14.082633612921809,27.946920246160616,-25.35134680128024,3.38,1.62,350.0,95.5,23.0,88.8,2017.0,6.5,776308,608348,683737,663538,807713,621020,664023,691718,650489,54.01,0.186,0.232,0.0,1.0,0,0,5.0,11,7,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,211.0,-0.029,-0.222,,,0.378,0.222,95.5,-2,-2,0.346,0.346,23,30,24,30,1,0,7.0,1.0,7.0,3.0,2.37,1.14,-1.14,49.3,,,,,
FC,2025-09-15,86.3,-1.34,6.05,"Castro, Willi",687462,592791,double,hit_into_play,,,,,8.0,Spencer Horwitz doubles (22) on a sharp line drive to right fielder Willi Castro.,R,L,R,PIT,CHC,X,9,line_drive,1,1,2025,0.66,0.56,0.11,1.57,,,,2,6,Bot,156.01,83.41,,,,,2.1328468693534703,-125.61153678480316,-5.615538943915614,6.525171408770952,25.39828060984111,-25.362799228011667,3.59,1.68,233.0,102.4,11.0,87.0,2509.0,6.7,776318,608348,683737,663538,807713,621020,664023,691718,650489,53.76,0.923,0.878,1.25,1.0,1,1,4.0,48,3,Cutter,0,4,0,4,4,0,0,4,Infield shade,Standard,188.0,0.014,0.597,,,1.098,-0.597,102.4,-4,-4,0.059,0.059,33,27,34,28,3,2,5.0,1.0,6.0,1.0,2.5,-0.66,0.66,43.8,,,,,
FC,2025-09-15,86.8,-1.07,6.18,"Castro, Willi",693304,592791,field_out,hit_into_play,,,,,6.0,Nick Gonzales flies out to right fielder Willi Castro.,R,R,R,PIT,CHC,X,9,fly_ball,0,1,2025,0.55,0.49,0.5,2.43,,,,1,2,Bot,189.25,108.82,,,,,2.653789271316129,-126.417000044264,-3.833159028958685,5.366598842769064,25.738028503814785,-26.314242958835777,3.48,1.6,273.0,90.4,46.0,87.4,2687.0,6.6,776318,608348,683737,663538,807713,621020,664023,691718,650489,53.85,0.003,0.003,0.0,1.0,0,0,3.0,14,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,153.0,-0.016,-0.216,67.9,7.8,0.005,0.216,90.4,0,0,0.527,0.527,33,26,34,26,1,0,5.0,1.0,6.0,1.0,2.53,-0.55,-0.55,53.1,5.605455611590632,3.8536456838730304,31.068770693474374,40.85784648777992,30.5169884551816
FF,2025-09-15,96.1,-2.32,5.96,"Castro, Willi",457705,687863,field_out,hit_into_play,,,,,7.0,Andrew McCutchen lines out sharply to right fielder Willi Castro.,R,R,R,PIT,CHC,X,9,line_drive,0,0,2025,-0.3,1.33,-0.34,2.03,,,,0,9,Bot,170.16,82.84,,,,,6.02905302779495,-139.66087955894986,-7.983295421673026,-5.177846574963192,29.70429009635341,-13.14899629166766,3.36,1.58,310.0,104.4,15.0,97.9,2333.0,7.3,776318,608348,683737,663538,807713,621020,664023,691718,650489,53.23,0.68,0.718,0.0,1.0,0,0,5.0,71,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,199.0,-0.01,-0.259,73.0,6.9,1.017,0.259,104.4,-4,-4,0.016,0.016,24,38,24,39,1,3,2.0,2.0,2.0,2.0,1.13,0.3,0.3,49.3,5.991405557132424,7.602443097620713,40.63241896835147,33.62148461726618,18.028581311458534
SL,2025-09-13,86.8,-2.53,5.77,"Castro, Willi",656484,687863,single,hit_into_play,,,,,6.0,Tristan Gray singles on a sharp line drive to right fielder Willi Castro.,R,L,R,CHC,TB,X,9,line_drive,0,2,2025,1.44,0.09,0.34,2.69,,,,2,8,Top,195.49,123.51,,,,,3.9926923154700127,-126.3691062861428,-1.341547579310694,14.448799405258956,27.778518106102275,-31.10373701292662,3.42,1.57,184.0,105.8,10.0,88.0,2596.0,7.2,776338,608348,683737,663538,807713,621020,664023,691718,650489,53.32,0.849,0.841,0.9,1.0,1,0,4.0,64,4,Slider,4,4,4,4,4,4,4,4,Infield shade,Strategic,74.0,-0.026,0.428,,,1.068,-0.428,105.8,0,0,0.58,0.42,24,29,24,29,1,0,1.0,2.0,2.0,2.0,2.95,-1.44,1.44,40.3,,,,,
