pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2025-09-04,71.7,-3.5,5.49,"Collins, Isaac",656941,642547,field_out,hit_into_play,,,,,5.0,Kyle Schwarber flies out to right fielder Isaac Collins.,R,L,R,MIL,PHI,X,9,fly_ball,0,2,2025,0.87,-0.55,0.11,2.06,,,,2,5,Top,163.61,127.27,,,,,5.6971685681857815,-104.27227154824014,1.68493345142975,5.321320332561725,18.15934379085028,-36.68420192971638,3.29,1.47,203.0,96.4,59.0,72.0,2227.0,6.6,776459,643376,683734,655316,702332,687401,694192,663368,686555,53.9,0.026,0.03,0.0,1.0,0,0,3.0,37,3,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,57.0,0.014,-0.161,79.6,7.9,0.04,0.161,96.4,0,0,0.551,0.449,29,32,29,32,3,2,6.0,1.0,6.0,1.0,5.0,-0.87,0.87,43.1,22.54965064521623,-16.735455477662097,31.07101603262393,33.20035299758801,43.60744911185809
CU,2025-09-04,77.5,-3.57,5.41,"Collins, Isaac",596146,642547,double,hit_into_play,,,,,8.0,Max Kepler doubles (18) on a line drive to right fielder Isaac Collins.,R,L,R,MIL,PHI,X,9,line_drive,0,0,2025,0.56,-0.37,0.02,1.84,,,,2,2,Top,208.41,113.65,,,,,6.666315929272528,-112.70914444460983,-0.0608586506127892,3.7035658087548073,19.101826556099844,-35.501813237590184,3.47,1.64,292.0,90.3,21.0,78.1,2261.0,6.6,776459,643376,683734,655316,702332,687401,694192,663368,686555,53.92,0.28,0.285,1.25,1.0,1,1,3.0,11,1,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,56.0,-0.024,0.58,70.8,7.8,0.404,-0.58,90.3,0,0,0.54,0.46,29,32,29,32,1,0,6.0,3.0,6.0,1.0,4.14,-0.56,0.56,42.7,16.80774517658714,-20.783435535934483,33.02201932783454,38.52267121375856,44.15986065586302
CH,2025-09-04,89.8,-3.9,5.05,"Collins, Isaac",547180,642547,field_out,hit_into_play,,,,,4.0,Bryce Harper lines out to right fielder Isaac Collins.,R,L,R,MIL,PHI,X,9,line_drive,2,0,2025,-1.36,0.47,-0.44,2.38,,,656941.0,1,1,Top,179.97,94.85,,,,,11.518011198587065,-130.22839322190342,-1.5688754404813374,-17.910025700836986,28.303659327569022,-26.662582932434123,3.2,1.62,290.0,86.6,23.0,90.2,2192.0,6.8,776459,643376,683734,655316,702332,687401,694192,663368,686555,53.7,0.214,0.205,0.0,1.0,0,0,3.0,3,3,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,242.0,0.028,-0.359,78.0,7.3,0.29,0.359,88.0,0,0,0.497,0.503,29,32,29,33,1,0,6.0,1.0,6.0,1.0,2.38,1.36,-1.36,28.4,14.288437650782669,-4.974473946564162,33.519238352844255,42.23740068625517,38.81729128533249
FF,2025-09-04,93.5,-2.44,5.65,"Collins, Isaac",681082,606303,double,hit_into_play,,,,,14.0,Bryson Stott doubles (19) on a sharp line drive to right fielder Isaac Collins. Harrison Bader scores.,R,L,R,MIL,PHI,X,9,line_drive,0,0,2025,-0.11,1.09,0.86,1.68,664056.0,,,2,9,Top,198.75,114.79,,,,,8.72124500622763,-135.8784478209779,-6.902166197357701,-3.2223159297179107,28.842069678511077,-17.327404448952183,3.3,1.56,211.0,103.9,10.0,93.5,2512.0,6.3,776459,643376,641343,668930,702332,655316,694192,663368,686555,54.2,0.843,0.815,1.25,1.0,1,1,4.0,68,1,4-Seam Fastball,0,1,1,0,2,0,2,0,Standard,Standard,216.0,-0.088,0.813,69.9,7.2,1.034,-0.813,103.9,-1,1,0.163,0.837,31,27,31,28,1,3,106.0,3.0,3.0,1.0,1.52,0.11,-0.11,33.6,-0.959463932382866,-13.241868635082906,39.86731714255608,21.594087481718677,35.44322527516993
SL,2025-09-04,84.9,-0.93,5.84,"Collins, Isaac",664761,668964,triple,hit_into_play,,,,,3.0,Alec Bohm triples (3) on a line drive to right fielder Isaac Collins.,R,R,R,MIL,PHI,X,9,line_drive,1,2,2025,0.46,-0.06,0.75,3.04,,,,1,7,Top,204.72,110.79,,,,,3.033783640455651,-123.68658053957488,-0.1292112756830219,4.110472557748312,24.49891294197832,-32.92745931684498,3.57,1.62,292.0,93.9,19.0,85.6,2296.0,6.7,776459,643376,683734,655316,702332,687401,694192,663368,686555,53.83,0.414,0.424,1.6,1.0,1,2,4.0,51,4,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,104.0,-0.14,1.148,69.2,6.7,0.599,-1.148,93.9,0,0,0.539,0.461,26,28,27,29,1,2,4.0,1.0,2.0,1.0,3.21,-0.46,-0.46,61.8,0.9422396742797536,22.154958904973817,24.61820527659474,46.69060314892856,17.26368440118374
CH,2025-08-19,84.2,-1.44,5.86,"Collins, Isaac",691718,605540,field_out,hit_into_play,,,,,5.0,Pete Crow-Armstrong flies out to right fielder Isaac Collins.,R,L,R,CHC,MIL,X,9,fly_ball,2,1,2025,-1.03,0.9,-0.27,2.34,,,,1,3,Bot,170.65,102.93,,,,,4.776551776927841,-122.59158335631008,-3.645525077013018,-11.318849217658354,22.677092216258227,-22.590186056938204,3.14,1.47,263.0,90.9,47.0,84.9,1739.0,6.6,776676,643376,683734,668930,702332,687401,592885,686217,686555,53.92,0.006,0.008,0.0,1.0,0,0,3.0,27,4,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,227.0,-0.015,-0.299,71.4,7.7,0.012,0.299,90.9,1,1,0.653,0.653,32,23,32,23,2,1,6.0,0.0,6.0,1.0,2.3,1.03,-1.03,41.8,18.789114515673248,-16.474169118458075,29.25493462518585,39.56981388001604,41.79868097349768
FF,2025-08-19,94.7,-1.15,6.08,"Collins, Isaac",683737,605540,double,hit_into_play,,,,,5.0,Michael Busch doubles (17) on a line drive to right fielder Isaac Collins. Owen Caissie scores. Michael Busch to 3rd.,R,L,R,CHC,MIL,X,9,line_drive,0,1,2025,-0.55,1.37,-0.07,2.52,,,683357.0,2,2,Bot,187.29,107.09,,,,,4.056339124877211,-137.78652398091677,-6.679695815407692,-7.921269000361088,32.40192098963942,-13.429806332521796,3.29,1.6,161.0,93.4,13.0,94.8,2433.0,6.5,776676,643376,683734,668930,702332,687401,592885,686217,686555,54.02,0.931,0.884,1.25,1.0,1,1,4.0,21,2,4-Seam Fastball,1,1,1,1,1,2,2,1,Standard,Standard,203.0,0.127,0.96,73.2,7.6,1.072,-0.96,93.4,0,0,0.524,0.524,32,27,32,28,2,1,6.0,0.0,6.0,1.0,1.18,0.55,-0.55,43.6,24.7947978636776,-11.28718611157904,35.91807302395915,38.60416220166762,37.77448235547133
SI,2025-08-19,93.5,-1.31,5.96,"Collins, Isaac",807713,605540,field_out,hit_into_play,,,,,5.0,Matt Shaw flies out to right fielder Isaac Collins.,R,R,R,CHC,MIL,X,9,fly_ball,3,2,2025,-0.77,1.13,0.0,2.37,,,683357.0,1,2,Bot,160.06,91.53,,,,,5.078895693837634,-136.0358102503823,-6.05651699664095,-10.63613129937723,26.994589692373253,-17.055463733108425,3.3,1.5,281.0,84.9,33.0,94.2,2255.0,6.5,776676,643376,683734,668930,702332,687401,592885,686217,686555,54.01,0.017,0.024,0.0,1.0,0,0,3.0,20,7,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,204.0,-0.029,-0.319,69.8,6.5,0.04,0.319,88.0,0,0,0.553,0.553,32,23,32,24,1,0,6.0,0.0,6.0,1.0,1.46,0.77,0.77,43.6,6.359754350761367,9.303567817985062,29.609889218405044,33.083883558623285,29.705963012251715
SI,2025-08-19,98.1,0.47,6.62,"Collins, Isaac",608348,676879,field_out,hit_into_play,,,,,6.0,Carson Kelly flies out to right fielder Isaac Collins.,R,R,L,CHC,MIL,X,9,fly_ball,0,0,2025,1.23,0.51,0.55,2.42,,,,1,7,Bot,174.75,103.44,,,,,-2.5776150440279557,-142.87768459473588,-7.012448026274387,17.47318418075665,30.515607689995043,-23.88605128690374,3.44,1.64,267.0,79.5,29.0,97.0,2103.0,5.4,776676,643376,683734,668930,702332,655316,592885,686217,686555,55.06,0.143,0.174,0.0,1.0,0,0,3.0,60,1,Sinker,4,1,4,1,1,4,4,1,Strategic,Standard,145.0,-0.004,-0.255,69.7,6.4,0.247,0.255,88.0,3,3,0.941,0.941,27,30,27,31,2,3,3.0,1.0,3.0,1.0,1.84,1.23,-1.23,47.7,4.611430344405741,8.653343335047191,31.97711297494847,44.87138726986724,26.68257822821728
CH,2025-08-19,92.1,0.69,6.55,"Collins, Isaac",621020,676879,field_out,hit_into_play,,,,,5.0,Dansby Swanson flies out to right fielder Isaac Collins.,R,R,L,CHC,MIL,X,9,fly_ball,2,2,2025,1.3,0.2,0.12,2.89,,,,0,6,Bot,206.53,95.15,,,,,-4.177922762305037,-134.07520540035657,-3.901599877462821,16.597485551945127,27.40046281660063,-29.09898237461184,3.62,1.68,324.0,97.0,37.0,90.9,2142.0,5.4,776676,643376,683734,668930,702332,687401,592885,686217,686555,55.06,0.163,0.312,0.0,1.0,0,0,3.0,50,7,Changeup,3,1,3,1,1,3,3,1,Strategic,Standard,132.0,-0.012,-0.233,71.2,6.6,0.594,0.233,97.0,2,2,0.852,0.852,27,31,27,31,1,2,3.0,0.0,3.0,1.0,2.47,1.3,-1.3,51.8,10.079914178192965,12.300626000524012,32.61518608872532,37.87560863216655,24.16908698780036
