pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-05-15,98.0,-1.64,6.17,"Dezenzo, Zach",673962,686613,field_out,hit_into_play,,,,,5.0,Josh Jung flies out to right fielder Zach Dezenzo.,R,R,R,TEX,HOU,X,9,fly_ball,0,2,2025,-0.61,1.62,0.24,2.99,,,,0,8,Bot,191.45,70.03,,,,,6.494748789735114,-142.32161133619144,-6.798004813434626,-9.903120536444693,36.78596160264444,-8.75172789704155,3.69,1.72,356.0,98.3,32.0,97.6,2407.0,6.5,777910,673237,572233,643289,670623,665161,514888,676694,701305,54.03,0.369,0.701,0.0,1.0,0,0,5.0,54,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Strategic,207.0,-0.013,-0.165,75.9,7.0,1.351,0.165,98.3,1,1,0.871,0.871,26,27,27,27,3,2,6.0,1.0,6.0,1.0,0.78,0.61,0.61,62.1,11.56594939758281,4.72423338065378,29.245543229452505,38.85612657773434,26.942992353662177
CH,2025-05-14,85.7,2.32,5.4,"Dezenzo, Zach",671221,676467,field_out,hit_into_play,,,,,6.0,Drew Waters flies out to right fielder Zach Dezenzo.,R,R,L,HOU,KC,X,9,fly_ball,1,1,2025,1.12,1.01,0.37,2.21,,,,0,4,Top,207.54,119.82,,,,,-6.97153664776152,-124.53697780707132,-3.235146332669681,13.107018870335828,28.797362589868012,-21.227964423341003,3.45,1.63,280.0,92.1,48.0,86.1,1763.0,7.0,777920,605170,572233,643289,670623,665161,514888,676694,701305,53.52,0.001,0.0,0.0,1.0,0,0,3.0,27,3,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,127.0,0.017,-0.251,75.3,6.8,0.001,0.251,92.1,-2,2,0.262,0.738,26,26,27,27,2,1,,2.0,5.0,2.0,2.14,1.12,-1.12,28.9,7.79806153371837,6.570961056501881,40.802824967765,43.15726935571272,35.84781938637583
CH,2025-05-14,84.5,2.34,5.35,"Dezenzo, Zach",521692,676467,field_out,hit_into_play,,,,,8.0,Salvador Perez flies out to right fielder Zach Dezenzo.,R,R,L,HOU,KC,X,9,fly_ball,1,1,2025,1.2,0.97,0.06,1.78,,,,0,3,Top,184.62,113.45,,,,,-7.804274101817671,-122.73819805929118,-3.799900247763615,13.787774273447992,28.2133753362534,-21.842807914691036,3.71,1.73,258.0,92.2,52.0,84.9,1759.0,7.0,777920,605170,572233,643289,670623,665161,514888,676694,701305,53.49,0.003,0.003,0.0,1.0,0,0,3.0,19,3,Changeup,0,2,2,0,2,0,2,0,Strategic,Strategic,131.0,0.017,-0.251,74.0,8.0,0.003,0.251,92.2,-2,2,0.279,0.721,26,35,27,35,2,1,,1.0,5.0,2.0,2.28,1.2,-1.2,28.9,13.083120895371133,-8.879232836465052,41.82259927202127,36.33751590571126,31.769849354015417
FF,2025-05-14,92.3,2.02,5.65,"Dezenzo, Zach",592192,676467,field_out,hit_into_play,,,,,2.0,Mark Canha flies out to right fielder Zach Dezenzo.,R,R,L,HOU,KC,X,9,fly_ball,1,2,2025,0.65,1.52,-0.21,3.13,,,,0,2,Top,169.97,127.86,,,,,-7.16100382205508,-134.12983646721878,-3.828607172036593,9.560510606773011,32.70073056661437,-13.334577573054853,3.37,1.57,210.0,83.3,57.0,92.5,2088.0,6.8,777920,605170,572233,643289,670623,665161,514888,676694,701305,53.72,0.02,0.018,0.0,1.0,0,0,3.0,9,7,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,146.0,0.02,-0.19,68.6,6.6,0.02,0.19,88.0,-1,1,0.392,0.608,26,36,27,36,1,0,,1.0,5.0,4.0,1.2,0.65,-0.65,31.3,1.7019897840633798,-3.499468062238344,26.496880272440382,33.76863229397442,26.40030536494157
SL,2025-05-09,88.9,-2.12,6.16,"Dezenzo, Zach",680574,686613,field_out,hit_into_play,,,,,5.0,Matt McLain flies out to right fielder Zach Dezenzo.,R,R,R,HOU,CIN,X,9,fly_ball,1,0,2025,0.26,0.31,0.19,2.46,,669289.0,670770.0,2,5,Top,174.34,135.47,,,,,5.151877684878777,-129.3366342692743,-3.6620598497527648,1.846499528761412,27.71689915464028,-28.11601486783449,3.02,1.29,184.0,85.8,60.0,89.4,2099.0,6.7,777989,673237,572233,643289,670623,665161,514888,676694,701305,53.83,0.031,0.039,0.0,1.0,0,0,3.0,36,2,Slider,1,0,0,1,0,1,0,1,Standard,Standard,163.0,0.062,-0.308,65.8,7.0,0.054,0.308,88.0,1,-1,0.651,0.349,26,25,27,26,3,2,6.0,1.0,6.0,1.0,2.58,-0.26,-0.26,53.3,15.368988246124314,4.728014965346491,27.864768073272504,37.16444572993056,32.712573606398706
FF,2025-05-09,91.4,2.69,5.6,"Dezenzo, Zach",663886,687911,field_out,hit_into_play,,,,,2.0,Tyler Stephenson flies out to right fielder Zach Dezenzo.,R,R,L,HOU,CIN,X,9,fly_ball,3,1,2025,0.42,1.22,0.0,3.16,,,,0,7,Top,198.37,106.87,,,,,-7.674028276912153,-132.91286005910408,-2.8684206241961565,6.654187450144646,29.590441877115055,-17.375902732542624,3.24,1.55,290.0,86.5,39.0,91.3,2164.0,6.4,777989,673237,572233,643289,670623,665161,514888,676694,701305,54.13,0.011,0.015,0.0,1.0,0,0,3.0,51,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,155.0,0.022,-0.439,67.1,6.7,0.025,0.439,88.0,3,-3,0.902,0.098,28,28,29,29,1,2,3.0,1.0,5.0,1.0,1.53,0.42,-0.42,33.8,10.59160982759459,15.567984599627376,35.498627637314435,38.34251771486253,21.28214374777346
FF,2025-05-04,90.9,-2.4,5.93,"Dezenzo, Zach",700337,687473,single,hit_into_play,,,,,3.0,Edgar Quero singles on a line drive to right fielder Zach Dezenzo. Andrew Benintendi to 3rd. Luis Robert Jr. to 2nd.,R,L,R,CWS,HOU,X,9,line_drive,3,1,2025,-0.62,1.54,0.53,2.86,,643217.0,673357.0,1,5,Bot,168.72,80.4,,,,,8.671842736614096,-131.99099287019746,-5.038741269070396,-9.160627194639403,28.366623200293706,-13.32522790300528,3.33,1.57,278.0,97.8,17.0,90.9,2409.0,6.4,778055,605170,572233,663898,643289,665161,514888,676694,701305,54.1,0.449,0.462,0.9,1.0,1,0,4.0,49,5,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,205.0,0.062,0.336,67.7,6.5,0.677,-0.336,97.8,-4,-4,0.148,0.148,26,22,26,22,1,2,5.0,2.0,8.0,1.0,1.24,0.62,-0.62,46.8,13.24867319556744,6.127866238572336,27.46422128042726,34.558740035840614,26.62966736606127
FF,2025-05-04,92.2,-2.53,5.9,"Dezenzo, Zach",643217,687473,field_error,hit_into_play,,,,,4.0,Andrew Benintendi reaches on a fielding error by right fielder Zach Dezenzo. Andrew Benintendi to 2nd.,R,L,R,CWS,HOU,X,9,fly_ball,3,1,2025,-0.58,1.57,-0.34,2.53,,,,1,5,Bot,189.25,137.79,,,,,6.811591650668776,-133.94110338955284,-6.120320034991587,-8.503413773221318,31.401631992841978,-12.11002240066137,3.32,1.57,215.0,93.3,58.0,91.9,2465.0,6.4,778055,605170,572233,663898,643289,665161,514888,676694,701305,54.12,0.014,0.014,0.9,1.0,0,0,3.0,47,5,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,201.0,0.031,0.298,73.4,7.8,0.019,-0.298,93.3,-4,-4,0.093,0.093,26,30,26,31,1,2,5.0,1.0,8.0,19.0,1.14,0.58,-0.58,47.6,25.72887747533697,-17.8068140077232,32.599665840876995,34.02703699914973,42.05309127274151
FF,2025-05-03,91.7,2.86,5.39,"Dezenzo, Zach",681460,687911,field_out,hit_into_play,,,,,12.0,Brooks Baldwin lines out to right fielder Zach Dezenzo.,R,R,L,CWS,HOU,X,9,line_drive,2,2,2025,0.5,0.98,0.94,2.5,,,,2,7,Bot,171.72,102.7,,,,,-5.9360251406192335,-133.38543084422994,-3.5268326386420763,7.287561009109262,30.29201920205183,-19.922105958565197,3.3,1.59,266.0,97.9,14.0,91.7,2253.0,6.4,778066,673237,572233,663898,670623,665161,514888,676694,701305,54.08,0.909,0.879,0.0,1.0,0,0,4.0,59,5,4-Seam Fastball,3,6,3,6,6,3,3,6,Standard,Standard,141.0,-0.01,-0.224,69.2,6.9,1.134,0.224,97.9,-3,-3,0.075,0.075,28,24,29,25,1,2,3.0,1.0,3.0,1.0,1.74,0.5,-0.5,33.4,5.2080772771573285,14.527187527931998,32.22734304507546,46.59090378608092,22.99556697316193
FF,2025-05-03,92.1,-2.87,5.09,"Dezenzo, Zach",642136,701121,single,hit_into_play,,,,,1.0,Matt Thaiss singles on a line drive to right fielder Zach Dezenzo. Andrew Vaughn to 2nd.,R,L,R,CWS,HOU,X,9,line_drive,0,2,2025,-1.26,0.94,-0.6,2.83,,,683734.0,1,9,Bot,148.62,93.02,,,,,8.597601389616477,-133.86208444119166,-1.919995317251264,-17.090910501362348,29.87882043728412,-20.667560820331857,3.28,1.57,191.0,85.6,14.0,92.7,2252.0,6.8,778066,673237,572233,663898,670623,665161,676801,676694,701305,53.69,0.911,0.861,0.9,1.0,1,0,4.0,75,4,4-Seam Fastball,3,8,3,8,8,3,3,8,Infield shade,Standard,238.0,0.009,0.495,69.9,7.5,1.059,-0.495,88.0,-5,-5,0.006,0.006,26,30,26,30,1,3,3.0,3.0,7.0,2.0,1.76,1.26,-1.26,16.9,11.99650835559056,0.7715409911015496,17.272055794160195,46.51790569785794,33.82687839453933
