pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-08-24,96.3,-1.75,5.76,"Frazier, Adam",656716,668674,field_out,hit_into_play,,,,,5.0,Zach McKinstry flies out to right fielder Adam Frazier.,R,L,R,DET,KC,X,9,fly_ball,2,2,2025,-1.1,0.75,0.27,2.49,,,682985.0,2,7,Bot,188.41,66.94,,,,,7.870859260200065,-139.84974098810483,-4.737135418209488,-16.257654365722434,35.204791920397284,-21.41030775447756,3.32,1.55,360.0,91.8,34.0,96.1,1842.0,6.6,776615,571912,686469,663697,672580,677951,545341,664728,624428,53.92,0.066,0.11,0.0,1.0,0,0,3.0,69,7,Sinker,8,10,8,10,10,8,8,10,Infield shade,Standard,231.0,-0.038,-0.217,71.1,7.0,0.206,0.217,91.8,-2,-2,0.168,0.168,30,30,30,30,1,3,4.0,1.0,6.0,1.0,1.74,1.1,-1.1,39.7,13.059342459224954,-9.009482913465709,37.014007450194704,31.717389774175675,33.170281611955986
SI,2025-08-24,96.4,-1.73,5.79,"Frazier, Adam",693307,668674,field_out,hit_into_play,,,,,8.0,Dillon Dingler lines out to right fielder Adam Frazier.,R,R,R,DET,KC,X,9,line_drive,0,1,2025,-1.16,0.68,-0.22,1.73,,,682985.0,1,7,Bot,180.2,113.27,,,,,6.661108348226396,-140.0429759951246,-6.737267154389635,-16.72615859259293,33.338001311403254,-21.800985486829383,3.4,1.53,253.0,85.9,21.0,96.5,1945.0,6.6,776615,571912,686469,663697,672580,677951,545341,664728,624428,53.92,0.454,0.409,0.0,1.0,0,0,3.0,68,2,Sinker,8,10,8,10,10,8,8,10,Standard,Standard,231.0,-0.048,-0.215,72.7,7.4,0.516,0.215,88.0,-2,-2,0.216,0.216,30,26,30,27,1,3,4.0,1.0,6.0,1.0,1.79,1.16,1.16,40.3,-3.868302920742972,7.867460043175803,48.43636162948798,34.56900751689992,20.07562669784786
SL,2025-08-23,85.1,-1.42,6.36,"Frazier, Adam",595879,608379,field_out,hit_into_play,,,,,9.0,Javier Báez flies out to right fielder Adam Frazier.,R,R,R,DET,KC,X,9,fly_ball,2,2,2025,0.43,0.48,0.7,1.96,,,656716.0,1,5,Bot,179.9,120.15,,,,,4.155276240327831,-123.92900447414584,-5.029198003104613,3.675349373694078,23.247502066679555,-26.49908926240226,3.48,1.65,260.0,82.7,36.0,86.0,1882.0,6.7,776625,521692,686469,663697,672580,677951,545341,664728,624428,53.8,0.014,0.02,0.0,1.0,0,0,3.0,36,6,Slider,2,1,2,1,1,2,2,1,Standard,Standard,184.0,-0.026,-0.222,75.1,8.1,0.032,0.222,88.0,1,1,0.715,0.715,33,32,34,33,2,1,5.0,1.0,8.0,1.0,2.65,-0.43,-0.43,49.7,3.1541805580807223,-4.237362609586124,34.45601274543626,43.636906628406535,30.65860946129301
CH,2025-08-23,79.1,-1.6,6.58,"Frazier, Adam",656716,608379,single,hit_into_play,,,,,8.0,Zach McKinstry singles on a line drive to right fielder Adam Frazier.,R,L,R,DET,KC,X,9,line_drive,2,2,2025,-1.2,0.23,-0.02,1.69,,,,1,5,Bot,178.88,120.66,,,,,5.716156800224883,-115.04215707054244,-4.29271248496952,-11.727873953634672,21.28442287153132,-29.52604689519331,3.33,1.55,182.0,100.1,11.0,79.3,1579.0,6.5,776625,521692,686469,663697,672580,677951,545341,664728,624428,54.02,0.897,0.853,0.9,1.0,1,0,4.0,35,5,Changeup,2,1,2,1,1,2,2,1,Infield shade,Standard,248.0,0.023,0.442,69.7,7.5,1.065,-0.442,100.1,1,1,0.692,0.692,33,30,34,30,2,1,5.0,1.0,8.0,1.0,3.42,1.2,-1.2,55.9,19.499607307310505,-3.0200621910359127,43.015840464771806,35.87364147088837,33.37047627550153
FC,2025-08-23,86.5,-1.69,6.29,"Frazier, Adam",650402,608379,single,hit_into_play,,,,,2.0,Gleyber Torres singles on a fly ball to right fielder Adam Frazier.,R,R,R,DET,KC,X,9,fly_ball,1,0,2025,0.16,0.64,0.01,3.3,,,,0,4,Bot,188.52,141.09,,,,,3.7898828053983182,-126.08896936819642,-2.357386798640874,1.051930721669308,20.97647081497988,-25.058475578369958,3.2,1.47,201.0,67.5,34.0,87.9,2015.0,6.7,776625,521692,686469,663697,672580,677951,545341,664728,624428,53.81,0.874,0.817,0.9,1.0,1,0,4.0,26,2,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,193.0,0.043,0.397,60.4,6.4,0.949,-0.397,88.0,0,0,0.559,0.559,33,28,34,29,2,1,5.0,1.0,8.0,2.0,2.35,-0.16,-0.16,47.3,0.927240020491324,22.39192445099449,28.20237207789333,34.8355924298977,21.669798330697915
FC,2025-08-23,88.8,-1.71,6.31,"Frazier, Adam",682985,608379,single,hit_into_play,,,,,5.0,Riley Greene singles on a line drive to right fielder Adam Frazier.,R,L,R,DET,KC,X,9,line_drive,3,2,2025,0.07,0.78,0.03,2.38,,,,1,2,Bot,168.79,101.11,,,,,4.170772111915213,-129.3776091685576,-5.319084042433499,-0.0039250563079094,23.969712767489455,-22.52995750841881,3.6,1.68,237.0,80.0,21.0,90.2,2039.0,6.8,776625,521692,686469,663697,672580,677951,545341,664728,624428,53.67,0.869,0.785,0.9,1.0,1,0,4.0,12,6,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,194.0,0.026,0.338,73.5,7.6,0.944,-0.338,88.0,0,0,0.527,0.527,33,24,34,25,1,0,5.0,1.0,8.0,1.0,2.08,-0.07,0.07,47.0,12.610556633409928,3.138149362416339,47.072766128736255,30.84918162731413,30.633504241014208
ST,2025-08-01,84.2,-1.57,5.66,"Frazier, Adam",665489,641672,field_out,hit_into_play,,,,,8.0,Vladimir Guerrero Jr. flies out to right fielder Adam Frazier.,R,R,R,TOR,KC,X,9,fly_ball,1,2,2025,0.23,1.0,-0.07,2.12,,694388.0,,0,9,Bot,147.48,97.12,,,,,3.027172547377413,-122.58592037818843,-3.7607454585076656,1.6757390943488764,26.8571794760498,-21.540802737691426,3.66,1.58,260.0,89.1,44.0,83.9,2435.0,6.3,776920,521692,686469,663697,679845,672580,670231,686475,624428,54.17,0.003,0.003,0.0,1.0,0,0,3.0,71,4,Sweeper,1,9,1,9,9,1,1,9,Standard,Standard,86.0,-0.001,-0.191,75.1,7.7,0.003,0.191,89.1,-8,-8,0.002,0.002,30,26,31,26,1,3,,2.0,5.0,1.0,2.24,-0.23,-0.23,41.7,2.108062097540869,-13.645403111928363,32.22674567860644,34.68720158002431,38.27328104945148
SV,2025-07-29,78.7,-1.55,5.43,"Frazier, Adam",660670,607625,field_out,hit_into_play,,,,,8.0,Ronald Acuña Jr. flies out sharply to right fielder Adam Frazier.,R,R,R,KC,ATL,X,9,fly_ball,0,0,2025,1.6,-0.56,0.0,2.17,,,,1,6,Top,186.4,71.32,,,,,0.3937242301935061,-114.66182613305934,0.7803455394324081,13.976995995586352,22.44107237911423,-37.429389172640384,3.61,1.65,349.0,100.3,43.0,77.7,3144.0,5.6,776955,666023,686469,663697,672580,677951,670231,664728,624428,54.88,0.06,0.118,0.0,1.0,0,0,3.0,43,1,Slurve,4,0,0,4,0,4,0,4,Strategic,Standard,49.0,0.01,-0.255,81.3,7.4,0.229,0.255,100.3,4,-4,0.941,0.059,35,27,36,28,3,2,6.0,1.0,5.0,17.0,4.24,-1.6,-1.6,33.1,10.495342473688408,2.014748701249632,40.840021106423016,34.71814760665649,34.842592634371535
CH,2025-07-29,86.0,-1.25,5.63,"Frazier, Adam",595777,607625,double,hit_into_play,,,,,7.0,Jurickson Profar doubles (7) on a sharp line drive to right fielder Adam Frazier.,R,L,R,KC,ATL,X,9,line_drive,0,1,2025,-0.59,0.6,-0.58,2.05,,,,1,3,Top,165.22,46.95,,,,,2.767981448996551,-125.4083570583557,-3.541095107936828,-6.815751552216875,21.74464783552926,-25.340354981911894,3.36,1.58,387.0,101.8,19.0,85.8,1416.0,5.7,776955,666023,686469,663697,672580,677951,670231,664728,624428,54.81,0.429,0.543,1.25,1.0,1,1,5.0,22,2,Changeup,4,0,0,4,0,4,0,4,Standard,Standard,227.0,-0.028,0.681,76.3,7.9,0.878,-0.681,101.8,4,-4,0.885,0.115,35,32,36,32,2,1,6.0,1.0,5.0,1.0,2.43,0.59,-0.59,31.5,9.82527902275922,-5.3441556010576825,29.71022580969261,41.67951278994198,32.29766447346924
FF,2025-07-29,90.2,-1.29,5.47,"Frazier, Adam",621566,607625,single,hit_into_play,,,,,5.0,Matt Olson singles on a line drive to right fielder Adam Frazier.,R,L,R,KC,ATL,X,9,line_drive,1,0,2025,-0.81,1.11,-0.19,2.61,,,,1,1,Top,171.52,122.75,,,,,4.441238744411713,-131.3784043713229,-3.5231083212535164,-10.357742631772291,25.76698959662844,-18.747465593328144,3.58,1.62,171.0,99.9,11.0,89.8,2303.0,5.8,776955,666023,686469,663697,672580,677951,670231,664728,624428,54.67,0.897,0.853,0.9,1.0,1,0,4.0,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,220.0,-0.025,0.376,77.8,8.0,1.065,-0.376,99.9,0,0,0.522,0.478,35,31,36,31,1,0,6.0,1.0,5.0,1.0,1.67,0.81,-0.81,32.1,17.96890100350648,-10.664984724904969,29.51490154679415,41.62904474107518,37.15487134502941
