pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-28,92.8,-3.19,5.58,"Frelick, Sal",663647,642547,field_out,hit_into_play,,,,,9.0,Ke'Bryan Hayes lines out to right fielder Sal Frelick.,R,R,R,MIL,CIN,X,9,line_drive,2,2,2025,-0.09,1.42,0.36,1.94,,668715.0,,0,2,Top,178.06,95.44,,,,,9.395136346365758,-134.75879708233498,-6.6797440411348505,-3.1062662122553943,28.793775257529703,-13.599853280545103,3.28,1.54,288.0,87.5,23.0,93.9,2412.0,7.0,776144,643376,641343,668930,702332,655316,686555,694192,686217,53.51,0.214,0.205,0.0,1.0,0,0,3.0,12,5,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,191.0,0.039,-0.235,73.2,6.8,0.29,0.235,88.0,-1,1,0.335,0.665,29,28,29,28,1,0,6.0,1.0,6.0,2.0,1.24,0.09,0.09,49.5,1.3063288159239257,6.230254478803813,27.059978006511777,39.79318909369462,32.9117810583002
SI,2025-09-28,95.5,1.94,6.02,"Frelick, Sal",669720,657649,field_out,hit_into_play,,,,,5.0,Austin Hays flies out to right fielder Sal Frelick.,R,R,L,MIL,CIN,X,9,fly_ball,3,1,2025,1.21,0.97,-0.11,2.64,,,,2,8,Top,183.2,98.35,,,,,-8.133294825508884,-138.70375003769524,-5.432771349685651,17.49592413554541,33.54360741277828,-18.55455055269089,3.33,1.49,286.0,94.8,47.0,95.3,2342.0,6.5,776144,643376,683734,668930,702332,687401,694192,663368,686217,54.02,0.003,0.005,0.0,1.0,0,0,3.0,67,5,Sinker,4,2,2,4,2,4,2,4,Strategic,Standard,150.0,0.013,-0.414,72.8,6.5,0.011,0.414,94.8,2,-2,0.929,0.071,31,29,31,30,1,0,4.0,8.0,6.0,2.0,1.55,1.21,-1.21,39.1,7.416502577977795,1.48032804339815,28.8443061286465,34.38820020354234,30.8550471780832
FF,2025-09-28,93.2,-3.31,5.54,"Frelick, Sal",666158,642547,single,hit_into_play,,,,,3.0,Gavin Lux singles on a line drive to right fielder Sal Frelick.,R,L,R,MIL,CIN,X,9,line_drive,0,0,2025,-0.3,1.54,0.57,2.92,,,,2,1,Top,168.79,129.92,,,,,10.690760733389858,-135.28000069095776,-4.36906553258778,-6.049361247792807,29.56452868933917,-12.433720237676168,3.23,1.57,166.0,65.7,19.0,93.6,2502.0,6.7,776144,643376,641343,668930,702332,655316,686555,694192,686217,53.83,0.543,0.489,0.9,1.0,1,0,4.0,3,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,197.0,-0.012,0.328,73.8,7.0,0.583,-0.328,88.0,0,0,0.537,0.463,29,27,29,28,1,0,6.0,2.0,6.0,2.0,1.1,0.3,-0.3,45.2,8.256851068841014,-0.8915715590862999,34.768264957286206,26.16038551922213,30.861468009682216
FF,2025-09-26,93.6,-0.84,5.78,"Frelick, Sal",663886,668964,field_out,hit_into_play,,,,,5.0,Tyler Stephenson flies out sharply to right fielder Sal Frelick.,R,R,R,MIL,CIN,X,9,fly_ball,3,2,2025,-0.31,1.68,-0.03,2.27,,,,1,9,Top,187.55,80.62,,,,,2.8121942167745786,-136.07135157184842,-7.025124142126467,-4.496269826122486,32.56244570542526,-9.973425547216122,3.33,1.51,329.0,100.1,40.0,94.0,2195.0,6.8,776171,661388,683734,668930,655316,687401,641343,694192,686217,53.7,0.154,0.3,0.0,1.0,0,0,3.0,64,6,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,197.0,0.006,-0.332,73.5,7.5,0.565,0.332,100.1,-2,2,0.078,0.922,26,28,27,29,1,3,3.0,2.0,,1.0,0.95,0.31,0.31,63.7,15.426739753319271,4.442013722008258,41.91813950939755,35.14446820869726,32.97012375187744
FC,2025-09-26,93.2,-1.83,6.07,"Frelick, Sal",609280,682990,field_out,hit_into_play,,,,,8.0,Miguel Andujar flies out to right fielder Sal Frelick.,R,R,R,MIL,CIN,X,9,fly_ball,3,1,2025,-0.01,0.9,-0.04,2.16,,,682622.0,2,1,Top,180.12,95.25,,,,,4.655574136010108,-135.654933896291,-6.341361869875137,-1.117531192062463,27.156240292324,-19.88609536551393,3.41,1.62,290.0,90.7,43.0,93.9,2426.0,6.5,776171,661388,683734,668930,655316,687401,641343,694192,686217,53.99,0.006,0.005,0.0,1.0,0,0,3.0,4,5,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,205.0,0.022,-0.389,74.3,7.6,0.007,0.389,90.7,0,0,0.525,0.475,24,30,25,30,1,0,8.0,1.0,,1.0,1.7,0.01,0.01,49.1,1.5981148519367725,-1.1186306662087142,28.593385548258603,38.9476396331694,27.51943261252149
CH,2025-09-24,87.1,-1.75,5.77,"Frelick, Sal",657757,607200,field_out,hit_into_play,,,,,5.0,Gavin Sheets lines out sharply to right fielder Sal Frelick.,R,L,R,SD,MIL,X,9,line_drive,2,1,2025,-1.14,0.05,-0.25,2.32,,,,0,4,Bot,185.87,103.25,,,,,5.979427452995891,-126.65610371536476,-2.164133023150968,-13.50260541798823,27.715703396176647,-31.41636866245584,3.46,1.67,280.0,105.8,13.0,87.4,1715.0,6.7,776198,643376,683734,668930,702332,655316,641343,694192,686217,53.83,0.897,0.905,0.0,1.0,0,0,5.0,31,4,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,224.0,-0.027,-0.306,77.4,8.0,1.211,0.306,105.8,0,0,0.559,0.559,32,29,32,29,1,1,3.0,1.0,,2.0,2.98,1.14,-1.14,29.8,8.556485257845893,-5.737425180515542,27.685346058337547,39.32670432921656,39.29514373306983
SL,2025-09-24,86.6,-1.64,5.95,"Frelick, Sal",656811,682842,field_out,hit_into_play,,,,,2.0,Ryan O'Hearn flies out to right fielder Sal Frelick.,R,L,R,SD,MIL,X,9,fly_ball,0,2,2025,0.55,0.63,0.16,3.19,,,,0,9,Bot,181.36,108.53,,,,,3.163095698114898,-126.13622588278749,-1.7203090111850323,5.258384981047954,25.22144574703424,-25.265623291818493,3.43,1.62,263.0,98.1,50.0,87.0,2406.0,6.4,776198,643376,683734,668930,702332,687401,694192,663368,686217,54.07,0.001,0.0,0.0,1.0,0,0,3.0,71,3,Slider,1,3,1,3,3,1,1,3,Strategic,Standard,86.0,-0.044,-0.165,69.4,7.5,0.001,0.165,98.1,-2,-2,0.087,0.087,25,31,25,32,1,3,2.0,1.0,4.0,2.0,2.4,-0.55,0.55,35.9,21.03192318027391,-12.594719357901456,28.34037830606917,37.718158654703856,34.551239856243384
SI,2025-09-23,90.1,1.1,5.95,"Frelick, Sal",666023,669145,field_out,hit_into_play,,,,,8.0,Freddy Fermin flies out to right fielder Sal Frelick.,R,R,L,SD,MIL,X,9,fly_ball,0,0,2025,1.3,0.68,-0.08,1.38,,,,0,2,Bot,179.25,136.11,,,,,-5.675844893007398,-130.98786396698733,-6.787181694535923,16.149280929797975,29.03912884023817,-23.06599501288953,3.27,1.49,206.0,77.5,56.0,89.6,2439.0,6.1,776214,661388,641343,668930,702332,687401,694192,663368,686217,54.35,0.046,0.044,0.0,1.0,0,0,3.0,16,1,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,139.0,-0.008,-0.259,71.1,8.1,0.06,0.259,88.0,4,4,0.886,0.886,30,30,30,30,1,0,,1.0,,1.0,2.14,1.3,-1.3,41.3,4.771228369212376,-12.744973144389974,45.85888417009361,38.2841176116092,33.99120806531918
SL,2025-09-22,87.6,-1.84,6.09,"Frelick, Sal",592518,683232,field_out,hit_into_play,,,,,5.0,Manny Machado flies out to right fielder Sal Frelick.,R,R,R,SD,MIL,X,9,fly_ball,0,1,2025,0.0,0.25,0.01,2.86,657656.0,,650333.0,2,7,Bot,206.33,118.89,,,,,4.504578702137874,-127.48202509090704,-2.185844199020764,-0.9717589734518696,26.462402115322043,-29.236202428642585,3.66,1.66,280.0,89.5,40.0,88.0,2397.0,6.5,776222,661388,683734,668930,702332,687401,686555,694192,686217,53.96,0.006,0.006,0.0,1.0,0,0,3.0,60,2,Slider,3,3,3,3,3,3,3,3,Standard,Standard,136.0,-0.087,-0.237,71.8,7.6,0.014,0.237,89.5,0,0,0.587,0.587,28,32,29,33,1,3,5.0,1.0,2.0,2.0,2.72,0.0,0.0,49.6,-1.1343649124846589,7.84910970572301,25.57669081765744,41.82528418005293,25.4884361559826
FF,2025-09-22,95.3,-1.57,6.16,"Frelick, Sal",650333,683232,single,hit_into_play,,,,,12.0,Luis Arraez singles on a line drive to right fielder Sal Frelick. Jose Iglesias scores. Ramón Laureano to 3rd.,R,L,R,SD,MIL,X,9,line_drive,1,0,2025,-0.47,1.44,0.01,3.52,,578428.0,657656.0,2,7,Bot,147.46,84.96,,,,,5.24542779680054,-138.74590016511274,-4.576039016390552,-7.173518032548155,30.62093225656856,-12.795112417683114,3.22,1.52,204.0,94.6,12.0,96.2,2159.0,6.7,776222,661388,683734,668930,702332,687401,686555,694192,686217,53.77,0.897,0.843,0.9,1.0,1,0,4.0,59,2,4-Seam Fastball,2,3,2,3,3,3,3,3,Standard,Standard,204.0,0.245,0.518,,,1.04,-0.518,94.6,-1,-1,0.342,0.342,28,28,29,28,1,3,5.0,1.0,2.0,1.0,1.07,0.47,-0.47,58.7,,,,,
