pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-09-23,80.4,2.61,6.25,"García, Adolis",680777,571578,single,hit_into_play,,,,,12.0,Ryan Jeffers singles on a line drive to right fielder Adolis García. Byron Buxton scores. Austin Martin to 3rd.,R,R,L,TEX,MIN,X,9,line_drive,1,1,2025,1.08,1.03,1.13,3.08,621439.0,668885.0,,1,3,Top,186.03,107.87,,,,,-5.402111073235797,-117.00379663583696,-2.293165304642584,10.922983324191922,22.75050161697441,-22.49556143507802,3.34,1.59,209.0,92.5,13.0,81.1,1721.0,6.9,776210,543309,669394,683227,673962,677649,696030,694671,666969,53.64,0.94,0.905,0.9,1.0,1,0,4.0,20,3,Changeup,1,1,1,1,2,1,2,1,Infield shade,Standard,134.0,-0.082,0.521,69.8,6.8,1.106,-0.521,92.5,0,0,0.402,0.598,35,28,36,28,2,1,4.0,19.0,5.0,1.0,2.5,1.08,-1.08,40.9,7.978180090331199,20.169139546018616,16.278827212704993,49.80767161142734,19.31353485570149
FC,2025-09-23,89.7,2.97,6.09,"García, Adolis",665019,571578,double,hit_into_play,,,,,9.0,Kody Clemens doubles (12) on a line drive to right fielder Adolis García.,R,L,L,TEX,MIN,X,9,line_drive,3,2,2025,0.25,0.73,0.3,1.92,,,,0,3,Top,213.87,109.0,,,,,-7.189840665250514,-130.35195808918365,-5.896275665014377,4.444565170211603,27.99336196156195,-22.7839900334753,3.59,1.8,153.0,109.3,8.0,90.2,2357.0,6.7,776210,543309,669394,683227,673962,677649,696030,694671,666969,53.79,0.714,0.693,1.25,1.0,1,1,4.0,16,6,Cutter,1,0,0,1,0,1,0,1,Infield shade,Standard,132.0,-0.071,0.631,75.4,7.7,0.886,-0.631,109.3,1,-1,0.617,0.383,35,29,36,29,1,0,4.0,2.0,5.0,1.0,2.12,0.25,0.25,33.6,14.695267206252462,-10.194868141520356,33.5169308820731,33.5442693186691,36.78495349211549
FC,2025-09-23,88.5,2.92,5.94,"García, Adolis",668904,571578,field_out,hit_into_play,,,,,5.0,Royce Lewis flies out to right fielder Adolis García.,R,R,L,TEX,MIN,X,9,fly_ball,1,1,2025,-0.05,0.68,-0.11,2.99,,,807712.0,0,2,Top,155.06,82.13,,,,,-7.352095856368797,-128.74607222918172,-2.5660680844858383,0.9721621257000328,26.93396649340064,-24.228783120828066,3.57,1.74,313.0,87.4,35.0,89.3,2413.0,6.8,776210,543309,669394,683227,673962,677649,696030,694671,666969,53.7,0.026,0.041,0.0,1.0,0,0,3.0,9,3,Cutter,1,0,0,1,0,1,0,1,Standard,Standard,148.0,0.037,-0.234,67.9,7.0,0.064,0.234,88.0,1,-1,0.568,0.432,35,26,36,26,1,0,4.0,2.0,5.0,1.0,2.23,-0.05,0.05,28.7,2.8469707873353784,8.105630892757066,25.46411606655316,31.08249076998566,18.87257757013317
FF,2025-09-19,92.8,-1.73,5.47,"García, Adolis",688363,641816,double,hit_into_play,,,,,1.0,Graham Pauley doubles (9) on a fly ball to right fielder Adolis García. Connor Norby to 3rd.,R,L,R,TEX,MIA,X,9,fly_ball,2,2,2025,-1.06,1.44,-0.47,3.34,,,681393.0,0,5,Top,182.64,56.75,,,,,5.570544072384466,-134.97819171332088,-2.7253129980059656,-14.157725652671678,33.78444059365605,-14.25980458392995,3.53,1.61,377.0,98.3,25.0,92.5,2312.0,6.5,776251,641680,669394,683227,673962,669701,696030,680737,666969,54.0,0.397,0.59,1.25,1.0,1,1,5.0,31,5,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,220.0,-0.153,0.772,67.4,6.2,1.024,-0.772,98.3,1,-1,0.592,0.408,30,24,31,25,2,1,101.0,1.0,6.0,2.0,1.24,1.06,-1.06,39.9,-1.2348964013730133,-9.526785974436152,19.323283673160024,37.05342810083873,34.62430577519972
FF,2025-09-19,92.4,-1.68,5.48,"García, Adolis",687859,641816,field_out,hit_into_play,,,,,2.0,Troy Johnston flies out to right fielder Adolis García.,R,L,R,TEX,MIA,X,9,fly_ball,0,2,2025,-1.19,1.37,0.19,3.09,,,689414.0,2,4,Top,170.36,71.59,,,,,7.399808053898141,-134.37303312503664,-3.250100068846984,-16.082099811529996,31.039033510717708,-15.059417093039496,3.49,1.63,334.0,91.4,36.0,92.6,2285.0,6.6,776251,641680,669394,683227,673962,669701,696030,680737,666969,53.91,0.037,0.063,0.0,1.0,0,0,3.0,26,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,221.0,0.029,-0.174,70.8,6.6,0.114,0.174,91.4,1,-1,0.661,0.339,30,28,31,28,2,1,101.0,1.0,6.0,1.0,1.31,1.19,-1.19,40.2,16.164220974545355,-13.98005275177618,23.879612933647326,34.325608414463275,37.49627912579604
FC,2025-09-19,91.1,-1.17,5.1,"García, Adolis",667472,664208,field_out,hit_into_play,,,,,6.0,Dane Myers flies out to right fielder Adolis García.,R,R,R,TEX,MIA,X,9,fly_ball,2,2,2025,-0.07,1.06,0.39,2.56,,,669364.0,1,8,Top,205.31,124.24,,,,,4.1710327197518415,-132.69531134161755,-2.806165051432961,-1.729452694421698,28.69229042462756,-19.261303758617498,3.54,1.62,272.0,98.5,50.0,93.2,2586.0,7.5,776251,641680,669394,683227,673962,669701,696030,680737,666969,53.02,0.001,0.0,0.0,1.0,0,0,3.0,57,8,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,203.0,0.057,-0.222,73.8,7.4,0.001,0.222,98.5,0,0,0.497,0.503,32,29,32,29,1,1,2.0,1.0,2.0,2.0,1.68,0.07,0.07,27.4,8.502805359856143,5.427555453493898,29.140590610103885,39.42464803443975,27.32459804855629
FF,2025-09-19,94.5,3.66,5.6,"García, Adolis",805300,676395,single,hit_into_play,,,,,9.0,Jakob Marsee singles on a line drive to right fielder Adolis García. Eric Wagaman to 2nd.,R,L,L,TEX,MIA,X,9,line_drive,1,2,2025,0.83,1.15,0.32,2.08,,,676572.0,1,7,Top,182.99,114.1,,,,,-10.581493833773203,-137.1359999560052,-6.026913115284668,12.899976226854676,31.63871565784588,-16.42027107472513,3.39,1.57,244.0,106.4,11.0,94.6,2147.0,6.6,776251,641680,669394,683227,673962,669701,696030,680737,666969,53.88,0.943,0.936,0.9,1.0,1,0,4.0,50,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,124.0,-0.057,0.484,77.0,7.1,1.227,-0.484,106.4,0,0,0.496,0.504,29,24,29,24,1,3,2.0,1.0,2.0,1.0,1.42,0.83,0.83,24.3,12.973781783462089,-6.231894212255179,36.49573820136517,33.4476609994651,34.07767582933879
FF,2025-09-19,94.9,1.78,5.94,"García, Adolis",689414,656641,single,hit_into_play,,,,,1.0,Liam Hicks singles on a sharp line drive to right fielder Adolis García.,R,L,L,TEX,MIA,X,9,line_drive,2,0,2025,0.67,1.53,-0.46,2.82,,,,1,6,Top,171.72,89.97,,,,,-7.387549822840433,-137.84333866685785,-5.847545536187531,10.32647279309962,34.76747689772251,-11.619478406684545,3.31,1.58,217.0,101.1,11.0,94.6,2419.0,6.6,776251,641680,669394,683227,673962,669701,696030,680737,666969,53.95,0.911,0.89,0.9,1.0,1,0,4.0,39,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,146.0,-0.041,0.305,69.8,6.5,1.147,-0.305,101.1,1,-1,0.703,0.297,29,26,29,26,1,2,5.0,1.0,2.0,1.0,1.04,0.67,0.67,46.9,7.270359073009573,-9.197157784295722,26.44476941556742,39.32630909327635,34.32967007593237
SI,2025-09-19,88.3,4.16,4.32,"García, Adolis",669364,571948,single,hit_into_play,,,,,5.0,Xavier Edwards singles on a line drive to right fielder Adolis García. Otto Lopez scores. Joey Wiemer to 3rd. Xavier Edwards to 2nd.,R,R,L,TEX,MIA,X,9,line_drive,0,1,2025,1.57,0.12,0.03,2.39,,672640.0,686894.0,1,10,Top,166.55,98.16,,,,,-13.328769609084546,-127.93551944345946,1.1944676080269565,19.96920434259524,26.14809792163164,-31.35367693114418,3.23,1.47,236.0,86.8,16.0,88.4,2015.0,6.6,776251,641680,669394,664238,673962,677649,683227,680737,666969,53.95,0.986,0.913,0.9,1.0,1,0,4.0,71,2,Sinker,1,2,2,1,3,1,3,1,Standard,Standard,105.0,-0.2,0.512,66.4,6.0,1.1,-0.512,88.0,-1,1,0.319,0.681,34,25,34,26,1,1,5.0,7.0,1.0,1.0,2.82,1.57,-1.57,-3.4,-4.435808465008908,13.405951247338104,34.215937449363814,32.58950512758148,25.16456152374356
FC,2025-09-19,88.8,2.69,6.0,"García, Adolis",805300,571578,double,hit_into_play,,,,,8.0,Jakob Marsee doubles (17) on a line drive to right fielder Adolis García. Agustín Ramírez scores.,R,L,L,TEX,MIA,X,9,line_drive,3,2,2025,-0.07,0.68,-0.13,1.51,,682663.0,,0,12,Top,215.16,103.51,,,,,-6.8269282983958925,-129.1327917041495,-6.393762283452077,0.623017128630941,27.342822230995832,-23.4557742682282,3.39,1.57,237.0,99.6,13.0,89.4,2351.0,6.8,776251,543309,669394,664238,673962,677649,683227,680737,666969,53.74,0.917,0.886,1.25,1.0,1,1,4.0,84,6,Cutter,3,3,3,3,4,3,4,3,Standard,Standard,135.0,-0.225,0.666,67.6,7.7,1.13,-0.666,99.6,0,0,0.5,0.5,35,24,36,24,1,5,6.0,1.0,4.0,1.0,2.22,-0.07,-0.07,34.3,17.06569881956372,-11.436532970849758,34.5175236466401,36.91782426040077,41.54598410161625
