pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-09-28,93.6,-1.61,5.07,"Gilbert, Drew",691720,657277,single,hit_into_play,,,,,5.0,Kyle Karros singles on a line drive to right fielder Drew Gilbert.,R,R,R,SF,COL,X,9,line_drive,1,1,2025,-1.3,-0.02,-0.06,2.8,,,,2,5,Top,202.97,113.13,,,,,6.931537176084672,-136.10733476216612,-0.0092253509124662,-17.673992126070218,32.60157003758074,-32.71070656504339,3.64,1.71,258.0,88.4,22.0,94.1,2102.0,6.8,776137,672275,805811,683766,656305,642715,671218,808982,687551,53.67,0.294,0.303,0.9,1.0,1,0,3.0,33,3,Sinker,2,0,0,2,0,2,0,2,Strategic,Standard,245.0,-0.016,0.344,68.5,6.4,0.441,-0.344,88.4,2,-2,0.808,0.192,28,22,29,23,2,1,5.0,1.0,,,2.65,1.3,1.3,22.5,-11.331942287241512,7.531720596547611,35.25643427290476,36.75763661673915,18.361753073651467
ST,2025-09-28,84.4,-1.76,4.91,"Gilbert, Drew",688760,657277,field_out,hit_into_play,,,,,5.0,Blaine Crim flies out to right fielder Drew Gilbert.,R,R,R,SF,COL,X,9,fly_ball,0,1,2025,1.44,0.07,-0.21,2.62,,,,1,4,Top,187.2,127.84,,,,,0.76848541457662,-122.93306076705262,0.8954217773937623,14.416871429610357,24.623457256171204,-31.83638136640852,3.6,1.72,234.0,88.8,55.0,84.7,2582.0,6.5,776137,672275,805811,683766,656305,642715,671218,808982,687551,54.03,0.017,0.024,0.0,1.0,0,0,3.0,23,2,Sweeper,1,0,0,1,0,1,0,1,Strategic,Standard,51.0,0.02,-0.216,74.3,7.0,0.035,0.216,88.8,1,-1,0.657,0.343,28,28,29,28,2,1,5.0,1.0,,,3.12,-1.44,-1.44,16.9,10.128755474414907,-3.0498715633336864,30.76792215811949,36.6938131866792,33.337948881582165
ST,2025-09-28,82.4,-2.36,6.04,"Gilbert, Drew",692585,663941,field_out,hit_into_play,,,,,1.0,Yanquiel Fernández flies out sharply to right fielder Drew Gilbert.,R,L,R,SF,COL,X,9,fly_ball,1,0,2025,1.5,-0.34,-0.32,3.32,,,686668.0,1,7,Top,169.47,51.05,,,,,1.7425295487195034,-120.02762172835205,1.0099281912371665,14.122888241082864,23.406374734760597,-35.882884063412504,3.67,1.72,380.0,104.4,37.0,83.2,2922.0,6.8,776137,672275,805811,669477,656305,683766,671218,808982,687551,53.69,0.537,1.062,0.0,1.0,0,0,6.0,47,2,Sweeper,2,0,0,2,0,2,0,2,Standard,Standard,63.0,0.042,-0.29,72.3,7.6,2.077,0.29,104.4,2,-2,0.818,0.182,29,22,29,22,1,2,1.0,1.0,,,3.69,-1.5,1.5,41.9,14.68237729962794,-7.848686527707027,23.488093441979256,39.22128864632137,35.39291520498554
FF,2025-09-28,95.7,-1.45,5.75,"Gilbert, Drew",696100,676130,double,hit_into_play,,,,,2.0,"Hunter Goodman doubles (28) on a sharp fly ball to right fielder Drew Gilbert. Hunter Goodman out at 3rd on the throw, right fielder Drew Gilbert to second baseman Christian Koss to third baseman Matt Chapman.",R,R,R,SF,COL,X,9,fly_ball,1,1,2025,-0.18,1.35,0.05,3.02,,,,1,6,Top,187.34,57.91,,,,,4.380681104453342,-139.31325186432989,-4.648008332640706,-3.3700888086044936,30.551231192343728,-13.737325562559493,3.4,1.64,379.0,102.3,29.0,95.9,2427.0,6.3,776137,672275,805811,683766,656305,642715,671218,808982,687551,54.17,0.691,1.308,1.25,1.0,1,1,6.0,40,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Strategic,Strategic,207.0,0.021,0.653,68.2,6.0,2.521,-0.653,102.3,2,-2,0.819,0.181,27,25,27,26,1,2,4.0,1.0,,,1.13,0.18,0.18,44.9,4.72372823719983,8.54949931513281,20.440631221696403,37.51727539086303,27.411516048988368
SI,2025-09-27,96.4,-3.42,4.99,"Gilbert, Drew",686668,676254,double,hit_into_play,,,,,4.0,Brenton Doyle doubles (22) on a line drive to right fielder Drew Gilbert.,R,R,R,SF,COL,X,9,line_drive,1,0,2025,-1.27,0.16,-0.49,2.24,,,,0,9,Top,213.72,116.68,,,,,10.654255969864067,-140.009463971356,-2.0850145006167025,-19.15971107978425,31.21693090699843,-29.80304290050261,3.41,1.67,297.0,92.4,28.0,96.4,2467.0,6.3,776146,668800,646240,669477,656305,642715,687529,808982,687551,54.16,0.097,0.13,1.25,1.0,1,1,3.0,62,2,Sinker,4,3,3,4,3,4,3,4,Standard,Standard,239.0,-0.199,0.675,69.9,6.5,0.215,-0.675,92.4,1,-1,0.842,0.158,29,27,30,27,1,3,1.0,1.0,,1.0,2.3,1.27,1.27,17.1,-0.8439688224184615,18.12669600618014,33.38666966899363,33.93021245765111,15.594671831154166
CU,2025-09-24,80.1,-2.35,6.59,"Gilbert, Drew",680977,664141,double,hit_into_play,,,,,8.0,Brendan Donovan doubles (32) on a fly ball to right fielder Drew Gilbert. Victor Scott II scores.,R,L,R,SF,STL,X,9,fly_ball,0,0,2025,0.98,-0.4,0.26,1.67,,,687363.0,2,3,Top,180.78,83.42,,,,,3.873831568931811,-116.58851974140424,-3.3432763670733348,8.079942203507677,23.43866399418316,-35.379130728455415,3.33,1.59,367.0,96.7,30.0,78.7,2713.0,5.4,776196,668800,805811,683766,669477,642715,671218,808982,687551,55.09,0.274,0.476,1.25,1.0,1,1,5.0,20,1,Curveball,1,0,0,1,1,1,1,1,Standard,Standard,26.0,-0.13,0.918,73.2,7.7,0.881,-0.918,96.7,1,-1,0.647,0.353,31,28,32,28,2,1,4.0,1.0,,,3.97,-0.98,0.98,54.7,16.470275217641838,-8.572997407211853,34.35060950736223,32.54730442322969,34.556797976210646
SL,2025-09-24,84.8,1.28,6.44,"Gilbert, Drew",676475,657424,double,hit_into_play,,,,,8.0,Alec Burleson doubles (26) on a sharp line drive to right fielder Drew Gilbert. Iván Herrera to 3rd.,R,L,L,SF,STL,X,9,line_drive,0,0,2025,-0.55,0.02,-0.13,1.98,,,671056.0,1,8,Top,209.9,58.09,,,,,-2.2010357774562483,-123.4698157455736,-4.162495543662887,-5.20961442447069,23.46431438025597,-31.361729027039985,3.52,1.66,354.0,106.2,17.0,84.8,2337.0,6.1,776196,668800,805811,683766,669477,642715,671218,808982,687551,54.36,0.554,0.685,1.25,1.0,1,1,5.0,63,1,Slider,3,2,2,3,2,3,2,3,Standard,Standard,243.0,-0.208,0.791,71.7,8.2,1.101,-0.791,106.2,1,-1,0.745,0.255,32,26,32,27,1,3,2.0,1.0,,2.0,3.13,-0.55,-0.55,48.1,12.854199850659011,-10.31051055499652,33.25445004628887,33.24066879729037,37.56341871390826
SI,2025-09-23,93.1,-1.62,5.15,"Gilbert, Drew",680977,657277,double,hit_into_play,,,,,8.0,Brendan Donovan doubles (29) on a sharp line drive to right fielder Drew Gilbert.,R,L,R,SF,STL,X,9,line_drive,1,0,2025,-1.47,-0.1,-0.11,2.1,,,,2,2,Top,167.57,41.64,,,,,7.1524476463633935,-135.42384108601294,-1.7976165391850416,-19.668071374400892,31.11787077601281,-33.162423793506946,3.32,1.59,375.0,106.6,18.0,93.4,2099.0,6.6,776211,672275,646240,683766,656305,642715,671218,808982,687551,53.89,0.626,0.789,1.25,1.0,1,1,6.0,13,2,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,237.0,-0.014,0.543,73.6,7.3,1.256,-0.543,106.6,-3,3,0.234,0.766,28,28,29,28,2,1,5.0,3.0,5.0,1.0,2.74,1.47,-1.47,23.1,8.563457251120616,-6.357235620867775,32.32112837855511,37.16688109524724,26.37734230151772
CH,2025-09-23,86.4,-1.85,4.93,"Gilbert, Drew",699625,657277,field_out,hit_into_play,,,,,7.0,Jimmy Crooks lines out to right fielder Drew Gilbert.,R,L,R,SF,STL,X,9,line_drive,1,1,2025,-0.5,-0.37,-0.39,1.91,,,695336.0,2,1,Top,171.45,97.88,,,,,4.559398997981396,-125.8965523987818,-0.2977329742502657,-6.211521667527575,22.2874686358372,-36.2628220821758,3.32,1.56,275.0,92.4,20.0,87.9,1409.0,6.8,776211,672275,646240,683766,656305,642715,671218,808982,687551,53.66,0.343,0.35,0.0,1.0,0,0,4.0,7,3,Changeup,0,3,3,0,3,0,3,0,Standard,Standard,277.0,0.013,-0.257,78.0,7.7,0.509,0.257,92.4,-3,3,0.242,0.758,28,23,29,24,1,0,5.0,2.0,5.0,3.0,3.38,0.5,-0.5,20.6,17.01711997539673,-2.564740702934148,35.97127226298167,38.685655689528446,42.63713382807608
SI,2025-09-23,95.7,-3.28,5.11,"Gilbert, Drew",676475,676254,single,hit_into_play,,,,,2.0,Alec Burleson singles on a sharp line drive to right fielder Drew Gilbert. José Fermín scores.,R,L,R,SF,STL,X,9,line_drive,2,2,2025,-1.18,0.36,-0.19,3.18,665877.0,,,1,9,Top,178.02,115.96,,,,,10.857023542383455,-138.9974478917045,-0.2671038411047253,-17.659206884185753,29.780594197616136,-27.645021066825333,3.52,1.66,144.0,104.8,8.0,96.2,2430.0,6.6,776211,672275,646240,683766,656305,642715,687529,808982,687551,53.94,0.674,0.627,0.9,1.0,1,0,4.0,77,6,Sinker,8,8,8,8,9,8,9,8,Strategic,Standard,226.0,-0.164,0.544,69.8,7.2,0.757,-0.544,104.8,0,0,0.321,0.679,29,26,30,27,1,4,2.0,1.0,3.0,1.0,2.13,1.18,-1.18,19.0,12.97867547788952,-5.1952332739881335,28.132972878331422,31.92175682045053,34.56426266566107
