pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-09-27,83.6,-2.52,5.95,"Jackson, Jeremiah",641857,608372,single,hit_into_play,,,,,7.0,Ryan McMahon singles on a line drive to right fielder Jeremiah Jackson.,R,L,R,NYY,BAL,X,9,line_drive,3,2,2025,0.58,0.18,-0.53,1.78,,,,0,5,Bot,199.18,104.31,,,,,3.428549480840472,-121.6896878116167,-3.5444065296143847,5.114583194666517,23.744373688285798,-29.90309701493165,3.56,1.67,215.0,95.6,15.0,83.5,2514.0,6.2,776162,694212,691723,702616,676059,683002,687637,681297,669236,54.31,0.846,0.813,0.9,1.0,1,0,4.0,36,8,Sweeper,3,0,3,0,0,3,3,0,Standard,Standard,71.0,0.013,0.354,78.3,8.2,1.045,-0.354,95.6,3,3,0.892,0.892,35,30,36,31,2,1,7.0,2.0,,1.0,3.08,-0.58,0.58,39.5,20.025445029525653,-8.952196853503667,40.06207830401003,46.04329546164249,34.48000267131717
FC,2025-09-27,88.4,-2.41,5.97,"Jackson, Jeremiah",502671,608372,field_out,hit_into_play,,,,,5.0,Paul Goldschmidt lines out to right fielder Jeremiah Jackson.,R,R,R,NYY,BAL,X,9,line_drive,0,0,2025,0.11,0.35,0.26,2.34,,,641355.0,2,4,Bot,186.78,88.34,,,,,6.258762218915178,-128.67484626194909,-3.543744779622248,0.0385663783837889,25.14739967734942,-27.70814663995939,3.38,1.55,337.0,101.6,21.0,88.3,2511.0,6.1,776162,694212,691723,702616,676059,683002,687637,681297,669236,54.39,0.566,0.744,0.0,1.0,0,0,5.0,30,1,Cutter,3,0,3,0,0,3,3,0,Standard,Standard,174.0,-0.011,-0.272,73.8,7.6,1.224,0.272,101.6,3,3,0.857,0.857,35,37,36,38,2,1,7.0,1.0,,3.0,2.55,-0.11,-0.11,37.4,7.064186957472154,10.96121765008134,28.46771556910104,49.14576086625104,19.121881597981265
FF,2025-09-27,93.2,-2.39,6.03,"Jackson, Jeremiah",665862,608372,field_out,hit_into_play,,,,,11.0,Jazz Chisholm Jr. lines out to right fielder Jeremiah Jackson.,R,L,R,NYY,BAL,X,9,line_drive,1,2,2025,-0.58,1.36,-0.7,3.81,,,641355.0,1,4,Bot,184.25,110.64,,,,,5.64270372042643,-135.7446411195662,-3.000936752718348,-8.380650160443794,26.773495270749613,-14.788108341419248,3.66,1.72,291.0,104.9,18.0,93.9,2356.0,6.4,776162,694212,691723,702616,676059,683002,687637,681297,669236,54.06,0.554,0.681,0.0,1.0,0,0,5.0,29,4,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,213.0,-0.012,-0.179,74.9,7.7,1.077,0.179,104.9,3,3,0.869,0.869,35,27,36,27,2,1,7.0,1.0,,1.0,1.24,0.58,-0.58,38.3,16.385246649720514,-0.4255952871829814,22.548433936012746,41.65113293469133,31.455055921325915
SI,2025-09-25,91.3,1.99,5.92,"Jackson, Jeremiah",656484,700249,double,hit_into_play,,,,,6.0,"Tristan Gray doubles (5) on a sharp line drive to right fielder Jeremiah Jackson. Richie Palacios scores. Carson Williams out at home on the throw, right fielder Jeremiah Jackson to second baseman Jorge Mateo to catcher Alex Jackson.",R,L,L,BAL,TB,X,9,line_drive,3,2,2025,1.34,1.0,0.55,2.38,,680700.0,700246.0,1,6,Top,219.0,112.0,,,,,-6.512007615763139,-132.79828376013506,-5.134494432255715,17.272074943425505,29.530386771697557,-19.437113866033588,3.4,1.59,268.0,110.6,12.0,91.2,2149.0,6.3,776191,656577,691723,622761,676059,683002,687637,681297,669236,54.18,0.88,0.913,1.25,1.0,1,1,5.0,50,6,Sinker,2,3,3,2,4,2,4,2,Standard,Standard,147.0,-0.074,0.721,75.3,7.2,1.257,-0.721,110.6,-1,1,0.295,0.705,25,29,25,29,3,0,7.0,1.0,,3.0,1.75,1.34,1.34,39.6,9.827122965421651,-14.318992764730798,33.70331107229247,31.120542750146264,37.69317333111872
FF,2025-09-25,92.9,1.61,6.04,"Jackson, Jeremiah",663743,700249,field_out,hit_into_play,,,,,6.0,Nick Fortes flies out to right fielder Jeremiah Jackson.,R,R,L,BAL,TB,X,9,fly_ball,1,1,2025,0.77,1.4,0.38,2.23,,666624.0,,2,3,Top,187.82,118.19,,,,,-4.826848983374931,-135.05070367615696,-7.024432467285086,10.542344622571832,29.914258827879102,-13.6854654473536,3.14,1.5,253.0,84.5,51.0,92.6,2368.0,6.2,776191,656577,691723,622761,676059,683002,687637,681297,669236,54.31,0.006,0.005,0.0,1.0,0,0,3.0,26,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,148.0,0.021,-0.265,73.6,7.5,0.006,0.265,88.0,-3,3,0.203,0.797,25,28,25,29,2,1,7.0,2.0,,2.0,1.25,0.77,-0.77,47.5,1.6683757738839011,-2.998462466849092,26.582904492123184,41.75887724248396,22.284106999851588
FF,2025-09-25,93.0,2.02,5.99,"Jackson, Jeremiah",691406,700249,field_out,hit_into_play,,,,,6.0,Junior Caminero flies out to right fielder Jeremiah Jackson.,R,R,L,BAL,TB,X,9,fly_ball,3,2,2025,0.68,1.41,0.75,2.54,,663968.0,,1,1,Top,169.74,112.77,,,,,-4.728633145065665,-135.25947187696462,-6.175779131902538,9.403879636672958,28.065348758876254,-13.75798511590451,3.55,1.58,241.0,94.8,58.0,93.1,2466.0,6.3,776191,656577,691723,622761,676059,683002,687637,681297,669236,54.22,0.029,0.035,0.0,1.0,0,0,3.0,3,8,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,154.0,0.034,-0.284,84.5,8.9,0.048,0.284,94.8,0,0,0.481,0.519,25,21,25,22,1,0,7.0,1.0,,1.0,1.22,0.68,-0.68,43.9,5.473536401622668,-5.964658674778195,25.362336590340576,43.27235819944546,35.13062490244056
CH,2025-09-25,88.1,-0.61,6.35,"Jackson, Jeremiah",676044,682274,single,hit_into_play,,,,,8.0,Bob Seymour singles on a line drive to right fielder Jeremiah Jackson. Tristan Gray scores.,R,L,R,BAL,TB,X,9,line_drive,1,2,2025,-0.93,1.2,0.05,1.9,,656484.0,,2,6,Top,206.94,117.84,,,,,3.5173480737601173,-128.12714828054436,-7.182920953182689,-10.994188593680114,25.11540408310866,-17.730458646957075,3.46,1.69,220.0,79.8,21.0,87.9,1648.0,6.1,776191,656577,691723,622761,676059,683002,687637,681297,669236,54.44,0.869,0.785,0.9,1.0,1,0,4.0,51,4,Changeup,2,4,4,2,5,2,5,2,Standard,Standard,196.0,-0.081,0.755,71.2,8.2,0.944,-0.755,88.0,-2,2,0.221,0.779,29,26,30,27,1,2,2.0,1.0,2.0,2.0,1.73,0.93,-0.93,58.0,21.52379080836216,-15.40692365340642,40.69317930920448,32.39607577834394,49.30416922441666
CU,2025-09-25,83.3,-1.5,6.13,"Jackson, Jeremiah",663743,670329,single,hit_into_play,,,,,2.0,Nick Fortes singles on a fly ball to right fielder Jeremiah Jackson.,R,R,R,BAL,TB,X,9,fly_ball,1,1,2025,-0.2,-0.68,-0.1,2.77,,,,0,8,Top,167.26,121.89,,,,,3.5775138038775416,-121.37692069756768,0.0333889178387736,-2.7086474307887367,23.610964287611026,-39.11531026770674,3.14,1.5,221.0,70.7,26.0,82.6,2342.0,5.7,776191,656577,691723,622761,676059,683002,687637,681297,669236,54.8,0.974,0.894,0.9,1.0,1,0,4.0,63,3,Curveball,2,5,5,2,5,2,5,2,Standard,Standard,24.0,-0.009,0.447,64.6,6.3,1.043,-0.447,88.0,-3,3,0.065,0.935,31,28,31,29,1,3,4.0,2.0,3.0,2.0,3.95,0.2,0.2,50.8,-6.253068162148033,18.07219196187566,18.677233398968877,37.71304244784789,18.70866007786605
FF,2025-09-20,93.6,-2.55,6.04,"Jackson, Jeremiah",683011,608372,single,hit_into_play,,,,,3.0,Anthony Volpe singles on a line drive to right fielder Jeremiah Jackson.,R,R,R,BAL,NYY,X,9,line_drive,2,2,2025,0.15,0.97,0.6,3.13,,,,2,2,Top,174.68,98.41,,,,,7.780555263455563,-136.17862470940744,-3.919102932911631,0.116309818829746,29.862996340992943,-19.38375344553813,3.43,1.59,189.0,94.0,14.0,93.6,2261.0,6.3,776257,656577,691723,702616,676059,683002,641933,622761,669236,54.23,0.971,0.939,0.9,1.0,1,0,4.0,13,6,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,209.0,-0.007,0.365,73.0,6.7,1.187,-0.365,94.0,-3,3,0.234,0.766,35,24,36,24,1,0,7.0,1.0,7.0,1.0,1.63,-0.15,-0.15,40.0,13.574152448852043,19.960446003614763,21.393296313588294,45.43553342508604,20.556354934044823
FS,2025-09-20,88.9,-2.53,6.1,"Jackson, Jeremiah",641355,608372,single,hit_into_play,,,,,13.0,Cody Bellinger singles on a line drive to right fielder Jeremiah Jackson. Aaron Judge to 3rd.,R,L,R,BAL,NYY,X,9,line_drive,0,2,2025,-1.1,0.2,-0.29,1.45,,,592450.0,2,1,Top,152.04,111.44,,,,,7.7729304190688735,-129.20314481179693,-5.740703422206179,-13.953089318457511,26.97957193805237,-28.868460369602893,3.82,1.8,195.0,68.5,21.0,88.6,1418.0,6.2,776257,656577,691723,702616,676059,683002,641933,622761,669236,54.3,0.834,0.751,0.9,1.0,1,0,4.0,4,5,Split-Finger,0,0,0,0,0,0,0,0,Standard,Strategic,213.0,-0.025,0.444,67.6,8.1,0.861,-0.444,88.0,0,0,0.525,0.475,35,29,36,30,1,0,7.0,1.0,7.0,1.0,2.69,1.1,-1.1,40.2,19.405957547209123,-6.801903649150551,42.36984693293456,31.81772970078765,33.022156549952825
