pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2025-09-28,89.2,-2.48,5.68,"Keirsey Jr., DaShawn",547180,663485,field_out,hit_into_play,,,,,4.0,Bryce Harper lines out to right fielder DaShawn Keirsey Jr.,R,L,R,PHI,MIN,X,9,line_drive,1,0,2025,-1.33,0.51,-0.52,2.27,,,,1,9,Bot,194.81,96.18,,,,,7.531757579576425,-129.61365325539285,-3.364070141540703,-16.62698340891534,28.059204033478157,-25.914821738636387,3.19,1.64,305.0,87.4,25.0,88.0,1713.0,5.7,776141,543877,665019,680837,668904,686797,668885,681546,680577,54.79,0.08,0.072,0.0,1.0,0,0,3.0,65,2,Split-Finger,1,1,1,1,1,1,1,1,Infield shade,Standard,248.0,-0.044,-0.294,74.7,7.7,0.124,0.294,88.0,0,0,0.577,0.577,27,32,28,33,1,3,3.0,1.0,,6.0,2.37,1.33,-1.33,22.3,20.81844051053456,-3.897521385517795,31.557402473210345,44.74367014599819,39.00672530653083
SI,2025-09-27,93.7,2.41,5.91,"Keirsey Jr., DaShawn",805249,681892,field_out,hit_into_play,,,,,5.0,Otto Kemp flies out to right fielder DaShawn Keirsey Jr.,R,R,L,PHI,MIN,X,9,fly_ball,3,2,2025,1.38,0.9,0.17,2.79,,,547180.0,1,9,Bot,205.92,122.84,,,,,-8.9831955937574,-136.11073038992905,-4.309839187824858,19.125148286866978,32.19208176153285,-20.20829528314541,3.47,1.58,273.0,81.3,38.0,94.9,2301.0,7.3,776163,680777,665019,680837,668904,686797,668885,681546,680577,53.24,0.011,0.01,0.0,1.0,0,0,3.0,70,9,Sinker,0,5,0,5,5,0,0,5,Standard,Standard,143.0,-0.005,-0.319,70.1,6.9,0.011,0.319,88.0,-5,-5,0.006,0.006,28,25,29,26,1,0,2.0,3.0,,1.0,1.72,1.38,-1.38,31.3,4.392692464931584,9.450890349495268,34.16634266758808,34.03595491486826,22.0670690764452
SI,2025-09-27,93.1,2.6,5.88,"Keirsey Jr., DaShawn",664761,681892,field_out,hit_into_play,,,,,3.0,Alec Bohm flies out to right fielder DaShawn Keirsey Jr.,R,R,L,PHI,MIN,X,9,fly_ball,2,2,2025,1.48,0.53,0.64,3.32,,,547180.0,0,9,Bot,200.26,119.77,,,,,-8.428778627458495,-135.36572619218134,-1.9702062035263317,20.00743059822864,30.19467227308008,-25.470893518391687,3.58,1.63,269.0,81.2,39.0,94.5,2315.0,7.2,776163,680777,665019,680837,668904,686797,668885,681546,680577,53.29,0.009,0.008,0.0,1.0,0,0,3.0,69,6,Sinker,0,5,0,5,5,0,0,5,Standard,Standard,139.0,-0.009,-0.2,72.2,6.9,0.009,0.2,88.0,-5,-5,0.015,0.015,28,28,29,29,1,3,2.0,1.0,,1.0,2.11,1.48,-1.48,30.1,8.20821932332676,11.603618041536103,20.09527463739451,46.37938299010567,22.297127959938077
FF,2025-09-27,93.3,-0.98,6.11,"Keirsey Jr., DaShawn",664761,701487,single,hit_into_play,,,,,4.0,Alec Bohm singles on a line drive to right fielder DaShawn Keirsey Jr.,R,R,R,PHI,MIN,X,9,line_drive,0,1,2025,-0.79,1.64,-0.48,2.56,,,,0,7,Bot,177.23,99.19,,,,,3.0334460960397704,-135.6856906546453,-6.929595727185689,-10.458893284328816,29.417108787071832,-10.635437570740542,3.58,1.63,231.0,88.3,15.0,93.1,2450.0,6.2,776163,680777,665019,680837,668904,686797,668885,681546,680577,54.34,0.991,0.928,0.9,1.0,1,0,4.0,53,2,4-Seam Fastball,0,5,0,5,5,0,0,5,Infield shade,Standard,211.0,0.019,0.478,71.6,6.9,1.134,-0.478,88.3,-5,-5,0.033,0.033,25,28,26,29,1,2,2.0,1.0,,1.0,0.98,0.79,0.79,46.1,0.6788100244660151,15.34660969916454,36.475431710762,33.53369593002079,17.302432061734454
FF,2025-07-22,100.7,-2.15,5.93,"Keirsey Jr., DaShawn",605141,661395,field_out,hit_into_play,,,,,8.0,Mookie Betts flies out to right fielder DaShawn Keirsey Jr.,R,R,R,LAD,MIN,X,9,fly_ball,2,1,2025,-1.13,0.94,0.01,1.79,,,681546.0,1,9,Bot,195.44,127.5,,,,,8.654543110821754,-146.2529926420011,-8.382360089282743,-18.229815935960733,34.80255793790042,-16.767983005109475,3.28,1.53,217.0,88.7,55.0,100.4,2172.0,6.3,777039,543877,664034,650489,668904,621043,664056,621439,680577,54.22,0.017,0.024,0.0,1.0,0,0,3.0,82,4,4-Seam Fastball,5,10,5,10,10,5,5,10,Standard,Standard,234.0,-0.005,-0.297,73.0,7.6,0.035,0.297,88.7,-5,-5,0.006,0.006,27,32,27,33,1,4,2.0,1.0,3.0,1.0,1.31,1.13,1.13,29.8,12.70395277501726,-8.912039862310124,39.90211205166307,37.67911762473666,36.477912603653664
CU,2025-07-20,75.7,-2.31,4.99,"Keirsey Jr., DaShawn",641857,657746,double,hit_into_play,,,,,9.0,Ryan McMahon doubles (15) on a sharp fly ball to right fielder DaShawn Keirsey Jr.,R,L,R,COL,MIN,X,9,fly_ball,1,2,2025,0.83,-0.76,0.4,1.85,,,,1,7,Bot,171.33,43.26,,,,,4.205802679658179,-110.33818559418202,1.814400923911813,6.227993586517196,17.1905677290891,-38.92360898697401,3.5,1.58,399.0,101.2,26.0,76.6,2708.0,6.6,777072,543877,664034,665019,668904,621043,650489,664056,680577,53.94,0.623,1.072,1.25,1.0,1,1,6.0,56,4,Curveball,1,5,1,5,5,1,1,5,Infield shade,Standard,58.0,0.026,0.717,71.4,7.3,1.975,-0.717,101.2,-4,-4,0.047,0.047,29,30,29,31,3,2,9.0,1.0,6.0,1.0,4.69,-0.83,0.83,33.7,10.667199095279608,-5.606602429672931,41.066313363867614,38.301722560267166,31.99565966693424
FF,2025-07-11,97.5,-2.72,5.43,"Keirsey Jr., DaShawn",457705,686973,field_out,hit_into_play,,,,,9.0,Andrew McCutchen lines out to right fielder DaShawn Keirsey Jr.,R,R,R,MIN,PIT,X,9,line_drive,3,2,2025,-0.69,1.35,0.82,1.99,,,,2,7,Top,188.71,113.03,,,,,11.24097977386349,-141.47763583897893,-6.923682386210193,-11.7804494018023,30.670383779102348,-12.576134378726826,3.47,1.64,265.0,88.3,19.0,98.9,2137.0,7.1,777148,543877,664034,665019,668904,686797,650489,621439,680577,53.37,0.674,0.614,0.0,1.0,0,0,4.0,53,8,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,218.0,0.02,-0.329,77.3,8.0,0.769,0.329,88.3,1,-1,0.774,0.226,27,38,28,39,1,3,2.0,2.0,2.0,1.0,1.05,0.69,0.69,40.3,1.85151774673716,9.02265103896886,32.68687013734991,50.08551589687265,15.627397774921196
FF,2025-07-11,98.2,-2.78,5.58,"Keirsey Jr., DaShawn",502054,686973,single,hit_into_play,,,,,5.0,"Tommy Pham singles on a sharp fly ball to right fielder DaShawn Keirsey Jr. Tommy Pham out at 2nd on the throw, right fielder DaShawn Keirsey Jr. to shortstop Carlos Correa.",R,R,R,MIN,PIT,X,9,fly_ball,0,0,2025,-0.84,1.25,0.24,2.76,,,,1,7,Top,187.65,95.83,,,,,10.25857250619071,-142.50903995205164,-5.060648673915213,-13.805235169962824,33.937378494492776,-14.205065327585984,3.49,1.58,365.0,103.7,24.0,99.5,2073.0,7.2,777148,543877,665019,686797,668904,621043,650489,621439,680577,53.28,0.849,1.513,0.9,1.0,1,0,6.0,52,1,4-Seam Fastball,2,1,1,2,1,2,1,2,Infield shade,Standard,220.0,0.031,0.415,67.4,6.6,2.845,-0.415,103.7,1,-1,0.743,0.257,27,37,28,37,1,3,2.0,2.0,2.0,2.0,1.14,0.84,0.84,39.5,5.279379810071372,8.656896426933129,27.24236061098657,42.22152236042741,21.99797651265739
FS,2025-07-09,99.6,-2.12,6.03,"Keirsey Jr., DaShawn",621020,661395,field_out,hit_into_play,,,,,4.0,Dansby Swanson lines out to right fielder DaShawn Keirsey Jr.,R,R,R,MIN,CHC,X,9,line_drive,1,0,2025,-1.1,-0.02,-0.35,2.87,,,,2,9,Top,173.37,79.99,,,,,7.441996959053642,-144.913819956898,-3.283524012345696,-17.258201225603145,32.15078445227882,-31.90171146574912,3.59,1.65,318.0,97.5,21.0,99.7,1806.0,6.2,777173,680777,664034,686797,668904,621043,650489,664056,680577,54.26,0.346,0.437,0.0,1.0,0,0,5.0,69,2,Split-Finger,4,2,2,4,2,4,2,4,Infield shade,Standard,237.0,0.011,-0.299,68.3,6.5,0.695,0.299,97.5,2,-2,0.989,0.011,27,31,27,31,1,3,4.0,1.0,2.0,1.0,2.31,1.1,1.1,33.4,13.217446738709135,12.736604058947362,35.05142358162076,31.546615577203266,24.519218659236984
FF,2025-05-25,90.0,-1.22,6.03,"Keirsey Jr., DaShawn",671221,641927,double,hit_into_play,,,,,3.0,Drew Waters doubles (6) on a line drive to right fielder DaShawn Keirsey Jr.,R,L,R,MIN,KC,X,9,line_drive,1,2,2025,-0.45,1.48,0.54,3.5,,,,0,7,Top,190.12,131.07,,,,,5.414419054319724,-130.8342381968641,-3.421931430923222,-6.36859819093694,30.995501666685907,-14.75918371837903,3.49,1.63,169.0,87.0,15.0,91.3,2222.0,7.4,777772,680777,664034,686797,681146,621043,650489,664056,680577,53.09,0.98,0.911,1.25,1.0,1,1,4.0,45,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,211.0,-0.119,0.786,73.6,6.2,1.099,-0.786,88.0,1,-1,0.7,0.3,29,26,30,27,3,2,6.0,1.0,6.0,1.0,1.37,0.45,-0.45,37.6,15.003640496084236,-2.802682182300247,33.6668740954482,28.2142180839442,33.41508185361254
