pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
EP,2025-09-19,42.0,-1.01,7.22,"Loperfido, Joey",695506,623168,single,hit_into_play,,,,,11.0,Jac Caglianone singles on a line drive to right fielder Joey Loperfido. Luke Maile scores. Adam Frazier to 3rd.,R,L,R,KC,TOR,X,9,line_drive,0,1,2025,0.0,1.96,-0.22,4.11,571912.0,,624428.0,1,8,Bot,74.97,116.64,,,,,0.8615280424659207,-60.49187747438332,7.066799707861334,-0.0895106355130935,6.359046488524398,-28.36934817646129,3.4,1.62,224.0,98.9,15.0,39.6,1197.0,3.7,776260,672386,664034,643396,680718,665926,676914,664770,694388,56.78,0.734,0.723,0.9,1.0,1,0,4.0,82,2,Eephus,17,1,17,1,1,18,18,1,Infield shade,Strategic,192.0,0.0,0.519,80.0,7.7,0.956,-0.519,98.9,16,16,0.999,0.999,34,22,34,22,2,5,34.0,1.0,,1.0,11.32,0.0,0.0,64.6,21.000598134398864,-19.791725081566764,21.123362906790412,38.49833190881579,41.53390939262631
EP,2025-09-19,42.8,-0.84,7.17,"Loperfido, Joey",695600,623168,field_out,hit_into_play,,,,,11.0,Carter Jensen flies out to right fielder Joey Loperfido.,R,L,R,KC,TOR,X,9,fly_ball,0,1,2025,-0.08,1.87,-0.47,3.45,,,,0,8,Bot,194.46,102.44,,,,,0.4938634335490772,-61.812255022495584,6.042883616577091,-0.248830180416997,6.289901962376647,-28.231534480920285,3.18,1.53,315.0,92.6,41.0,40.6,1180.0,3.8,776260,672386,664034,643396,680718,665926,676914,664770,694388,56.73,0.014,0.022,0.0,1.0,0,0,3.0,76,2,Eephus,14,1,14,1,1,14,14,1,Infield shade,Strategic,189.0,0.0,-0.22,73.0,7.2,0.038,0.22,92.6,13,13,0.999,0.999,34,21,34,22,1,5,34.0,1.0,,1.0,10.79,0.08,-0.08,65.7,11.67168390333416,-11.952970014899714,15.838302521024907,41.2039631066888,44.39812564655318
FF,2025-09-14,91.6,-1.62,5.7,"Loperfido, Joey",687637,669456,field_out,hit_into_play,,,,,3.0,Dylan Beavers flies out to right fielder Joey Loperfido.,R,L,R,TOR,BAL,X,9,fly_ball,2,1,2025,-0.64,1.57,0.58,3.17,,,,2,3,Top,170.26,134.27,,,,,7.010053388185221,-133.13931844621123,-3.908532293761999,-9.19300875074986,29.17837391978454,-12.876967433023973,3.42,1.69,197.0,91.7,59.0,92.1,2380.0,6.7,776322,672386,665489,676391,680718,665926,676914,662139,694388,53.82,0.003,0.003,0.0,1.0,0,0,3.0,18,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,214.0,0.01,-0.298,75.1,7.7,0.003,0.298,91.7,-1,1,0.42,0.58,30,23,30,24,2,1,5.0,1.0,6.0,1.0,1.16,0.64,-0.64,40.6,19.246331305084837,-17.277502521490906,38.295396793532014,28.03690453180509,35.898435726793494
SI,2025-08-03,93.3,-1.38,5.41,"Loperfido, Joey",573262,605135,field_out,hit_into_play,,,,,9.0,Mike Yastrzemski pops out to right fielder Joey Loperfido.,R,L,R,TOR,KC,X,9,popup,3,2,2025,-1.37,0.48,0.81,2.05,,,,1,2,Top,178.5,128.65,,,,,8.65234362151462,-135.68627278504107,-3.98380223926454,-18.74700780811994,27.42129485932028,-25.551114259187862,3.39,1.6,208.0,99.3,60.0,93.9,1993.0,6.5,776893,672386,665489,676391,680718,666182,664702,662139,694388,54.02,0.02,0.02,0.0,1.0,0,0,3.0,9,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,217.0,0.017,-0.332,75.5,7.9,0.03,0.332,99.3,0,0,0.523,0.477,36,34,36,35,1,0,6.0,1.0,6.0,1.0,2.12,1.37,-1.37,33.2,13.560668064849708,-25.23507586013387,34.2707848141635,22.873312084179087,38.21530682647593
CU,2025-08-03,71.0,-1.31,5.67,"Loperfido, Joey",672580,605135,field_out,hit_into_play,,,,,8.0,Maikel Garcia flies out to right fielder Joey Loperfido.,R,R,R,TOR,KC,X,9,fly_ball,0,1,2025,0.98,-1.06,-0.19,1.73,663697.0,,,2,1,Top,153.52,97.87,,,,,0.5651382920235479,-103.22893820349456,1.755204922875816,6.806951313410634,19.53832116027564,-40.26224811521631,3.61,1.7,261.0,85.3,45.0,70.7,2309.0,6.5,776893,672386,665489,676391,680718,666182,664702,662139,694388,54.05,0.006,0.005,0.0,1.0,0,0,3.0,4,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,45.0,0.036,-0.232,76.9,7.5,0.006,0.232,88.0,0,0,0.511,0.489,36,25,36,25,1,0,6.0,1.0,6.0,1.0,5.64,-0.98,-0.98,41.8,1.5514124177043218,-11.406916763673893,34.93137207662151,29.84745402649359,45.00966282941162
FF,2025-08-03,97.9,-1.88,5.44,"Loperfido, Joey",686475,622554,single,hit_into_play,,,,,5.0,Tyler Tolbert singles on a line drive to right fielder Joey Loperfido. Kyle Isbel scores. Jonathan India scores. Bobby Witt Jr. to 3rd.,R,R,R,TOR,KC,X,9,line_drive,2,1,2025,-0.98,1.2,-0.04,2.23,664728.0,663697.0,677951.0,0,10,Top,158.28,89.29,,,,,7.22359141629353,-142.2546862360789,-5.904871292937282,-14.986266968277782,34.55488358235189,-14.722985042783352,3.32,1.51,171.0,94.0,10.0,97.7,2405.0,6.4,776893,672386,665489,676391,680718,666182,664702,662139,694388,54.1,0.677,0.644,0.9,1.0,1,0,4.0,75,4,4-Seam Fastball,2,3,3,2,5,2,5,2,Strategic,Standard,206.0,-0.122,0.406,70.6,6.2,0.788,-0.406,94.0,-1,1,0.163,0.837,30,27,31,27,1,0,1.0,4.0,6.0,9.0,1.2,0.98,0.98,30.6,-2.979220348395599,10.932146474811349,32.62814701883342,32.63317601104496,23.29195847088398
FS,2025-08-03,90.3,-2.94,5.61,"Loperfido, Joey",624428,656546,field_out,hit_into_play,,,,,7.0,Adam Frazier lines out to right fielder Joey Loperfido.,R,L,R,TOR,KC,X,9,line_drive,1,0,2025,-1.27,0.67,-0.58,1.88,,521692.0,,1,9,Top,176.1,87.47,,,,,8.647426414798765,-131.28473700192484,-4.858303935682729,-16.444536304722078,24.443354580729505,-23.61362184596178,3.21,1.47,303.0,89.8,24.0,91.4,1608.0,6.8,776893,672386,665489,676391,680718,666182,664702,662139,694388,53.74,0.131,0.153,0.0,1.0,0,0,3.0,66,2,Split-Finger,2,2,2,2,2,2,2,2,Standard,Standard,245.0,0.092,-0.291,69.7,7.9,0.231,0.291,89.8,0,0,0.438,0.562,32,33,32,34,1,3,1.0,1.0,7.0,1.0,2.1,1.27,-1.27,33.9,22.19351190964193,-6.6915128268520965,39.077525946768034,37.96578640209867,29.894524154170213
SI,2025-08-03,96.8,-2.67,5.75,"Loperfido, Joey",521692,656546,single,hit_into_play,,,,,4.0,Salvador Perez singles on a line drive to right fielder Joey Loperfido.,R,R,R,TOR,KC,X,9,line_drive,0,0,2025,-1.29,1.38,-0.7,2.38,,,,0,9,Top,144.16,103.57,,,,,8.235566051747869,-140.6664057108699,-6.600480979683376,-18.9692104400774,32.75978439748749,-12.52065201784928,3.7,1.71,205.0,68.4,25.0,97.1,2521.0,6.6,776893,672386,665489,676391,680718,666182,664702,662139,694388,53.9,0.98,0.895,0.9,1.0,1,0,4.0,64,1,Sinker,2,2,2,2,2,2,2,2,Infield shade,Standard,224.0,-0.082,0.439,72.3,7.2,1.047,-0.439,88.0,0,0,0.5,0.5,32,35,32,35,1,3,1.0,1.0,7.0,1.0,1.07,1.29,1.29,38.2,0.7470012313921719,4.577520447196221,39.639452101274166,27.28323717762651,22.187111146125083
FF,2025-07-30,90.6,-2.32,5.74,"Loperfido, Joey",681297,621244,field_out,hit_into_play,,,,,4.0,Colton Cowser flies out to right fielder Joey Loperfido.,R,L,R,BAL,TOR,X,9,fly_ball,2,1,2025,-1.01,1.29,-0.39,2.65,,,,1,4,Bot,190.99,113.69,,,,,6.9885119441913774,-131.77254372855575,-4.54498276960086,-13.239832585991016,26.936561389063392,-16.390603006581394,3.4,1.61,265.0,79.9,43.0,90.8,2101.0,6.4,776948,645305,695238,676391,680718,666182,676914,664702,694388,54.14,0.02,0.02,0.0,1.0,0,0,3.0,32,4,4-Seam Fastball,3,2,3,2,2,3,3,2,Infield shade,Standard,227.0,-0.015,-0.299,76.7,7.8,0.028,0.299,88.0,1,1,0.67,0.67,31,25,31,25,2,1,5.0,1.0,6.0,2.0,1.48,1.01,-1.01,38.9,28.41485765776494,-16.65408003541932,38.263683421182805,40.0159399112957,45.64385232714957
SV,2025-07-30,80.4,-2.45,5.71,"Loperfido, Joey",683002,621244,single,hit_into_play,,,,,5.0,Gunnar Henderson singles on a line drive to right fielder Joey Loperfido.,R,L,R,BAL,TOR,X,9,line_drive,0,0,2025,1.25,-0.54,0.2,2.81,,,,2,3,Bot,159.7,101.18,,,,,3.484495158916328,-117.0150188311432,1.2465453792536514,10.864756121113691,21.83333393136228,-37.58028051991607,3.68,1.71,219.0,71.4,22.0,80.1,2373.0,6.1,776948,645305,695238,676391,680718,666182,676914,664702,694388,54.44,0.963,0.867,0.9,1.0,1,0,4.0,25,1,Slurve,3,2,3,2,2,3,3,2,Infield shade,Standard,42.0,0.012,0.328,80.6,7.4,1.009,-0.328,88.0,1,1,0.638,0.638,31,24,31,24,2,1,5.0,1.0,6.0,2.0,4.06,-1.25,1.25,37.2,10.275786325841189,0.4527513542647192,26.565664477066434,29.317653322089345,34.247505355816955
