pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-15,94.7,0.46,6.57,"Nootbaar, Lars",669720,669461,single,hit_into_play,,,,,6.0,Austin Hays singles on a line drive to right fielder Lars Nootbaar.,R,R,L,STL,CIN,X,9,line_drive,3,0,2025,0.6,1.35,0.58,2.38,,,,2,6,Top,158.4,78.71,,,,,-1.0191520425968852,-137.6564600089116,-8.273853490836183,7.857452222949384,31.99826482642764,-13.337657173064578,3.26,1.44,158.0,100.3,7.0,94.7,2102.0,6.5,776312,699625,575929,680977,571448,695336,676475,687363,663457,54.02,0.629,0.593,0.9,1.0,1,0,4.0,38,4,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,154.0,-0.01,0.104,71.2,6.7,0.73,-0.104,100.3,-2,2,0.24,0.76,25,29,26,30,3,2,6.0,1.0,6.0,2.0,1.2,0.6,-0.6,51.7,9.31087018030208,12.78219163770411,32.39567220689363,43.22310613810868,26.56604386701408
CH,2025-09-15,87.5,0.85,6.38,"Nootbaar, Lars",680574,669461,field_out,hit_into_play,,,,,6.0,Matt McLain flies out to right fielder Lars Nootbaar.,R,R,L,STL,CIN,X,9,fly_ball,0,1,2025,0.94,1.02,0.38,2.05,,,,1,5,Top,214.54,91.03,,,,,-3.0672551988888084,-127.39491028736204,-6.465085276826246,10.832781853269642,24.097808043953016,-19.965100810818544,3.07,1.35,343.0,96.4,27.0,87.8,1593.0,6.3,776312,699625,575929,680977,571448,695336,676475,687363,663457,54.24,0.286,0.438,0.0,1.0,0,0,5.0,31,2,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,132.0,0.013,-0.216,66.5,6.3,0.772,0.216,96.4,-2,2,0.256,0.744,25,25,26,26,2,1,6.0,1.0,6.0,1.0,1.93,0.94,-0.94,43.0,3.82019305248576,20.37298181734796,34.80038301750848,41.380177546308765,27.351638730112636
FF,2025-09-15,92.7,0.61,6.55,"Nootbaar, Lars",663647,669461,field_out,hit_into_play,,,,,4.0,Ke'Bryan Hayes flies out to right fielder Lars Nootbaar.,R,R,L,STL,CIN,X,9,fly_ball,0,0,2025,0.64,1.4,-0.28,2.66,,,,0,5,Top,188.05,87.91,,,,,-3.6761581509481,-134.87306367786024,-7.264533813441209,8.561251108995203,27.495267704749068,-13.699721539806182,3.3,1.55,315.0,89.9,33.0,93.3,2132.0,6.5,776312,699625,575929,680977,571448,695336,676475,687363,663457,54.0,0.031,0.046,0.0,1.0,0,0,3.0,30,1,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,151.0,0.017,-0.259,76.5,6.5,0.082,0.259,89.9,-2,2,0.239,0.761,25,28,26,28,2,1,6.0,1.0,6.0,1.0,1.24,0.64,-0.64,48.7,-2.1420555609708964,1.170670449302507,26.565218634792373,32.14725077824681,29.05068043442449
SL,2025-09-15,85.8,0.43,6.54,"Nootbaar, Lars",670770,669461,field_out,hit_into_play,,,,,5.0,TJ Friedl flies out to right fielder Lars Nootbaar.,R,L,L,STL,CIN,X,9,fly_ball,2,2,2025,-0.48,-0.16,-0.21,2.5,,680574.0,,1,3,Top,161.23,125.36,,,,,-0.5429424345626832,-125.06505313059031,-3.053405017843371,-4.966762922302915,23.1364704624043,-33.46165727539964,3.11,1.47,205.0,91.0,58.0,86.3,2839.0,6.3,776312,699625,575929,680977,571448,695336,676475,687363,663457,54.2,0.009,0.009,0.0,1.0,0,0,3.0,17,6,Slider,1,1,1,1,1,1,1,1,Standard,Standard,283.0,0.039,-0.215,68.8,6.7,0.015,0.215,91.0,0,0,0.478,0.522,25,29,26,30,2,1,6.0,1.0,6.0,1.0,3.22,-0.48,-0.48,49.2,10.23915881134698,-8.45966716195696,26.960416672853373,34.04707934539826,43.01269761797223
CU,2025-09-15,78.8,1.78,5.92,"Nootbaar, Lars",682622,667463,field_out,hit_into_play,,,,,6.0,Noelvi Marte lines out to right fielder Lars Nootbaar.,R,R,L,STL,CIN,X,9,line_drive,0,0,2025,-0.56,-0.95,0.47,2.43,,,670770.0,1,7,Top,201.45,86.91,,,,,-1.7872426255909457,-114.82965526629609,0.9679628698543086,-4.627474045415428,21.6055325530702,-40.94372737064175,3.4,1.61,333.0,95.8,24.0,78.0,2874.0,5.7,776312,699625,575929,680977,571448,695336,676475,687363,663457,54.82,0.254,0.352,0.0,1.0,0,0,5.0,52,1,Curveball,4,6,6,4,6,4,6,4,Standard,Standard,323.0,0.019,-0.256,74.6,7.0,0.591,0.256,95.8,-2,2,0.174,0.826,30,23,31,24,1,3,1.0,1.0,7.0,1.0,4.61,-0.56,0.56,38.8,1.1117395349912162,10.568696714759604,33.23876921926793,41.66122452952044,27.631544981087504
SL,2025-09-10,90.8,-1.94,5.29,"Nootbaar, Lars",593871,676617,double,hit_into_play,,,,,6.0,Jorge Polanco doubles (21) on a sharp line drive to right fielder Lars Nootbaar. Josh Naylor scores.,R,L,R,SEA,STL,X,9,line_drive,0,1,2025,0.3,0.43,0.43,2.29,,647304.0,,0,11,Bot,205.75,126.32,,,,,5.331745348509416,-132.26195126409786,-2.594607216558878,2.487293292225644,26.15564666260353,-26.74989289691916,3.33,1.61,208.0,108.8,12.0,92.0,2559.0,6.8,776373,686780,575929,665877,669357,695336,676475,687363,663457,53.71,0.894,0.882,1.25,1.0,1,1,5.0,85,2,Slider,1,2,1,2,2,2,2,2,Standard,Standard,187.0,0.369,0.758,73.8,7.6,1.169,-0.758,108.8,-1,-1,0.438,0.438,30,31,30,32,1,4,3.0,1.0,3.0,1.0,2.31,-0.3,0.3,25.8,16.550610085210984,-15.985119355262698,33.25657730352379,34.82020053958402,33.265646812046256
ST,2025-09-10,88.1,-1.71,5.66,"Nootbaar, Lars",641487,694335,field_out,hit_into_play,,,,,6.0,J.P. Crawford flies out sharply to right fielder Lars Nootbaar.,R,L,R,SEA,STL,X,9,fly_ball,0,1,2025,0.62,0.53,0.7,2.26,,,,2,7,Bot,190.5,104.71,,,,,4.568875317494426,-128.1684450231998,-3.2368779028515133,5.866800057609296,27.542528006511223,-25.912037312253165,3.33,1.56,282.0,102.7,50.0,88.2,2356.0,6.4,776373,686780,575929,665877,669357,695336,676475,701675,663457,54.07,0.02,0.026,0.0,1.0,0,0,3.0,57,2,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,72.0,-0.02,-0.218,76.5,8.0,0.048,0.218,102.7,0,0,0.52,0.52,26,30,26,30,1,2,3.0,1.0,3.0,1.0,2.42,-0.62,0.62,33.4,22.984922167512877,-20.140555486927266,34.58940563187944,30.61108240792013,51.82603613603832
SI,2025-09-10,97.9,-1.5,5.67,"Nootbaar, Lars",668227,676617,single,hit_into_play,,,,,5.0,Randy Arozarena singles on a line drive to right fielder Lars Nootbaar. J.P. Crawford to 3rd.,R,R,R,SEA,STL,X,9,line_drive,1,1,2025,-1.32,0.55,-0.07,2.72,,641487.0,,1,10,Bot,173.42,135.16,,,,,6.967455296740286,-142.40875071802137,-3.787434834527777,-19.554209120699262,31.54877879284381,-23.94833597890979,3.45,1.68,154.0,82.5,11.0,98.8,2428.0,6.7,776373,686780,575929,665877,669357,695336,676475,687363,663457,53.79,0.471,0.427,0.9,1.0,1,0,4.0,77,3,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,226.0,0.118,0.553,70.6,6.7,0.519,-0.553,88.0,0,0,0.699,0.699,30,30,30,30,1,4,3.0,1.0,3.0,1.0,1.82,1.32,1.32,32.5,1.1268439389597698,27.69243617688116,23.472231829827987,32.80239244918843,19.4397043155264
CU,2025-09-09,74.0,0.63,6.67,"Nootbaar, Lars",668227,669461,sac_fly,hit_into_play,,,,,14.0,Randy Arozarena out on a sacrifice fly to right fielder Lars Nootbaar. Mitch Garver scores. Victor Robles to 3rd.,R,R,L,SEA,STL,X,9,fly_ball,0,0,2025,-0.93,-1.61,0.93,2.28,641598.0,645302.0,641487.0,1,4,Bot,186.54,76.77,,,,,2.251449290212004,-107.58018151433076,1.2696241865257667,-7.595239493069458,22.348477761533577,-45.01834993254883,3.47,1.65,337.0,91.2,30.0,73.3,2745.0,6.3,776391,686780,575929,665877,669357,695336,676475,687363,663457,54.2,0.06,0.08,0.0,1.0,0,0,3.0,39,1,Curveball,4,3,4,3,3,5,5,3,Standard,Standard,332.0,0.017,-0.165,,,0.139,0.165,91.2,1,1,0.777,0.777,25,30,26,30,3,2,6.0,1.0,6.0,1.0,5.85,-0.93,0.93,53.4,,,,,
FF,2025-09-09,94.0,0.63,6.6,"Nootbaar, Lars",645302,669461,single,hit_into_play,,,,,4.0,Victor Robles singles on a line drive to right fielder Lars Nootbaar.,R,R,L,SEA,STL,X,9,line_drive,3,1,2025,0.74,1.31,-0.31,2.07,,,,0,3,Bot,205.5,109.45,,,,,-4.089727238479012,-136.64253302776982,-8.936933237824373,10.16839836965671,30.12843886376208,-13.983043516141436,3.13,1.49,273.0,91.3,23.0,94.1,2090.0,6.4,776391,686780,575929,665877,669357,695336,676475,687363,663457,54.08,0.177,0.218,0.9,1.0,1,0,3.0,21,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,156.0,0.044,0.259,67.2,6.5,0.342,-0.259,91.3,-2,-2,0.317,0.317,25,28,26,28,1,0,6.0,1.0,6.0,1.0,1.27,0.74,-0.74,48.3,-3.3723904936318845,8.494562458440427,40.382432019322806,39.030472260200064,12.530437563317095
