pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-09-24,95.1,-1.9,4.98,"Robles, Victor",696100,622491,field_out,hit_into_play,,,,,4.0,Hunter Goodman flies out to right fielder Victor Robles.,R,R,R,SEA,COL,X,9,fly_ball,2,2,2025,-1.56,0.47,-0.43,2.57,,,,0,7,Top,200.29,99.72,,,,,7.222016514073123,-138.39691702016498,-1.732485286141301,-21.60320372273704,30.63111305584212,-25.941686925697677,3.4,1.65,307.0,92.5,26.0,93.8,2122.0,5.5,776194,663728,647304,593871,553993,641487,668227,677594,645302,55.01,0.169,0.221,0.0,1.0,0,0,3.0,50,5,Sinker,7,1,1,7,1,7,1,7,Standard,Standard,241.0,0.005,-0.233,71.0,5.7,0.351,0.233,92.5,6,-6,0.986,0.014,32,25,33,26,3,2,6.0,1.0,11.0,1.0,2.05,1.56,1.56,12.8,-0.2964536403700977,21.853626867462804,24.836076878208967,33.600333876673496,27.640982924264023
FF,2025-09-24,95.4,-2.02,5.18,"Robles, Victor",682653,622491,field_out,hit_into_play,,,,,12.0,Warming Bernabel flies out to right fielder Victor Robles.,R,R,R,SEA,COL,X,9,fly_ball,1,1,2025,-0.99,0.88,0.36,3.33,,,,0,6,Top,177.24,84.18,,,,,8.320112427115928,-138.74362497671973,-1.2029171677763697,-14.593667454757826,30.531425166537694,-20.773908380383396,3.13,1.37,312.0,94.2,39.0,93.9,2245.0,5.4,776194,663728,647304,593871,553993,641487,668227,677594,645302,55.11,0.049,0.078,0.0,1.0,0,0,3.0,43,3,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,239.0,0.006,-0.251,64.3,6.4,0.142,0.251,94.2,6,-6,0.977,0.023,32,23,33,23,2,1,6.0,17.0,11.0,3.0,1.63,0.99,0.99,19.9,1.9756106039415864,0.1251543063309907,26.80407470527628,37.43130113356845,27.60565398830166
FF,2025-09-24,95.2,-2.1,5.07,"Robles, Victor",688760,622491,field_out,hit_into_play,,,,,5.0,Blaine Crim flies out to right fielder Victor Robles.,R,R,R,SEA,COL,X,9,fly_ball,2,2,2025,-1.35,1.04,-0.06,2.72,,,,2,1,Top,151.13,113.1,,,,,8.200191328141972,-138.49626323710964,-2.8526564354167965,-19.14002943264949,28.810759067188936,-18.249680104602252,3.61,1.75,226.0,93.1,53.0,93.8,2333.0,5.3,776194,663728,647304,593871,553993,641487,668227,677594,645302,55.2,0.003,0.003,0.0,1.0,0,0,3.0,3,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,242.0,0.01,-0.224,75.4,7.5,0.004,0.224,93.1,0,0,0.537,0.463,32,28,33,28,1,0,6.0,1.0,11.0,1.0,1.46,1.35,1.35,15.1,11.838904032483727,-4.595070135797508,27.33220645134187,38.9576844727665,29.91485828364274
FF,2025-09-24,93.8,-2.26,5.08,"Robles, Victor",696100,622491,field_out,hit_into_play,,,,,2.0,Hunter Goodman flies out sharply to right fielder Victor Robles.,R,R,R,SEA,COL,X,9,fly_ball,0,1,2025,-1.15,1.08,0.09,3.42,,,,1,1,Top,174.05,71.12,,,,,8.437871755561428,-136.50709101568717,-0.9654095688033668,-16.210844641913194,27.99467860344953,-18.618766266163963,3.4,1.65,338.0,100.4,37.0,92.4,2358.0,5.3,776194,663728,647304,593871,553993,641487,668227,677594,645302,55.19,0.274,0.535,0.0,1.0,0,0,5.0,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,240.0,0.015,-0.216,68.2,6.2,1.049,0.216,100.4,0,0,0.522,0.478,32,25,33,26,1,0,6.0,1.0,11.0,1.0,1.5,1.15,1.15,15.2,3.2239180079291443,9.815513452100856,15.317569430955825,38.517397235138375,30.417341898773696
SL,2025-09-23,84.3,-0.94,5.45,"Robles, Victor",666160,682243,double,hit_into_play,,,,,5.0,Mickey Moniak doubles (19) on a line drive to right fielder Victor Robles.,R,L,R,SEA,COL,X,9,line_drive,3,2,2025,0.47,-0.22,0.17,2.67,,,,0,6,Top,200.68,93.28,,,,,1.637447132984415,-122.8083279140423,0.320927885357479,4.501695894714146,23.34434427404749,-34.66416527635291,3.45,1.64,271.0,110.2,15.0,84.7,2449.0,6.4,776212,663728,647304,593871,553993,641487,668227,677594,645302,54.07,0.674,0.776,1.25,1.0,1,1,6.0,38,8,Slider,1,1,1,1,1,1,1,1,Infield shade,Standard,72.0,-0.094,0.631,77.4,7.5,1.188,-0.631,110.2,0,0,0.5,0.5,26,27,27,27,3,2,6.0,2.0,5.0,1.0,3.41,-0.47,0.47,44.2,18.27881782523839,-7.284595313744242,30.72026890916832,38.23977459310513,33.570409448813805
FS,2025-09-23,85.2,-1.11,5.23,"Robles, Victor",666160,682243,field_out,hit_into_play,,,,,4.0,Mickey Moniak flies out to right fielder Victor Robles.,R,L,R,SEA,COL,X,9,fly_ball,0,0,2025,-1.1,0.35,-0.34,2.24,,,,1,3,Top,148.37,108.43,,,,,4.032410856419394,-124.11049887947571,-1.419187188412225,-12.20053914289328,25.373830221025457,-28.509327727476933,3.45,1.64,234.0,78.0,48.0,85.5,980.0,6.5,776212,663728,647304,593871,553993,641487,668227,677594,645302,54.03,0.074,0.08,0.0,1.0,0,0,3.0,17,1,Split-Finger,0,1,1,0,1,0,1,0,Standard,Standard,228.0,0.016,-0.255,80.7,8.2,0.111,0.255,88.0,-1,1,0.404,0.596,26,27,27,27,2,1,6.0,2.0,5.0,1.0,2.79,1.1,-1.1,36.2,23.7472502319859,-14.168956653255316,29.81422580854193,43.5679657782548,38.28411019968167
FF,2025-09-23,96.4,1.82,5.39,"Robles, Victor",688760,642100,single,hit_into_play,,,,,6.0,Blaine Crim singles on a sharp line drive to right fielder Victor Robles.,R,R,L,SEA,COL,X,9,line_drive,0,0,2025,0.64,1.48,0.28,2.89,,,,2,8,Top,165.88,83.55,,,,,-5.468645805597523,-140.16865328862036,-4.342127563253192,9.725007219672722,35.112126599326366,-11.987542754046911,3.63,1.76,257.0,101.9,11.0,95.0,2401.0,5.8,776212,663728,647304,593871,553993,641487,668227,677594,645302,54.71,0.923,0.878,0.9,1.0,1,0,4.0,55,1,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,135.0,-0.007,0.328,74.1,6.7,1.098,-0.328,101.9,-2,2,0.15,0.85,30,28,30,28,1,3,3.0,2.0,3.0,1.0,1.0,0.64,-0.64,31.8,1.0513220292373051,11.472031250152018,27.78657084734033,41.29086364491942,21.49414782592409
FF,2025-09-23,96.4,-0.78,5.57,"Robles, Victor",666160,682243,field_out,hit_into_play,,,,,14.0,Mickey Moniak flies out to right fielder Victor Robles.,R,L,R,SEA,COL,X,9,fly_ball,2,1,2025,-0.48,1.65,0.98,2.53,,,,0,1,Top,155.01,85.31,,,,,5.777872059559347,-140.20721093839174,-6.2853126485500805,-7.614004253652237,30.668273289116826,-9.166186483516183,3.45,1.64,292.0,84.7,37.0,96.7,2607.0,6.4,776212,663728,647304,593871,553993,641487,668227,677594,645302,54.09,0.003,0.003,0.0,1.0,0,0,3.0,1,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211.0,0.022,-0.306,81.2,7.2,0.003,0.306,88.0,0,0,0.5,0.5,26,27,27,27,1,0,6.0,2.0,5.0,1.0,0.8,0.48,-0.48,40.5,-6.013956734940182,-16.032400441292474,45.96947328800063,27.17645315005253,28.952771550651228
SI,2025-09-23,94.6,-1.96,5.86,"Robles, Victor",678662,660825,single,hit_into_play,,,,,5.0,Ezequiel Tovar singles on a line drive to right fielder Victor Robles. Mickey Moniak scores. Blaine Crim scores. Ezequiel Tovar to 2nd.,R,R,R,SEA,COL,X,9,line_drive,1,1,2025,-1.55,0.76,-0.11,2.45,666160.0,688760.0,,2,6,Top,162.44,113.72,,,,,8.206396451006668,-137.5231145307064,-4.84333051063395,-21.53750836623049,31.24519430290772,-21.64331395758899,3.41,1.56,171.0,75.3,14.0,93.7,2111.0,5.9,776212,663728,647304,593871,553993,641487,668227,677594,645302,54.64,0.466,0.419,0.9,1.0,1,0,4.0,42,3,Sinker,1,1,1,1,3,1,3,1,Standard,Standard,219.0,-0.266,0.773,72.3,7.2,0.466,-0.773,88.0,0,0,0.487,0.513,29,23,30,24,1,2,3.0,2.0,3.0,1.0,1.8,1.55,1.55,43.8,5.177718209187033,16.822693461862805,35.1951522410046,30.129272563772734,21.581496309002848
SL,2025-09-21,86.8,-0.58,6.09,"Robles, Victor",676694,669302,field_out,hit_into_play,,,,,2.0,Jake Meyers flies out to right fielder Victor Robles.,R,R,R,HOU,SEA,X,9,fly_ball,2,1,2025,0.13,0.18,0.09,3.0,,,572233.0,1,4,Bot,171.97,61.78,,,,,1.392328124039154,-126.28000025269635,-1.4406417095913897,0.9618919542851188,32.285154212818405,-30.147117536391125,3.44,1.6,358.0,98.0,31.0,87.9,1623.0,7.6,776228,663728,647304,593871,553993,641487,668227,677594,645302,52.91,0.343,0.611,0.0,1.0,0,0,5.0,36,4,Slider,1,7,1,7,7,1,1,7,Standard,Standard,44.0,-0.011,-0.297,,,1.174,0.297,98.0,-6,-6,0.052,0.052,28,29,28,29,2,1,5.0,1.0,6.0,2.0,2.91,-0.13,-0.13,47.1,,,,,
