pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-08-03,84.2,-3.64,5.21,"Roden, Alan",692216,543859,double,hit_into_play,,,,,8.0,C.J. Kayfus doubles (1) on a sharp line drive to right fielder Alan Roden. Nolan Jones to 3rd.,R,L,R,CLE,MIN,X,9,line_drive,1,1,2025,0.25,-0.06,0.17,2.06,,,666134.0,0,9,Bot,194.32,77.48,,,,,8.333385151917158,-122.58391923755708,-0.958023759658037,1.308349498822453,18.54417485737058,-32.84740330117233,3.37,1.53,344.0,108.4,18.0,85.0,2289.0,6.2,776892,543877,665019,680837,668904,686797,668885,680577,702176,54.26,0.689,0.904,1.25,1.0,1,1,6.0,73,3,Slider,2,5,2,5,5,2,2,5,Infield shade,Standard,77.0,0.122,0.739,,,1.461,-0.739,108.4,-3,-3,0.083,0.083,35,23,36,24,1,3,2.0,1.0,2.0,2.0,3.22,-0.25,0.25,17.6,,,,,
SI,2025-08-03,90.0,-2.28,5.08,"Roden, Alan",608070,541640,field_out,hit_into_play,,,,,8.0,José Ramírez flies out to right fielder Alan Roden.,R,L,R,CLE,MIN,X,9,fly_ball,2,0,2025,-0.96,0.58,-0.09,1.95,,,677587.0,2,9,Bot,154.41,95.35,,,,,7.44597770152407,-130.95123670148467,-3.05667420301463,-12.558427761128389,25.073984919001777,-25.093450746424065,3.43,1.59,268.0,92.9,50.0,90.1,2153.0,6.2,776892,543877,665019,680837,668904,686797,668885,680577,702176,54.35,0.009,0.012,0.0,1.0,0,0,3.0,77,3,Sinker,4,5,4,5,5,4,4,5,Infield shade,Standard,223.0,-0.096,-0.355,70.6,7.5,0.019,0.355,92.9,-1,-1,0.096,0.096,35,32,35,33,1,4,,1.0,1.0,1.0,2.22,0.96,-0.96,31.2,14.653929490913596,-13.577943119559857,29.37429589538001,33.72808925294635,35.00310310345908
FF,2025-08-03,96.1,-2.81,5.55,"Roden, Alan",608070,663485,field_out,hit_into_play,,,,,6.0,José Ramírez flies out to right fielder Alan Roden.,R,L,R,CLE,MIN,X,9,fly_ball,3,2,2025,-1.08,1.11,0.45,2.7,,,,0,8,Bot,213.77,91.28,,,,,10.938196936898589,-139.5140323083404,-4.44290557903465,-16.475248472307914,29.779986572930603,-16.832674307246773,3.43,1.59,341.0,90.3,32.0,95.2,2475.0,5.8,776892,543877,665019,666397,668904,686797,668885,680577,702176,54.7,0.031,0.04,0.0,1.0,0,0,3.0,64,6,4-Seam Fastball,2,5,2,5,5,2,2,5,Infield shade,Standard,224.0,-0.025,-0.345,69.6,6.7,0.069,0.345,90.3,-3,-3,0.079,0.079,27,32,28,33,1,3,2.0,1.0,2.0,1.0,1.36,1.08,-1.08,21.7,8.311176202571671,-16.267813555366782,30.29827098563489,26.1731520353591,34.688956016605815
CU,2025-07-27,75.1,-2.84,5.36,"Roden, Alan",678009,453286,field_out,hit_into_play,,,,,8.0,Parker Meadows flies out to right fielder Alan Roden.,R,L,R,DET,TOR,X,9,fly_ball,2,2,2025,1.11,-0.75,0.0,1.79,,,,1,5,Bot,166.32,68.63,,,,,3.918691497567092,-109.39843382211346,1.020427534965063,8.31020410632331,17.62793933461805,-38.61666485013732,3.5,1.69,337.0,86.4,28.0,75.4,2662.0,6.2,776987,623168,665489,676391,680718,666182,694388,664770,702176,54.28,0.077,0.089,0.0,1.0,0,0,3.0,37,7,Curveball,3,0,3,0,0,3,3,0,Infield shade,Standard,57.0,-0.007,-0.228,68.5,7.9,0.143,0.228,88.0,3,3,0.883,0.883,40,25,41,26,2,1,5.0,2.0,6.0,40.0,4.76,-1.11,1.11,35.0,17.523229818180404,-11.243391111290592,36.27830351567244,38.21717140935114,43.72853483102435
FF,2025-07-27,93.8,-2.92,5.54,"Roden, Alan",681481,453286,field_out,hit_into_play,,,,,12.0,Kerry Carpenter flies out to right fielder Alan Roden.,R,L,R,DET,TOR,X,9,fly_ball,2,1,2025,-0.58,1.23,0.84,2.67,,,,2,3,Bot,202.49,119.47,,,,,10.977509497137264,-136.25044082057516,-4.448483128045806,-9.45919634688809,26.16119304955351,-15.964623502667443,3.35,1.6,273.0,76.4,36.0,94.0,2260.0,6.2,776987,623168,665489,676391,680718,666182,694388,664770,702176,54.3,0.109,0.106,0.0,1.0,0,0,3.0,24,4,4-Seam Fastball,3,0,3,0,0,3,3,0,Infield shade,Standard,212.0,-0.005,-0.298,76.6,7.4,0.14,0.298,88.0,3,3,0.829,0.829,40,27,41,28,2,1,5.0,28.0,6.0,2.0,1.34,0.58,-0.58,34.8,16.22806472561911,-2.969552882563197,37.1335767456717,27.77171216614768,26.53095973462987
FF,2025-07-27,95.8,-2.81,5.64,"Roden, Alan",595879,453286,field_out,hit_into_play,,,,,9.0,Javier Báez flies out to right fielder Alan Roden.,R,R,R,DET,TOR,X,9,fly_ball,0,0,2025,-0.49,1.4,0.72,2.17,693307.0,678009.0,,0,3,Bot,172.68,112.25,,,,,10.399582647715956,-138.96686783586992,-6.695440343059937,-8.662616688155047,31.22584976621341,-12.60902500306662,3.53,1.66,245.0,78.9,42.0,95.5,2490.0,6.3,776987,623168,665489,676391,680718,666182,694388,664770,702176,54.23,0.04,0.042,0.0,1.0,0,0,3.0,21,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215.0,-0.058,-0.207,76.9,8.5,0.063,0.207,88.0,0,0,0.71,0.71,40,32,41,33,1,0,5.0,1.0,6.0,1.0,1.1,0.49,0.49,36.1,13.890145473856196,-5.356122019458118,28.2274477125448,45.778826305727975,29.22562448856492
CH,2025-07-27,85.4,-3.12,5.23,"Roden, Alan",678009,453286,double,hit_into_play,,,,,5.0,Parker Meadows doubles (4) on a sharp line drive to right fielder Alan Roden. Dillon Dingler to 3rd.,R,L,R,DET,TOR,X,9,line_drive,3,2,2025,-1.02,0.18,-0.03,2.42,,,693307.0,0,3,Bot,216.57,102.15,,,,,9.340057010575393,-124.1157034291742,-0.6833010539545734,-12.355864487401904,24.32681974012881,-30.35485921493322,3.5,1.69,325.0,101.9,21.0,85.5,1443.0,6.4,776987,623168,665489,676391,680718,666182,694388,664770,702176,54.11,0.566,0.744,1.25,1.0,1,1,5.0,20,7,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,252.0,0.116,0.659,71.8,7.9,1.224,-0.659,101.9,0,0,0.594,0.594,40,25,41,26,1,0,5.0,2.0,6.0,40.0,2.94,1.02,-1.02,28.4,14.827948954283103,-15.018867574800964,28.513611293929596,36.9580195677836,44.7771167253375
FF,2025-07-27,94.1,-2.87,5.61,"Roden, Alan",693307,453286,single,hit_into_play,,,,,8.0,Dillon Dingler singles on a line drive to right fielder Alan Roden.,R,R,R,DET,TOR,X,9,line_drive,0,0,2025,-0.99,1.31,-0.22,2.1,,,,0,3,Bot,159.96,91.36,,,,,9.04112568965692,-136.75947484684468,-6.320774239812807,-14.371175553992382,27.639555348319792,-14.431495575247224,3.44,1.58,226.0,93.6,13.0,93.9,2386.0,6.1,776987,623168,665489,676391,680718,666182,694388,664770,702176,54.42,0.966,0.92,0.9,1.0,1,0,4.0,19,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,219.0,0.04,0.439,71.7,7.0,1.121,-0.439,93.6,0,0,0.554,0.554,40,26,41,27,1,0,5.0,2.0,6.0,1.0,1.25,0.99,0.99,33.7,-3.7795492040230414,3.994926182803084,47.062609440025376,34.75416696042514,20.85057202925367
CH,2025-06-27,86.0,-2.48,5.8,"Roden, Alan",680776,687606,field_out,hit_into_play,,,,,14.0,Jarren Duran flies out to right fielder Alan Roden.,R,L,R,BOS,TOR,X,9,fly_ball,2,2,2025,-0.24,0.44,0.09,1.35,,,,0,9,Bot,155.71,110.78,,,,,6.537132824325092,-125.00667667220524,-5.095511175694584,-3.937758865171612,27.71976298999266,-26.689953131664467,3.41,1.68,233.0,77.4,47.0,85.0,1802.0,5.9,777345,672386,676391,665926,680718,666182,682729,664702,702176,54.6,0.071,0.064,0.0,1.0,0,0,3.0,78,5,Changeup,0,9,0,9,9,0,0,9,Infield shade,Standard,244.0,0.0,-0.233,81.0,9.0,0.078,0.233,88.0,-9,-9,0.001,0.001,27,28,27,29,1,3,3.0,2.0,1.0,1.0,2.68,0.24,-0.24,36.9,13.875860993511056,-27.482034063809664,36.29184468597266,37.24512148962311,47.95400153487438
FC,2025-06-10,89.5,-1.52,5.36,"Roden, Alan",676475,605135,field_out,hit_into_play,,,,,12.0,Alec Burleson lines out to right fielder Alan Roden.,R,L,R,STL,TOR,X,9,line_drive,1,2,2025,-0.04,0.72,0.89,3.11,,,,0,6,Bot,169.26,89.72,,,,,6.087378493484575,-130.33376585553168,-1.1750351813761122,-1.5245261975322095,23.88560084824854,-23.844144654343648,3.53,1.6,293.0,80.8,26.0,90.9,2259.0,6.8,777558,672386,676391,665926,680718,666182,682729,664702,702176,53.71,0.2,0.208,0.0,1.0,0,0,3.0,50,6,Cutter,4,6,4,6,6,4,4,6,Strategic,Standard,211.0,-0.035,-0.19,65.5,6.5,0.289,0.19,88.0,-2,-2,0.248,0.248,36,26,36,27,3,2,5.0,1.0,7.0,1.0,2.09,0.04,-0.04,28.6,5.544685006515324,-6.946510364447541,27.750724261418075,20.02717054224214,27.120020560941683
