pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-04-30,84.2,1.71,6.14,"Trout, Mike",810938,542881,field_out,hit_into_play,,,,,14.0,Ben Williamson flies out to right fielder Mike Trout.,R,R,L,SEA,LAA,X,9,fly_ball,2,2,2025,0.06,1.36,0.13,1.22,641598.0,,456781.0,0,2,Bot,180.03,119.11,,,,,-3.7722425712876446,-122.4638141578903,-7.713565328119934,1.3264087008390613,23.47088588623371,-17.192732403015608,3.57,1.62,240.0,85.2,52.0,83.9,2246.0,6.1,778104,681351,694384,621028,650859,687263,672569,677347,545361,54.44,0.02,0.021,0.0,1.0,0,0,3.0,17,5,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,150.0,-0.061,-0.208,72.7,8.1,0.027,0.208,88.0,0,0,0.679,0.679,35,24,36,25,1,0,6.0,1.0,6.0,2.0,1.85,0.06,-0.06,48.8,8.86352439199283,-5.470805176177611,39.4578536673317,35.533115501999504,32.330030423261285
FF,2025-04-29,97.5,-1.35,6.17,"Trout, Mike",663728,820862,single,hit_into_play,,,,,6.0,Cal Raleigh singles on a fly ball to right fielder Mike Trout.,R,L,R,SEA,LAA,X,9,fly_ball,2,2,2025,-0.98,1.56,0.36,2.56,,,,1,7,Bot,173.06,124.45,,,,,6.815662301817033,-141.6981180813381,-7.752183012799126,-14.726726175454925,32.87602969679398,-9.604426413087843,3.55,1.64,193.0,64.3,26.0,97.3,2385.0,6.3,778121,681351,694384,677347,650859,687263,621493,666176,545361,54.22,0.777,0.702,0.9,1.0,1,0,4.0,57,6,4-Seam Fastball,5,1,5,1,1,5,5,1,Infield shade,Standard,219.0,0.003,0.442,74.7,7.4,0.838,-0.442,88.0,4,4,0.971,0.971,23,28,24,29,1,3,3.0,2.0,2.0,1.0,0.85,0.98,-0.98,45.8,17.72308590032272,1.965615818190344,40.17797685605445,27.605624623089238,27.181950500957747
FF,2025-04-27,94.9,-1.31,5.85,"Trout, Mike",680777,667755,field_out,hit_into_play,,,,,6.0,Ryan Jeffers flies out to right fielder Mike Trout.,R,R,R,MIN,LAA,X,9,fly_ball,0,1,2025,-0.66,0.99,0.5,2.85,,,,1,4,Bot,204.03,108.74,,,,,6.251277078334801,-138.0966710512908,-4.511991998260465,-9.800347538552856,27.039963556988976,-18.69306316642563,3.4,1.64,295.0,89.5,29.0,96.0,2234.0,6.6,778144,518595,605204,677347,650859,687263,621493,666176,545361,53.87,0.066,0.081,0.0,1.0,0,0,3.0,29,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,227.0,-0.015,-0.216,71.7,6.7,0.125,0.216,89.5,1,1,0.67,0.67,26,28,27,28,2,1,5.0,1.0,5.0,1.0,1.52,0.66,0.66,35.6,4.9580024960966185,18.912249519984165,27.163296499689277,42.17350179274203,18.864593806759157
SI,2025-04-27,97.0,-0.96,6.03,"Trout, Mike",664034,667755,sac_fly,hit_into_play,,,,,9.0,Ty France out on a sacrifice fly to right fielder Mike Trout. Edouard Julien scores.,R,R,R,MIN,LAA,X,9,fly_ball,2,2,2025,-0.92,0.47,0.46,1.4,666397.0,621043.0,,1,1,Bot,183.35,109.29,,,,,5.951367807404028,-141.12069509855658,-8.017087438104351,-13.666276182897674,29.853946974829626,-24.344278631192445,3.18,1.46,287.0,96.8,17.0,98.0,2141.0,6.7,778144,518595,605204,677347,650859,687263,621493,666176,545361,53.78,0.526,0.541,0.0,1.0,0,0,4.0,7,5,Sinker,0,0,0,0,0,1,1,0,Standard,Standard,218.0,0.004,-0.103,68.2,7.5,0.76,0.103,96.8,0,0,0.633,0.633,26,30,27,31,1,0,5.0,1.0,5.0,1.0,1.94,0.92,0.92,42.2,7.866581248130894,16.225281840564946,41.75997228899236,38.721401845158205,23.633498720631728
SI,2025-04-27,92.1,2.06,6.16,"Trout, Mike",686797,656271,field_out,hit_into_play,,,,,5.0,Brooks Lee flies out to right fielder Mike Trout. Ryan Jeffers to 3rd.,R,R,L,MIN,LAA,X,9,fly_ball,3,1,2025,1.56,0.78,-0.25,2.39,,680777.0,,1,6,Bot,185.22,79.85,,,,,-9.396993024690223,-133.71342443996417,-5.430976974163678,20.779508624180327,31.48443371899017,-21.82132197126569,3.35,1.6,330.0,92.1,30.0,93.0,2254.0,7.2,778144,518595,605204,677347,650859,687263,621493,666176,545361,53.34,0.086,0.115,0.0,1.0,0,0,3.0,45,5,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,137.0,-0.005,-0.349,75.4,6.8,0.203,0.349,92.1,4,4,0.96,0.96,28,24,29,24,1,2,5.0,1.0,4.0,2.0,1.94,1.56,-1.56,38.8,0.9592534357191418,6.649631763815806,35.298704138743425,36.63936591904405,24.571755306657515
FF,2025-04-27,93.8,1.55,5.56,"Trout, Mike",686797,671109,field_out,hit_into_play,,,,,5.0,Brooks Lee flies out to right fielder Mike Trout.,R,R,L,MIN,LAA,X,9,fly_ball,2,1,2025,1.07,1.37,-0.01,2.55,,,681146.0,1,8,Bot,168.52,70.77,,,,,-6.47967018593778,-136.41198152313683,-5.086348347126756,14.766842416145009,31.52210139275206,-14.188168937176105,3.35,1.6,335.0,97.8,34.0,94.6,2141.0,6.9,778144,518595,605204,677347,650859,687263,621493,666176,545361,53.57,0.234,0.45,0.0,1.0,0,0,5.0,62,4,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,133.0,-0.001,-0.297,75.9,7.2,0.871,0.297,97.8,5,5,0.996,0.996,26,24,27,24,1,3,,1.0,3.0,2.0,1.24,1.07,-1.07,34.6,14.136541184239082,5.239560623259935,27.82018387800076,38.66786757705189,26.68898507510148
SI,2025-04-26,94.3,-2.83,5.9,"Trout, Mike",664056,696270,single,hit_into_play,,,,,5.0,Harrison Bader singles on a line drive to right fielder Mike Trout. Jonah Bride to 2nd.,R,R,R,MIN,LAA,X,9,line_drive,2,1,2025,-0.98,0.46,-0.19,2.3,,,681146.0,2,4,Bot,169.01,125.21,,,,,9.06140438269686,-137.06906165109993,-4.725162151990018,-14.33231212529236,28.088819725635595,-25.475331179489118,3.19,1.52,182.0,67.9,21.0,94.6,2226.0,6.4,778166,681351,605204,641313,650859,687263,621493,666176,545361,54.12,0.834,0.751,0.9,1.0,1,0,4.0,41,4,Sinker,4,1,4,1,1,4,4,1,Infield shade,Standard,216.0,0.009,0.308,70.2,6.0,0.861,-0.308,88.0,3,3,0.857,0.857,22,31,23,31,1,2,2.0,1.0,4.0,1.0,2.09,0.98,0.98,26.7,-5.879046770131444,16.435800162426258,33.63874874327988,29.892326004851498,23.22351021231965
FF,2025-04-26,95.1,1.03,5.9,"Trout, Mike",686797,672282,double,hit_into_play,,,,,3.0,Brooks Lee doubles (1) on a line drive to right fielder Mike Trout. Ty France scores.,R,R,L,MIN,LAA,X,9,line_drive,1,1,2025,0.55,1.44,0.37,3.12,,664034.0,,2,6,Bot,205.98,108.02,,,,,-2.9584544146153653,-138.50193584851738,-4.888622059981518,7.760504733004115,31.58123753819182,-12.8168566945169,3.34,1.6,300.0,98.4,17.0,95.4,2066.0,6.4,778166,681351,605204,641313,650859,687263,621493,666176,545361,54.06,0.449,0.462,1.25,1.0,1,1,4.0,56,3,4-Seam Fastball,4,1,4,1,1,5,5,1,Infield shade,Standard,153.0,0.041,0.929,67.4,6.4,0.677,-0.929,98.4,3,3,0.913,0.913,25,24,26,24,1,3,3.0,1.0,4.0,1.0,1.08,0.55,-0.55,49.3,-2.3219188557032053,21.85606609628852,20.041614946165108,43.552544176868246,15.025791982253022
ST,2025-04-26,82.3,-3.35,5.74,"Trout, Mike",686797,696270,field_out,hit_into_play,,,,,2.0,Brooks Lee flies out to right fielder Mike Trout.,R,L,R,MIN,LAA,X,9,fly_ball,0,1,2025,1.01,0.15,0.08,2.86,,,681146.0,1,4,Bot,167.11,112.6,,,,,5.80029472836781,-119.92288934570614,-0.3651887228663391,8.802808736011443,20.99877068293845,-30.89591053586676,3.34,1.6,239.0,85.8,45.0,82.5,2484.0,6.1,778166,681351,605204,641313,650859,687263,621493,666176,545361,54.39,0.003,0.003,0.0,1.0,0,0,3.0,40,2,Sweeper,4,1,4,1,1,4,4,1,Infield shade,Standard,83.0,-0.012,-0.215,74.7,7.7,0.003,0.215,88.0,3,3,0.869,0.869,22,24,23,24,1,2,2.0,1.0,4.0,1.0,3.19,-1.01,1.01,20.8,20.79968938127059,-11.43780596927956,27.10248271673199,36.47744884659176,32.74174678717226
SL,2025-04-26,87.6,1.36,5.86,"Trout, Mike",664034,672282,double,hit_into_play,,,,,8.0,Ty France doubles (4) on a sharp fly ball to right fielder Mike Trout.,R,R,L,MIN,LAA,X,9,fly_ball,1,0,2025,-0.09,-0.09,-0.05,1.72,,,,0,6,Bot,164.65,48.96,,,,,-3.2156630440232323,-127.47427284271484,-3.655729295636907,-0.2608873400278531,27.30269910536254,-32.611149641833805,3.18,1.45,382.0,107.7,30.0,87.6,2263.0,6.4,778166,681351,605204,641313,650859,687263,621493,666176,545361,54.1,0.971,1.967,1.25,1.0,1,1,6.0,53,2,Slider,4,1,4,1,1,4,4,1,Infield shade,Standard,217.0,0.02,0.675,77.1,7.8,3.858,-0.675,107.7,3,3,0.918,0.918,25,30,26,31,1,3,3.0,1.0,4.0,1.0,3.07,-0.09,0.09,43.7,14.16857362485494,9.126746512344734,39.186053766583626,34.60715537263567,30.630382002725987
