pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-09-02,78.2,2.88,5.41,"Tucker, Kyle",621566,684007,triple,hit_into_play,,,,,8.0,Matt Olson triples (1) on a sharp line drive to right fielder Kyle Tucker.,R,L,L,CHC,ATL,X,9,line_drive,0,1,2025,-1.06,-0.14,0.16,2.3,,,,0,4,Top,228.33,100.5,,,,,-3.893923990920441,-113.927339704282,0.3977685029190376,-8.515268524776623,20.8383461068431,-33.695238624628814,3.59,1.75,192.0,108.6,11.0,77.8,2582.0,5.9,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.57,0.951,0.951,1.6,1.0,1,2,5.0,27,2,Sweeper,4,0,0,4,0,4,0,4,Infield shade,Standard,296.0,-0.056,0.961,80.1,8.5,1.25,-0.961,108.6,4,-4,0.886,0.114,31,31,32,31,2,1,5.0,1.0,6.0,1.0,3.86,-1.06,-1.06,29.8,21.466602652556524,-17.480145500858274,35.52700341267877,39.84583966920215,44.61667599596045
SL,2025-09-01,86.5,-1.64,5.58,"Tucker, Kyle",686948,607067,single,hit_into_play,,,,,14.0,Drake Baldwin singles on a sharp line drive to right fielder Kyle Tucker. Matt Olson to 3rd. Ronald Acuña Jr. to 2nd.,R,L,R,CHC,ATL,X,9,line_drive,1,2,2025,0.34,-0.2,0.59,0.99,,621566.0,660670.0,1,3,Top,197.27,99.45,,,,,4.66051330825038,-125.98597439713608,-4.389708647750695,2.6855403675362077,24.303188611692807,-33.661479297399744,3.44,1.6,257.0,107.3,15.0,87.3,2160.0,6.6,776506,608348,683737,663538,807713,621020,664023,691718,663656,53.88,0.697,0.774,0.9,1.0,1,0,5.0,20,4,Slider,0,1,1,0,1,0,1,0,Standard,Standard,110.0,-0.057,0.551,78.5,7.7,1.146,-0.551,107.3,-1,1,0.347,0.653,34,24,35,24,2,1,5.0,1.0,6.0,1.0,3.23,-0.34,0.34,33.2,10.778324318378194,-3.638723855241005,47.718328106352125,32.34212702016174,34.776189214157455
CU,2025-09-01,79.3,-0.36,6.5,"Tucker, Kyle",669397,650644,single,hit_into_play,,,,,2.0,Nick Allen singles on a line drive to right fielder Kyle Tucker. Nacho Alvarez Jr. to 3rd.,R,R,R,CHC,ATL,X,9,line_drive,1,1,2025,0.87,-0.95,0.23,2.66,,,805373.0,2,8,Top,172.98,90.85,,,,,-0.33319957538029,-115.51638423729216,0.1661127364756895,7.817360998072117,23.002129390909648,-40.89664691873229,3.08,1.42,224.0,92.9,12.0,78.0,3169.0,5.5,776506,608348,457759,663538,807713,621020,664023,691718,663656,55.04,0.846,0.822,0.9,1.0,1,0,4.0,67,3,Curveball,4,6,6,4,6,4,6,4,Standard,Standard,47.0,-0.014,0.361,,,0.997,-0.361,92.9,-2,2,0.143,0.857,30,26,30,27,2,3,5.0,1.0,7.0,6.0,4.59,-0.87,-0.87,46.7,,,,,
FC,2025-09-01,89.9,-0.86,6.26,"Tucker, Kyle",641584,650644,field_out,hit_into_play,,,,,5.0,Jake Fraley lines out to right fielder Kyle Tucker.,R,L,R,CHC,ATL,X,9,line_drive,1,0,2025,0.05,1.03,0.2,2.31,,,805373.0,1,8,Top,201.21,100.19,,,,,2.465120550489265,-130.88887126088667,-5.983440834573937,0.1629705576220765,24.547986188868144,-19.323837259786558,3.35,1.56,306.0,94.9,21.0,89.0,2655.0,5.4,776506,608348,457759,663538,807713,621020,664023,691718,663656,55.05,0.249,0.291,0.0,1.0,0,0,3.0,66,2,Cutter,4,6,6,4,6,4,6,4,Infield shade,Strategic,192.0,0.014,-0.29,71.0,7.1,0.471,0.29,94.9,-2,2,0.129,0.871,30,30,30,30,1,3,5.0,1.0,7.0,4.0,1.76,-0.05,0.05,47.3,5.4300998465149135,-11.50798583628064,36.354905152871154,37.23648843016274,33.86840125260839
SI,2025-09-01,92.8,1.82,5.68,"Tucker, Kyle",805373,573124,double,hit_into_play,,,,,2.0,Nacho Alvarez Jr. doubles (9) on a line drive to right fielder Kyle Tucker. Michael Harris II scores.,R,R,L,CHC,ATL,X,9,line_drive,0,0,2025,1.47,0.72,0.16,3.01,,671739.0,,2,5,Top,222.52,99.29,,,,,-7.362352399833364,-134.96879138769296,-2.5746789208026883,19.60112968704645,29.636089244877216,-23.059942456762744,3.27,1.48,323.0,94.1,26.0,91.9,2110.0,5.8,776506,608348,683737,663538,807713,621020,664023,691718,663656,54.72,0.166,0.218,1.25,1.0,1,1,3.0,42,1,Sinker,1,5,5,1,6,1,6,1,Standard,Standard,128.0,-0.04,0.904,66.9,6.9,0.357,-0.904,94.1,-4,4,0.099,0.901,34,22,35,22,1,2,5.0,1.0,2.0,1.0,1.94,1.47,-1.47,31.8,4.65550647376694,17.00029937504143,22.6184436085248,38.943136643071306,17.035744561218532
ST,2025-09-01,78.1,1.88,5.6,"Tucker, Kyle",671739,573124,double,hit_into_play,,,,,13.0,Michael Harris II doubles (22) on a line drive to right fielder Kyle Tucker. Drake Baldwin scores. Ozzie Albies scores.,R,L,L,CHC,ATL,X,9,line_drive,0,2,2025,-1.2,0.35,-0.86,2.6,686948.0,645277.0,,2,5,Top,215.93,82.55,,,,,-3.66631060361881,-113.64860792416272,-0.1760599459396582,-9.60273142068216,22.65925980375749,-29.34828082675311,3.55,1.66,369.0,98.6,23.0,77.3,2774.0,5.9,776506,608348,683737,663538,807713,621020,664023,691718,663656,54.61,0.386,0.525,1.25,1.0,1,1,5.0,41,4,Sweeper,1,3,3,1,5,1,5,1,Infield shade,Standard,294.0,-0.134,0.946,,,0.879,-0.946,98.6,-2,2,0.233,0.767,34,24,35,24,1,2,5.0,1.0,2.0,1.0,3.41,-1.2,-1.2,30.4,,,,,
FS,2025-09-01,88.5,-1.59,5.71,"Tucker, Kyle",621566,607067,single,hit_into_play,,,,,8.0,Matt Olson singles on a sharp line drive to right fielder Kyle Tucker.,R,L,R,CHC,ATL,X,9,line_drive,1,2,2025,-1.31,-0.15,-0.09,2.11,,,,1,1,Top,205.41,100.66,,,,,6.442346708103932,-128.77539642727422,-2.3642265052439617,-15.965904704079028,28.134785091610038,-33.50226922065328,3.61,1.73,265.0,100.2,16.0,88.7,939.0,6.6,776506,608348,683737,663538,807713,621020,664023,691718,663656,53.94,0.537,0.562,0.9,1.0,1,0,4.0,2,4,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,203.0,-0.025,0.49,72.6,8.1,0.793,-0.49,100.2,0,0,0.522,0.478,34,31,35,31,1,0,5.0,1.0,6.0,1.0,3.07,1.31,-1.31,31.9,12.160226078429965,-9.169609675904516,31.78740265386579,42.406343847769065,43.51136839551699
SI,2025-09-01,92.9,1.79,5.68,"Tucker, Kyle",660670,573124,field_out,hit_into_play,,,,,5.0,Ronald Acuña Jr. lines out sharply to right fielder Kyle Tucker.,R,R,L,CHC,ATL,X,9,line_drive,0,0,2025,1.3,0.48,-0.03,2.5,,,,1,5,Top,196.0,75.47,,,,,-7.409376130885513,-135.1083599404366,-3.407594252942991,17.529318941341547,27.64011716770653,-25.74843227813189,3.66,1.67,351.0,103.2,22.0,92.3,2115.0,5.8,776506,608348,683737,663538,807713,621020,664023,691718,663656,54.7,0.611,0.918,0.0,1.0,0,0,6.0,38,1,Sinker,1,3,3,1,3,1,3,1,Standard,Standard,127.0,0.013,-0.255,75.8,7.4,1.6,0.255,103.2,-2,2,0.256,0.744,34,27,35,28,1,2,5.0,1.0,2.0,1.0,2.15,1.3,-1.3,27.9,10.411853902235164,12.827442749111867,35.4332513609482,37.10446438536563,22.97105498630185
CH,2025-08-31,77.6,1.94,5.52,"Tucker, Kyle",571657,571510,field_out,hit_into_play,,,,,6.0,Kyle Farmer flies out to right fielder Kyle Tucker.,R,R,L,COL,CHC,X,9,fly_ball,1,0,2025,1.1,0.24,0.69,2.2,,,,1,6,Bot,161.91,98.5,,,,,-4.682493592637973,-112.99883278861203,-0.6378403056764455,10.261985140029353,20.22149761665888,-30.225706232463367,3.45,1.6,265.0,87.7,50.0,77.7,1848.0,6.3,776511,624512,683737,650489,807713,621020,664023,691718,663656,54.19,0.009,0.008,0.0,1.0,0,0,3.0,48,2,Changeup,4,2,4,2,2,4,4,2,Standard,Strategic,123.0,-0.009,-0.294,65.4,7.3,0.014,0.294,88.0,2,2,0.84,0.84,34,34,34,35,3,2,5.0,2.0,6.0,2.0,3.54,1.1,-1.1,33.4,21.943398350684195,0.2988409685288857,35.29734963487434,44.64470554003333,40.23276774085029
FF,2025-08-31,93.6,2.02,5.46,"Tucker, Kyle",690924,571510,triple,hit_into_play,,,,,6.0,Braxton Fulford triples (2) on a fly ball to right fielder Kyle Tucker. Kyle Farmer scores.,R,R,L,COL,CHC,X,9,fly_ball,2,2,2025,0.91,0.83,0.52,2.03,,,571657.0,2,4,Bot,158.91,37.16,,,,,-5.87130323131279,-136.27134182932397,-5.009919154464914,12.549510979001251,25.86835003726825,-20.92647276008582,3.24,1.43,413.0,104.5,24.0,94.1,2415.0,6.3,776511,624512,683737,650489,807713,621020,664023,691718,663656,54.24,0.9,1.637,1.6,1.0,1,2,6.0,32,6,4-Seam Fastball,2,2,2,2,2,3,3,2,Standard,Strategic,125.0,0.153,1.395,71.1,6.7,3.09,-1.395,104.5,0,0,0.528,0.528,34,26,34,27,2,1,5.0,3.0,6.0,2.0,1.74,0.91,-0.91,26.5,12.909928498822346,6.232456783929457,31.02102875314265,39.49406139302452,28.81359664101512
