pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-06-06,91.5,-0.69,5.65,"Vilade, Ryan",681624,543243,field_out,hit_into_play,,,,,1.0,Andy Pages flies out to right fielder Ryan Vilade.,R,R,R,STL,LAD,X,9,fly_ball,1,1,2025,-0.73,0.63,-0.4,3.15,,,,0,4,Top,182.16,133.02,,,,,2.333029679165389,-133.35847334546818,-1.854995928816008,-9.264083104641236,26.88961838654395,-24.48993824898085,3.51,1.62,217.0,83.8,51.0,92.3,2289.0,6.5,777620,686780,575929,680977,571448,691026,663457,687363,668723,53.98,0.006,0.005,0.0,1.0,0,0,3.0,28,3,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,200.0,0.026,-0.251,75.9,7.4,0.006,0.251,88.0,2,-2,0.738,0.262,35,24,36,25,2,1,6.0,1.0,6.0,1.0,2.07,0.73,0.73,46.8,5.519744905887322,-7.412468022410647,35.83284475897847,35.54722038358612,28.53049961308617
FC,2025-06-06,89.1,-0.85,5.55,"Vilade, Ryan",571970,543243,field_out,hit_into_play,,,,,5.0,Max Muncy flies out to right fielder Ryan Vilade.,R,L,R,STL,LAD,X,9,fly_ball,1,0,2025,0.51,0.39,0.24,2.42,,660271.0,605141.0,2,3,Top,180.59,78.9,,,,,1.6300119543329945,-129.85287300399114,-2.5160394929368777,5.417487215185815,26.710603725023184,-27.47892358397637,3.13,1.53,326.0,96.7,25.0,89.8,2556.0,6.6,777620,686780,575929,680977,571448,691026,663457,687363,668723,53.93,0.303,0.437,0.0,1.0,0,0,5.0,23,2,Cutter,2,0,0,2,0,2,0,2,Strategic,Standard,148.0,0.047,-0.308,80.9,6.8,0.754,0.308,96.7,2,-2,0.725,0.275,35,34,36,35,2,1,6.0,2.0,6.0,1.0,2.47,-0.51,0.51,45.9,18.12907192218267,0.7480879239765881,37.12639067512126,35.44719754863201,38.22799314551485
SI,2025-06-06,92.7,-0.68,5.56,"Vilade, Ryan",660271,543243,single,hit_into_play,,,,,6.0,Shohei Ohtani singles on a sharp line drive to right fielder Ryan Vilade.,R,L,R,STL,LAD,X,9,line_drive,1,2,2025,-0.88,0.58,0.55,2.95,,,,0,3,Top,178.28,115.21,,,,,5.099279632859653,-134.86691876774802,-2.088443712458519,-11.896256200017056,32.068291788050935,-24.850071783958164,3.59,1.68,161.0,113.4,8.0,92.6,2327.0,6.5,777620,686780,575929,680977,571448,691026,663457,687363,668723,54.02,0.811,0.807,0.9,1.0,1,0,5.0,19,4,Sinker,2,0,0,2,0,2,0,2,Infield shade,Standard,207.0,-0.042,0.508,79.7,7.4,1.035,-0.508,113.4,2,-2,0.721,0.279,35,30,36,31,2,1,6.0,1.0,6.0,1.0,2.09,0.88,-0.88,46.2,13.83546941150479,1.5969874996625686,35.08495614121166,33.80283465535379,30.470333503697223
SL,2025-06-06,85.9,-0.85,5.57,"Vilade, Ryan",687221,543243,field_out,hit_into_play,,,,,8.0,Dalton Rushing flies out to right fielder Ryan Vilade.,R,L,R,STL,LAD,X,9,fly_ball,0,1,2025,0.6,-0.08,0.03,1.42,681624.0,,624424.0,2,2,Top,202.49,72.13,,,,,0.8767441262243174,-125.09565239875408,-3.397784995052211,6.093900085082265,26.27684582319855,-32.56652877658904,3.3,1.5,358.0,94.8,28.0,86.3,2789.0,6.6,777620,686780,575929,680977,571448,691026,663457,687363,668723,53.93,0.171,0.282,0.0,1.0,0,0,5.0,13,2,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,46.0,0.05,-0.237,73.2,8.2,0.51,0.237,94.8,0,0,0.5,0.5,35,24,36,24,1,0,6.0,2.0,6.0,4.0,3.18,-0.6,0.6,43.8,14.062310417078065,-15.20144352504484,39.71165278732758,35.73558133832731,40.2502600146649
ST,2025-06-06,85.6,-0.71,5.62,"Vilade, Ryan",681624,543243,single,hit_into_play,,,,,14.0,Andy Pages singles on a line drive to right fielder Ryan Vilade.,R,R,R,STL,LAD,X,9,line_drive,1,2,2025,1.32,-0.26,1.43,1.95,,,,1,2,Top,159.81,107.86,,,,,2.403726600562485,-124.82315816449564,-1.9417749515378813,13.401811969284775,23.126033123247584,-34.74073960231637,3.51,1.62,227.0,72.0,25.0,86.5,2597.0,6.6,777620,686780,575929,680977,571448,691026,663457,687363,668723,53.93,0.974,0.883,0.9,1.0,1,0,4.0,10,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,45.0,-0.026,0.49,65.4,8.3,1.025,-0.49,88.0,0,0,0.523,0.477,35,24,36,25,1,0,6.0,1.0,6.0,1.0,3.34,-1.32,-1.32,48.6,5.266605382114158,1.1771941150455596,37.04420175481832,55.30039129129414,31.54931684523084
CU,2025-06-05,77.5,-2.88,6.09,"Vilade, Ryan",521692,571945,field_out,hit_into_play,,,,,12.0,Salvador Perez flies out to right fielder Ryan Vilade.,R,R,R,STL,KC,X,9,fly_ball,1,2,2025,0.64,-0.81,1.38,2.89,,,686469.0,2,5,Top,176.21,85.87,,,,,7.909127087982747,-112.55086931014814,1.6602374966074194,3.8780441368995286,21.95007294385784,-39.63852680179525,3.7,1.7,307.0,88.0,36.0,77.0,2523.0,6.2,777642,686780,575929,680977,571448,691026,676475,663457,668723,54.31,0.02,0.025,0.0,1.0,0,0,3.0,37,5,Curveball,0,3,3,0,3,0,3,0,Standard,Standard,56.0,0.012,-0.184,72.5,7.8,0.044,0.184,88.0,-3,3,0.167,0.833,36,35,37,35,3,2,8.0,2.0,5.0,0.0,4.65,-0.64,-0.64,31.4,11.917509640986475,0.6186415455084412,28.024009153798897,51.36322394507228,29.250565142552556
SL,2025-06-05,86.7,0.29,6.57,"Vilade, Ryan",663697,669461,single,hit_into_play,,,,,8.0,Jonathan India singles on a line drive to right fielder Ryan Vilade.,R,R,L,STL,KC,X,9,line_drive,1,2,2025,-0.37,-0.07,0.07,2.07,,,,0,3,Top,163.63,119.9,,,,,0.2250940475449407,-126.21101738977876,-4.427817207964396,-4.05207606805889,25.443312801002087,-32.291266243698594,3.35,1.54,183.0,81.4,14.0,87.2,2628.0,6.6,777635,650968,575929,680977,571448,691026,663457,687363,668723,53.95,0.786,0.73,0.9,1.0,1,0,4.0,20,4,Slider,1,3,3,1,3,1,3,1,Standard,Standard,228.0,-0.027,0.508,64.7,6.6,0.881,-0.508,88.0,-2,2,0.279,0.721,25,28,26,29,2,1,6.0,0.0,6.0,1.0,3.1,-0.37,0.37,48.2,2.080754741817095,11.91312671470933,29.97947812019911,36.88390625817967,24.665887078505307
SI,2025-06-05,95.8,-2.01,5.76,"Vilade, Ryan",672580,681517,field_out,hit_into_play,,,,,12.0,Maikel Garcia flies out to right fielder Ryan Vilade in foul territory.,R,R,R,STL,KC,X,9,fly_ball,3,2,2025,-1.0,1.23,0.01,3.85,,666023.0,663697.0,2,6,Top,195.3,146.68,,,,,7.786462768235381,-139.37758357536887,-2.250608040660823,-14.779808053862467,31.42987209364278,-15.88523722110463,3.62,1.7,215.0,87.1,55.0,97.8,2231.0,7.4,777635,650968,575929,680977,571448,691026,663457,687363,668723,53.07,0.02,0.025,0.0,1.0,0,0,3.0,55,6,Sinker,5,7,7,5,7,5,7,5,Strategic,Standard,204.0,0.032,-0.281,69.6,6.3,0.039,0.281,88.0,-2,2,0.216,0.784,28,25,28,25,1,3,2.0,0.0,2.0,1.0,1.26,1.0,1.0,48.8,3.519193235748554,16.728014276262666,14.487515537797105,35.04352117123618,28.31740748350073
CH,2025-06-05,89.5,0.52,6.39,"Vilade, Ryan",592192,669461,field_out,hit_into_play,,,,,8.0,Mark Canha flies out sharply to right fielder Ryan Vilade.,R,R,L,STL,KC,X,9,fly_ball,0,1,2025,0.93,1.05,0.02,2.01,,,,1,2,Top,177.62,62.56,,,,,-3.192963802489776,-130.26763392780603,-7.09076164350221,11.247189634647032,25.199140220458997,-18.907334087336807,3.35,1.53,360.0,100.9,25.0,90.2,1554.0,6.5,777635,650968,575929,680977,571448,691026,663457,687363,668723,53.99,0.611,1.024,0.0,1.0,0,0,6.0,13,2,Changeup,1,2,2,1,2,1,2,1,Standard,Standard,134.0,0.015,-0.216,70.4,7.2,1.873,0.216,100.9,-1,1,0.412,0.588,25,36,26,36,1,0,6.0,0.0,6.0,1.0,1.77,0.93,-0.93,44.9,5.262732093499531,8.072202317274279,42.01638356679859,36.72372392731309,29.389839233353136
SL,2025-06-05,90.5,-2.41,5.73,"Vilade, Ryan",679845,681517,single,hit_into_play,,,,,7.0,Nick Loftin singles on a line drive to right fielder Ryan Vilade.,R,R,R,STL,KC,X,9,line_drive,1,1,2025,0.42,0.5,-0.28,2.0,,,,0,6,Top,159.77,88.12,,,,,4.495204327641371,-131.79405090017693,-4.5302538545733695,4.003205670691745,27.51115420846104,-25.59047433901506,3.4,1.59,249.0,84.8,18.0,92.2,2387.0,7.2,777635,650968,575929,680977,571448,691026,663457,687363,668723,53.28,0.937,0.845,0.9,1.0,1,0,4.0,51,3,Slider,5,7,7,5,7,5,7,5,Standard,Standard,178.0,-0.024,0.447,70.9,6.8,0.996,-0.447,88.0,-2,2,0.211,0.789,28,26,28,27,1,2,2.0,2.0,2.0,2.0,2.27,-0.42,-0.42,45.2,-1.9306440511781355,7.083301065063357,38.28709703738606,34.46410988355338,26.71762158529048
