pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-07-29,85.2,2.75,5.59,"Adams, Riley",656180,687911,field_out,hit_into_play,,,,,6.0,Riley Adams flies out to right fielder Cam Smith.,R,R,L,HOU,WSH,X,9,fly_ball,0,1,2025,0.89,0.62,0.43,2.83,,,695734.0,0,7,Top,178.35,103.88,,,,,-7.291654198611342,-123.86432635631697,-1.390969027806116,10.669603350457278,26.153870487482145,-25.72878025156543,3.46,1.59,270.0,95.9,51.0,85.5,1588.0,6.7,776950,673237,572233,694376,643289,670097,666211,676801,701358,53.83,0.009,0.013,0.0,1.0,0,0,3.0,58,2,Changeup,6,2,2,6,2,6,2,6,Standard,Standard,141.0,0.024,-0.2,76.4,8.0,0.018,0.2,95.9,4,-4,0.921,0.079,28,29,29,29,1,2,1.0,1.0,6.0,3.0,2.54,0.89,-0.89,38.2,12.725876471922687,-4.300398712213879,27.718880701026738,43.10779959961607,30.19638105145882
SI,2025-07-28,94.0,1.62,6.24,"Adams, Riley",656180,664285,single,hit_into_play,,,,,9.0,Riley Adams singles on a sharp line drive to left fielder Jose Altuve.,R,R,L,HOU,WSH,X,7,line_drive,1,0,2025,1.52,0.6,0.35,2.01,,,,0,3,Top,80.8,112.81,,,,,-6.560638895945316,-136.47650860304276,-6.379130102743639,20.3879432166814,35.53909984209177,-23.28965261809039,3.45,1.6,243.0,100.2,14.0,92.1,2253.0,5.7,776969,673237,572233,694728,643289,670097,514888,689200,666211,54.8,0.846,0.836,0.9,1.0,1,0,4.0,14,2,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,134.0,-0.04,0.397,81.2,8.5,1.102,-0.397,100.2,0,0,0.5,0.5,31,29,32,29,1,0,6.0,1.0,6.0,1.0,2.03,1.52,-1.52,43.2,16.458377018846257,-9.648411844175438,34.84294592531185,42.1208248671716,33.95556173498825
SI,2025-07-27,92.4,-2.3,5.74,"Adams, Riley",656180,701519,field_out,hit_into_play,,,,,6.0,Riley Adams flies out to right fielder Matt Wallner.,R,R,R,MIN,WSH,X,9,fly_ball,1,1,2025,-1.19,0.64,0.31,2.26,,,,0,6,Top,205.64,88.23,,,,,9.225896501244524,-134.4662544095405,-4.532623290045572,-16.28572145011607,22.982422751973974,-23.681218167250268,3.44,1.59,336.0,94.9,26.0,92.9,2239.0,6.1,776979,543877,665019,686797,668904,621043,650489,664056,670242,54.4,0.24,0.32,0.0,1.0,0,0,5.0,46,3,Sinker,2,7,7,2,7,2,7,2,Standard,Standard,219.0,0.003,-0.251,81.8,7.8,0.528,0.251,94.9,-5,5,0.042,0.958,25,29,25,29,2,2,9.0,2.0,8.0,1.0,1.99,1.19,1.19,33.8,2.202111648445849,7.867022579134182,36.56304759261186,39.44350822094081,23.96986801419454
FF,2025-07-22,98.4,-1.57,6.57,"Adams, Riley",656180,695505,single,hit_into_play,,,,,4.0,Riley Adams singles on a line drive to right fielder Jake Fraley. Nathaniel Lowe scores. Luis García Jr. scores. Brady House scores. Riley Adams to 2nd. Fielding error by catcher Tyler Stephenson.,R,R,R,WSH,CIN,X,9,line_drive,2,1,2025,-0.2,1.49,-0.46,2.83,663993.0,671277.0,691781.0,2,6,Bot,170.61,119.22,,,,,3.483821764985536,-143.1842431696784,-8.171197239681847,-3.5348638611865635,32.67081486216373,-10.036138366194642,3.4,1.58,143.0,86.9,9.0,98.9,2651.0,6.5,777042,663886,668715,680574,682622,682829,666158,670770,641584,53.97,0.503,0.468,0.9,1.0,1,0,4.0,49,4,4-Seam Fastball,3,1,3,1,1,6,6,1,Infield shade,Standard,196.0,0.113,0.5,66.0,6.4,0.562,-0.5,88.0,2,2,0.863,0.863,22,29,22,29,3,2,11.0,1.0,6.0,1.0,0.87,0.2,0.2,53.3,-5.0172168364061,16.037726226520807,41.02191920112578,32.39477887657928,20.21517142721621
FF,2025-07-22,98.2,-1.33,6.63,"Adams, Riley",656180,695505,field_out,hit_into_play,,,,,2.0,Riley Adams flies out to right fielder Jake Fraley in foul territory. Brady House to 3rd.,R,R,R,WSH,CIN,X,9,fly_ball,0,0,2025,-0.31,1.34,0.21,3.1,,691781.0,,1,5,Bot,211.93,118.66,,,,,4.929309480725925,-142.865691427063,-7.2358962702727965,-5.411966613475893,32.45948695301372,-12.280281716281577,3.4,1.58,290.0,87.7,36.0,98.6,2681.0,6.5,777042,663886,668715,680574,682622,682829,666158,670770,641584,54.02,0.02,0.025,0.0,1.0,0,0,3.0,37,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,189.0,-0.04,-0.262,75.3,7.2,0.044,0.262,88.0,0,0,0.593,0.593,22,29,22,29,2,1,11.0,1.0,6.0,1.0,1.02,0.31,0.31,55.4,1.7332786752390803,10.739247013482258,31.06747418367129,38.8808142161229,22.01057531871305
CH,2025-07-21,85.2,-1.2,5.45,"Adams, Riley",656180,680689,double,hit_into_play,,,,,7.0,Riley Adams doubles (5) on a sharp line drive to center fielder TJ Friedl. Brady House scores. Daylen Lile to 3rd.,R,R,R,WSH,CIN,X,8,line_drive,0,0,2025,-1.35,-0.24,-0.38,2.06,,691781.0,695734.0,2,3,Bot,113.78,76.38,,,,,4.603642498565033,-123.83628778801604,-1.03769700640013,-14.777869641701852,28.67448475692715,-34.63944025478952,3.41,1.59,250.0,101.0,13.0,84.0,1683.0,6.0,777064,624431,668715,680574,682622,682829,669720,670770,641584,54.55,0.914,0.883,1.25,1.0,1,1,4.0,28,1,Changeup,5,0,5,0,0,6,6,0,Standard,Standard,238.0,0.026,0.994,80.1,7.5,1.123,-0.994,101.0,5,5,0.938,0.938,25,29,25,29,1,1,10.0,1.0,1.0,1.0,3.43,1.35,1.35,31.5,2.058651464692569,5.941644142484584,40.69398882418098,33.494821219572245,26.507100519412788
FC,2025-07-08,91.2,-1.15,5.19,"Adams, Riley",656180,664208,field_out,hit_into_play,,,,,6.0,Riley Adams lines out sharply to right fielder Lars Nootbaar.,R,R,R,STL,WSH,X,9,line_drive,0,2,2025,-0.05,1.23,0.35,2.5,,,,1,7,Top,208.32,102.61,,,,,3.949999745950098,-132.78787948093267,-3.588370130152385,-1.4383406659107498,27.583021267053216,-17.09468424612845,3.44,1.58,313.0,101.1,21.0,92.8,2567.0,7.2,777191,686780,575929,695336,669357,691026,680977,687363,663457,53.33,0.423,0.547,0.0,1.0,0,0,5.0,52,5,Cutter,4,2,2,4,2,4,2,4,Standard,Standard,198.0,0.023,-0.163,73.5,7.2,0.887,0.163,101.1,2,-2,0.857,0.143,32,29,32,29,1,2,7.0,2.0,3.0,1.0,1.5,0.05,0.05,33.8,-0.3408926616703237,11.355035804144434,39.54150333881244,41.06855021886111,19.66951308045861
ST,2025-07-06,80.6,2.29,6.39,"Adams, Riley",656180,676979,field_out,hit_into_play,,,,,9.0,Riley Adams flies out to left fielder Jarren Duran.,R,R,L,WSH,BOS,X,7,fly_ball,2,1,2025,-1.09,-0.12,0.37,1.92,,,691781.0,2,5,Bot,43.17,112.61,,,,,-2.209593647505298,-117.41081991654517,-3.0491245263417355,-9.621391098653463,22.833605601425425,-32.89277815880863,3.44,1.57,294.0,98.4,49.0,80.9,2312.0,6.5,777213,657136,647351,663853,681987,596115,680776,678882,701350,53.98,0.006,0.007,0.0,1.0,0,0,3.0,49,4,Sweeper,2,4,2,4,4,2,2,4,Strategic,Standard,317.0,-0.032,-0.309,75.7,9.0,0.013,0.309,98.4,-2,-2,0.243,0.243,26,29,26,29,3,2,6.0,3.0,6.0,2.0,3.63,-1.09,1.09,39.3,19.9327211554907,-22.93484876585778,29.086869385095323,40.04895407972549,44.92285353406831
CH,2025-07-03,83.5,1.84,6.4,"Adams, Riley",656180,608650,single,hit_into_play,,,,,6.0,Riley Adams singles on a sharp line drive to left fielder Riley Greene.,R,R,L,WSH,DET,X,7,line_drive,2,2,2025,0.62,0.46,0.82,2.59,,,,2,1,Bot,59.2,101.46,,,,,-3.543040179506685,-121.71706417368873,-3.3573715098736563,6.776695289001239,20.08288834736444,-27.21131815203366,3.44,1.6,206.0,105.5,11.0,84.0,967.0,6.1,777258,693307,690993,650402,656716,595879,682985,678009,672761,54.35,0.943,0.936,0.9,1.0,1,0,4.0,15,6,Changeup,5,3,5,3,3,5,5,3,Standard,Standard,100.0,0.009,0.362,73.5,8.5,1.227,-0.362,105.5,2,2,0.713,0.713,34,29,34,29,1,0,7.0,1.0,6.0,3.0,2.76,0.62,-0.62,47.7,8.98840937903288,-16.263176505628472,28.119343690020475,47.07973300770946,40.7259149752977
SI,2025-06-28,88.7,-2.79,5.97,"Adams, Riley",656180,543294,single,hit_into_play,,,,,7.0,Riley Adams singles on a line drive to center fielder Jo Adell.,R,R,R,LAA,WSH,X,8,line_drive,2,2,2025,-1.21,0.65,-0.59,2.0,,,,2,2,Top,123.19,91.89,,,,,7.798444182245393,-128.97147313274402,-4.964862905338418,-15.102730726261054,26.18302669174755,-24.119363089387612,3.46,1.62,155.0,82.2,12.0,87.7,2005.0,5.7,777315,681351,694384,695681,650859,621028,621493,666176,664774,54.83,0.514,0.489,0.9,1.0,1,0,4.0,11,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,219.0,-0.014,0.362,80.6,7.2,0.58,-0.362,88.0,0,0,0.54,0.46,35,29,36,29,1,0,6.0,1.0,6.0,4.0,2.25,1.21,1.21,39.3,0.7684641847674698,6.446325943265273,43.30651094899249,32.116344943032914,30.3545950182258
