pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-30,95.4,-2.11,5.97,"Anthony, Roman",701350,805673,double,hit_into_play,,,,,5.0,Roman Anthony doubles (14) on a sharp line drive to right fielder Matt Wallner. Connor Wong to 3rd.,R,L,R,MIN,BOS,X,9,line_drive,0,0,2025,-0.55,1.42,0.24,2.82,,,657136.0,0,5,Top,177.0,60.0,,,,,7.433459260655674,-138.7738244499009,-5.931435987872074,-8.669838067178981,26.50434032804681,-12.589660600273795,3.63,1.75,393.0,113.0,18.0,96.1,2170.0,6.4,776935,680777,665019,650489,668904,686797,680577,664056,670242,54.12,0.851,1.262,1.25,1.0,1,1,6.0,35,1,4-Seam Fastball,1,2,2,1,2,1,2,1,Infield shade,Standard,210.0,-0.107,0.731,74.9,6.9,2.202,-0.731,113.0,-1,1,0.319,0.681,25,21,25,21,3,2,5.0,1.0,6.0,2.0,1.05,0.55,-0.55,41.8,5.273638637752984,3.87990966019768,27.073816968234738,31.028406487473347,33.743034190369826
CH,2025-07-30,88.6,-2.47,5.85,"Anthony, Roman",701350,805673,single,hit_into_play,,,,,7.0,Roman Anthony singles on a sharp line drive to right fielder Matt Wallner. Connor Wong to 3rd.,R,L,R,MIN,BOS,X,9,line_drive,2,1,2025,-1.06,0.5,-0.53,2.29,,657136.0,,0,3,Top,172.24,91.49,,,,,6.95407530698183,-128.75410898754723,-3.57480567354819,-13.333488612915302,30.82024111790778,-26.06105211038184,3.63,1.75,240.0,101.3,12.0,87.9,1467.0,6.3,776935,680777,665019,650489,668904,686797,680577,664056,670242,54.21,0.949,0.915,0.9,1.0,1,0,4.0,18,4,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,237.0,-0.07,0.495,76.5,7.7,1.161,-0.495,101.3,0,0,0.431,0.569,25,21,25,21,2,1,5.0,1.0,6.0,2.0,2.45,1.06,-1.06,35.3,7.315653290547422,-5.6962178461878885,30.209105518888173,40.43591073604964,41.12545071896211
EP,2025-07-30,61.3,-1.75,6.84,"Anthony, Roman",701350,665019,field_out,hit_into_play,,,,,11.0,Roman Anthony flies out to center fielder Harrison Bader.,R,L,R,MIN,BOS,X,8,fly_ball,2,1,2025,-0.11,1.66,-1.01,2.8,,,678882.0,1,9,Top,145.64,48.9,,,,,1.364006560521033,-89.33632490501984,-0.538662723259233,-0.8080776193002693,12.599298655186905,-23.386472370125222,3.63,1.75,373.0,99.2,25.0,59.6,1409.0,4.6,776935,680777,681508,664034,668904,686797,680577,664056,670242,55.93,0.469,0.711,0.0,1.0,0,0,6.0,77,4,Eephus,1,13,13,1,13,1,13,1,Infield shade,Standard,202.0,0.0,-0.297,70.2,7.8,1.253,0.297,99.2,-12,12,0.001,0.999,29,21,29,21,1,5,,1.0,,2.0,4.37,0.11,-0.11,51.0,21.78964627977756,-1.930124779367625,28.076769246918023,45.32119103802975,45.09401214031166
CU,2025-07-30,84.9,-2.48,6.15,"Anthony, Roman",701350,805673,field_out,hit_into_play,,,,,4.0,Roman Anthony flies out sharply to center fielder Harrison Bader.,R,L,R,MIN,BOS,X,8,fly_ball,1,1,2025,0.16,-0.4,-0.35,2.51,,,,0,1,Top,97.12,60.78,,,,,4.629985322495008,-123.5831819753776,-1.391415356676294,0.6713033042699855,24.80501835768335,-36.20479150443255,3.63,1.75,349.0,104.8,42.0,84.2,2393.0,5.8,776935,680777,665019,650489,668904,686797,680577,664056,670242,54.65,0.297,0.568,0.0,1.0,0,0,5.0,1,3,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,44.0,0.022,-0.251,78.9,7.6,1.114,0.251,104.8,0,0,0.5,0.5,25,21,25,21,1,0,5.0,1.0,6.0,2.0,3.56,-0.16,0.16,43.7,11.934419240891032,1.1457733851228735,28.157205535172974,38.13204648027138,38.880011535666746
CH,2025-07-29,80.7,-1.11,5.95,"Anthony, Roman",701350,701487,single,hit_into_play,,,,,13.0,Roman Anthony singles on a line drive to center fielder Harrison Bader. Ceddanne Rafaela scores.,R,L,R,MIN,BOS,X,8,line_drive,0,2,2025,-1.31,0.3,-1.43,2.16,678882.0,,,1,3,Top,142.53,102.81,,,,,1.768804822054416,-117.57011220206432,-2.3788098541642224,-12.506726971663271,21.90881494172366,-29.177913614844364,3.65,1.76,183.0,76.0,16.0,80.8,2180.0,6.3,776954,543877,664034,665019,668904,686797,650489,664056,670242,54.24,0.8,0.747,0.9,1.0,1,0,4.0,19,3,Changeup,0,0,0,0,1,0,1,0,Strategic,Standard,253.0,-0.063,0.598,68.0,8.0,0.877,-0.598,88.0,0,0,0.443,0.557,25,21,26,21,2,1,,1.0,4.0,1.0,3.19,1.31,-1.31,44.5,15.676328930463889,-5.957621251722676,27.366571659594825,47.79338856806788,38.558434243412094
FF,2025-07-28,100.5,-2.17,5.94,"Anthony, Roman",701350,661395,single,hit_into_play,,,,,6.0,Roman Anthony singles on a line drive to center fielder Harrison Bader. David Hamilton scores.,R,L,R,MIN,BOS,X,8,line_drive,3,2,2025,-1.1,0.84,0.71,2.78,666152.0,,,0,9,Top,145.3,85.83,,,,,10.59759576174563,-145.9215462940819,-5.350224488274941,-18.325874503233923,35.83086974410225,-19.079435823232256,3.64,1.76,199.0,80.7,15.0,100.3,2124.0,6.4,776961,543877,664034,686797,668904,621043,650489,664056,680577,54.08,0.866,0.793,0.9,1.0,1,0,4.0,72,8,4-Seam Fastball,3,3,3,3,4,3,4,3,Strategic,Standard,231.0,-0.09,0.411,73.4,6.5,0.94,-0.411,88.0,0,0,0.225,0.775,27,21,27,21,1,4,1.0,1.0,4.0,1.0,1.44,1.1,-1.1,31.8,5.043554057531081,6.43871553685033,32.811738618937106,26.04782872892662,28.278759858762083
FF,2025-07-26,90.0,1.55,5.96,"Anthony, Roman",701350,477132,double,hit_into_play,,,,,1.0,Roman Anthony doubles (13) on a fly ball to left fielder Esteury Ruiz. Alex Bregman scores.,R,L,L,BOS,LAD,X,7,fly_ball,0,1,2025,-0.15,1.63,-0.29,3.56,,,608324.0,2,5,Bot,87.52,58.84,,,,,-4.295513075726245,-131.06529899084074,-3.49816704176845,-0.8097045975057228,27.129969368104124,-12.878025944426945,3.6,1.73,359.0,96.9,25.0,90.8,2407.0,6.7,776998,669257,518692,808975,669242,500743,665923,681624,606192,53.81,0.303,0.437,1.25,1.0,1,1,5.0,44,2,4-Seam Fastball,3,2,3,2,2,4,4,2,Infield shade,Standard,188.0,0.122,0.959,74.9,6.7,0.754,-0.959,96.9,1,1,0.689,0.689,37,21,37,21,3,2,6.0,1.0,6.0,1.0,1.18,-0.15,-0.15,53.8,5.857727137386856,6.509217173279331,21.670965696106308,37.739124676590365,30.84980897318211
FS,2025-07-23,90.4,-1.19,5.6,"Anthony, Roman",701350,686751,double,hit_into_play,,,,,4.0,Roman Anthony doubles (12) on a sharp line drive to left fielder Max Kepler.,R,L,R,PHI,BOS,X,7,line_drive,1,2,2025,-1.05,0.35,-0.68,2.93,,,,2,11,Top,32.55,97.05,,,,,3.510562457599577,-131.65667484827657,-1.4800727158562623,-12.976315548783427,26.77928591912282,-27.99291577981139,3.56,1.71,261.0,103.8,13.0,90.6,1654.0,6.3,777038,592663,547180,681082,624641,607208,596146,679032,592206,54.21,0.903,0.892,1.25,1.0,1,1,4.0,86,4,Split-Finger,7,9,9,7,9,7,9,7,Strategic,Standard,229.0,-0.02,0.657,73.1,6.5,1.164,-0.657,103.8,-2,2,0.216,0.784,26,21,27,21,1,2,3.0,1.0,3.0,2.0,2.42,1.05,-1.05,38.5,-0.9146097201325656,18.73305001270796,29.12314802254612,41.10270306315263,21.619409657897776
FC,2025-07-21,91.1,-2.17,5.05,"Anthony, Roman",701350,554430,double,hit_into_play,,,,,12.0,Roman Anthony doubles (11) on a sharp line drive to right fielder Nick Castellanos. Alex Bregman to 3rd.,R,L,R,PHI,BOS,X,9,line_drive,0,0,2025,-0.02,0.55,0.84,2.95,,,608324.0,1,6,Top,198.76,127.25,,,,,7.7721692159418705,-132.6934981760858,-0.6356466700296033,-1.703716768341022,24.239803154387985,-25.63634755237668,3.63,1.73,252.0,106.7,16.0,93.3,2503.0,7.2,777063,592663,547180,681082,805249,607208,596146,669016,592206,53.3,0.626,0.716,1.25,1.0,1,1,5.0,42,1,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,211.0,-0.141,0.792,76.0,7.4,1.098,-0.792,106.7,1,-1,0.662,0.338,35,21,35,21,3,2,9.0,1.0,6.0,1.0,2.16,0.02,-0.02,18.5,14.517214807063196,-15.820669528175106,28.53086020614125,24.249656690815527,36.69414259689046
FF,2025-07-20,97.6,-2.38,6.12,"Anthony, Roman",701350,690990,single,hit_into_play,,,,,6.0,Roman Anthony singles on a sharp line drive to right fielder Kyle Tucker.,R,L,R,CHC,BOS,X,9,line_drive,0,1,2025,0.25,1.13,0.69,2.32,,,,1,1,Top,192.74,98.78,,,,,7.650191819413425,-141.82736674094613,-7.28635731199451,1.6754020168752315,32.31924316147297,-15.48235559597523,3.62,1.72,262.0,108.4,14.0,97.4,2491.0,6.3,777075,608348,457759,663538,807713,621020,664023,691718,663656,54.25,0.743,0.783,0.9,1.0,1,0,5.0,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,194.0,-0.025,0.454,76.5,7.4,1.124,-0.454,108.4,0,0,0.522,0.478,23,21,24,21,1,0,11.0,1.0,6.0,1.0,1.27,-0.25,0.25,49.3,6.666806624660608,-3.835245861324175,32.38513310518748,28.09833410006253,36.767223340004335
