pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-29,96.0,1.87,5.6,"Arcia, Orlando",606115,682120,field_out,hit_into_play,,,,,5.0,Orlando Arcia flies out sharply to center fielder Daniel Schneemann.,R,R,L,CLE,COL,X,8,fly_ball,1,0,2025,0.64,1.12,0.18,2.43,,,,1,9,Top,128.6,39.33,,,,,-5.97277605301362,-139.7051687968894,-5.43512902467057,9.633801465729771,27.970051076590632,-16.422550207127454,3.48,1.6,394.0,100.3,25.0,97.2,2342.0,6.7,776951,666310,700932,677587,608070,672356,680757,682177,671286,53.78,0.511,0.79,0.0,1.0,0,0,6.0,79,2,4-Seam Fastball,10,4,4,10,4,10,4,10,Strategic,Standard,136.0,0.0,-0.293,79.7,8.2,1.418,0.293,100.3,6,-6,0.999,0.001,28,30,29,31,1,3,1.0,1.0,19.0,1.0,1.33,0.64,-0.64,34.2,-0.7080259943652382,-4.756181437242915,28.87176699503673,39.41394507426172,28.816700823573843
FF,2025-07-28,94.8,-1.56,5.98,"Arcia, Orlando",606115,677944,double,hit_into_play,,,,,6.0,Orlando Arcia doubles (3) on a line drive to right fielder Nolan Jones. Kyle Farmer to 3rd.,R,R,R,CLE,COL,X,9,line_drive,0,1,2025,-1.04,1.34,0.48,2.26,,,571657.0,1,3,Top,201.35,108.57,,,,,7.660060516660298,-137.6681397903673,-7.02843744530536,-14.917627176653854,30.91047811941145,-13.777574327402023,3.45,1.59,158.0,100.2,7.0,94.8,2458.0,6.4,776968,595978,467793,682177,608070,677587,680757,682657,666134,54.08,0.629,0.593,1.25,1.0,1,1,4.0,17,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,218.0,-0.095,0.832,69.3,7.2,0.73,-0.832,100.2,0,0,0.497,0.503,26,30,26,31,1,0,5.0,1.0,7.0,1.0,1.21,1.04,1.04,42.0,-5.971799950169151,23.733994785310465,30.66512380601948,41.73584388454555,15.107440019216106
ST,2025-07-27,84.2,-2.62,5.97,"Arcia, Orlando",606115,608372,single,hit_into_play,,,,,8.0,Orlando Arcia singles on a line drive to left fielder Dylan Carlson.,R,R,R,BAL,COL,X,7,line_drive,1,1,2025,1.21,0.03,0.23,1.63,,,,2,5,Top,77.59,98.81,,,,,4.204471431864875,-122.3930234706833,-3.631688002250904,10.995058828675166,28.358446810506845,-31.30756310824592,3.46,1.62,247.0,96.8,13.0,83.5,2584.0,6.3,776986,656577,691723,676059,602104,683002,666185,656775,657656,54.25,0.969,0.922,0.9,1.0,1,0,4.0,36,3,Sweeper,4,1,1,4,1,4,1,4,Standard,Standard,73.0,-0.012,0.342,72.6,8.4,1.148,-0.342,96.8,3,-3,0.883,0.117,35,30,36,31,2,1,6.0,1.0,6.0,1.0,3.24,-1.21,-1.21,39.0,7.674184620443045,-16.521293823041677,33.120163069005514,38.06405504780807,35.20478647186495
ST,2025-07-27,84.7,-2.54,6.01,"Arcia, Orlando",606115,608372,field_out,hit_into_play,,,,,6.0,Orlando Arcia flies out to right fielder Ramón Laureano.,R,R,R,BAL,COL,X,9,fly_ball,0,1,2025,1.29,0.1,0.53,2.76,,,,2,2,Top,126.96,192.93,,,,,4.5663205408933605,-123.25335159538662,-1.3873774068611255,12.076131337092376,26.963294055324784,-31.1228605566722,3.46,1.62,309.0,88.4,36.0,84.1,2535.0,6.1,776986,656577,691723,676059,602104,683002,666185,656775,657656,54.36,0.02,0.025,0.0,1.0,0,0,3.0,13,2,Sweeper,0,1,1,0,1,0,1,0,Standard,Standard,62.0,0.01,-0.217,66.1,7.3,0.044,0.217,88.4,-1,1,0.427,0.573,35,30,36,31,1,0,6.0,1.0,6.0,1.0,3.11,-1.29,-1.29,36.7,0.4996088927295493,5.741187682310789,27.13088715574258,41.887356477672405,25.825431230931468
FF,2025-07-26,92.5,2.37,5.89,"Arcia, Orlando",606115,669432,field_out,hit_into_play,,,,,5.0,Orlando Arcia lines out to center fielder Cedric Mullins.,R,R,L,BAL,COL,X,8,line_drive,2,2,2025,0.69,1.19,-0.03,2.41,,,,1,6,Top,137.2,77.42,,,,,-7.666222175398626,-134.53356771500796,-5.725871821739451,10.019493146178988,27.64963613816238,-16.617226112453867,3.46,1.62,304.0,87.3,21.0,93.1,2482.0,6.5,776999,607732,656811,702616,676059,683002,681297,656775,657656,53.95,0.434,0.391,0.0,1.0,0,0,3.0,40,6,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,133.0,0.004,-0.228,72.4,7.5,0.521,0.228,88.0,6,-6,0.983,0.017,27,30,28,31,2,1,6.0,1.0,6.0,1.0,1.46,0.69,-0.69,22.4,5.985778174497932,12.896380286331892,25.205306425731024,34.26302688532695,31.257801804893877
SI,2025-07-26,92.3,2.13,5.93,"Arcia, Orlando",606115,669432,field_out,hit_into_play,,,,,9.0,Orlando Arcia lines out sharply to center fielder Cedric Mullins.,R,R,L,BAL,COL,X,8,line_drive,2,1,2025,1.59,0.79,0.3,1.89,,,,1,3,Top,102.76,53.0,,,,,-8.1302056032134,-134.1741942384799,-6.188255933933102,20.89772943901558,27.97634647073775,-21.507018195647333,3.46,1.62,365.0,105.0,18.0,92.6,2325.0,6.4,776999,607732,656811,702616,676059,683002,681297,656775,657656,54.06,0.554,0.681,0.0,1.0,0,0,5.0,19,4,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,128.0,0.014,-0.298,75.7,8.2,1.077,0.298,105.0,3,-3,0.825,0.175,27,30,28,31,1,0,6.0,1.0,6.0,1.0,1.89,1.59,-1.59,21.8,6.995391277818397,-1.43272219969451,31.119067699555096,38.89617822894645,30.461858122403957
FF,2025-07-19,90.5,0.35,6.16,"Arcia, Orlando",606115,664948,field_out,hit_into_play,,,,,5.0,Orlando Arcia flies out to left fielder Harrison Bader.,R,R,L,COL,MIN,X,7,fly_ball,2,1,2025,0.37,1.2,-0.14,2.5,,,,0,8,Bot,87.44,48.64,,,,,-1.9963097640831295,-131.83501857692966,-5.811263039556629,4.703751035848966,24.891201188951992,-17.15949922647488,3.47,1.64,383.0,99.6,41.0,90.6,2087.0,6.0,777080,680777,665019,650489,686797,621043,664056,621439,670242,54.46,0.143,0.269,0.0,1.0,0,0,3.0,69,4,4-Seam Fastball,8,5,8,5,5,8,8,5,Standard,Standard,150.0,-0.003,-0.305,75.6,8.0,0.506,0.305,99.6,3,3,0.975,0.975,30,30,31,31,1,0,7.0,7.0,3.0,1.0,1.55,0.37,-0.37,56.5,12.515657350903291,-7.431123704584768,27.289550031760783,31.950840684581493,34.502624160327926
SI,2025-07-08,94.6,-1.51,5.33,"Arcia, Orlando",606115,678394,field_out,hit_into_play,,,,,5.0,Orlando Arcia lines out to left fielder Jarren Duran.,R,R,R,BOS,COL,X,7,line_drive,0,0,2025,-1.47,0.57,-0.24,2.87,,,686668.0,1,8,Top,77.33,101.71,,,,,6.596623178636425,-137.50210787498466,-1.9625638311839309,-20.12910706739752,32.92426765653443,-24.709871593705348,3.46,1.63,271.0,88.2,17.0,94.2,2240.0,6.3,777196,657136,647351,666152,691785,596115,680776,678882,701350,54.18,0.891,0.803,0.0,1.0,0,0,4.0,61,1,Sinker,10,0,0,10,0,10,0,10,Strategic,Standard,228.0,0.0,-0.256,73.0,7.8,0.978,0.256,88.2,10,-10,0.999,0.001,26,30,26,31,3,2,7.0,3.0,5.0,1.0,2.0,1.47,1.47,32.4,5.505339381583504,-6.1166671319659605,25.28398866819624,32.209054076656955,31.071256293018507
FF,2025-07-08,94.4,-1.52,5.39,"Arcia, Orlando",606115,678394,field_out,hit_into_play,,,,,1.0,Orlando Arcia flies out to left fielder Jarren Duran.,R,R,R,BOS,COL,X,7,fly_ball,0,2,2025,-0.76,1.26,-0.29,3.34,,,686668.0,2,5,Top,64.15,90.87,,,,,4.883393354248634,-137.34141725401236,-2.396258781335524,-10.691808399375688,33.22510763306173,-15.987953541125304,3.46,1.63,314.0,101.5,44.0,94.3,2140.0,6.5,777196,657136,647351,663853,681987,596115,680776,678882,701350,54.05,0.066,0.099,0.0,1.0,0,0,3.0,31,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,231.0,0.031,-0.173,72.8,7.7,0.2,0.173,101.5,0,0,0.534,0.466,26,30,26,31,2,1,7.0,3.0,5.0,1.0,1.32,0.76,0.76,33.4,14.500188707183929,-14.327343627823302,21.910377952093626,30.37536482816856,36.99162513208213
CH,2025-07-05,82.8,3.94,4.94,"Arcia, Orlando",606115,685126,field_out,hit_into_play,,,,,8.0,Orlando Arcia flies out to center fielder Brooks Baldwin.,R,R,L,COL,CWS,X,8,fly_ball,0,1,2025,0.82,0.35,-0.14,2.09,,,,2,8,Bot,142.05,63.38,,,,,-10.99567351237655,-120.17812901169908,-0.751941565163041,9.822116634491245,19.723885120089754,-28.82203603808279,3.46,1.64,339.0,86.9,33.0,83.9,1161.0,6.8,777232,691019,676116,672820,668942,695657,572191,681460,596103,53.69,0.023,0.026,0.0,1.0,0,0,3.0,76,2,Changeup,3,8,3,8,8,3,3,8,Standard,Standard,116.0,-0.002,-0.217,76.2,7.9,0.041,0.217,88.0,-5,-5,0.007,0.007,27,30,27,31,1,3,3.0,2.0,2.0,3.0,2.95,0.82,-0.82,28.8,4.883466379821494,2.2791171342658867,31.653757678317323,33.21045554714669,27.451016849182945
