pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-07-30,94.6,-2.61,5.34,"Barrosa, Jorge",678489,669724,field_out,hit_into_play,,,,,2.0,Jorge Barrosa flies out to center fielder Javier Báez.,R,L,R,DET,AZ,X,8,fly_ball,3,2,2025,-1.1,0.05,-0.03,3.02,680728.0,,,2,8,Top,107.63,109.1,,,,,9.140408583077884,-137.547265079565,-0.5495767141884009,-15.893881154549025,26.970042676792787,-31.59036954391987,3.22,1.42,231.0,92.4,51.0,94.7,1614.0,6.1,776940,668670,679529,650402,628451,656716,681481,595879,672761,54.37,0.009,0.012,0.0,1.0,0,0,3.0,62,6,Sinker,7,1,1,7,1,7,1,7,Standard,Standard,248.0,0.002,-0.258,68.0,7.1,0.018,0.258,92.4,6,-6,0.996,0.004,27,24,27,24,1,2,3.0,4.0,2.0,2.0,2.47,1.1,-1.1,29.9,10.466304708057,8.262307539290896,20.87651249219287,36.36531485870135,24.64511303061815
FF,2025-07-26,97.5,-1.63,5.91,"Barrosa, Jorge",678489,670280,field_out,hit_into_play,,,,,4.0,Jorge Barrosa lines out to left fielder Tommy Pham.,R,L,R,PIT,AZ,X,7,line_drive,1,1,2025,-0.54,1.47,-0.39,2.16,,,,1,9,Top,45.23,97.82,,,,,4.637019079363298,-141.7655811449179,-8.026327633971125,-8.353854520726259,33.52400060265612,-10.633501489728935,3.21,1.42,320.0,95.6,20.0,98.3,2275.0,6.9,777002,663698,687462,678894,663647,643396,502054,665833,668804,53.64,0.329,0.388,0.0,1.0,0,0,4.0,64,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,211.0,0.023,-0.244,68.5,7.4,0.601,0.244,95.6,2,-2,0.966,0.034,30,24,31,24,1,1,1.0,1.0,2.0,4.0,0.93,0.54,-0.54,40.8,2.9688354774250243,24.477169933616256,22.554931666033784,40.48324470638815,13.89277747318436
CU,2025-09-28,83.7,-2.05,5.88,"Barrosa, Jorge",678489,681190,single,hit_into_play,,,,,14.0,Jorge Barrosa singles on a fly ball to center fielder Jackson Merrill.,R,L,R,SD,AZ,X,8,fly_ball,1,1,2025,1.04,-0.31,0.83,2.07,,,,0,9,Top,145.56,104.14,,,,,4.574537607416566,-121.8230128523848,-1.7639173910868222,9.451311794030223,24.1592126052138,-35.16771411805202,3.19,1.42,212.0,65.9,30.0,83.3,3254.0,6.1,776136,666023,656811,695238,578428,669200,657757,701538,669369,54.44,0.951,0.861,0.9,1.0,1,0,4.0,77,3,Curveball,12,2,2,12,2,12,2,12,Infield shade,Standard,81.0,0.0,0.447,69.2,7.0,1.0,-0.447,88.0,10,-10,0.999,0.001,26,24,27,24,1,3,5.0,1.0,,,3.57,-1.04,1.04,34.4,7.198456810475516,-1.357677012524844,32.861053515710395,24.58647135219274,21.865097848717944
CH,2025-09-27,86.8,-3.19,5.22,"Barrosa, Jorge",678489,650633,field_out,hit_into_play,,,,,4.0,Jorge Barrosa flies out to center fielder Jackson Merrill.,R,L,R,SD,AZ,X,8,fly_ball,1,1,2025,-1.39,0.48,-0.8,2.31,,,,2,2,Top,106.87,50.84,,,,,8.54459315994047,-126.1830493462709,-1.7555263957051055,-16.629413242866427,25.093538256126934,-26.88306597859624,3.21,1.43,369.0,97.4,26.0,86.6,1997.0,6.1,776152,553869,656811,630105,578428,593428,657757,701538,665487,54.36,0.317,0.487,0.0,1.0,0,0,5.0,14,3,Changeup,3,0,0,3,0,3,0,3,Infield shade,Standard,259.0,0.009,-0.244,68.3,7.4,0.856,0.244,97.4,3,-3,0.821,0.179,30,24,30,24,1,0,6.0,1.0,5.0,1.0,2.55,1.39,-1.39,19.2,15.246142686147111,7.1098050429902,26.36157205599011,41.51397104321546,21.87072794479524
FF,2025-09-25,97.6,2.6,5.21,"Barrosa, Jorge",678489,656945,field_out,hit_into_play,,,,,12.0,Jorge Barrosa flies out to center fielder Andy Pages.,R,R,L,AZ,LAD,X,8,fly_ball,2,2,2025,0.48,1.14,0.98,2.71,,,,0,7,Bot,127.46,63.78,,,,,-5.464038045695313,-142.10188975945314,-3.876260589231755,7.738262249214408,30.893504627397256,-16.038183909511655,3.23,1.42,335.0,87.8,28.0,97.7,2533.0,6.2,776185,687221,571771,808975,500743,605141,624424,681624,669743,54.29,0.057,0.08,0.0,1.0,0,0,3.0,62,11,4-Seam Fastball,0,8,0,8,8,0,0,8,Standard,Standard,142.0,-0.001,-0.232,65.3,7.7,0.135,0.232,88.0,-8,-8,0.004,0.004,30,24,31,24,1,0,2.0,1.0,1.0,1.0,1.24,0.48,-0.48,33.8,15.980680490906789,5.082975640560336,22.166111654414223,48.88148597257032,24.774194171979143
FF,2025-09-23,97.8,2.26,5.24,"Barrosa, Jorge",678489,656945,sac_fly,hit_into_play,,,,,7.0,Jorge Barrosa out on a sacrifice fly to left fielder Alex Call. Ildemaro Vargas scores.,R,R,L,AZ,LAD,X,7,fly_ball,0,2,2025,0.5,1.33,-0.36,1.42,545121.0,694374.0,,1,9,Bot,68.36,77.48,,,,,-8.2123909159975,-142.02355318347438,-7.870494834119633,8.529932302595617,31.12056218720367,-12.551195804468406,3.25,1.43,344.0,92.7,37.0,98.0,2641.0,6.4,776213,666163,518692,669242,571970,605141,669743,681624,606192,54.08,0.049,0.083,0.0,1.0,0,0,3.0,70,3,4-Seam Fastball,3,4,3,4,4,4,4,4,Strategic,Standard,143.0,0.071,-0.06,65.7,8.1,0.15,0.06,92.7,-1,-1,0.537,0.537,30,24,31,24,1,0,4.0,2.0,2.0,1.0,1.06,0.5,-0.5,44.8,19.862780123172787,-12.588116490162568,37.35374339746946,32.21801046926271,31.64592357046228
SI,2025-09-21,90.4,2.13,5.89,"Barrosa, Jorge",678489,624133,field_out,hit_into_play,,,,,2.0,Jorge Barrosa flies out to left fielder Weston Wilson in foul territory.,R,R,L,AZ,PHI,X,7,fly_ball,1,2,2025,1.36,0.57,-0.16,2.72,,,,2,3,Bot,131.74,203.0,,,,,-8.560550058138805,-131.3744322678849,-3.120667798981855,17.654949265782783,29.45945603850825,-25.045776846921225,3.25,1.43,349.0,95.4,40.0,89.7,2092.0,6.1,776230,592663,547180,805249,664761,681082,642215,664056,592206,54.42,0.046,0.074,0.0,1.0,0,0,3.0,30,6,Sinker,6,0,6,0,0,6,6,0,Standard,Standard,140.0,-0.001,-0.182,65.7,7.2,0.149,0.182,95.4,6,6,0.958,0.958,29,24,30,24,2,1,6.0,5.0,6.0,2.0,2.23,1.36,-1.36,39.9,18.60271836184368,-9.925397969315547,31.111045777605405,31.622179482216985,29.36689470252516
FF,2025-09-16,96.4,-1.96,5.5,"Barrosa, Jorge",678489,676130,field_out,hit_into_play,,,,,5.0,Jorge Barrosa flies out to left fielder Heliot Ramos.,R,L,R,AZ,SF,X,7,fly_ball,3,1,2025,-0.31,1.0,0.14,2.4,677950.0,,,1,8,Bot,104.0,118.47,,,,,6.295568179557829,-140.2882611181724,-4.9664316558856205,-5.480833246557231,30.418238302945937,-18.08983291665592,3.27,1.43,211.0,80.9,55.0,96.8,2207.0,6.4,776294,668800,527038,669477,656305,642715,671218,808982,666464,54.08,0.029,0.031,0.0,1.0,0,0,3.0,68,5,4-Seam Fastball,5,5,5,5,5,5,5,5,Strategic,Standard,218.0,-0.15,-0.184,66.5,7.2,0.04,0.184,88.0,0,0,0.744,0.744,27,24,27,24,1,1,3.0,1.0,4.0,5.0,1.45,0.31,-0.31,37.3,13.25148448026857,8.894578127225461,25.55002559188653,33.90506969674157,23.62397139215609
FS,2025-09-15,88.9,-1.55,6.08,"Barrosa, Jorge",678489,676775,field_out,hit_into_play,,,,,9.0,Jorge Barrosa lines out sharply to right fielder Drew Gilbert.,R,L,R,AZ,SF,X,9,line_drive,1,1,2025,-1.21,0.18,0.34,1.49,,,,0,8,Bot,209.9,99.66,,,,,7.195800755270634,-129.2498240282731,-5.535987132836655,-15.124422608131328,28.18592623984682,-29.15638041337745,3.27,1.41,319.0,102.1,21.0,88.9,1399.0,6.4,776309,672275,646240,669477,656305,642715,671218,808982,687551,54.07,0.566,0.744,0.0,1.0,0,0,5.0,62,3,Split-Finger,7,1,7,1,1,7,7,1,Standard,Standard,239.0,0.0,-0.251,68.6,7.9,1.224,0.251,102.1,6,6,0.998,0.998,27,24,27,24,1,0,2.0,1.0,,1.0,2.72,1.21,-1.21,41.9,20.98903798533847,-10.782910231730524,32.92409423009483,33.192417520939216,34.47715571997071
FF,2025-09-09,94.2,2.36,6.33,"Barrosa, Jorge",678489,592662,sac_fly,hit_into_play,,,,,12.0,Jorge Barrosa out on a sacrifice fly to right fielder Drew Gilbert. Jordan Lawlar scores.,R,R,L,SF,AZ,X,9,fly_ball,3,2,2025,0.61,1.63,0.0,3.44,691783.0,,,1,5,Top,177.66,111.14,,,,,-7.479342548188848,-136.91179512626093,-5.36720128676077,9.46263329693116,32.90396281207,-10.75697924219057,3.26,1.43,233.0,82.9,51.0,93.8,2325.0,6.3,776394,672275,642086,669477,656305,642715,671218,808982,687551,54.2,0.02,0.025,0.0,1.0,0,0,3.0,35,7,4-Seam Fastball,4,1,1,4,2,4,2,4,Standard,Standard,156.0,-0.001,-0.139,58.4,6.6,0.033,0.139,88.0,3,-3,0.809,0.191,33,24,34,24,2,1,6.0,4.0,5.0,4.0,0.97,0.61,-0.61,49.6,18.118536324324232,14.968792670078866,17.666222955025248,36.21751305547451,25.45252472547574
