pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-26,93.3,-2.61,5.62,"Beavers, Dylan",687637,701542,field_out,hit_into_play,,,,,5.0,Dylan Beavers flies out sharply to left fielder Austin Slater.,R,L,R,NYY,BAL,X,7,fly_ball,2,1,2025,-0.62,1.22,-0.19,2.67,,,,1,2,Top,72.42,62.68,,,,,7.578999704567149,-135.63454225237186,-4.5290605236760655,-9.285770175106633,28.8767161977966,-16.25583877341994,3.44,1.69,362.0,100.1,36.0,93.5,2774.0,6.4,776174,669224,502671,676609,642708,683011,596103,641355,592450,54.11,0.337,0.643,0.0,1.0,0,0,5.0,10,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,221.0,0.016,-0.298,75.4,7.3,1.257,0.298,100.1,2,-2,0.729,0.271,26,23,26,24,1,0,7.0,1.0,9.0,1.0,1.39,0.62,-0.62,28.0,8.668685393018837,0.4593550635128086,35.83955776024269,36.58007194255748,30.03256239034421
FF,2025-09-25,94.8,-1.16,5.9,"Beavers, Dylan",687637,669947,field_out,hit_into_play,,,,,2.0,Dylan Beavers flies out to left fielder Christopher Morel.,R,L,R,BAL,TB,X,7,fly_ball,1,0,2025,-0.57,1.28,-0.1,3.05,,,,1,7,Bot,86.04,85.71,,,,,4.066233370188125,-137.94941217601186,-4.6692952123490645,-8.142846574737561,31.232602057478445,-15.011900852057655,3.44,1.69,300.0,83.3,31.0,95.4,2228.0,6.7,776191,663743,676044,656484,691406,700246,666624,663968,680700,53.81,0.051,0.062,0.0,1.0,0,0,3.0,61,2,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,202.0,-0.016,-0.293,72.4,6.7,0.098,0.293,88.0,-3,-3,0.091,0.091,31,23,31,24,2,3,5.0,1.0,,1.0,1.26,0.57,-0.57,40.9,-1.305006581088779,5.723923116994494,36.81496348109641,35.56691812122277,23.408370308422437
CH,2025-09-24,87.7,-1.52,5.95,"Beavers, Dylan",687637,669358,field_out,hit_into_play,,,,,8.0,Dylan Beavers flies out to right fielder Josh Lowe. Colton Cowser to 3rd.,R,L,R,BAL,TB,X,9,fly_ball,0,0,2025,-1.21,0.64,0.0,1.75,,681297.0,669236.0,0,3,Bot,160.43,62.5,,,,,6.164318956853019,-127.5754789290342,-5.351302757542055,-14.451886166255468,26.178911503563494,-24.274150244456283,3.44,1.69,358.0,92.9,30.0,87.9,1812.0,6.4,776203,676439,676044,680700,691406,656484,663968,802415,666139,54.1,0.12,0.187,0.0,1.0,0,0,3.0,26,1,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,239.0,-0.036,-0.264,74.4,8.1,0.328,0.264,92.9,-3,-3,0.324,0.324,26,23,26,24,2,1,6.0,1.0,,1.0,2.32,1.21,-1.21,35.0,13.312426410815236,-12.476116784845402,42.53897028447447,34.51462955579985,38.18172438788491
FF,2025-09-24,94.9,-1.69,5.94,"Beavers, Dylan",687637,669358,field_out,hit_into_play,,,,,2.0,Dylan Beavers flies out to center fielder Chandler Simpson.,R,L,R,BAL,TB,X,8,fly_ball,1,0,2025,-0.77,1.31,0.21,3.04,,,,0,1,Bot,128.11,108.6,,,,,6.6825157517798575,-138.09654517249714,-4.8605478492717,-11.35119922757938,30.284903278666608,-14.5565283656067,3.44,1.69,228.0,93.4,59.0,94.9,2372.0,6.3,776203,676439,676044,680700,691406,656484,663968,802415,666139,54.24,0.017,0.02,0.0,1.0,0,0,3.0,6,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,215.0,-0.023,-0.301,75.5,7.6,0.028,0.301,93.4,-1,-1,0.442,0.442,26,23,26,24,1,0,6.0,1.0,,1.0,1.22,0.77,-0.77,34.1,13.4560947984698,-15.072448578561398,34.387542387943334,31.87517882036775,36.18217270642017
FF,2025-09-23,89.9,1.42,5.73,"Beavers, Dylan",687637,693855,field_out,hit_into_play,,,,,5.0,Dylan Beavers flies out to center fielder Chandler Simpson.,R,L,L,BAL,TB,X,8,fly_ball,0,2,2025,0.64,1.44,-0.25,2.53,,,676059.0,2,7,Bot,99.45,64.12,,,,,-5.502546089908956,-130.8240204042452,-4.991277029347157,8.561563944274186,28.28609088660578,-14.787988295732806,3.45,1.7,341.0,93.2,31.0,89.9,2192.0,6.3,776223,676439,676044,680700,656484,700246,663968,802415,666139,54.16,0.143,0.24,0.0,1.0,0,0,3.0,57,3,4-Seam Fastball,6,0,6,0,0,6,6,0,Infield shade,Standard,148.0,-0.001,-0.173,73.5,7.6,0.432,0.173,93.2,6,6,0.994,0.994,26,23,27,24,2,3,6.0,2.0,5.0,1.0,1.39,0.64,0.64,43.4,7.414647234059058,-9.112308017835527,37.10341322401639,38.14469973724264,30.896419873656363
CH,2025-09-23,88.4,-1.3,5.97,"Beavers, Dylan",687637,686752,field_out,hit_into_play,,,,,7.0,Dylan Beavers flies out to right fielder Josh Lowe.,R,L,R,BAL,TB,X,9,fly_ball,1,1,2025,-1.39,0.72,-0.41,2.21,,,,2,1,Bot,181.71,129.47,,,,,5.10473651619626,-128.5367026299208,-4.585426442768041,-16.49095276487389,27.119391024431245,-23.417735928340445,3.45,1.7,222.0,77.3,51.0,88.8,2528.0,6.6,776223,676439,676044,664040,691406,700246,663968,802415,666139,53.86,0.071,0.085,0.0,1.0,0,0,3.0,8,3,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,253.0,-0.007,-0.244,68.6,8.6,0.122,0.244,88.0,2,2,0.713,0.713,27,23,28,24,1,0,7.0,2.0,,1.0,2.2,1.39,-1.39,37.9,22.99366802182612,-20.42581238481405,34.11574014429503,38.61567981416769,44.83271473849234
CU,2025-09-21,84.5,-1.8,6.54,"Beavers, Dylan",687637,693645,field_out,hit_into_play,,,,,14.0,Dylan Beavers lines out to right fielder Cody Bellinger.,R,L,R,BAL,NYY,X,9,line_drive,3,2,2025,0.54,-0.92,0.09,1.51,,,,0,4,Bot,199.6,98.75,,,,,3.340147404341656,-123.0592837808952,-3.5246770815908475,4.775551579463674,25.326770333715945,-41.00272214512727,3.45,1.7,307.0,92.3,20.0,84.5,2652.0,6.3,776240,669224,700250,665862,641857,676609,691176,663757,641355,54.16,0.343,0.35,0.0,1.0,0,0,4.0,25,7,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,35.0,-0.027,-0.345,72.9,8.0,0.509,0.345,92.3,0,0,0.559,0.559,24,23,24,24,2,1,5.0,2.0,6.0,2.0,4.12,-0.54,0.54,45.4,14.949977057008542,-10.85019392533565,44.96108660036301,33.24638505468846,41.73196080544645
FF,2025-09-19,91.8,-2.59,5.52,"Beavers, Dylan",687637,701542,field_out,hit_into_play,,,,,4.0,Dylan Beavers flies out to left fielder Austin Slater.,R,L,R,BAL,NYY,X,7,fly_ball,0,0,2025,-0.77,1.31,-0.38,2.28,,,,0,4,Bot,89.6,131.95,,,,,7.283454924930199,-133.41330630207307,-5.20637028244631,-10.696974493298306,27.7941090006889,-15.567856087867122,3.47,1.71,192.0,82.5,62.0,92.2,2412.0,6.5,776273,669224,502671,665862,642708,683011,596103,641355,592450,53.98,0.011,0.012,0.0,1.0,0,0,3.0,28,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,224.0,-0.02,-0.259,75.9,8.2,0.015,0.259,88.0,1,1,0.69,0.69,26,23,26,24,2,1,5.0,2.0,7.0,2.0,1.39,0.77,-0.77,24.6,16.968491126665253,-11.972916654012089,37.9294198191092,38.073090660660974,39.61952975018133
CH,2025-09-17,83.6,1.08,5.57,"Beavers, Dylan",687637,527048,field_out,hit_into_play,,,,,7.0,Dylan Beavers flies out to center fielder Michael A. Taylor.,R,L,L,CWS,BAL,X,8,fly_ball,1,1,2025,0.89,0.54,-0.3,2.18,641933.0,669236.0,691723.0,2,1,Top,99.2,77.19,,,,,-4.924743125846117,-121.8495797550118,-2.556220252955685,9.804113033828935,20.902569680568597,-26.4460809994025,3.47,1.72,311.0,91.1,29.0,83.9,1639.0,6.1,776285,700337,672820,805367,678246,695657,683770,572191,666150,54.39,0.069,0.089,0.0,1.0,0,0,3.0,7,3,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,120.0,0.064,-0.254,69.1,7.8,0.149,0.254,91.1,-1,1,0.378,0.622,34,23,34,24,1,0,5.0,1.0,,2.0,2.67,0.89,0.89,48.9,10.278955429571624,0.3786288216781152,40.19518051218824,38.25278188573576,28.194067403546285
SL,2025-09-17,84.5,4.23,5.0,"Beavers, Dylan",687637,685126,field_out,hit_into_play,,,,,8.0,Dylan Beavers flies out to center fielder Michael A. Taylor.,R,L,L,CWS,BAL,X,8,fly_ball,2,1,2025,-0.25,0.3,0.22,2.03,,,,2,8,Top,110.74,110.66,,,,,-8.98649136882202,-122.89526609720076,-1.2391429298828984,-1.0711708801600015,20.65288217803484,-29.06737412096192,3.47,1.72,226.0,93.6,50.0,86.5,2097.0,7.2,776285,700337,672820,805367,678246,695657,683770,572191,666150,53.26,0.009,0.01,0.0,1.0,0,0,3.0,58,4,Slider,1,3,3,1,3,1,3,1,Standard,Standard,168.0,0.006,-0.297,72.6,8.2,0.015,0.297,93.6,-2,2,0.15,0.85,27,23,27,24,1,3,1.0,1.0,2.0,2.0,2.86,-0.25,-0.25,31.2,16.651775499045915,-13.096710316111976,41.84269828643539,33.06813890650739,36.2085058978283
