pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-30,93.2,-1.32,6.19,"Beck, Jordan",687597,663671,field_out,hit_into_play,,,,,6.0,Jordan Beck flies out to right fielder Nolan Jones.,R,R,R,CLE,COL,X,9,fly_ball,2,2,2025,-0.18,1.66,0.5,2.62,,,696100.0,1,7,Top,186.23,113.34,,,,,5.086146386807313,-135.5407936695819,-7.066986213268777,-3.249506608241106,28.635256404140797,-10.321659433957596,3.64,1.7,259.0,94.0,53.0,93.5,2490.0,6.4,776942,595978,467793,677587,608070,672356,680757,682657,666134,54.1,0.009,0.015,0.0,1.0,0,0,3.0,46,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,200.0,0.028,-0.223,71.8,7.6,0.022,0.223,94.0,3,-3,0.898,0.102,28,24,28,24,1,2,4.0,1.0,2.0,2.0,0.96,0.18,0.18,54.3,10.335890504245464,2.12006399599697,33.40297079844992,43.22020727580539,25.40892163862346
SI,2025-07-29,93.4,-1.87,4.87,"Beck, Jordan",687597,670036,field_out,hit_into_play,,,,,1.0,Jordan Beck lines out to right fielder Johnathan Rodríguez.,R,R,R,CLE,COL,X,9,line_drive,0,1,2025,-0.62,0.8,-0.51,3.62,,,678662.0,1,8,Top,176.42,107.76,,,,,4.897661262009132,-135.9552568424803,0.7622075852645099,-8.761586157146485,28.48992813818847,-22.58516849381292,3.64,1.7,261.0,82.0,24.0,94.2,2338.0,6.6,776951,666310,700932,677587,608070,672356,680757,682177,671286,53.89,0.423,0.384,0.0,1.0,0,0,3.0,71,2,Sinker,10,2,2,10,2,10,2,10,Standard,Standard,210.0,0.0,-0.216,60.4,6.2,0.491,0.216,88.0,8,-8,0.999,0.001,32,24,32,24,1,3,2.0,1.0,1.0,1.0,1.8,0.62,0.62,27.8,3.375529104796054,21.685573459114007,28.458085410950027,32.26658290057102,12.991433716538822
SI,2025-07-28,92.6,-1.72,5.69,"Beck, Jordan",687597,677944,single,hit_into_play,,,,,5.0,Jordan Beck singles on a line drive to center fielder Angel Martínez.,R,R,R,CLE,COL,X,8,line_drive,3,2,2025,-1.4,0.58,-0.17,2.78,,,,1,4,Top,113.71,113.13,,,,,7.06912086566426,-134.69394876903618,-2.9211665436629404,-18.569827100054862,28.35981802371395,-24.709573471740374,3.6,1.7,219.0,93.5,12.0,93.3,2232.0,6.7,776968,595978,467793,682177,608070,677587,680757,682657,666134,53.84,0.846,0.822,0.9,1.0,1,0,4.0,25,6,Sinker,0,1,1,0,1,0,1,0,Strategic,Standard,231.0,-0.025,0.336,83.6,7.2,0.997,-0.336,93.5,-1,1,0.394,0.606,26,24,26,24,2,1,5.0,1.0,7.0,1.0,2.08,1.4,1.4,36.4,3.5235114322015035,8.157942930341576,29.85660257126551,34.85268486578167,18.30797917382762
SI,2025-07-28,92.5,-1.74,5.74,"Beck, Jordan",687597,677944,single,hit_into_play,,,,,5.0,Jordan Beck singles on a line drive to center fielder Angel Martínez.,R,R,R,CLE,COL,X,8,line_drive,3,1,2025,-1.36,0.74,0.04,2.57,,,,0,2,Top,122.04,88.59,,,,,7.556275732020962,-134.429539965945,-3.89636850369412,-18.183961313708338,29.06884122236551,-22.60150200368925,3.6,1.7,151.0,107.8,8.0,93.0,2259.0,6.7,776968,595978,467793,682177,608070,677587,680757,682657,666134,53.83,0.711,0.687,0.9,1.0,1,0,4.0,7,5,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,232.0,-0.038,0.259,,,0.881,-0.259,107.8,0,0,0.5,0.5,26,24,26,24,1,0,5.0,1.0,7.0,1.0,1.93,1.36,1.36,37.2,,,,,
SL,2025-07-28,89.7,-1.55,6.31,"Beck, Jordan",687597,683769,field_out,hit_into_play,,,,,9.0,Jordan Beck flies out to center fielder Angel Martínez.,R,R,R,CLE,COL,X,8,fly_ball,2,2,2025,0.42,0.33,0.77,2.15,,,,1,8,Top,124.03,47.25,,,,,4.880685379138486,-130.54617561592897,-5.090191654050657,3.9382877892239017,25.071739986825072,-27.559027995225144,3.6,1.7,374.0,97.3,30.0,90.8,2262.0,6.7,776968,666310,467793,682177,608070,677587,680757,682657,666134,53.76,0.274,0.476,0.0,1.0,0,0,5.0,66,5,Slider,5,4,4,5,4,5,4,5,Strategic,Standard,148.0,0.039,-0.228,,,0.881,0.228,97.3,1,-1,0.807,0.193,27,24,27,24,1,3,2.0,1.0,2.0,1.0,2.48,-0.42,-0.42,42.0,,,,,
FF,2025-07-26,93.5,2.38,5.78,"Beck, Jordan",687597,669432,field_out,hit_into_play,,,,,6.0,Jordan Beck flies out sharply to center fielder Cedric Mullins.,R,R,L,BAL,COL,X,8,fly_ball,3,2,2025,1.28,1.18,0.42,2.47,,,,2,7,Top,154.75,51.67,,,,,-7.924664719097873,-135.69345700139948,-5.326920293927462,17.61379295898879,34.07551050224592,-16.585062142981773,3.58,1.7,370.0,101.2,36.0,93.3,2447.0,6.6,776999,607732,656811,702616,676059,683002,681297,656775,657656,53.86,0.406,0.798,0.0,1.0,0,0,5.0,51,7,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,134.0,0.001,-0.328,72.8,8.0,1.551,0.328,101.2,8,-8,0.998,0.002,27,24,28,24,3,2,6.0,1.0,6.0,1.0,1.47,1.28,-1.28,19.4,12.198758328056751,-1.846695455079499,37.51640925201508,41.353151633702645,23.48802849166545
FF,2025-07-26,93.2,2.32,5.74,"Beck, Jordan",687597,669432,field_out,hit_into_play,,,,,5.0,Jordan Beck lines out sharply to center fielder Cedric Mullins.,R,R,L,BAL,COL,X,8,line_drive,2,2,2025,0.91,1.24,-0.14,2.64,,,,2,4,Top,127.34,52.76,,,,,-8.338652467049409,-135.3993066993252,-4.869095301350604,13.10006912345591,32.33112479789371,-16.020205622564248,3.58,1.7,361.0,105.3,20.0,93.1,2483.0,6.6,776999,607732,656811,702616,676059,683002,681297,656775,657656,53.94,0.651,0.898,0.0,1.0,0,0,6.0,26,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,129.0,0.008,-0.224,,,1.518,0.224,105.3,3,-3,0.86,0.14,27,24,28,24,2,1,6.0,1.0,6.0,1.0,1.41,0.91,-0.91,19.8,,,,,
SI,2025-07-22,94.2,-1.43,5.72,"Beck, Jordan",687597,607200,single,hit_into_play,,,,,13.0,Jordan Beck singles on a line drive to right fielder Jordan Walker. Mickey Moniak to 2nd.,R,R,R,COL,STL,X,9,line_drive,0,0,2025,-0.93,0.51,-0.88,2.44,,,666160.0,1,3,Bot,152.88,105.34,,,,,3.5506452750946758,-137.26532927377357,-4.085320679289463,-12.613998528342956,25.415696046738585,-25.0428840627297,3.56,1.69,179.0,67.4,20.0,95.7,2077.0,6.7,777049,686780,575929,680977,571448,691026,676475,687363,691023,53.79,0.694,0.635,0.9,1.0,1,0,4.0,23,1,Sinker,3,0,3,0,0,3,3,0,Standard,Standard,213.0,0.016,0.406,66.6,6.7,0.739,-0.406,88.0,3,3,0.849,0.849,32,24,32,24,2,1,10.0,1.0,7.0,1.0,2.02,0.93,0.93,33.1,-3.579884788709613,10.288487045075492,42.401669638814816,26.079479193912988,16.694114992297017
SL,2025-07-20,85.9,-2.54,4.88,"Beck, Jordan",687597,657746,single,hit_into_play,,,,,5.0,"Jordan Beck singles on a line drive to left fielder Willi Castro. Jordan Beck out at 2nd on the throw, left fielder Willi Castro to second baseman Kody Clemens.",R,R,R,COL,MIN,X,7,line_drive,0,0,2025,0.11,0.23,-0.02,2.59,,,,0,4,Bot,48.83,115.13,,,,,5.767502307082764,-125.11523269541034,0.2478010164942022,0.2224753802518524,20.289644914175803,-29.963676933903997,3.56,1.66,187.0,90.3,13.0,86.7,2437.0,6.3,777072,543877,664034,665019,668904,621043,650489,664056,670242,54.17,0.917,0.891,0.9,1.0,1,0,4.0,33,1,Slider,1,4,1,4,4,1,1,4,Standard,Standard,120.0,-0.023,0.438,78.8,8.0,1.091,-0.438,90.3,-3,-3,0.203,0.203,29,24,29,24,2,1,9.0,1.0,6.0,1.0,2.81,-0.11,-0.11,30.7,17.024950393106245,-16.743357425700356,29.917020280842184,35.84478655133938,41.39869705139676
FF,2025-07-18,94.6,-1.85,6.19,"Beck, Jordan",687597,663978,triple,hit_into_play,,,,,6.0,Jordan Beck triples (5) on a sharp line drive to right fielder Willi Castro. Mickey Moniak scores.,R,R,R,COL,MIN,X,9,line_drive,2,0,2025,-0.51,1.24,0.4,2.88,,666160.0,,0,1,Bot,160.21,54.59,,,,,7.105539121099009,-137.62063491997912,-5.843861742736077,-7.9356507616852605,26.06725772661245,-15.32188399530412,3.55,1.66,366.0,102.0,20.0,96.1,2256.0,6.9,777102,543877,664034,686797,668904,621043,664056,621439,650489,53.64,0.503,0.639,1.6,1.0,1,2,5.0,8,3,4-Seam Fastball,1,0,1,0,0,2,2,0,Infield shade,Standard,213.0,0.1,0.774,76.6,7.5,1.034,-0.774,102.0,1,1,0.702,0.702,29,24,29,24,1,0,8.0,6.0,5.0,1.0,1.28,0.51,0.51,47.8,9.902390543156846,4.822816239415008,27.499721478724783,41.44361083912084,21.53541932044229
