pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-07-29,85.5,0.98,6.55,"Bell, Josh",605137,656986,field_out,hit_into_play,,,,,5.0,Josh Bell flies out to right fielder Cam Smith.,R,R,L,HOU,WSH,X,9,fly_ball,3,2,2025,-0.38,0.04,0.16,2.63,,,,0,6,Top,194.63,110.69,,,,,-1.1893128191053075,-124.51449334819604,-3.053435442954748,-3.655845455568776,25.634477771237883,-31.34611780112313,3.81,1.78,277.0,88.5,43.0,85.7,2269.0,6.4,776950,673237,572233,694376,643289,670097,669450,666211,701358,54.09,0.001,0.0,0.0,1.0,0,0,3.0,46,8,Slider,3,2,2,3,2,3,2,3,Standard,Standard,240.0,0.036,-0.345,76.8,8.0,0.001,0.345,88.5,1,-1,0.667,0.333,30,32,30,33,1,2,3.0,1.0,3.0,1.0,3.08,-0.38,0.38,60.5,7.630438048669353,-5.046036266420666,37.57130229828202,37.070335566410336,25.029364022257397
SI,2025-07-27,93.9,-2.43,5.8,"Bell, Josh",605137,701519,single,hit_into_play,,,,,7.0,Josh Bell singles on a line drive to left fielder Willi Castro. CJ Abrams scores. James Wood to 3rd. Luis García Jr. to 2nd.,R,L,R,MIN,WSH,X,7,line_drive,0,0,2025,-1.06,0.62,-0.63,2.01,682928.0,695578.0,671277.0,0,5,Top,82.77,97.95,,,,,7.007096464122916,-136.5533509750069,-5.463862532672985,-14.770257256266506,29.297472775131297,-23.43111074063934,3.82,1.81,211.0,96.7,10.0,93.9,2227.0,6.2,776979,543877,665019,686797,668904,621043,650489,664056,670242,54.26,0.751,0.704,0.9,1.0,1,0,4.0,37,1,Sinker,2,3,3,2,4,2,4,2,Infield shade,Standard,220.0,-0.069,0.427,77.3,8.0,0.854,-0.427,96.7,-1,1,0.195,0.805,25,32,25,33,1,2,9.0,1.0,8.0,1.0,1.96,1.06,-1.06,35.5,1.4103697941324618,7.273648476611465,35.30203319745898,45.59023383498878,22.539869571397983
FS,2025-07-27,95.7,-2.28,5.94,"Bell, Josh",605137,661395,single,hit_into_play,,,,,13.0,Josh Bell singles on a line drive to left fielder Willi Castro.,R,L,R,MIN,WSH,X,7,line_drive,2,0,2025,-1.12,0.38,-0.51,1.42,,,,1,9,Top,74.54,100.17,,,,,7.184568542508794,-139.19317969984397,-7.195114822855079,-16.13224803733513,28.18133933972456,-25.928917762209743,3.82,1.81,223.0,87.8,14.0,95.8,1843.0,6.2,776979,543877,665019,686797,668904,621043,650489,664056,670242,54.34,0.969,0.926,0.9,1.0,1,0,4.0,70,3,Split-Finger,2,7,7,2,7,2,7,2,Infield shade,Standard,243.0,-0.001,0.305,76.8,8.0,1.138,-0.305,88.0,-5,5,0.006,0.994,27,32,27,33,1,4,2.0,1.0,1.0,1.0,2.09,1.12,-1.12,34.4,-3.295789826128797,8.55795971633863,37.3855109288068,43.80839237422633,24.234362799961943
SL,2025-07-26,87.7,-2.73,4.75,"Bell, Josh",605137,657746,field_out,hit_into_play,,,,,1.0,Josh Bell flies out sharply to center fielder Byron Buxton.,R,L,R,MIN,WSH,X,8,fly_ball,0,0,2025,0.08,0.66,-0.49,3.26,,682928.0,,2,5,Top,109.05,43.16,,,,,5.297150206346336,-127.72771877285552,1.1222232203591953,-0.1667677571759006,24.46430194498063,-25.35301919883751,3.81,1.81,387.0,101.7,38.0,88.9,2320.0,6.8,776997,543877,664034,686797,668904,621043,664056,621439,650489,53.68,0.311,0.624,0.0,1.0,0,0,5.0,38,1,Slider,0,5,5,0,5,0,5,0,Infield shade,Standard,212.0,0.008,-0.29,76.6,7.6,1.211,0.29,101.7,-5,5,0.059,0.941,29,32,29,33,3,2,6.0,1.0,6.0,1.0,2.28,-0.08,0.08,22.9,9.070297615799298,6.249826788842434,24.13178720939943,41.9625098782249,25.83038232019293
CH,2025-07-25,88.9,-2.52,5.71,"Bell, Josh",605137,805673,field_out,hit_into_play,,,,,6.0,Josh Bell flies out to left fielder Harrison Bader in foul territory.,R,L,R,MIN,WSH,X,7,fly_ball,0,0,2025,-1.01,0.41,0.59,2.61,,671277.0,,2,4,Top,47.69,137.4,,,,,9.785377759236354,-129.05679742609192,-2.4146748435549483,-13.335147570295238,26.516616164040453,-27.25503317164044,3.81,1.8,247.0,84.6,51.0,89.3,1472.0,6.7,777011,680777,664034,686797,668904,621043,664056,621439,650489,53.85,0.011,0.013,0.0,1.0,0,0,3.0,25,1,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,237.0,0.041,-0.29,72.8,7.4,0.02,0.29,88.0,0,0,0.518,0.482,25,32,25,33,2,1,6.0,3.0,5.0,1.0,2.48,1.01,-1.01,34.5,4.806437692038446,8.7335102427122,33.946418164025104,33.7775247488241,19.49521507236816
FC,2025-07-25,86.4,-0.37,6.01,"Bell, Josh",605137,543056,field_out,hit_into_play,,,,,5.0,Josh Bell flies out to center fielder Byron Buxton.,R,R,L,MIN,WSH,X,8,fly_ball,1,1,2025,-0.56,0.06,-0.21,2.53,,,,1,7,Top,136.47,98.41,,,,,1.4894146542404505,-125.9361048936836,-2.2618524460431164,-6.244017327379779,22.999841505980044,-31.33258274821181,3.81,1.8,254.0,94.8,52.0,86.2,2725.0,5.8,777011,680777,664034,686797,668904,621043,664056,621439,650489,54.68,0.006,0.009,0.0,1.0,0,0,3.0,49,3,Cutter,1,0,0,1,0,1,0,1,Standard,Standard,245.0,0.031,-0.244,83.5,8.6,0.014,0.244,94.8,1,-1,0.743,0.257,35,32,36,33,1,2,2.0,3.0,2.0,1.0,2.96,-0.56,0.56,54.9,17.964502844076467,-14.401204967044302,36.311094178297125,32.546659583210584,29.81723184938077
ST,2025-07-21,82.6,2.02,5.01,"Bell, Josh",605137,594580,field_out,hit_into_play,,,,,14.0,Josh Bell flies out to right fielder Jake Fraley.,R,R,L,WSH,CIN,X,9,fly_ball,3,2,2025,-1.34,-0.22,0.07,1.64,,695578.0,,2,5,Bot,207.27,114.57,,,,,-1.7915461996450113,-120.29090652972828,-0.7198677605756275,-12.640470086411232,24.57361092401987,-34.38017400836616,3.74,1.81,294.0,91.0,35.0,80.4,2979.0,4.8,777064,624431,668715,680574,682622,682829,669720,670770,641584,55.66,0.034,0.05,0.0,1.0,0,0,3.0,57,7,Sweeper,8,6,8,6,6,8,8,6,Infield shade,Standard,304.0,-0.022,-0.277,73.8,8.2,0.082,0.277,91.0,2,2,0.811,0.811,33,32,33,33,1,3,3.0,2.0,7.0,1.0,3.57,-1.34,1.34,14.5,3.685328430598698,2.2634236885855463,47.15754202740295,36.51057311256037,19.9678152531889
FF,2025-07-21,90.3,-1.75,5.31,"Bell, Josh",605137,663903,double,hit_into_play,,,,,12.0,Josh Bell doubles (10) on a fly ball to right fielder Jake Fraley. James Wood to 3rd.,R,L,R,WSH,CIN,X,9,fly_ball,1,1,2025,-0.14,1.1,1.09,3.23,,695578.0,,0,1,Bot,190.94,60.32,,,,,7.469281788980064,-131.54364366718963,-1.698211574400549,-2.922889309172213,23.48564493939201,-19.110054534643343,3.74,1.81,377.0,95.5,29.0,92.3,2421.0,7.1,777064,624431,668715,680574,682622,682829,669720,670770,641584,53.43,0.226,0.383,1.25,1.0,1,1,5.0,7,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,209.0,0.065,0.731,69.4,7.2,0.699,-0.731,95.5,1,1,0.702,0.702,28,32,29,33,1,0,9.0,2.0,6.0,1.0,1.65,0.14,-0.14,25.4,13.296419546318234,-0.6150736705231005,32.10452401374278,27.423292703658305,26.04525858105737
SI,2025-07-21,91.8,1.72,5.76,"Bell, Josh",605137,573124,field_out,hit_into_play,,,,,2.0,Josh Bell flies out to center fielder TJ Friedl.,R,R,L,WSH,CIN,X,8,fly_ball,2,0,2025,1.43,0.63,0.1,3.26,,,,1,7,Bot,138.25,59.34,,,,,-7.109343245141077,-133.4705651285738,-1.8187075746593797,18.66175826424881,28.908119170008163,-24.401381712838283,3.74,1.81,348.0,96.1,26.0,90.7,2183.0,5.7,777064,624431,668715,680574,682622,682829,669720,670770,641584,54.83,0.266,0.391,0.0,1.0,0,0,5.0,72,3,Sinker,10,6,10,6,6,10,10,6,Standard,Standard,130.0,-0.002,-0.364,72.1,7.2,0.672,0.364,96.1,4,4,0.971,0.971,34,32,35,33,1,4,2.0,2.0,1.0,1.0,2.08,1.43,-1.43,30.7,5.088202665003443,1.983434691764884,31.75850933942664,36.05195672998451,25.3258405116212
SL,2025-07-19,83.9,-2.22,5.65,"Bell, Josh",605137,506433,field_out,hit_into_play,,,,,4.0,Josh Bell flies out sharply to center fielder Jackson Merrill.,R,L,R,WSH,SD,X,8,fly_ball,1,0,2025,0.58,-0.09,-0.64,2.62,,,,0,2,Bot,98.12,47.83,,,,,2.51626924222414,-122.37572741681387,-0.5570787070567316,5.51899644756516,20.18967580987308,-33.16187863010037,3.76,1.81,379.0,100.3,33.0,85.0,2775.0,6.5,777091,455117,650333,630105,578428,593428,657757,701538,665487,54.0,0.4,0.749,0.0,1.0,0,0,6.0,10,2,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,112.0,-0.023,-0.301,74.4,8.0,1.464,0.301,100.3,0,0,0.55,0.55,38,32,39,33,1,0,7.0,1.0,5.0,2.0,3.27,-0.58,0.58,39.2,8.929805782342017,4.514137439623723,27.96273317443372,47.462675203501846,28.108578612084933
